spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5051254297018566e+01,1.0658141036401503e-14,1.2490009027033011e-16,True,1,1,3.5517746751137382e-17,3.3096834814186908e-18,2.7032405837621676e-02,0.0000000000000000e+00,2.7032405452916630e-02,2.7032405452916963e-02,0.0000000000000000e+00,-3.3750471192340738e-33,-1.1024089974220885e-10,-1.1024067769760393e-10
polarized,h_in_plus_minus_h_in_minus,1.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.0992029022650655e+01,1.7763568394002505e-15,1.2490009027033011e-16,True,1,1,-6.2207845928769403e-17,-7.4944949215063640e-17,-7.0844252601351132e-02,0.0000000000000000e+00,-7.0844249200188725e-02,-7.0844249200188725e-02,0.0000000000000000e+00,1.8567643162871630e-32,2.3463127829526087e-09,2.3463127829526087e-09
polarized,h_in_plus_minus_h_in_minus,2.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,5.5148607646099279e+01,0.0000000000000000e+00,1.3877787807814457e-16,True,1,1,-1.2524283468815404e-16,-1.3434346305239248e-16,-1.6475078299686102e-01,0.0000000000000000e+00,-1.6475078366915585e-01,-1.6475078366915535e-01,0.0000000000000000e+00,5.2101440944709714e-32,-1.2493491102771870e-09,-1.2493486384324015e-09
polarized,h_in_plus_minus_h_in_minus,2.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.1638330116279882e+01,-7.1054273576010019e-15,-9.7144514654701197e-17,True,1,1,-1.1554380366375389e-17,-5.2321925877019394e-17,-2.3613511395355258e-01,-1.4901161193847656e-08,-2.3613511500840667e-01,-2.3613511500840803e-01,-8.3169934915191593e-09,-2.2204460492503131e-16,-2.0894502725243846e-09,-2.0894511676416982e-09
polarized,h_in_plus_minus_h_in_minus,3.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,6.9651916751637188e+01,0.0000000000000000e+00,-2.7755575615628914e-17,True,1,1,-1.3751838143711589e-16,-9.0812457018449368e-17,-2.8784923491920356e-01,0.0000000000000000e+00,-2.8784923945134139e-01,-2.8784923945134200e-01,0.0000000000000000e+00,6.4452347761722425e-32,-5.1528728436944782e-09,-5.1528728367555843e-09
polarized,h_in_plus_minus_h_in_minus,3.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,7.9373335071815546e+01,-1.0658141036401503e-14,-1.1102230246251565e-16,True,1,1,-1.4671421508128923e-17,-7.7366235262778714e-17,-3.2221469212118614e-01,0.0000000000000000e+00,-3.2221468872814069e-01,-3.2221468872814274e-01,0.0000000000000000e+00,1.8282135073022334e-32,1.2143028804700862e-09,1.2143024363808763e-09
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,9.1462793562254319e+01,7.1054273576010019e-15,2.7755575615628914e-17,True,1,1,-4.2365709044710429e-17,-5.7053568968913470e-17,-3.3925449014320724e-01,0.0000000000000000e+00,-3.3925449640375138e-01,-3.3925449640375038e-01,0.0000000000000000e+00,1.1665196079334836e-32,-6.1613159019202612e-09,-6.1613158672257917e-09
polarized,h_in_plus_minus_h_in_minus,4.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.0709268559030235e+02,0.0000000000000000e+00,5.5511151231257827e-17,True,1,1,-3.9092041204334062e-17,-1.7000028450480694e-16,-3.3760521277386291e-01,6.1722630615993611e-09,-3.3760521490075812e-01,-3.3760521490075768e-01,-4.8754319779289744e-09,2.2204460492503146e-16,-3.4644911904579967e-09,-3.4644907463687868e-09
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.2828761644133223e+02,0.0000000000000000e+00,2.7755575615628914e-17,True,1,1,-1.0750758283140663e-17,-4.1904422929841845e-17,-3.1579874907483108e-01,0.0000000000000000e+00,-3.1579874799721513e-01,-3.1579874799721513e-01,0.0000000000000000e+00,7.1289172613838642e-33,2.4334439845119515e-10,2.4334439845119515e-10
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-1.2000000000000000e+00,6.9999999999999996e-01,1.5880842295689857e+02,7.1054273576010019e-15,2.7755575615628914e-17,True,1,1,-1.2516718631373311e-17,-4.4981532716866652e-17,-2.7368782456657992e-01,0.0000000000000000e+00,-2.7368782457492313e-01,-2.7368782457492313e-01,0.0000000000000000e+00,8.0928410564451713e-33,-7.0428486133311541e-10,-7.0428486133311541e-10
