lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_p,optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_e_p_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme,selected_observable,selected_observable_label,selected_spin_case,selected_spin_label,selected_concurrence_key,selected_concurrence,selected_purity,pair_delta_xy,scan_phi_p_out,scan_phi_gamma_out,cluster_id,energy_band_cluster_id,selected_region,detail_id,detail_source
muon,gradient_local_minimum_0032,gradient,gradient,gradient_local_minimum,0.1056583755,14.509099600598992,3.809081201628418,1.787392887296441,1.6937489413891553,0.0,0.0,3.141592653589793,0.0,0.0880781747978395,3.140979061274639,3.3917679705672756,3.095322552764765,6.282830869742339,0.0017274790112074446,3.0574296518703203,0.9989020469743177,12.73863381946865,0.9966337765987509,-12.111552526330527,0.005938017011650851,0.0017473499154809988,0.9228699221289691,0.9385793419282801,3.097043733991645,177.44753492515846,0.0004433122634363018,0.3139839588324647,0.0004433122634363018,0.3139839588324647,False,,gradient,784000899,0.4373643090536303,1.1013039600318744,1.0,2.691268607628125,0.6511126730947916,1.0,0.20169223839478634,-3.871737437877165e-07,0.08171155797423514,8.95642495510468e-05,8.959588612085841e-05,0.9999999130897572,2.1396655662765183e-05,2.1371391436175193e-05,0.9999999217582325,0.9999999217580546,0.00014202754502157917,0.9999714590485071,1.4140975409959966,0.00016399926945583594,1.687913222500549e-08,1.687985701118112e-08,1.9257270299387532e-08,0.46866043187355366,0.03138428977280508,0.49920880720793515,0.5000447216463587,0.2491864463847558,0.5003649094405263,0.9966566412873177,0.46866043187355366,0.09021155251500855,0.2704056119955207,0.27040561199552077,0.07656623868118106,0.22954966635812055,0.22954966635812055,0.09021155251500855,8.691024278029147e-08,784,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,1026,486,0.0017191719099536994,0.5336587477788934,2.3575537066999885e-07,8.691024278029147e-08,25,11,False,1e-05,8.691219310907883e-08,True,0.4663412522211065,0.9999997642446293,0.9999999130897572,0.8545789616737919,0.42474451738723823,0.6756709453847151,0.30351542704394985,0.9050901699245634,0.8724015773113092,0.2502790861371641,0.3106645969002613,0.6949614787367029,0.9998046875,0.9852717694726728,0.0,0.5398166383365481,0.9999435895298453,0.1392173834357133,0.3505559381715039,32,7.8206881526377e-08,True,0,407,0.15517505419563188,True,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=0.43736431, alpha_p=1.101304",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999999130897572,1.0,nan,3.3917679705672756,6.282830869742339,0,0,polarization_cluster_01_local_minimum_32,max_c_ep_mixing_angles_polarization_01_local_minimum_32,polarization_cluster_member
muon,gradient_local_minimum_0033,gradient,gradient,gradient_local_minimum,0.1056583755,10.900462298054006,3.3015848161230097,1.5155587944386086,1.4349653698332858,0.0,0.0,3.141592653589793,0.0,0.07429189343698178,3.06553984042913,3.149495094478081,3.0616319127288496,3.141188773942802,0.07624504886619231,0.007473689883355878,0.9999921546994778,9.136178578334107,0.9954767971277845,-8.688395246895368,0.01123875362481947,0.004206682412010257,0.9213565589123034,0.9169022188264622,3.1378264978942685,179.7842151736573,0.0006330421572029038,0.2245247078765667,0.0006330421572029038,0.2245247078765667,False,,gradient,1409005774,1.2215927916044669,0.37866650922647144,0.9999999999999999,7.989352771870584,0.4556858068252643,0.9999999999999998,0.005304801331041386,-2.3932490911759974e-05,-0.06622516621405838,0.00015515246343856398,0.00015356753025001625,0.9999999106757235,0.0003091674892936634,0.0003090592575651082,0.9999999730507166,0.9999999730402466,0.00047519741134193524,0.9995878296695625,1.4138256229762403,0.0005487106764342559,2.9165442688446805e-08,2.9211414299386325e-08,3.471041862323302e-08,0.4994141484670095,0.0005799762033016631,0.49944495960019464,0.4999941246703112,0.24944789726503908,0.015717496782676484,0.9978033139070239,0.4994141484670095,0.07771123093758175,0.2334583252920349,0.23345832529203484,0.08883217743597226,0.26654755003765407,0.26654755003765407,0.07771123093758175,8.932427653096653e-08,1409,sobol_screened,0.10670229266151843,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,5818,315,0.03937696434515784,0.10670229266151843,0.0010109901467273419,8.932427653096653e-08,252,238,False,1e-05,9.180643312234338e-08,True,0.8932977073384816,0.9989890098532727,0.9999999106757235,0.6765927113592625,0.8503121379762888,0.8681455804035068,0.07164005935192108,0.7825306467711926,0.21826924942433834,0.34345975145697594,0.09986424259841442,0.5649728118412656,0.9757916376988722,0.9745477056773815,0.0,0.5012577125298625,0.49993572055776714,0.388845062458557,0.12053329345349145,33,8.062091527705206e-08,True,0,407,0.1844109162963963,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=1.2215928, alpha_p=0.37866651",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999999106757235,0.9999999999999998,nan,3.149495094478081,3.141188773942802,1,1,polarization_cluster_01_local_minimum_33,max_c_ep_mixing_angles_polarization_01_local_minimum_33,polarization_cluster_member
muon,gradient_local_minimum_0036,gradient,gradient,gradient_local_minimum,0.1056583755,13.765316002889053,3.7101638781715627,1.7347996969258423,1.6448193072927484,0.0,0.0,3.141592653589793,0.0,0.08573161291526578,3.141592653589793,6.00445078465092,2.8774473809917245,0.00030755458555860885,0.012955670839045346,3.141900208175349,0.9653160093539285,11.988506305479321,0.9956466535319496,-11.415636044131062,0.006673292657577485,0.002052241794903579,0.9322623166759203,0.9352676921884868,2.890403051830774,165.60789596163627,0.005434044444075553,0.29186917511818244,0.005434044444075553,0.29186917511818244,False,,gradient,451000980,0.11011396357308804,1.4550858860717093,1.0,0.05771714885697013,0.05261301944161388,1.0,0.002676794923151398,-7.965507955620676e-06,0.05176976611030038,0.00012328493076890767,0.0001236973032527199,0.9999999063596796,0.00019158591769269948,0.00019154712452204033,0.9999999933169202,0.9999999933135798,0.00046006161973064045,0.9997445508290139,1.4138379332720459,0.0005312333823847093,1.3720930863177948e-07,1.3721749069919828e-07,1.3826122917836458e-07,0.4997265359081591,0.0003350935032060409,0.4997265359081958,0.5000616294113651,0.24969572120251327,5.425342700485758e-07,0.9986597911798842,0.4997265359081591,0.08768868721222939,0.2629136261379319,0.26291362613793184,0.07892593955794591,0.23702474445070304,0.23702474445070287,0.08768868721222939,9.364032038661207e-08,451,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,1024,297,0.02221136207770431,0.5264400292689919,3.690216518359435e-06,9.364032038661207e-08,34,20,False,1e-05,9.364031927638905e-08,True,0.47355997073100814,0.9999963097834816,0.9999999063596796,0.03003400174966787,0.5037682347568486,0.9873534559000621,0.16017383619268044,0.8788780130243462,0.12239084865834565,0.9737909875530653,0.8561790049527118,0.6696250795499065,1.0,0.9159199483433225,0.0001953125,0.9556380229292034,4.894883256223185e-05,0.03505036321219573,0.463168222783126,36,8.493695913269761e-08,True,0,407,0.3084862720172571,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=0.11011396, alpha_p=1.4550859",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999999063596796,1.0,nan,6.00445078465092,0.00030755458555860885,2,2,polarization_cluster_01_local_minimum_36,max_c_ep_mixing_angles_polarization_01_local_minimum_36,polarization_cluster_member
muon,gradient_local_minimum_0038,gradient,gradient,gradient_local_minimum,0.1056583755,10.574808385228353,3.251893046400566,1.4886362706774419,1.409359970987491,0.0,0.0,3.141592653589793,0.0,0.07292614948761475,3.058013412876659,3.135186608301982,3.0952003147863048,3.1415397214030305,0.0817500203849741,6.276956777032876,0.9993085687081363,8.811316190149011,0.995311443195019,-8.379306891104832,0.012017575023612734,0.004612900624318232,0.9213509642438238,0.9141889052786694,3.10623292925782,177.97403703103188,0.00038990677399608487,0.21639455629614437,0.00038990677399608487,0.21639455629614437,False,,gradient,916002904,1.0922132031635468,0.52535632406887,1.0,12.859306155644433,0.7384645570995771,1.0,0.009152022551377556,-5.0481442276095745e-05,-0.09130689703425933,0.00024300838143688497,0.00023839907758484058,0.9999999030919032,0.00028604067199240735,0.0002857597342556829,0.9999999567439273,0.9999999567238945,0.0004369963128145475,0.999618776499741,1.413856790695264,0.0005045998437993812,2.5484774508065456e-08,2.560534931358685e-08,2.748788565776335e-08,0.49897117993768836,0.0010655682533575461,0.49899154396156664,0.5000367481910459,0.24897316986604365,-0.012790086525055297,0.9958194903344184,0.49897117993768836,0.07562446710413205,0.2271769966544958,0.22717699665449578,0.09088247941286064,0.27278625515445826,0.2727862551544583,0.07562446710413205,9.690809676943246e-08,916,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,2928,315,0.04835087408478568,0.7919031931243942,0.0012432838867451057,9.690809676943246e-08,120,106,False,1e-05,9.795281341595796e-08,True,0.20809680687560583,0.9987567161132549,0.9999999030919032,0.5984696463924205,0.4413180134569815,0.3181284355062279,0.3850207295007478,0.3479830515220469,0.8000744709110037,0.11727377912483657,0.4444684179936657,0.5522449046356552,0.9733959014012746,0.9852328599156618,1.8640841130639287e-06,0.49898044622677434,0.4999915755808281,0.34766226038742204,0.16722611172029667,38,8.8204735515518e-08,True,0,407,0.12293833521733372,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=1.0922132, alpha_p=0.52535632",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999999030919032,1.0,nan,3.135186608301982,3.1415397214030305,3,3,polarization_cluster_01_local_minimum_38,max_c_ep_mixing_angles_polarization_01_local_minimum_38,polarization_cluster_member
muon,gradient_local_minimum_0045,gradient,gradient,gradient_local_minimum,0.1056583755,13.922219123561435,3.7312490031571786,1.7460244315096247,1.6509139383107998,0.0,0.0,3.141592653589793,0.0,0.0905301111419764,3.141592653589793,3.2100269161472763,2.8896641643885377,6.280475248838021,0.012979141417803385,3.1388825952482273,0.9684335044163204,12.14296844608343,0.9955470281295536,-11.532259421111224,0.006541412870146157,0.0019965840966180517,0.9341581563244072,0.9360052721698164,2.902643305806339,166.30921085460437,0.00527879630440678,0.31063330879057294,0.00527879630440678,0.31063330879057294,False,,gradient,1974005235,0.11385536439521461,1.450786057389492,1.0,0.05790888249838463,0.056510803208644975,1.0,0.0029982834377961453,1.5117648267726214e-05,0.05479512588977831,-0.00010505688411726818,-0.00010588525755725563,0.9999998970184117,0.00022861453522252662,0.00022859196492239843,0.999999983472855,0.9999999834704302,0.00047624538766074723,0.9996951671372882,1.4138247272582576,0.0005499207808524571,1.2064427039098083e-07,1.206497400026935e-07,1.2229077712604052e-07,0.4995716058499862,0.00037584238701965367,0.49957160585262306,0.4999474482370059,0.24959788173412012,-4.596606110709546e-06,0.9984964724364204,0.4995716058499862,0.08800789677972227,0.26372131243838204,0.263721312438382,0.07874394466680933,0.23633123932461203,0.23633123932461206,0.08800789677972227,1.0298158825694514e-07,1974,sobol_screened,0.1897266964701365,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,31,5302,468,0.016336293752333444,0.1897266964701365,4.6424412235457346e-05,1.0298158825694514e-07,226,212,False,1e-05,1.0298151020826651e-07,True,0.8102733035298635,0.9999535755877645,0.9999998970184117,0.9948634644970298,0.884619552642107,0.8217138554900885,0.4596845181658864,0.539856088347733,0.08456077892333269,0.22946694307029247,0.2524972902610898,0.675025762917285,1.0,0.919808671275894,0.002783203125,0.510891651162872,0.9995686808188725,0.036241288082054776,0.4617995448046796,45,9.427822700303068e-08,True,0,407,0.30667474461892247,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=0.11385536, alpha_p=1.4507861",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999998970184117,1.0,nan,3.2100269161472763,6.280475248838021,4,4,polarization_cluster_01_local_minimum_45,max_c_ep_mixing_angles_polarization_01_local_minimum_45,polarization_cluster_member
muon,gradient_local_minimum_0052,gradient,gradient,gradient_local_minimum,0.1056583755,11.243063260162725,3.3530677386779297,1.5433863176856946,1.457136898224085,0.0,0.0,3.141592653589793,0.0,0.07968919426753764,3.072809774201939,3.14220613326778,3.0506715321272835,3.1413400691712168,0.06993073450047813,0.0005551241339365898,0.9997549567867667,9.475956820980441,0.9953766181044433,-8.987156513887209,0.010552632372142327,0.0038573660635801495,0.9238584628800184,0.9196213468392513,3.120602168029306,178.79733376745378,0.0007958814333361569,0.2451960349799415,0.0007958814333361569,0.2451960349799415,False,,gradient,1411001738,1.2583104988543463,0.3392706601359788,1.0,4.912194154666712,0.3793762413714205,0.9999999999999998,0.004950074048631506,1.0761799592862165e-05,-0.06615945528125042,-0.00021706346151381672,-0.00021635146671490697,0.9999998860556457,0.00038169485717118003,0.0003815805220490894,0.9999999606335594,0.9999999606556323,0.0005462195338813607,0.999491127937683,1.4137676687951966,0.0006307199415014388,3.464852040660047e-09,3.5962670224601278e-09,7.0611203953878045e-09,0.4992729941376671,0.0005479100124136105,0.4992731797697267,0.49982090415008074,0.24936272769468631,0.001220185181418622,0.9978083174360807,0.4992729941376671,0.07772864550136813,0.23355158017681005,0.23355158017681002,0.08886320169942138,0.26662751567310916,0.2666275156731093,0.07772864550136813,1.1394435428524474e-07,1411,sobol_screened,0.10686318617064139,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,1874,225,0.02402328227584624,0.10686318617064139,0.0006049979207614076,1.1394435428524474e-07,73,59,False,1e-05,1.1391639009872279e-07,True,0.8931368138293586,0.9993950020792386,0.9999998860556457,0.5068131238222122,0.6757768699899316,0.804158422164619,0.18547284323722124,0.5229083551093936,0.5774217611178756,0.16608920693397522,0.3584616994485259,0.5781594997900487,0.9781057294906587,0.971058908175566,0.0027694512867991166,0.5000976383232381,0.49995979994123557,0.4005326716741959,0.10799320521338295,52,1.0524099303133028e-07,True,0,407,0.20147115526474071,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=1.2583105, alpha_p=0.33927066",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999998860556457,0.9999999999999998,nan,3.14220613326778,3.1413400691712168,5,5,polarization_cluster_01_local_minimum_52,max_c_ep_mixing_angles_polarization_01_local_minimum_52,polarization_cluster_member
muon,gradient_local_minimum_0058,gradient,gradient,gradient_local_minimum,0.1056583755,13.684710289168592,3.6992851051478297,1.729005287519293,1.6389796095048967,0.0,0.0,3.141592653589793,0.0,0.08512109182183429,3.1330015419457156,4.92503953571086,2.9453066545546607,3.144500275633888,0.011265167942962466,0.7920440120400356,0.9804126295418779,11.912572316226571,0.9959927120693999,-11.336928403075591,0.006764347941567834,0.0020909473360393865,0.9277731732627568,0.9348741225569235,2.953075055746694,169.19873727964588,0.0031006439022243093,0.29092260047776763,0.0031006439022243093,0.29092260047776763,False,,gradient,50002929,1.4237867825154424,0.1544871652058052,1.0000000000000002,0.17577919269715336,0.09273095340991365,1.0000000000000004,0.15180117349370864,-5.707534297016981e-06,-0.052599697469037025,0.00015559167026147486,0.00015529145568415762,0.999999868184453,0.0001902158797360228,0.00019029622925732583,0.9999999093953148,0.9999999094021542,0.0003473790459491349,0.999746285333966,1.4139298894223575,0.00040111872898682257,4.623963354974646e-08,4.622273841978064e-08,4.827746579122537e-08,0.022117507862019825,0.47795958644622283,0.4997309936756794,0.5000770943082427,0.24969244652155811,-2.7209020093747087,0.9986158108959501,0.022117507862019825,0.07891891242303331,0.23681288666698064,0.2368128866669806,0.08773568973783684,0.26311001902477676,0.26311001902477676,0.07891891242303331,1.318155470331206e-07,50,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44,3011,684,0.044415195270181916,0.9729796485893903,2.1315525263965185e-05,1.318155470331206e-07,108,94,False,1e-05,1.3268325249615742e-07,True,0.02702035141060969,0.999978684474736,0.999999868184453,0.5946004093786535,0.8479054470639582,0.9195596462685012,0.5943839102306427,0.7934881438045256,0.3953798035984489,0.04645046449009628,0.04050208456987902,0.6668386218662625,0.9972653642303815,0.9375202259876554,0.0,0.7838443870313966,0.5004627624209607,0.453205408692476,0.04917479197351632,58,1.2311218577920613e-07,True,0,407,0.28006203030101434,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=1.4237868, alpha_p=0.15448717",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.999999868184453,1.0000000000000004,nan,4.92503953571086,3.144500275633888,6,6,polarization_cluster_01_local_minimum_58,max_c_ep_mixing_angles_polarization_01_local_minimum_58,polarization_cluster_member
muon,gradient_local_minimum_0061,gradient,gradient,gradient_local_minimum,0.1056583755,10.544632315846474,3.2472499620211672,1.4861174185532104,1.4069782239783306,0.0,0.0,3.141592653589793,0.0,0.07280706735198773,3.057162341439621,3.1350238391129204,3.109649222985457,3.141336881917621,0.08184888548495595,6.276737836785786,0.9986228261550371,8.781248905165016,0.9952807266483387,-8.35069765710705,0.012093509639639339,0.004653052070851264,0.9214816132309975,0.9139454725521415,3.0916861953611328,177.14057057305183,0.00032831604753626176,0.21560394007658132,0.00032831604753626176,0.21560394007658132,False,,gradient,1167002883,1.0239163416584163,0.6112644130031603,1.0,10.293531509869926,0.8733729592256726,0.9999999999999999,0.015570352963394834,2.627972907487397e-05,-0.12195572856256431,-2.212275470439562e-05,-1.891779119864256e-05,0.9999998613637624,0.00011405736471390763,0.00011408586646809388,0.9999999296455924,0.9999999296472488,0.0003866962837116417,0.99984785973948,1.4138977726117268,0.00044651836723088646,1.2355456327963713e-07,1.2355137370284822e-07,1.235093484631374e-07,0.49802338060706813,0.001886771752713734,0.4980448192961464,0.49991015235978187,0.2480897431162555,-0.013146581362385291,0.9925373267382938,0.49802338060706813,0.07308013258440829,0.21956172558593787,0.21956172558593806,0.09344478428385476,0.28052812205428024,0.28052812205428024,0.07308013258440829,1.3863623760101973e-07,1167,sobol_screened,0.048835091298294886,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,2925,207,0.04627824147354988,0.048835091298294886,0.0011016679527121598,1.3863623760101973e-07,121,107,False,1e-05,1.3860008141186597e-07,True,0.9511649087017051,0.9988983320472878,0.9999998613637624,0.4632042897865176,0.8909115819260478,0.8830939289182425,0.1998074073344469,0.31330437399446964,0.5762283774092793,0.29094639606773853,0.24820110853761435,0.5510556383354432,0.9731249969490168,0.989832090240014,8.351433374984296e-06,0.49895454070575207,0.49995929267407097,0.3259226941750138,0.19457150573123755,61,1.2993287634710526e-07,True,0,407,0.08946546370375237,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=1.0239163, alpha_p=0.61126441",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999998613637624,0.9999999999999999,nan,3.1350238391129204,3.141336881917621,7,7,polarization_cluster_01_local_minimum_61,max_c_ep_mixing_angles_polarization_01_local_minimum_61,polarization_cluster_member
muon,gradient_local_minimum_0062,gradient,gradient,gradient_local_minimum,0.1056583755,10.014397568814102,3.164553296883164,1.4411570215661982,1.3484177676834948,0.0,0.0,3.141592653589793,0.0,0.08487163926432217,3.0428439662442397,6.283017093130653,3.0872649958669887,6.283089170700812,0.09611903187152429,3.1414268545544415,0.9990135482735608,8.24285862666939,0.9939517636192975,-7.75687258250468,0.013838175717148935,0.0056005911587400144,0.9300021256270155,0.9089841456470914,3.099801279138413,177.60553062388507,0.0005087409482262412,0.2435017630306563,0.0005087409482262412,0.2435017630306563,False,,gradient,1232003408,0.44892360462088826,1.071326210431784,1.0,12.397607963999834,0.6893524897189794,1.0,0.011206455657546119,5.165516754224164e-06,0.10110887748743017,0.000445148250050105,0.0004446259704494429,0.9999998536607048,0.00047726586209950245,0.0004776459399440769,0.9999999718523209,0.999999971802056,0.0006875070134450391,0.9993633686666628,1.4136523844892952,0.0007938646492948204,8.600508545828005e-09,8.137037919647193e-09,1.6737546465475172e-08,0.49881424721309997,0.0012806843536605772,0.49881426116083605,0.5000949315667605,0.24876679537745577,-0.00033486569170656475,0.9948782908000597,0.49881424721309997,0.09169549070052316,0.275213630683995,0.275213630683995,0.07478142686874306,0.2246914377492444,0.22469143774924455,0.09169549070052316,1.463392952372189e-07,1232,sobol_screened,0.06629150760768043,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,3506,333,0.04793308270177032,0.06629150760768043,0.0012389696382636428,1.463392952372189e-07,142,128,False,1e-05,1.4961936212198879e-07,True,0.9337084923923196,0.9987610303617364,0.9999998536607048,0.3949588304385543,0.9595367647707462,0.6215314520522952,0.16727092303335667,0.20922390464693308,0.8620646977797151,0.29883820470422506,0.15958855487406254,0.5298739519924319,0.9685673165702382,0.9827069694536221,0.010721064921338232,0.9999732279026147,0.9999846994041917,0.14289682149209199,0.3410137241082529,62,1.3763593398330443e-07,True,0,407,0.14592800537314124,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",CEP alpha_e boundary regions,C_e_p,C_{mup},mixing_angles,"alpha_e=0.4489236, alpha_p=1.0713262",lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,0.9999998536607048,1.0,nan,6.283017093130653,6.283089170700812,8,8,polarization_cluster_01_local_minimum_62,max_c_ep_mixing_angles_polarization_01_local_minimum_62,polarization_cluster_member
