canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out,helicity_mechanism,full_chain_flip_to_conserving_ratio,helicity_flip_fraction,helicity_conserving_fraction,full_chain_longitudinal_to_transverse_ratio,virtual_photon_transverse_fraction,virtual_photon_longitudinal_fraction,helicity_interference_relative,virtual_photon_interference_relative
1,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_8,dGHZ,2.427600643016904e-08,1.0,2.332037019127289,2.33202984376754,4.998351692112615,1.672123357219725,3.141592653589793,3.141592653589793,4.054730027679435,1.2574048429190714,helicity_flipping,1.3102823310254647e+24,1.0,7.631942950931584e-25,2.3268162348174934e-29,1.0,2.3268162348174934e-29,-7.616402949041527e-15,2.303396724466145e-19
2,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_9,dGHZ,2.4308350027689875e-08,1.0,2.3800639984753986,2.3800831418079946,4.944170963609132,1.4326008822045726,3.141592653589793,3.141592653589793,3.1492824059465576,4.992480569844177,helicity_flipping,9.51551691204863e+23,1.0,1.050915057209127e-24,6.681785584176534e-29,1.0,6.681785584176534e-29,1.001736178731135e-14,-1.3829017152597055e-19
3,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_18,dGHZ,2.5161189511475634e-08,0.9999999999999997,2.5703728830969723,2.5703846646631447,5.0,0.8590977117487878,3.141592653589793,3.141592653589793,0.5298035916835999,5.041780648294497,helicity_flipping,1.8947284046588057e+23,1.0,5.277801280337461e-24,3.996053140033667e-29,1.0,3.996053140033667e-29,3.086970530174332e-13,9.56732066830737e-19
4,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_22,dGHZ,2.5660527037544512e-08,0.9999999999999993,2.4937433512705987,2.21865300374564,4.9891421341149425,0.2089572342473751,3.141592653589793,0.0,1.8755718744782974,0.06069643895480126,helicity_flipping,1.2301750510784128e+22,1.0,8.128924408955996e-23,1.3794072416699177e-25,1.0,1.3794072416699177e-25,-5.05495347614974e-13,-5.05501311947755e-13
5,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_29,dGHZ,2.6036820078558334e-08,1.0,2.361684548055205,2.3617041233968545,4.9999404671507275,1.9613624671146654,3.1409533155923084,3.141592653589793,3.1261038533199463,0.3977306883138638,helicity_flipping,5.165034704975565e+16,1.0,1.936095412944047e-17,4.1737759726821265e-12,0.9999999999958262,4.1737759726647065e-12,5.704583025624628e-11,-3.0797863034674447e-08
6,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_30,dGHZ,2.6235789493360746e-08,1.0,2.354784371886007,2.3547912970497795,4.999861830694263,2.036545266584997,0.008509504038679425,3.141592653589793,1.7409808635024342,1.5896979026076599,helicity_flipping,3.746433222310501e+16,1.0,2.6692054566590672e-17,8.650879483294008e-12,0.9999999999913491,8.65087948321917e-12,-2.8344008747297593e-12,3.3627031311480933e-09
7,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_39,dGHZ,2.6442060626521577e-08,1.0,2.4732875492575075,2.473293288182312,5.0,2.0320719964985305,0.009817477042468103,3.141592653589793,0.019634954084936207,3.4540770921477733,helicity_flipping,7.262751949935516e+17,1.0,1.3768885498132409e-18,4.274357386666821e-13,0.9999999999995726,4.2743573866649946e-13,-3.114141825264681e-10,2.1457684211275018e-07
8,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_50,dGHZ,2.6832682687639853e-08,1.0000000000000002,2.2455923768472754,2.2455941512867947,4.999735567719616,2.0698154722382633,7.882905049226195e-06,3.141592653589793,2.993887672655685,4.741824418905438,helicity_flipping,7.629346814218136e+20,1.0,1.3107281977749245e-21,4.977122077414279e-16,0.9999999999999994,4.977122077414277e-16,-8.864362693347723e-12,6.846987373906024e-09
9,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_59,dGHZ,2.725988154011086e-08,0.9999999999999997,2.410585475994226,2.410585232103571,5.0,2.068973807909614,0.0008341897097653881,3.141592653589793,0.0772728368209946,3.20129017400325,helicity_flipping,7.583012431697616e+16,1.0,1.318737123283509e-17,5.058658085884671e-12,0.9999999999949413,5.058658085859081e-12,-4.4710818675173936e-10,3.449886518809773e-07
10,GHZ,electron,2,4,dghz_mixing_angles_polarization_04_local_minimum_63,dGHZ,2.757179823234864e-08,0.9999999999999998,2.461208306592293,2.461193011513327,5.0,2.0573495762902976,0.0013235156985368507,3.141592653589793,6.283128908317929,2.7856326938949962,helicity_flipping,6.230987488638429e+16,1.0,1.6048820541260886e-17,5.730548091573377e-12,0.9999999999942695,5.7305480915405375e-12,-9.49225562392681e-10,7.0661440386708e-07
