detail_id,polarization_cluster_number,abs_t_GeV2,t_GeV2,sqrt_s_GeV,theta_gamma_out_rad,theta_p_out_rad,geometry_class,lepton_mass_GeV,k_dot_qout_GeV2,kp_dot_qout_GeV2,collinearity_rho,transverse_flip_abs2_sum,transverse_conserving_abs2_sum,transverse_flip_to_conserving_ratio,transverse_flip_to_conserving_amplitude_ratio,all_flip_abs2_sum,all_conserving_abs2_sum,all_flip_to_conserving_ratio,all_flip_to_conserving_amplitude_ratio,maximum_flip_to_conserving_amplitude_ratio,full_chain_flip_norm2,full_chain_conserving_norm2,full_chain_flip_to_conserving_ratio,full_chain_flip_to_conserving_amplitude_ratio,full_chain_flip_conserving_interference,full_chain_transverse_norm2,full_chain_longitudinal_norm2,full_chain_longitudinal_to_transverse_ratio,full_chain_longitudinal_transverse_interference,dGHZ,alpha_e,alpha_p
dghz_mixing_angles_polarization_01_local_minimum_367,1,4.387103198934901e-15,-4.387103198934901e-15,2.2500721432122983,3.141592653589793,0.0,backward_endpoint,0.00051099895,6.9298118410277e-08,1.4768670605902479e-07,0.5307761780779235,4.767201175532812e-25,20.803223764096803,2.2915684749592878e-26,1.5137927450477783e-13,5.60788521687696e-14,20.803223764096803,2.695680861999531e-15,5.1919946667918785e-08,5.735147391637035e-08,5127186170607118.0,6673987556832890.0,0.768234301749313,0.8764897613488208,0.008355190390245409,6673987556832890.0,5127186170607118.0,0.768234301749313,0.0,0.01717982892124228,6.116947909970133e-06,0.0
dghz_mixing_angles_polarization_03_local_minimum_188,3,0.004578049018508355,-0.004578049018508355,3.3176168045393437,3.110383590142146,0.00041726120429037,noncollinear,0.00051099895,0.0011238134816045076,0.3500006488210252,8607.642434199552,0.28517482815509754,2524.0579016268184,0.00011298268077419905,0.010629331153661506,0.28524170186269726,2524.1635653269477,0.00011300444463302866,0.010630354868631087,0.010623325601617009,244.74691535667287,2103374.216013576,0.00011635918777236413,0.010786991599716954,-33.040002121821445,2091877.1189157981,8616.104659126919,0.004118838808080932,3092.6993518855666,1.117192745913218e-05,2.376497380530403,0.8471757520225358
dghz_mixing_angles_polarization_01_local_minimum_253,1,0.006481542754731446,-0.006481542754731446,1.552217157591664,3.1238126831811552,0.0021316243076119463,noncollinear,0.00051099895,3.6492062327087016e-05,0.05963851460682381,279.50423209874856,44.28446094199822,14523.23158510663,0.003049215367977146,0.05521970090445208,44.293883481043224,14524.367639712025,0.0030496256071029498,0.055223415387885506,0.055292566545186016,30618.888464514148,6126496.762872209,0.004997780893327279,0.07069498492345322,-13989.202863836199,6294625.851585839,46001.84879503669,0.007308114871267082,-197501.25190798775,0.00014186704505053308,1.0645581577471583,0.5525054470049134
dghz_mixing_angles_polarization_01_local_minimum_351,1,0.008393155984971265,-0.008393155984971265,0.9854365488975,0.0542553885505082,3.104964634111231,noncollinear,0.00051099895,0.00419952998525044,4.5896411386680264e-05,351.5351120947826,48.95516294002286,694.256474880221,0.07051452123434501,0.2655457046053372,48.97110215900169,694.4747900032378,0.07051530575900873,0.26554718179451414,0.2655401231145406,21989.836316023273,311666.9077179147,0.07055556997384516,0.26562298464900425,382.7862472558717,329651.61267618666,5542.251209923692,0.016812449861629487,-1154.333604916494,0.0008799760388717249,0.764484363637296,0.7341405591193807
dghz_mixing_angles_polarization_03_local_minimum_189,3,0.009848871455456099,-0.009848871455456099,2.875093066077601,3.0958201354611328,0.001268948919241502,noncollinear,0.00051099895,0.001698826086109717,0.36565164597803623,13011.845601145073,0.12891996231401276,1768.8121021578486,7.28850521526497e-05,0.00853727428121234,0.12901345061085995,1769.0304109924418,7.292890490134777e-05,0.008539842205881077,0.00853413462520063,50.49712069231807,650038.555721111,7.76832700889562e-05,0.008813811325922299,-10.374545841816742,643398.9408139719,3718.8115446818006,0.005779946637737834,2960.925937307743,1.2524096603963146e-05,2.4349155119476893,0.9085247140576362
dghz_mixing_angles_polarization_04_local_minimum_221,4,0.012364724119789654,-0.012364724119789654,1.6081096458826236,3.121414755120749,0.0031836855155212246,noncollinear,0.00051099895,5.3661106161562167e-05,0.0891244759214966,411.0073620071589,30.176057551920266,15223.851367142897,0.0019821566057225304,0.04452141738222774,30.184402007667494,15225.27457264751,0.001982519386671314,0.04452549142537693,0.04461481744388354,12093.3758742363,2482460.694807717,0.004871527633662298,0.06979632965752781,-10261.339142272403,2563468.1339561176,15221.816569119932,0.005937977682456538,-94397.2189855564,4.541963753940962e-05,1.989915954901995,2.68858581325529
dghz_mixing_angles_polarization_01_local_minimum_219,1,0.013157050075826834,-0.013157050075826834,4.15064841310128,3.129673488408723,0.00016274976178832652,noncollinear,0.00051099895,0.00027361422710381333,0.9337360529694343,2095.697791823011,12.9246739553198,27675.08278430505,0.0004670148254316903,0.02161052580183301,12.924921569652923,27675.195713534442,0.0004670218669251196,0.021610688719361067,0.02161101714712612,3720.6989225357547,7124527.90759239,0.0005222379602963897,0.022852526343850686,-453.997512219469,7129481.190745507,1057.5890453944805,0.00014834025325255004,-2744.170788195193,4.261091652052104e-05,0.9072995212982067,0.6671835434796719
dghz_mixing_angles_polarization_04_local_minimum_235,4,0.014484852961137865,-0.014484852961137865,1.6636313630807509,3.1199994661636525,0.003345975281363643,noncollinear,0.00051099895,7.033802908484876e-05,0.10633970669395859,538.7411824107077,20.976702665904668,13830.555610881356,0.0015166926952233932,0.038944738992878015,20.983100445392733,13831.920275273764,0.0015170055948704802,0.03894875601184818,0.039023665843267524,7269.024023904308,1789923.7129636211,0.004061080352898842,0.0637266063187021,-7026.59725738193,1845670.4834923756,10484.588094762612,0.005680639197807231,-65988.93185699442,6.629467428488071e-05,2.7359514290813105,2.003102728744181
dghz_mixing_angles_polarization_04_local_minimum_238,4,0.014938682347620028,-0.014938682347620028,2.7528445183054133,3.1278123584319615,0.0005683254276180915,noncollinear,0.00051099895,0.00013805344643258444,0.40142237473639764,1057.394953123369,21.575347466124704,24121.227252570778,0.0008944547986804967,0.029907437180081087,21.576501031014217,24121.536339727976,0.0008944911603942032,0.029908045078109055,0.029912371508781857,5899.95698773263,4795135.101739121,0.0012304047461755162,0.03507712568292214,-1988.5643030534447,4810267.907025224,2224.1786293002424,0.0004623814457510588,-13445.591230725075,7.246262501793174e-05,2.568397494727353,2.159018567330126
dghz_mixing_angles_polarization_01_local_minimum_249,1,0.01616421247529252,-0.01616421247529252,1.790673283784102,3.1225942652038445,0.002512602060595143,noncollinear,0.00051099895,7.207611343118536e-05,0.13926639698330812,552.053719427424,26.42361304936331,17326.413006200863,0.0015250480892904203,0.039051864094949686,26.429180218602998,17327.52658807815,0.0015252713700515718,0.03905472276244669,0.03911045963781166,8027.103597660483,2108570.798398492,0.003806893087847585,0.06170002502307098,-6847.699813149218,2154415.134444327,6801.593698419567,0.0031570487923507154,-51466.52595974383,0.00013287056314536112,1.1524666903498562,0.44527807541624187
