geometry_class,configuration_count,abs_t_min_GeV2,abs_t_max_GeV2,ratio_median,ratio_q10,ratio_q90,full_chain_ratio_median,full_chain_flip_dominated_count,full_chain_conserving_dominated_count,full_chain_longitudinal_to_transverse_ratio_median,collinearity_rho_median
noncollinear,59,0.004578049018508355,23.257106109389834,0.000200404816984327,4.7541581344909526e-05,0.003585466709607111,0.0020831435169401374,0,59,0.000565405869037775,4068.0580797821995
backward_endpoint,130,4.387103198934901e-15,22.066886043837396,3.981093587486595e+18,3.543488015969203e+16,8.044305591392015e+23,3.8347947699188634e+18,129,1,1.2122937568940066e-13,0.8411455125424151
forward_endpoint,46,12.055367954527734,23.271276463731336,5.094624299151406e+23,3.932553097672489e+21,1.7624887574747378e+24,5.105610886584183e+23,45,1,5.992442091657443e-28,0.9352246075228288
all,235,4.387103198934901e-15,23.271276463731336,9.213968135880168e+17,0.00015175896031651044,1.359365351409642e+24,7.578775809919569e+17,174,61,3.299885206950821e-13,0.846240743762432
