detail_id,selected_observable,selected_region,incoming_state,alpha_e,alpha_p,final_state_order,final_ket,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction,decomposition_rank,retained_fraction_total
max_c_ep_mixing_angles_polarization_01_local_minimum_11,C_e_p,polarization_cluster_01_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0623403017370778e+00,5.5406432529851180e-01,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,1.6227739367142688e+03,-5.6416385740474851e-10,1.6227739367142688e+03,-3.4765400444318579e-13,2.6333952496791254e+06,2.7614079018486848e-01,1,9.9999999645189364e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_11,C_e_p,polarization_cluster_01_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0623403017370778e+00,5.5406432529851180e-01,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.6221705312511847e+03,8.0310612381239765e-02,1.6221705332391984e+03,4.9508119379829170e-05,2.6314372389095449e+06,2.7593547097151894e-01,2,9.9999999645189364e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_11,C_e_p,polarization_cluster_01_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0623403017370778e+00,5.5406432529851180e-01,p_gamma_lepton,|+1+1+1>,7,1,1,1,1.4618042360058716e+03,-1.6361164473642502e-09,1.4618042360058716e+03,-1.1192445657666560e-12,2.1368716244047103e+06,2.2407476392259765e-01,3,9.9999999645189364e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_11,C_e_p,polarization_cluster_01_local_minimum_11,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,1.0623403017370778e+00,5.5406432529851180e-01,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,1.4610675448049831e+03,2.7694412916184376e-02,1.4610675450674557e+03,1.8954916226384416e-05,2.1347183712494411e+06,2.2384897137290860e-01,4,9.9999999645189364e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_12,C_e_p,polarization_cluster_01_local_minimum_12,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.9433448454104492e-01,1.1494021094779687e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,2.5556557183277200e+03,2.3422363485321015e-09,2.5556557183277200e+03,9.1649134573757510e-13,6.5313761506211748e+06,2.6865735161314142e-01,1,9.9999998460756900e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_12,C_e_p,polarization_cluster_01_local_minimum_12,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.9433448454104492e-01,1.1494021094779687e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,2.5546548512995359e+03,-1.6141375145953799e-01,2.5546548563989331e+03,-6.3184171890236796e-05,6.5262614353226516e+06,2.6844696626177472e-01,2,9.9999998460756900e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_12,C_e_p,polarization_cluster_01_local_minimum_12,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.9433448454104492e-01,1.1494021094779687e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,2.3725792146631179e+03,1.2561303990706442e-08,2.3725792146631179e+03,5.2943665328746542e-12,5.6291321298514577e+06,2.3154503660648984e-01,3,9.9999998460756900e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_12,C_e_p,polarization_cluster_01_local_minimum_12,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,3.9433448454104492e-01,1.1494021094779687e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,2.3715829900704407e+03,-3.0118615947846410e-02,2.3715829902616911e+03,-1.2699794218600212e-05,5.6244058796985820e+06,2.3135063012616303e-01,4,9.9999998460756900e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_13,C_e_p,polarization_cluster_01_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.4089495526798095e-01,1.0979336166277087e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,-9.2186247349867572e+03,-1.3308217181322370e+01,9.2186343410048648e+03,-3.1401490317569354e+00,8.4983219113154158e+07,2.7090576720993614e-01,1,9.9999803206453697e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_13,C_e_p,polarization_cluster_01_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.4089495526798095e-01,1.0979336166277087e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,-9.2155062336252468e+03,1.3271758335652645e+01,9.2155157903155432e+03,3.1401524994817289e+00,8.4925731281555071e+07,2.7072251002943498e-01,2,9.9999803206453697e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_13,C_e_p,polarization_cluster_01_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.4089495526798095e-01,1.0979336166277087e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,-8.4804174925951556e+03,1.2208628703093241e+01,8.4804262805196722e+03,3.1401530286798707e+00,7.1917629899328694e+07,2.2925585671044807e-01,3,9.9999803206453697e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_13,C_e_p,polarization_cluster_01_local_minimum_13,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.4089495526798095e-01,1.0979336166277087e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,-8.4777914383018506e+03,-1.2238243930386089e+01,8.4778002716482224e+03,-3.1401490894825077e+00,7.1873097445958674e+07,2.2911389811471775e-01,4,9.9999803206453697e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_17,C_e_p,polarization_cluster_01_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.7451795785257183e-01,1.2801916688183426e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,1.8737501765056783e+02,1.8539101710182397e+03,1.8633551243508118e+03,1.4700682118991093e+00,3.4720923194444287e+06,2.6514040547277218e-01,1,9.9999995983833534e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_17,C_e_p,polarization_cluster_01_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.7451795785257183e-01,1.2801916688183426e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,1.8713696739356348e+02,-1.8529311953646488e+03,1.8623571782342738e+03,-1.4701425262831980e+00,3.4683742593207257e+06,2.6485648215562707e-01,2,9.9999995983833534e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_17,C_e_p,polarization_cluster_01_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.7451795785257183e-01,1.2801916688183426e+00,p_gamma_lepton,|-1-1-1>,0,-1,-1,-1,1.7637782794560849e+02,-1.7458132538499794e+03,1.7547002751208149e+03,-1.4701089321318297e+00,3.0789730555090643e+06,2.3512052366972772e-01,3,9.9999995983833534e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_17,C_e_p,polarization_cluster_01_local_minimum_17,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,2.7451795785257183e-01,1.2801916688183426e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,1.7636504668240670e+02,1.7449217950530754e+03,1.7538120482373629e+03,1.4700650901767189e+00,3.0758567005425342e+06,2.3488254854020837e-01,4,9.9999995983833534e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_22,C_e_p,polarization_cluster_01_local_minimum_22,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.6009410236282644e-01,1.0554077923386134e+00,p_gamma_lepton,|-1+1-1>,1,-1,-1,1,4.7245854476589869e+02,-1.2882474602781282e+00,4.7246030108764654e+02,-2.7266821225470752e-03,2.2321873610382964e+05,2.8093415276795042e-01,1,9.9997670651543435e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_22,C_e_p,polarization_cluster_01_local_minimum_22,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.6009410236282644e-01,1.0554077923386134e+00,p_gamma_lepton,|+1+1+1>,7,1,1,1,4.7229098959650361e+02,1.2829507153918833e+00,4.7229273212339695e+02,2.7164345456773932e-03,2.2306042481658279e+05,2.8073490852827510e-01,2,9.9997670651543435e-01
max_c_ep_mixing_angles_polarization_01_local_minimum_22,C_e_p,polarization_cluster_01_local_minimum_22,cos(alpha_e)|+>+sin(alpha_e)|-> tensor cos(alpha_p)|+>+sin(alpha_p)|->,4.6009410236282644e-01,1.0554077923386134e+00,p_gamma_lepton,|+1-1+1>,6,1,1,-1,4.1732950003957632e+02,1.1358098606162856e+00,4.1733104565479215e+02,2.7216074016743275e-03,1.7416520166732220e+05,2.1919734080614633e-01,3,9.9997670651543435e-01
