detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-9.2686065052057653e-01,9.7267666254917966e+00,9.7708269686994509e+00,1.6657991714244522e+00,9.5469059652264505e+01,6.6559718244452351e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,-9.1974922438797826e+00,2.7152424856012464e-01,9.2014992796709425e+00,3.1120796730083415e+00,8.4667588993784904e+01,5.9029081132567184e-02
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,-1.4491026537840268e-01,1.5204039061172214e+00,1.5272940197449030e+00,1.6658196620108323e+00,2.3326270227485435e+00,1.6262755490527771e-03
c_p_gamma_low_egamma_ty_region_1,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,low_Egamma_Ty_region_1,1,3.7391382967071080e-01,2.6179938779914957e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,-1.4747048771447777e+00,4.3505634671101141e-02,1.4753464728404408e+00,3.1120999594214260e+00,2.1766472149227289e+00,1.5175285675854283e-03
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,8.4087954377404444e+01,-1.0632563572578547e+03,1.0665762351189994e+03,-1.4918752841010274e+00,1.1375848653206192e+06,3.6308098170839026e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,9.0306281267871282e+02,-8.3404610068382382e+01,9.0690615425403689e+02,-9.2096220527906683e-02,8.2247877262384701e+05,2.6250911848621755e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-8.3158137691684800e+01,9.0308231170436306e+02,9.0690293724171249e+02,1.6626199480145476e+00,8.2247293757764553e+05,2.6250725612467624e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,5.8951327016605660e+02,-4.6635388065680239e+01,5.9135501614674297e+02,-7.8943886029240989e-02,3.4970075512191450e+05,1.1161338142279582e-01
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-2.1441840881086971e+01,-1.6957345668131587e+00,2.1508790205191399e+01,-3.0626716099975417e+00,4.6262805609093749e+02,1.4765619154400440e-04
c_p_gamma_mid_egamma_ty_region_0,egamma_region_max,C_p_gamma,C_{p\gamma},Ty,mid_Egamma_Ty_region_0,0,6.1760430871930849e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,-1.6605868856518418e+00,-2.0997413427420884e+01,2.1062975085368016e+01,-1.6497173704066217e+00,4.4364891944683364e+02,1.4159865353098177e-04
