selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,pair_delta_xy,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,longitudinal_polarized_C_e_p,longitudinal_polarized_C_e_gamma,longitudinal_polarized_C_p_gamma,longitudinal_polarized_C_e_rest,longitudinal_polarized_C_p_rest,longitudinal_polarized_C_gamma_rest,Tx_C_e_p,Tx_C_e_gamma,Tx_C_p_gamma,Tx_C_e_rest,Tx_C_p_rest,Tx_C_gamma_rest,Ty_C_e_p,Ty_C_e_gamma,Ty_C_p_gamma,Ty_C_e_rest,Ty_C_p_rest,Ty_C_gamma_rest,double_transverse_C_e_p,double_transverse_C_e_gamma,double_transverse_C_p_gamma,double_transverse_C_e_rest,double_transverse_C_p_rest,double_transverse_C_gamma_rest
C_p_gamma,C_{p\gamma},double_transverse,enhanced_region_0,0,1,9.9993053428939305e-01,0.0000000000000000e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.5707963267948966e+00,8.6083697416155736e-12,3.5599155526882496e-11,-5.2131716285352368e-02,1.1216578749052220e+00,1.1718059455021849e-02,1.8000000000000000e+02,2.2244176384664973e+00,2.1983517803280428e+00,2.2244176384664973e+00,2.1983517803280428e+00,4.4761252481963414e-32,9.8098286406060762e-33,2.3214182863935804e-05,0.0000000000000000e+00,2.3214182289069807e-05,2.3214182289069807e-05,3.5369927406774042e-33,3.6117796039500129e-33,3.4405828159923810e-07,0.0000000000000000e+00,3.4405989758104461e-07,3.4405989758104461e-07,4.4361895865873485e-07,8.6027112325941741e-12,2.3044181380671768e-05,4.7543812196087289e-07,2.3049090894752356e-05,2.3044818018591241e-05,4.4361608660860571e-07,8.2639435941903140e-12,2.3044181380671768e-05,4.7543812196087289e-07,2.3049086077976089e-05,2.3044822836259610e-05,0.0000000000000000e+00,0.0000000000000000e+00,9.9993053428939305e-01,1.1786711147920128e-02,1.0000000000000000e+00,1.0000000000000000e+00
C_p_gamma,C_{p\gamma},double_transverse,enhanced_region_0,0,2,9.9990329154777591e-01,6.5449846949787283e-02,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6987928917049713e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,1.6362461737446838e+00,1.0823221222443172e-03,4.3911425354183336e-03,-5.2033668968350343e-02,1.1252401543823227e+00,1.1944101400686573e-02,1.7710248410511420e+02,2.2220363140098174e+00,2.1965606405872333e+00,2.2220363140098174e+00,2.1965606405872333e+00,1.3107499884216814e-18,4.2519385209604118e-19,9.8394597166414771e-03,0.0000000000000000e+00,9.8394597166607846e-03,9.8394597166382176e-03,-1.6754900279685225e-18,1.7906905571087615e-19,9.8165298088568644e-03,0.0000000000000000e+00,9.8165298071042767e-03,9.8165298167653351e-03,4.9788382788395653e-03,2.7345022800080176e-05,4.9788918627930653e-03,6.9992525261331848e-03,8.5894209557447060e-03,6.9992906251011297e-03,4.9788382202050159e-03,2.7345026648027768e-05,4.9788918124751714e-03,6.9992525261331848e-03,8.5894209557447060e-03,6.9992906251011297e-03,2.8720798764587791e-06,2.7344941959393625e-05,9.9990329154777591e-01,1.3007973508432726e-02,9.9998789957425416e-01,9.9998789994397197e-01
C_p_gamma,C_{p\gamma},double_transverse,enhanced_region_1,1,1,9.9946060913833634e-01,0.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1525279643384914e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5707963267948966e+00,8.4289243074092357e-12,1.2638526686429711e-11,-2.8755869651993121e-01,1.5467670137681351e+00,3.2318424780798813e-02,1.8000000000000000e+02,4.4488352769329946e+00,4.3050559286769827e+00,4.4488352769329946e+00,4.3050559286769827e+00,3.5177989570912612e-22,5.4606766956382303e-17,2.0430827239493826e-06,0.0000000000000000e+00,2.0430356050203183e-06,2.0430356050203183e-06,-1.5255844553343261e-23,-1.8237460036663940e-18,3.0827919882999425e-07,0.0000000000000000e+00,3.0821786959279663e-07,3.0821786959279663e-07,2.1617308726810132e-07,1.0880883895715930e-12,1.8940051392547124e-06,2.6572576910446594e-07,1.9123479398674463e-06,1.9002924537806765e-06,2.1617302645800032e-07,1.0708589789404043e-12,1.8940051392790721e-06,2.6572576910446594e-07,1.9123479398674463e-06,1.9002924537806765e-06,0.0000000000000000e+00,0.0000000000000000e+00,9.9946060913833634e-01,3.2840383380122753e-02,1.0000000000000000e+00,1.0000000000000000e+00
C_p_gamma,C_{p\gamma},double_transverse,enhanced_region_1,1,2,9.9942152306938070e-01,6.5449846949787505e-02,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.1531739133193870e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.5053464798451091e+00,4.4224813050459501e-03,6.5421924201511461e-03,-2.8710415291033836e-01,1.5514152866898998e+00,3.2757984492873926e-02,1.7799156761284959e+02,4.4440726280196348e+00,4.3027317922164876e+00,4.4440726280196348e+00,4.3027317922164876e+00,1.0028837249294301e-19,5.4688852394866681e-17,9.5921720401809796e-03,0.0000000000000000e+00,9.5921720402111273e-03,9.5921720401764051e-03,-2.3753285044010110e-19,-1.7536542239954126e-18,9.5904310479372670e-03,0.0000000000000000e+00,9.5904310896497303e-03,9.5904310258450934e-03,4.9558092732264417e-03,3.9816264986185466e-05,4.9558096885377306e-03,6.8947633051831140e-03,8.4909496353552088e-03,6.8947635633530412e-03,4.9558093251492888e-03,3.9816265645039629e-05,4.9558096628869314e-03,6.8947633051831140e-03,8.4909496353552088e-03,6.8947635633530412e-03,1.6578537279360429e-05,3.9793273930045507e-05,9.9942152306938070e-01,3.3669616817358923e-02,9.9998851107672193e-01,9.9998851173176839e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_0,0,1,9.9237331633978343e-01,2.8797932657906440e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01,1.9277766779915204e+01,3.7897596510346077e-02,4.8638770097145789e-02,3.7897596510346077e-02,4.8638770097145789e-02,1.5856382394153748e-13,1.4176716822961125e-13,9.9237331633978343e-01,0.0000000000000000e+00,9.9237331637197412e-01,9.9237331637197423e-01,-1.0089311132731176e-14,-5.1729450757417170e-14,9.3712532529949677e-01,0.0000000000000000e+00,9.3712532533168624e-01,9.3712532533168835e-01,5.5645068405028986e-01,4.9654060673505362e-01,5.5855910904722283e-01,8.6263928372407217e-01,8.9976787896089261e-01,8.6400083429046692e-01,5.5645068729087899e-01,4.9654060805245170e-01,5.5855910889375504e-01,8.6263928372405208e-01,8.9976787896096933e-01,8.6400083429055918e-01,1.2031204499683442e-02,4.9668628171124263e-01,4.8769626170644886e-01,7.5587743785376760e-01,7.5000072068054868e-01,8.9947407187656747e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_0,0,2,9.9237331366510306e-01,2.8797932657906431e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.4505895925855397e+00,2.1501999227848893e-02,4.7125171058440760e-03,-1.9652054228513601e-05,5.4210838953710860e+00,2.2110592627442030e-01,1.9277766779915300e+01,3.7897596510346521e-02,4.8638770097146344e-02,3.7897596510346521e-02,4.8638770097146344e-02,7.5491915589022172e-14,8.5062177879797331e-14,9.9237331366510306e-01,0.0000000000000000e+00,9.9237331637129045e-01,9.9237331637129045e-01,-2.6516361257780175e-13,-2.1938196085226679e-14,9.3712532291782069e-01,0.0000000000000000e+00,9.3712532533048609e-01,9.3712532533048609e-01,5.5645067315391350e-01,4.9654060552452722e-01,5.5855910896137628e-01,8.6263928372683807e-01,8.9976787896322175e-01,8.6400083428881125e-01,5.5645067943562898e-01,4.9654060494567076e-01,5.5855910463384739e-01,8.6263928372683440e-01,8.9976787896312393e-01,8.6400083428885144e-01,1.2031203158035667e-02,4.9668628713396173e-01,4.8769626030262464e-01,7.5587743785457906e-01,7.5000072068522738e-01,8.9947407187887440e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_1,1,1,9.9037013401765228e-01,3.0761428066400063e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.7778388273344765e+00,7.2380032698381308e-02,4.3389314969470511e-03,-1.6631723249249482e-05,1.7488997830951963e+01,8.0837051093479106e-01,1.9486634141531091e+01,8.5727680475704560e-03,4.4754468535128322e-02,8.5727680475704560e-03,4.4754468535128322e-02,1.5782508196711855e-12,1.3870347766815600e-12,9.9037013401765228e-01,0.0000000000000000e+00,9.9037014233837395e-01,9.9037014233837417e-01,9.8850264643764571e-13,-1.3002876540375867e-12,9.6279215055138245e-01,0.0000000000000000e+00,9.6279215887104208e-01,9.6279215887104641e-01,6.7830165242615392e-01,5.9655124952979055e-01,6.7852394346988543e-01,9.1363636644639301e-01,9.6915053172821108e-01,9.1380139404142247e-01,6.7830167683723208e-01,5.9655123878908356e-01,6.7852394266954719e-01,9.1363636644711144e-01,9.6915053172835386e-01,9.1380139404076366e-01,3.8598611157183188e-02,5.9780313791065942e-01,1.5302399424713825e-01,9.7710051995279379e-01,7.8789160079485376e-01,9.8825700892165758e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_1,1,2,9.9037013320472389e-01,3.0761428066400054e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01,1.9486634141531471e+01,8.5727680475709001e-03,4.4754468535130099e-02,8.5727680475709001e-03,4.4754468535130099e-02,6.6542782493645187e-13,6.0312160282827074e-13,9.9037013320472389e-01,0.0000000000000000e+00,9.9037014233703191e-01,9.9037014233703169e-01,3.5025101420325230e-13,-8.5535469843794724e-13,9.6279214993148554e-01,0.0000000000000000e+00,9.6279215886667269e-01,9.6279215886667247e-01,6.7830165100513229e-01,5.9655123074014926e-01,6.7852394314011844e-01,9.1363636645352098e-01,9.6915053173351906e-01,9.1380139403814820e-01,6.7830165620070115e-01,5.9655124580794738e-01,6.7852394350233647e-01,9.1363636645327428e-01,9.6915053173353505e-01,9.1380139403842930e-01,3.8598616000070925e-02,5.9780313315221356e-01,1.5302399425008534e-01,9.7710051995564684e-01,7.8789160080294607e-01,9.8825700892476664e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_2,2,1,9.8675951929044547e-01,2.9452431127404308e+00,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.5160394395353274e+00,6.8645973580276659e-02,7.4683368092730885e-03,-4.9451545730006837e-05,1.0002799226708669e+01,4.4541583641640581e-01,2.0294457163713783e+01,4.2741561191181443e-02,7.7039822208439857e-02,4.2741561191181443e-02,7.7039822208439857e-02,1.8713500533583766e-14,1.5990355493267617e-14,9.8675951929044547e-01,0.0000000000000000e+00,9.8675951930782324e-01,9.8675951930782313e-01,7.2756095498453375e-16,1.3612418870474414e-14,9.6551536253136172e-01,0.0000000000000000e+00,9.6551536254795778e-01,9.6551536254795767e-01,6.1739952767659712e-01,5.2478459281330769e-01,6.1760430914574349e-01,8.7965756700398323e-01,9.3799448171325961e-01,8.7980130508860810e-01,6.1739951319806197e-01,5.2478459191271964e-01,6.1760430845272452e-01,8.7965756700398667e-01,9.3799448171325273e-01,8.7980130508860344e-01,9.2962309137812650e-03,5.2486699137605919e-01,4.0304280288903865e-01,8.4847984463262383e-01,7.7902258769220678e-01,9.3929501800503690e-01
C_p_gamma,C_{p\gamma},unpolarized,enhanced_region_2,2,2,9.8675950955781688e-01,2.9452431127404317e+00,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01,2.0294457163713691e+01,4.2741561191180555e-02,7.7039822208438968e-02,4.2741561191180555e-02,7.7039822208438968e-02,5.1886631673946068e-14,4.4281905901199772e-14,9.8675950955781688e-01,0.0000000000000000e+00,9.8675951931081574e-01,9.8675951931081574e-01,4.9803912781297757e-14,1.1590178789404074e-14,9.6551535292435753e-01,0.0000000000000000e+00,9.6551536255066817e-01,9.6551536255066817e-01,6.1739953143162773e-01,5.2478459141459455e-01,6.1760430538215771e-01,8.7965756699266406e-01,9.3799448170464628e-01,8.7980130509367505e-01,6.1739951219138101e-01,5.2478459260414023e-01,6.1760430871930849e-01,8.7965756699265174e-01,9.3799448170465083e-01,8.7980130509368970e-01,9.2962265437667967e-03,5.2486698631733453e-01,4.0304280639022799e-01,8.4847984462804460e-01,7.7902258767665178e-01,9.3929501799743254e-01
