selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,pair_delta_xy,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,longitudinal_polarized_C_e_p,longitudinal_polarized_C_e_gamma,longitudinal_polarized_C_p_gamma,longitudinal_polarized_C_e_rest,longitudinal_polarized_C_p_rest,longitudinal_polarized_C_gamma_rest,Tx_C_e_p,Tx_C_e_gamma,Tx_C_p_gamma,Tx_C_e_rest,Tx_C_p_rest,Tx_C_gamma_rest,Ty_C_e_p,Ty_C_e_gamma,Ty_C_p_gamma,Ty_C_e_rest,Ty_C_p_rest,Ty_C_gamma_rest,double_transverse_C_e_p,double_transverse_C_e_gamma,double_transverse_C_p_gamma,double_transverse_C_e_rest,double_transverse_C_p_rest,double_transverse_C_gamma_rest
C_e_p,C_{ep},double_transverse,enhanced_region_0,0,1,9.6844091833626633e-01,3.1415926535897931e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6983517803280428e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,1.5707963267948966e+00,1.9560209902863694e+01,9.8778842619224094e-01,-1.5163506342209407e+01,1.1216578749052237e+00,9.5958634317546632e-01,1.8000000000000000e+02,9.7899466311446304e-13,2.1983517803280428e+00,9.7899466311446304e-13,2.1983517803280428e+00,7.8741549233822367e-14,1.2854470013221210e-12,4.2985349956889596e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-7.1829635654871505e-05,-6.1965147343670347e-08,-6.9204037566976624e-07,-7.2272596566048109e-05,-7.2275919204664569e-05,-8.0197324141741166e-06,2.7528345893617026e-07,1.2886752212340444e-12,4.2985368980316846e-09,2.8312206268310547e-07,2.8312206268310547e-07,6.6640018746250564e-08,2.7528353768059318e-07,1.3982975197309019e-12,4.2985276047662032e-09,2.8390525107469633e-07,2.8351392731726835e-07,6.6640018746250564e-08,9.6844091833626633e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.9999999999999978e-01,9.9999999999999978e-01,2.4924322998224616e-01
C_e_p,C_{ep},double_transverse,enhanced_region_0,0,2,9.6843999410590054e-01,3.1267139991346315e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6987928917049713e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,1.6362461737446838e+00,1.9555691790860088e+01,9.8760693578752146e-01,-1.5167333158601874e+01,1.1252401543823227e+00,9.5954099366361778e-01,1.7710248410511420e+02,2.3813244576584847e-03,2.1965606405872333e+00,2.3813244576584847e-03,2.1965606405872333e+00,1.8860483794871160e-20,4.0945774165055196e-19,2.1208789895397798e-04,0.0000000000000000e+00,2.1208790219551458e-04,2.1208790271898763e-04,1.8860483794871160e-20,4.0945774165055196e-19,-2.6895280611547692e-04,0.0000000000000000e+00,-2.6895280609332234e-04,-2.6895280556984925e-04,2.1208807644249747e-04,5.2994619767641512e-05,2.1208789811463574e-04,2.7352904480405354e-04,3.4203944803417398e-04,2.7352890558425162e-04,2.1208807672432609e-04,5.2994619725399824e-05,2.1208789811463547e-04,2.7352904480405354e-04,3.4203944835876318e-04,2.7352890558425162e-04,9.6843999410590054e-01,5.2994619809704213e-05,6.8309159242146853e-05,9.9999998415239755e-01,9.9999998508160926e-01,2.4924676645955107e-01
C_e_p,C_{ep},double_transverse,enhanced_region_1,1,1,9.6843989911347406e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.7778388273344765e+00,1.5347811466562035e+01,7.6815153224070443e-01,-1.9785742463314410e+01,5.5122198042910719e+00,9.6821996854298875e-01,4.8361955598274555e+00,2.2220363140098174e+00,3.0708156336295422e-03,2.2220363140098174e+00,3.0708156336295422e-03,3.9107389980784105e-19,1.3859848580495981e-16,4.0746924290584381e-04,0.0000000000000000e+00,4.0746924290362304e-04,4.0746924263115511e-04,-1.7387213600282794e-15,-8.0025160278315023e-15,2.1059630149872924e-04,0.0000000000000000e+00,2.1059630011927103e-04,2.1059629871894570e-04,4.0746932833242455e-04,6.7611073434828775e-05,4.0746921034855778e-04,5.1996487472178907e-04,6.5713269161686561e-04,5.1996478461682630e-04,4.0746932773383496e-04,6.7611073136786382e-05,4.0746920179314175e-04,5.1996487472178907e-04,6.5713269161686561e-04,5.1996478461682630e-04,9.6843989911347406e-01,6.7605572012344352e-05,8.7043983253112800e-05,9.9999994633119427e-01,9.9999994783389323e-01,2.4924698954989360e-01
C_e_p,C_{ep},double_transverse,enhanced_region_1,1,2,9.6843989899735317e-01,3.1226349647502598e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2236991430031434e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,5.0000000000000000e-01,4.6469391334349019e+00,1.5347811466562035e+01,7.6815153224070443e-01,-1.9785742463314410e+01,5.5122198042910719e+00,9.6821996854298875e-01,4.8361955598276820e+00,2.2220363140098174e+00,3.0708156336297643e-03,2.2220363140098174e+00,3.0708156336297643e-03,3.0922601567620747e-18,1.2107059502473659e-16,4.0746923967852766e-04,0.0000000000000000e+00,4.0746924290362304e-04,4.0746924263115511e-04,-3.5768587546919732e-15,-3.9250016339225937e-15,2.1059629847649776e-04,-2.1073424255447017e-08,2.1059629899141362e-04,2.1059629815501699e-04,4.0746932768049568e-04,6.7611072858046595e-05,4.0746920738739652e-04,5.1996487429475133e-04,6.5713269127896641e-04,5.1996478504386405e-04,4.0746932750194742e-04,6.7611073668062265e-05,4.0746920799090394e-04,5.1996487429475133e-04,6.5713269127896641e-04,5.1996478504386405e-04,9.6843989899735317e-01,6.7602420048832869e-05,8.7036613112784607e-05,9.9999994633119427e-01,9.9999994783389323e-01,2.4924698954989360e-01
C_e_p,C_{ep},Ty,enhanced_region_0,0,1,6.7830167683723208e-01,2.8669365746383235e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.7778388273344765e+00,7.2380032698381308e-02,4.3389314969470511e-03,-1.6631723249249482e-05,1.7488997830951963e+01,8.0837051093479106e-01,1.9486634141531091e+01,8.5727680475704560e-03,4.4754468535128322e-02,8.5727680475704560e-03,4.4754468535128322e-02,1.5782508196711855e-12,1.3870347766815600e-12,9.9037013401765228e-01,0.0000000000000000e+00,9.9037014233837395e-01,9.9037014233837417e-01,9.8850264643764571e-13,-1.3002876540375867e-12,9.6279215055138245e-01,0.0000000000000000e+00,9.6279215887104208e-01,9.6279215887104641e-01,6.7830165242615392e-01,5.9655124952979055e-01,6.7852394346988543e-01,9.1363636644639301e-01,9.6915053172821108e-01,9.1380139404142247e-01,6.7830167683723208e-01,5.9655123878908356e-01,6.7852394266954719e-01,9.1363636644711144e-01,9.6915053172835386e-01,9.1380139404076366e-01,3.8598611157183188e-02,5.9780313791065942e-01,1.5302399424713825e-01,9.7710051995279379e-01,7.8789160079485376e-01,9.8825700892165758e-01
C_e_p,C_{ep},Ty,enhanced_region_0,0,2,6.7830165620070115e-01,2.8669365746383191e+00,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2139427085718459e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.6469391334349019e+00,7.2380032698384417e-02,4.3389314969472393e-03,-1.6631723249249482e-05,1.7488997830951948e+01,8.0837051093479073e-01,1.9486634141531471e+01,8.5727680475709001e-03,4.4754468535130099e-02,8.5727680475709001e-03,4.4754468535130099e-02,6.6542782493645187e-13,6.0312160282827074e-13,9.9037013320472389e-01,0.0000000000000000e+00,9.9037014233703191e-01,9.9037014233703169e-01,3.5025101420325230e-13,-8.5535469843794724e-13,9.6279214993148554e-01,0.0000000000000000e+00,9.6279215886667269e-01,9.6279215886667247e-01,6.7830165100513229e-01,5.9655123074014926e-01,6.7852394314011844e-01,9.1363636645352098e-01,9.6915053173351906e-01,9.1380139403814820e-01,6.7830165620070115e-01,5.9655124580794738e-01,6.7852394350233647e-01,9.1363636645327428e-01,9.6915053173353505e-01,9.1380139403842930e-01,3.8598616000070925e-02,5.9780313315221356e-01,1.5302399425008534e-01,9.7710051995564684e-01,7.8789160080294607e-01,9.8825700892476664e-01
C_e_p,C_{ep},Ty,enhanced_region_1,1,1,6.1739951319806197e-01,2.9837370970274000e+00,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.5160394395353274e+00,6.8645973580276659e-02,7.4683368092730885e-03,-4.9451545730006837e-05,1.0002799226708669e+01,4.4541583641640581e-01,2.0294457163713783e+01,4.2741561191181443e-02,7.7039822208439857e-02,4.2741561191181443e-02,7.7039822208439857e-02,1.8713500533583766e-14,1.5990355493267617e-14,9.8675951929044547e-01,0.0000000000000000e+00,9.8675951930782324e-01,9.8675951930782313e-01,7.2756095498453375e-16,1.3612418870474414e-14,9.6551536253136172e-01,0.0000000000000000e+00,9.6551536254795778e-01,9.6551536254795767e-01,6.1739952767659712e-01,5.2478459281330769e-01,6.1760430914574349e-01,8.7965756700398323e-01,9.3799448171325961e-01,8.7980130508860810e-01,6.1739951319806197e-01,5.2478459191271964e-01,6.1760430845272452e-01,8.7965756700398667e-01,9.3799448171325273e-01,8.7980130508860344e-01,9.2962309137812650e-03,5.2486699137605919e-01,4.0304280288903865e-01,8.4847984463262383e-01,7.7902258769220678e-01,9.3929501800503690e-01
C_e_p,C_{ep},Ty,enhanced_region_1,1,2,6.1739951219138101e-01,2.9837370970274009e+00,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2063815355333003e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.9087385212340511e+00,6.8645973580275993e-02,7.4683368092730148e-03,-4.9451545730006837e-05,1.0002799226708673e+01,4.4541583641640592e-01,2.0294457163713691e+01,4.2741561191180555e-02,7.7039822208438968e-02,4.2741561191180555e-02,7.7039822208438968e-02,5.1886631673946068e-14,4.4281905901199772e-14,9.8675950955781688e-01,0.0000000000000000e+00,9.8675951931081574e-01,9.8675951931081574e-01,4.9803912781297757e-14,1.1590178789404074e-14,9.6551535292435753e-01,0.0000000000000000e+00,9.6551536255066817e-01,9.6551536255066817e-01,6.1739953143162773e-01,5.2478459141459455e-01,6.1760430538215771e-01,8.7965756699266406e-01,9.3799448170464628e-01,8.7980130509367505e-01,6.1739951219138101e-01,5.2478459260414023e-01,6.1760430871930849e-01,8.7965756699265174e-01,9.3799448170465083e-01,8.7980130509368970e-01,9.2962265437667967e-03,5.2486698631733453e-01,4.0304280639022799e-01,8.4847984462804460e-01,7.7902258767665178e-01,9.3929501799743254e-01
C_e_p,C_{ep},Ty,enhanced_region_2,2,1,5.5645068729087899e-01,3.0669315386478369e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.9741883681838388e+00,2.1501999227848449e-02,4.7125171058439745e-03,-1.9652054228513601e-05,5.4210838953710905e+00,2.2110592627442047e-01,1.9277766779915204e+01,3.7897596510346077e-02,4.8638770097145789e-02,3.7897596510346077e-02,4.8638770097145789e-02,1.5856382394153748e-13,1.4176716822961125e-13,9.9237331633978343e-01,0.0000000000000000e+00,9.9237331637197412e-01,9.9237331637197423e-01,-1.0089311132731176e-14,-5.1729450757417170e-14,9.3712532529949677e-01,0.0000000000000000e+00,9.3712532533168624e-01,9.3712532533168835e-01,5.5645068405028986e-01,4.9654060673505362e-01,5.5855910904722283e-01,8.6263928372407217e-01,8.9976787896089261e-01,8.6400083429046692e-01,5.5645068729087899e-01,4.9654060805245170e-01,5.5855910889375504e-01,8.6263928372405208e-01,8.9976787896096933e-01,8.6400083429055918e-01,1.2031204499683442e-02,4.9668628171124263e-01,4.8769626170644886e-01,7.5587743785376760e-01,7.5000072068054868e-01,8.9947407187656747e-01
C_e_p,C_{ep},Ty,enhanced_region_2,2,2,5.5645067943562898e-01,3.0669315386478360e+00,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2130332206340100e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0000000000000000e-01,4.4505895925855397e+00,2.1501999227848893e-02,4.7125171058440760e-03,-1.9652054228513601e-05,5.4210838953710860e+00,2.2110592627442030e-01,1.9277766779915300e+01,3.7897596510346521e-02,4.8638770097146344e-02,3.7897596510346521e-02,4.8638770097146344e-02,7.5491915589022172e-14,8.5062177879797331e-14,9.9237331366510306e-01,0.0000000000000000e+00,9.9237331637129045e-01,9.9237331637129045e-01,-2.6516361257780175e-13,-2.1938196085226679e-14,9.3712532291782069e-01,0.0000000000000000e+00,9.3712532533048609e-01,9.3712532533048609e-01,5.5645067315391350e-01,4.9654060552452722e-01,5.5855910896137628e-01,8.6263928372683807e-01,8.9976787896322175e-01,8.6400083428881125e-01,5.5645067943562898e-01,4.9654060494567076e-01,5.5855910463384739e-01,8.6263928372683440e-01,8.9976787896312393e-01,8.6400083428885144e-01,1.2031203158035667e-02,4.9668628713396173e-01,4.8769626030262464e-01,7.5587743785457906e-01,7.5000072068522738e-01,8.9947407187887440e-01
