detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
c_e_gamma_low_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,low_Egamma_Ty_region_0,0,6.2338501064657437e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,1.1236001930447946e+01,-3.9840686030205677e+02,3.9856526952950082e+02,-1.5426014698814181e+00,1.5885427407512363e+05,5.4781962805046753e-03
c_e_gamma_low_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,low_Egamma_Ty_region_0,0,6.2338501064657437e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,9.8771433904202774e-03,6.3114533998260308e-02,6.3882723512484030e-02,1.4155599008131852e+00,4.0810023633724782e-03,1.4073610608163612e-10
c_e_gamma_low_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,low_Egamma_Ty_region_0,0,6.2338501064657437e-01,2.5275272616796673e-01,high_s_high_theta_in_low_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,1.0725632731460235e-03,3.0248785283519732e-05,1.0729897315039133e-03,2.8194858235011069e-02,1.1513069639128400e-06,3.9703593523985212e-14
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-3.0364607933126849e+03,-2.9515793654093267e+02,3.0507724197042626e+03,-3.0446924896580465e+00,9.3072123568282016e+06,3.5498381578904764e-01
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,-2.9391745324612225e+02,-3.0365267373614424e+03,3.0507182918181111e+03,-1.6672896868487086e+00,9.3068820960336141e+06,3.5497121940330151e-01
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-1.2707111309590921e+02,-2.3921806189319059e+03,2.3955532098821909e+03,-1.6238658135129476e+00,5.7386751813768707e+06,2.1887722503339346e-01
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,1.3210178157465061e+03,7.0217078917009104e+01,1.3228826507635920e+03,5.3103797165898317e-02,1.7500185076913077e+06,6.6746972535332072e-02
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-2.4151654417878652e+02,1.2829205015328711e+01,2.4185704375392723e+02,3.0885231677449192e+00,5.8494829613389069e+04,2.2310351396309419e-03
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,1.2709894443570976e+01,-2.3927045983985786e+02,2.3960779279636077e+02,-1.5177268409588072e+00,5.7411894368743771e+04,2.1897312055787011e-03
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,1.6273028959684941e-02,1.5220654652854310e-01,1.5307398302019942e-01,1.4642868008903940e+00,2.3431644277668300e-02,8.9369987242162073e-10
c_e_gamma_mid_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,mid_Egamma_Ty_region_0,0,7.0554953981945168e-01,2.3705891031399595e-01,high_s_high_theta_in_mid_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,6.4449798804457504e-04,3.4235322597622552e-05,6.4540662679187649e-04,5.3069485729772041e-02,4.1654971390686854e-07,1.5887507584374953e-14
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",7,1,1,1,-1.2565601727494160e+02,2.9792753612064990e+02,3.2334231312391142e+02,1.9699254506532113e+00,1.0455025145632158e+05,4.2894230301774799e-01
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",2,-1,1,-1,3.0430037136321221e+02,-4.2054249935398346e+01,3.0719257144243869e+02,-1.3732991073502757e-01,9.4367275949417832e+04,3.8716422114169041e-01
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",5,1,-1,1,-5.2505378089169305e+01,1.2448726545752162e+02,1.3510697239364842e+02,1.9699305769950386e+00,1.8253893989378077e+04,7.4890946867944910e-02
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",0,-1,-1,-1,1.3372338865015905e+02,-1.8479846731198442e+01,1.3499425694187912e+02,-1.3732478439320009e-01,1.8223449407290071e+04,7.4766040720199323e-02
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",6,1,1,-1,2.4370020641218858e+01,-5.7781325964695540e+01,6.2710282540360417e+01,-1.1716707088365876e+00,3.9325795362918316e+03,1.6134344007792352e-02
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",3,-1,1,1,-5.5280391383769079e+01,7.6395668111398036e+00,5.5805776158069506e+01,3.0042657981968577e+00,3.1142846526045587e+03,1.2777094387947120e-02
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",4,1,-1,-1,9.9092986766794748e+00,-2.3494602194853044e+01,2.5498833945065705e+01,-1.1716654078573632e+00,6.5019053255803487e+02,2.6675614888625535e-03
c_e_gamma_high_egamma_ty_region_0,egamma_region_max,C_e_gamma,C_{e\gamma},Ty,high_Egamma_Ty_region_0,0,9.3065251200613086e-01,3.4010592590125643e-01,high_s_high_theta_in_high_Egamma,"$[A(h_e=+1,h_p=+1) + i A(h_e=-1,h_p=+1)]/\sqrt{2}$",1,-1,-1,1,-2.5211057768693905e+01,3.4839459860916353e+00,2.5450644656873141e+01,3.0042711932333042e+00,6.4773531345042534e+02,2.6574883678153870e-03
