lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_p,optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_e_p_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
muon,gradient_local_minimum_0000,gradient,gradient,gradient,0.1056583755,13.84361307815018,3.720700616570779,1.7404099359360856,1.6490216485946405,0.0,0.0,3.141592653589793,0.0,0.08576499357521888,3.128717971666803,4.027993534819225,3.0804337512503297,0.00015210470698080153,0.010590557899728252,1.1093117641646086,0.9975500869776246,12.075230643402186,0.9964309361751879,-11.48137831968143,0.0065985314528256,0.002020631679865038,0.9230956367176035,0.9356019054954636,3.07503850553997,176.1867282076563,0.000553884255866055,0.2974800461162629,0.000553884255866055,0.2974800461162629,False,,gradient,1646000589,1.9488101506885522,0.4040630775021945,1.0,2.872985017835683,0.5207987396389675,1.0,0.04350087993198535,8.886023277587807e-06,-0.07102667836685264,3.879972427879574e-06,4.511117145177169e-06,0.9999999912966387,2.707402638093196e-05,2.7163882287341917e-05,0.9999999952532397,0.9999999952534656,9.88241932175942e-05,0.9999638385747162,1.4141328694252604,0.00011411234843243606,7.180198856047837e-09,7.175777120373691e-09,8.295341759712425e-09,0.29927701877361185,0.20072393871484212,0.4993697268606412,0.500000957488454,0.2493692481164142,-1.3718824729112389,0.9974750823239079,0.29927701877361185,0.0777296240237004,0.23224075800547708,0.2322407580054771,0.0889584273453507,0.26775828450606903,0.26775828450606914,0.0777296240237004,8.703361253914466e-09,1646,sobol_screened,0.14484880908168085,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,775,396,0.0018072097969595068,0.14484880908168085,1.2808273663900138e-08,8.703361253914466e-09,17,3,False,1e-05,8.684323704599706e-09,True,0.8551511909183191,0.9999999871917263,0.9999999912966387,0.7099930858239532,0.8796557430177927,0.9374909279868007,0.2979578161612153,0.7177733480930328,0.08595119044184685,0.6364000104367733,0.21978419739753008,0.6723239294669874,0.9959018614624405,0.9805325167571998,4.062302334942125e-05,0.6410750818086761,2.4208215983538884e-05,0.620325537259489,0.12861727221079572,0,0.0,True,2,329,0.13772878232343702,True,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0001,gradient,gradient,gradient,0.1056583755,15.28912143856968,3.9101306165612533,1.840955035172444,1.741259949178584,0.0,0.0,3.141592653589793,0.0,0.09410859395457659,3.106385786641026,3.1301629170302787,3.106527163989499,0.0002473098491743007,0.031606303316379064,6.271091260566549,0.9975319979944645,13.510326606264163,0.9966555460488782,-12.820492324137737,0.005301089830890306,0.001494477332672,0.9251802903346054,0.9414888044014335,3.0749221270598888,176.1800602119215,0.00039160827438988743,0.345308749337535,0.00039160827438988743,0.345308749337535,False,,gradient,146003153,2.05966205992548,0.5362796552348866,1.0,1.9384759885658949,0.7650962657227598,0.9999999999999998,0.010568189337962506,-2.5313925035463924e-05,-0.10013957473454996,-0.0001279470510786515,-0.00013048197676656515,0.9999999875629181,0.0001195667627785202,0.00011955515632554592,0.9999999962146917,0.9999999962133006,0.00018602234236892085,0.9998405828294761,1.4140616852387595,0.00021480009714153577,3.0073363893472403e-09,3.0073295277567296e-09,6.014665695059358e-09,0.0013219241986425212,0.4986052403100929,0.4986697430557583,0.4999271645087354,0.2487061608013906,3.1188170333079497,0.9949695814020719,0.0013219241986425212,0.07642367008202454,0.2250096809386526,0.2250096809386526,0.09031665587109203,0.27506315455261193,0.27506315455261193,0.07642367008202454,1.2437081919891568e-08,146,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,3292,180,0.05102112500695329,0.8525330112475327,0.001305377433504895,1.2437081919891568e-08,142,128,False,1e-05,1.2531622739508919e-08,True,0.14746698875246736,0.9986946225664951,0.9999999875629181,0.32174608378818903,0.3413302390290034,0.3374045238161522,0.23312854672223543,0.6360574148531501,0.5500279351137439,0.800876231298683,0.4500668386551666,0.7208439857118053,0.98879330618865,0.9888383079963515,0.001924319492122902,0.49818090092831513,3.936058497140104e-05,0.6556107958719514,0.17070311602049926,1,3.733720665977103e-09,True,2,329,0.09448813379813084,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0002,gradient,gradient,gradient,0.1056583755,13.728165254093122,3.705153877248976,1.7321314583094338,1.6411919600283822,0.0,0.0,3.141592653589793,0.0,0.08530687014306339,3.1394278539965867,4.20157003915678,3.06785404557785,3.141927513362611,0.00498201788800719,0.3689270484666352,0.9973582209704978,11.96053328884645,0.9963972649939332,-11.372981940775722,0.00672241532525926,0.0020731011608357166,0.9230904374249529,0.9350808127501963,3.072478176897335,176.04003218226683,0.0006761879184627728,0.29445186195383716,0.0006761879184627728,0.29445186195383716,False,,gradient,512001712,2.806451166969858,1.9268510090713744,1.0,2.3667800029504233,0.42676095940695136,1.0000000000000002,0.22494738373135456,1.8166161410371195e-05,0.0653603988563844,5.753482133898785e-05,5.634747378351653e-05,0.9999999846895194,2.0339743435991038e-05,2.0173957601673817e-05,0.9999999900787184,0.9999999900786971,0.00011606531193529283,0.999972985807945,1.4141187880825388,0.00013402067662339438,1.0364692677874002e-08,1.0371366643037665e-08,1.2650462906280755e-08,0.11986665487870315,0.3801620713715438,0.49949389011175704,0.500028726250247,0.24947952698663353,2.1196116636335973,0.9978607783496731,0.11986665487870315,0.08877187251429212,0.2663211826318607,0.2663211826318607,0.07789446946040998,0.23365009111789248,0.23365009111789256,0.08877187251429212,1.531048055003481e-08,512,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,1784,405,0.048799097270022386,0.9635217335518124,0.0012534035308729985,1.531048055003481e-08,64,50,False,1e-05,1.5232063610426394e-08,True,0.03647826644818766,0.998746596469127,0.9999999846895194,0.5573045648359009,0.7320678492289052,0.3023769023628522,0.763115374486877,0.8243868495216934,0.7439363809390357,0.9553660911139255,0.6388554240385477,0.6683418322999317,0.9993109228878758,0.9765282720763673,1.691006569080294e-05,0.6687006404786099,0.5000532945880866,0.893321151538542,0.6133357253906314,2,6.607119296120345e-09,True,3,373,0.18742236895846975,True,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0003,gradient,gradient,gradient,0.1056583755,14.127758310753444,3.758691036884176,1.7606217575273453,1.6682402105656111,0.0,0.0,3.141592653589793,0.0,0.08672258093345867,3.141523629121627,0.03231656319915771,3.1127057474580138,3.1414515284827957,0.001361715843927431,6.281480467653296,0.9995808073820937,12.35905371502346,0.9965550680177891,-11.750527011594842,0.006304286023611204,0.001897578091836631,0.9225672782002041,0.9369200456150261,3.114067461554807,178.4229226661082,0.00033839683698014267,0.3046017485512335,0.00033839683698014267,0.3046017485512335,False,,gradient,594001385,2.60668644155465,0.9835364498773267,1.0,2.6088244052244756,0.8511052832949765,1.0000000000000002,0.01747588265750923,9.230437074347897e-06,0.11577370411873229,4.1698335700002254e-05,4.062969380927012e-05,0.9999999836455313,1.7791795676054537e-05,1.7714848773836842e-05,0.9999999900467351,0.9999999900467846,0.00011567419775087215,0.9999763234871039,1.4141191065990115,0.00013356905686661867,1.2485859474104151e-08,1.2488690632296512e-08,1.2750156164849493e-08,0.00219979703987766,0.49782104722942694,0.49833955014692727,0.5000208442693046,0.24832912801227497,-3.0769599439919606,0.993275103861583,0.00219979703987766,0.09298500795360969,0.27893069114965513,0.278930691149655,0.07367819983079739,0.22104846458104038,0.22104846458104038,0.09298500795360969,1.6354468668211553e-08,594,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,1470,297,0.048831803660827754,0.9184754360269034,0.0012536077926824651,1.6354468668211553e-08,54,40,False,1e-05,1.638477187260179e-08,True,0.08152456397309657,0.9987463922073175,0.9999999836455313,0.3103738386749976,0.20226861688304318,0.2985427122928866,0.4026253262832552,0.3440621918767535,0.19718656355911615,0.5886408468534491,0.27552344317652394,0.682054686635667,0.9999780288293941,0.9908050121969915,0.0,0.005143340776887584,0.49997753924162697,0.829734064528091,0.3130693754180614,3,7.651107414297087e-09,True,2,329,0.1594162806262502,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0004,gradient,gradient,gradient,0.1056583755,14.159860077473565,3.762958952403489,1.7628908479182408,1.6703501429761185,0.0,0.0,3.141592653589793,0.0,0.08689123436219781,3.141592653589793,2.8333109578887323,3.1070679803722645,0.0004241675059473203,0.0017068691074201012,3.142016821095761,0.9994040826652636,12.39094297843862,0.996556887925874,-11.780549809370926,0.006272639312961943,0.0018844578561277659,0.9226548077880654,0.9370632384253861,3.108774849479725,178.11967833160602,0.0003661598002387412,0.305562744334106,0.0003661598002387412,0.305562744334106,False,,gradient,1932003273,2.072565225111595,0.5455552887682412,1.0,2.914324362500219,0.7871155105128583,1.0,0.010114484877814266,-3.334945266952882e-05,-0.10083069012013113,-5.1297005721054334e-05,-5.465965404885158e-05,0.9999999807510122,3.52824187759043e-05,3.510970628494478e-05,0.9999999858118459,0.9999999858117617,0.00011785393294471481,0.9999530656376501,1.4141173255793367,0.00013608599765429686,8.876818318436535e-09,8.888807607889195e-09,1.1412008960443958e-08,0.0012750107887052053,0.498699335783114,0.498699335783114,0.49997434657181916,0.2487121624972044,-3.1415926397780307,0.9948996951645717,0.0012750107887052053,0.07493543686019281,0.22481349739902406,0.22481349739902404,0.09174207107625441,0.2752121560291568,0.275212156029157,0.07493543686019281,1.9248987848108357e-08,1932,sobol_screened,0.18404067895891507,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,3318,306,0.048452045376823794,0.18404067895891507,0.0012509038608843337,1.9248987848108357e-08,142,128,False,1e-05,1.91918988479145e-08,True,0.8159593210410849,0.9987490961391157,0.9999999807510122,0.2457568170502782,0.6895985081791878,0.6633735224604607,0.09061588626354933,0.4442597674205899,0.22301635704934597,0.5896703917533159,0.151551378890872,0.6831478582613632,1.0,0.9890104551975959,3.257065423265866e-05,0.45093544426442467,6.750835527047694e-05,0.6597180009137544,0.1736556418747839,4,1.0545626594193891e-08,True,2,329,0.09029239549746594,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0005,gradient,gradient,gradient,0.1056583755,13.903857305244616,3.728787645501499,1.744714519873276,1.6531019247102383,0.0,0.0,3.141592653589793,0.0,0.08591689658134062,3.141592653589793,3.7673458224555993,3.111735925420688,0.0009506565205582381,0.0014748954495371208,3.142543310110305,0.9995543210004149,12.136105041842299,0.9964964349172782,-11.538725302588016,0.006534202401572372,0.0019935552706669573,0.9225131279315746,0.9359037053399438,3.113210820870204,178.37384077032124,0.000341428920247161,0.29903129854735483,0.000341428920247161,0.29903129854735483,False,,gradient,227002231,2.102068177272408,0.5823296526422714,1.0,2.881215443350893,0.8439492237353219,0.9999999999999999,0.01279986341875886,5.4456591344731464e-05,-0.11350871824740388,0.00014996724121923988,0.00015614853910290302,0.9999999801666667,5.5935433563428e-05,5.5991271356448704e-05,0.9999999984624641,0.9999999984625412,0.00022018754373393914,0.999925375933131,1.41403377961554,0.0002542506733620311,3.3462821693225005e-08,3.3456726051998014e-08,4.221875921954522e-08,0.0016139513432254504,0.4984610260055316,0.49846102600553166,0.500074977348757,0.24842353733115316,-3.141592629958356,0.9935451625602943,0.0016139513432254504,0.07384071978872499,0.22157171763698214,0.2215717176369822,0.09280421401641856,0.2783533050142608,0.2783533050142608,0.07384071978872499,1.9833333309016155e-08,227,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18,2288,288,0.050288599601961026,0.696859622383105,0.0012843158161424117,1.9833333309016155e-08,94,80,False,1e-05,1.9833089504039947e-08,True,0.30314037761689505,0.9987156841838576,0.9999999801666667,0.6649791929032306,0.9138369393112113,0.2605300584415469,0.3699371840726964,0.7260081811513506,0.26793587757292,0.5307978086883552,0.16267478799712567,0.6743953178352065,1.0,0.9904963082546717,0.0,0.5995917099804106,0.00015130168442938562,0.6691090822581485,0.1853612854540078,5,1.1129972055101689e-08,True,2,329,0.08154853088937403,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0006,gradient,gradient,gradient,0.1056583755,13.624089898950428,3.691082483357752,1.7246348963065454,1.6340252338216814,0.0,0.0,3.141592653589793,0.0,0.08489966798842875,3.1383310253735908,3.4882859805753816,3.0949673578400345,6.283149846529512,0.0012195370537036979,1.0431450489326548,0.9987649522026077,11.857379556646451,0.9964027927741796,-11.274310937329242,0.00683810988548454,0.0021224145428676566,0.922651438648086,0.9345880912550425,3.0943416101036574,177.2927146306553,0.0004336483719791506,0.29196795803059844,0.0004336483719791506,0.29196795803059844,False,,gradient,1788001583,2.0141934226719727,0.47686245564631424,0.9999999999999999,3.6895615210526373,0.6643909372306406,0.9999999999999999,0.28341349003517396,1.4799194672232563e-05,-0.08308579171642605,2.3172900974303967e-05,2.4402503780411923e-05,0.9999999767188433,1.4035240085947097e-05,1.4124215489230842e-05,0.999999981239154,0.9999999812391072,0.00010412010634317516,0.9999812192911145,1.4141285348963035,0.00012022754043209836,8.843633176328938e-09,8.841033974589608e-09,1.0444515117457701e-08,0.0583506356143626,0.4416609179771068,0.49914748256482255,0.5000115535914694,0.24914170576908787,-2.448480960213608,0.9965437957565564,0.0583506356143626,0.07649002592728955,0.22921906461920868,0.22921906461920877,0.09017021108743192,0.27076938178932203,0.2707693817893218,0.07649002592728955,2.328115666916375e-08,1788,sobol_screened,0.16605342537971446,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,1607,216,0.049518062317662974,0.16605342537971446,0.0012901472187190066,2.328115666916375e-08,64,50,False,1e-05,2.3748158106684514e-08,True,0.8339465746202855,0.998709852781281,0.9999999767188433,0.4239137154072523,0.9937374982982874,0.33594522532075644,0.36845929455012083,0.5317790387198329,0.10234024841338396,0.6056265542283654,0.08440553955733776,0.664737625874975,0.9989617914937268,0.9851587074166087,0.0,0.5551779567267312,0.9999943562622554,0.6411376791228554,0.15179003398210122,6,1.4577795415249284e-08,True,2,329,0.111314444704491,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",CEP alpha_e boundary regions
muon,gradient_local_minimum_0007,gradient,gradient,gradient,0.1056583755,13.97589643028548,3.73843502421608,1.749848164579875,1.6579766913394605,0.0,0.0,3.141592653589793,0.0,0.0861769265886627,3.1415897282359437,4.395225914394233,3.1220195008058242,0.00012151537754150512,0.0009661734866692884,3.1389796278550923,0.9998084340934078,12.207903456963347,0.9965212214296335,-11.606793684645433,0.006458945630467642,0.001962035199753912,0.9224608475110436,0.9362341973091092,3.122985670492539,178.9338983990561,0.00030353072329356023,0.3008584168822745,0.00030353072329356023,0.3008584168822745,False,,gradient,642001672,0.5902384222371159,2.238643270137607,1.0,1.7338545831840686,0.9457927038647114,1.0,0.28448172347722045,-5.4410012081340664e-05,0.1619941768681875,0.00016576241971455463,0.00017457652483505954,0.9999999741278194,2.506007893761363e-05,2.513743654476035e-05,0.9999999972315194,0.9999999972318997,0.0002336201167352725,0.9999665264353279,1.4140228073629912,0.00026976127198334474,4.557939190590195e-08,4.557626924899139e-08,5.331846067100107e-08,0.4487850740450227,0.05129779652286165,0.4967835859870485,0.5000828705678844,0.24674215070310632,-0.634326587351938,0.9868050486228842,0.4487850740450227,0.09683966046720514,0.2904707102415769,0.2904707102415769,0.06979089401499192,0.20944641919053877,0.20944641919053886,0.09683966046720514,2.5872180620112317e-08,642,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,1750,171,0.0501846081284174,0.934798482333155,0.0012897675443774848,2.5872180620112317e-08,73,59,False,1e-05,2.833455858830547e-08,True,0.06520151766684507,0.9987102324556225,0.9999999741278194,0.5320285929060574,0.6245754880689648,0.9628223689534852,0.41783194989781924,0.9033066679397314,0.21284469958913196,0.7791327671969761,0.983717620855871,0.6768663697164821,0.9999990688309491,0.9937696719650769,0.0,0.6995219302814378,1.9339772997408425e-05,0.18787872500359654,0.7125822845236107,7,1.716881936619785e-08,True,1,311,0.06997434326157695,True,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",CEP alpha_e boundary regions
muon,gradient_local_minimum_0008,gradient,gradient,gradient,0.1056583755,12.708897707414783,3.564954096116075,1.6572762652570199,1.5699695768721988,0.0,0.0,3.141592653589793,0.0,0.08148544546003283,3.096853649397273,1.5856894640890946,3.0842299444422143,3.1388015483648055,0.042679363913042466,4.793629281629983,0.9974015759551854,10.941350556230955,0.9960986838190974,-10.40421224210252,0.007992081638834372,0.002630974334466984,0.922696850484944,0.9294555451675168,3.073042991817431,176.07239369339436,0.0004962902598175389,0.2690654473240386,0.0004962902598175389,0.2690654473240386,False,,gradient,81001276,1.1655846735708597,2.7085688525550466,1.0,4.832648153790662,0.5800600467192577,1.0,0.006139538147487232,-4.190231599254801e-06,-0.0751737601241893,0.00011697390004961061,0.00011665890458450343,0.9999999693655737,0.00017091405563770856,0.0001708903844841107,0.9999999966897881,0.9999999966912129,0.00029313922473118666,0.9997721234054748,1.4139742344500839,0.0003384880158612574,2.543681359053657e-08,2.5447753994354123e-08,2.751546715234423e-08,0.49930237112425724,0.0007435246521871886,0.4993385450215884,0.5000458957764444,0.2493155971333662,0.017035040699609483,0.9971708566720354,0.49930237112425724,0.07705258615679558,0.23118667489993538,0.23118667489993527,0.08958413062754805,0.2687674293236203,0.2687674293236204,0.07705258615679558,3.0634426329001485e-08,81,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37,1311,531,0.016090919906611302,0.7230873092252437,2.009707764538682e-06,3.0634426329001485e-08,36,22,False,1e-05,3.1162836311438014e-08,True,0.2769126907747563,0.9999979902922355,0.9999999693655737,0.755226013552344,0.31544953208672805,0.9425409095926053,0.2694128166433254,0.43570193147199127,0.23851960172322462,0.33579662867074667,0.7380354176239634,0.63243146294755,0.9857591326675028,0.9817408825800403,0.0,0.25237031641851787,0.49955578180675364,0.3710171247819112,0.8621642431777574,8,2.193106507508702e-08,True,1,311,0.16858762800035598,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",CEP alpha_e boundary regions
muon,gradient_local_minimum_0009,gradient,gradient,gradient,0.1056583755,14.071595975516903,3.751212600682198,1.756645008110559,1.6644636159426898,0.0,0.0,3.141592653589793,0.0,0.08684225131042861,3.141256172303336,2.537654005722823,3.0122481276124953,6.282847328295958,0.006137820558939188,3.1708448388051256,0.9916108646516949,12.300708912150531,0.996341261919332,-11.69745177387114,0.006360795466110518,0.0019210501942461846,0.9250143385538827,0.9366713370781117,3.018383128224296,172.94061420074695,0.0015500089722939592,0.3031785781119225,0.0015500089722939592,0.3031785781119225,False,,gradient,441001355,0.21139990605394343,1.7938944487601411,1.0,0.5519510544809518,0.18619229214884123,1.0,0.11987471508336327,1.670196332920204e-05,0.055812759997238184,-3.904158957662024e-06,-4.836341628437451e-06,0.9999999691634621,2.822036459520243e-05,2.8222605401610003e-05,0.9999999771614396,0.9999999771615028,0.00013895595039266055,0.9999623611626012,1.414100088625795,0.00016045250667769058,1.5199565583035023e-08,1.5199565448646393e-08,1.77158517159864e-08,0.16135889548661408,0.33863914571401016,0.4996081194439511,0.49999804120062424,0.24960909884363902,1.933834223348507,0.9984403068630557,0.16135889548661408,0.08800485954452987,0.2639499795824244,0.2639499795824245,0.07864513624088616,0.2360519792169514,0.2360519792169515,0.08800485954452987,3.0836537878720094e-08,441,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,1423,171,0.0510565813193685,0.02192394620778293,0.0013291387752081274,3.0836537878720094e-08,58,44,False,1e-05,3.15186684529678e-08,True,0.9780760537922171,0.9986708612247919,0.9999999691634621,0.5357135491539922,0.9079625373988764,0.584200618804446,0.0730256140700901,0.411153582057871,0.684640994466052,0.03598914412707887,0.5479266411244703,0.6801391814613995,0.9998928946800049,0.9588283586576699,0.0001953125,0.40388017886773614,0.9999462089900099,0.06729068003529477,0.5710143378105744,9,2.2133176624805628e-08,True,1,311,0.25215229273411094,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",CEP alpha_e boundary regions
