selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_p,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_gamma,lepton_heavy_unpolarized_proton_unpolarized_C_p_gamma,lepton_heavy_unpolarized_proton_unpolarized_C_heavy_rest,lepton_heavy_unpolarized_proton_unpolarized_C_p_rest,lepton_heavy_unpolarized_proton_unpolarized_C_gamma_rest,lepton_heavy_unpolarized_proton_unpolarized_W_purity,lepton_heavy_unpolarized_proton_L_C_heavy_p,lepton_heavy_unpolarized_proton_L_C_heavy_gamma,lepton_heavy_unpolarized_proton_L_C_p_gamma,lepton_heavy_unpolarized_proton_L_C_heavy_rest,lepton_heavy_unpolarized_proton_L_C_p_rest,lepton_heavy_unpolarized_proton_L_C_gamma_rest,lepton_heavy_unpolarized_proton_L_W_purity,lepton_heavy_L_proton_unpolarized_C_heavy_p,lepton_heavy_L_proton_unpolarized_C_heavy_gamma,lepton_heavy_L_proton_unpolarized_C_p_gamma,lepton_heavy_L_proton_unpolarized_C_heavy_rest,lepton_heavy_L_proton_unpolarized_C_p_rest,lepton_heavy_L_proton_unpolarized_C_gamma_rest,lepton_heavy_L_proton_unpolarized_W_purity,lepton_heavy_unpolarized_proton_Tx_C_heavy_p,lepton_heavy_unpolarized_proton_Tx_C_heavy_gamma,lepton_heavy_unpolarized_proton_Tx_C_p_gamma,lepton_heavy_unpolarized_proton_Tx_C_heavy_rest,lepton_heavy_unpolarized_proton_Tx_C_p_rest,lepton_heavy_unpolarized_proton_Tx_C_gamma_rest,lepton_heavy_unpolarized_proton_Tx_W_purity,lepton_heavy_unpolarized_proton_Ty_C_heavy_p,lepton_heavy_unpolarized_proton_Ty_C_heavy_gamma,lepton_heavy_unpolarized_proton_Ty_C_p_gamma,lepton_heavy_unpolarized_proton_Ty_C_heavy_rest,lepton_heavy_unpolarized_proton_Ty_C_p_rest,lepton_heavy_unpolarized_proton_Ty_C_gamma_rest,lepton_heavy_unpolarized_proton_Ty_W_purity,lepton_heavy_Tx_proton_unpolarized_C_heavy_p,lepton_heavy_Tx_proton_unpolarized_C_heavy_gamma,lepton_heavy_Tx_proton_unpolarized_C_p_gamma,lepton_heavy_Tx_proton_unpolarized_C_heavy_rest,lepton_heavy_Tx_proton_unpolarized_C_p_rest,lepton_heavy_Tx_proton_unpolarized_C_gamma_rest,lepton_heavy_Tx_proton_unpolarized_W_purity,lepton_heavy_Ty_proton_unpolarized_C_heavy_p,lepton_heavy_Ty_proton_unpolarized_C_heavy_gamma,lepton_heavy_Ty_proton_unpolarized_C_p_gamma,lepton_heavy_Ty_proton_unpolarized_C_heavy_rest,lepton_heavy_Ty_proton_unpolarized_C_p_rest,lepton_heavy_Ty_proton_unpolarized_C_gamma_rest,lepton_heavy_Ty_proton_unpolarized_W_purity,lepton_heavy_L_proton_L_C_heavy_p,lepton_heavy_L_proton_L_C_heavy_gamma,lepton_heavy_L_proton_L_C_p_gamma,lepton_heavy_L_proton_L_C_heavy_rest,lepton_heavy_L_proton_L_C_p_rest,lepton_heavy_L_proton_L_C_gamma_rest,lepton_heavy_L_proton_L_W_purity,lepton_heavy_L_proton_Tx_C_heavy_p,lepton_heavy_L_proton_Tx_C_heavy_gamma,lepton_heavy_L_proton_Tx_C_p_gamma,lepton_heavy_L_proton_Tx_C_heavy_rest,lepton_heavy_L_proton_Tx_C_p_rest,lepton_heavy_L_proton_Tx_C_gamma_rest,lepton_heavy_L_proton_Tx_W_purity,lepton_heavy_L_proton_Ty_C_heavy_p,lepton_heavy_L_proton_Ty_C_heavy_gamma,lepton_heavy_L_proton_Ty_C_p_gamma,lepton_heavy_L_proton_Ty_C_heavy_rest,lepton_heavy_L_proton_Ty_C_p_rest,lepton_heavy_L_proton_Ty_C_gamma_rest,lepton_heavy_L_proton_Ty_W_purity,lepton_heavy_Tx_proton_Tx_C_heavy_p,lepton_heavy_Tx_proton_Tx_C_heavy_gamma,lepton_heavy_Tx_proton_Tx_C_p_gamma,lepton_heavy_Tx_proton_Tx_C_heavy_rest,lepton_heavy_Tx_proton_Tx_C_p_rest,lepton_heavy_Tx_proton_Tx_C_gamma_rest,lepton_heavy_Tx_proton_Tx_W_purity,lepton_heavy_Tx_proton_Ty_C_heavy_p,lepton_heavy_Tx_proton_Ty_C_heavy_gamma,lepton_heavy_Tx_proton_Ty_C_p_gamma,lepton_heavy_Tx_proton_Ty_C_heavy_rest,lepton_heavy_Tx_proton_Ty_C_p_rest,lepton_heavy_Tx_proton_Ty_C_gamma_rest,lepton_heavy_Tx_proton_Ty_W_purity
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_0,0,1,2.3954081035920816e-01,4.9932896408800453e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,2.0616701789183018e+00,5.2032628325080950e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4621421760344482e+01,8.6961318087572892e-01,-1.6589632949080720e+01,3.0721298534479300e+00,8.5626948532249036e-01,0.0000000000000000e+00,1.0475920265346659e+00,6.3486432166545925e-02,1.0475920265346659e+00,6.3486432166545925e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3954081035920816e-01,0.0000000000000000e+00,6.5552189619026979e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6161845463222328e-03,0.0000000000000000e+00,6.5612570785831392e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1707473557790337e-04,0.0000000000000000e+00,6.7081981696820794e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7066012465886130e-01,0.0000000000000000e+00,3.5778120813425192e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5617459180531643e-01,0.0000000000000000e+00,6.6257699170355927e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2213873897180772e-01,0.0000000000000000e+00,3.9927593439025327e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3023926825155691e-01,2.6238328907146496e-03,6.5984133191710526e-01,2.0241456331616743e-03,6.5985990909572789e-01,5.3487283572074351e-03,6.5985779702493264e-01,1.4726856026724690e-05,5.5199999350564770e-03,6.5249499256827570e-01,5.1144405127534591e-03,6.5969141731950220e-01,9.7309827530843801e-02,6.5968814843895129e-01,1.1176120078461773e-03,3.7710122716469383e-03,6.5428178989057872e-01,7.0098462861950192e-03,6.6106724194924438e-01,9.4733163981119528e-02,6.6109365130662612e-01,9.6998935440986147e-04,2.6354739917803111e-01,8.8712992567564711e-03,1.6117983703186529e-02,9.9921461858621152e-01,9.9930523045715758e-01,9.6396701663111339e-01,2.5152819205522797e-01,2.6414484257245296e-01,3.2336280407506579e-02,2.0529185295387536e-02,9.9959508370795658e-01,9.9928281455867674e-01,9.6428174334999650e-01,2.3655642029247170e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_0,0,2,2.3816377569727246e-01,4.9925950042038070e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,2.5000000000000000e-01,4.7123889803846897e+00,1.4947092311915997e+01,8.7209070059039806e-01,-1.6959505330138256e+01,3.0721298534479300e+00,8.7285486684477143e-01,0.0000000000000000e+00,1.0696929412776783e+00,6.3486432166545925e-02,1.0696929412776783e+00,6.3486432166545925e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3816377569727246e-01,0.0000000000000000e+00,5.7795001689018954e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4267331656165503e-03,0.0000000000000000e+00,5.7806733306675184e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9014334338886112e-04,0.0000000000000000e+00,4.9264740367503314e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6192022716446406e-01,0.0000000000000000e+00,2.0167537355456157e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4800414685225880e-01,0.0000000000000000e+00,4.8882385281344490e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2184732115083669e-01,0.0000000000000000e+00,2.0671113997362114e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3140534058974890e-01,1.8387507429329267e-03,5.8111521870063565e-01,1.6466376452336077e-03,5.8112431775701334e-01,3.6445723547357143e-03,5.8112374164049541e-01,5.2536315811443538e-05,8.4072043716171673e-03,5.7495070446796104e-01,3.8379740092503452e-02,5.8282834294947183e-01,1.0292501818533330e-01,5.8403013684843219e-01,1.1188103745912762e-03,9.9920913145159270e-03,5.7684256717092686e-01,3.9128700931036910e-02,5.8424744612208512e-01,1.0064187143845882e-01,5.8547099985748907e-01,8.5892489382228827e-04,1.8408244270662458e-01,1.2609183719045625e-03,4.1066485965907076e-02,9.9909158231525286e-01,9.9993442604921379e-01,9.8284489898178995e-01,2.4210151098201596e-01,1.8354636729267731e-01,2.8509501227759082e-02,4.2917236572194713e-02,9.9841668580382248e-01,9.9893191769164535e-01,9.8233828129469991e-01,2.2819245230652199e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_1,1,1,2.2597537340878068e-01,2.7223475652791351e-01,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9447344739289383e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,1.0000000000000000e+00,5.1050880620834143e+00,4.6138104815909359e-01,5.5103177183764930e-02,-4.4110658465469757e-02,8.7915018896942119e+00,4.2641265725470101e-01,4.3049295338158331e+01,4.7405329586582434e-01,6.8268849071269311e-01,4.7405329586582434e-01,6.8268849071269311e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2597537340878068e-01,9.4505519819509196e-03,2.9390354057133350e-01,1.6332308897752921e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5927542079630370e-02,0.0000000000000000e+00,1.7016677957060899e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6177297881488026e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2532571252890079e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4591882029552645e-01,0.0000000000000000e+00,8.8397740667255797e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2856768396618011e-01,0.0000000000000000e+00,8.9512275225649662e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5261572264707907e-01,9.7515558599327298e-02,4.3734259767872274e-01,2.2707746060167650e-02,4.4845948216482562e-01,1.0179882690537632e-01,4.3831753854711752e-01,8.6494391517337003e-03,4.7482612767910642e-01,1.3185740740441315e-01,6.3471107920722539e-02,5.4625290435615781e-01,5.3388616892517371e-01,2.7741839513741468e-01,1.0972144378050420e-01,4.2553362009591389e-01,1.8039147427726485e-01,6.3193486996391740e-02,5.4517637267828734e-01,5.1833349298752718e-01,3.4660039087006173e-01,1.7282002260994098e-01,6.2546640183156685e-02,8.9080673038345481e-01,3.1869726387520482e-02,9.8242801713648198e-01,4.1550432114493996e-01,9.8095280504002380e-01,2.3221285230877137e-01,2.5361130560346067e-02,8.8385735846171043e-01,7.9805041578780586e-02,9.8427266141191505e-01,4.4040626564048191e-01,9.8717694961714708e-01,4.5765497229594249e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_1,1,2,2.2083352412504759e-01,2.7621523736684545e-01,nan,heavy,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.9723923831029748e+00,1.5707949999999999e+00,4.4178646691106467e+00,1.2762720155208536e+00,1.0000000000000000e+00,5.0069132916587327e+00,3.3431106135396410e-01,3.9435653200830777e-02,-3.6105028788742605e-01,9.0229140448101735e+00,4.3172647719312190e-01,3.2828508397152824e+01,5.8035202642150086e-01,5.6698241315481102e-01,5.8035202642150086e-01,5.6698241315481102e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2083352412504759e-01,0.0000000000000000e+00,2.8346446061784303e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4013425389526650e-02,0.0000000000000000e+00,1.8664955877085340e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4383792012082364e-01,0.0000000000000000e+00,6.6462052066216096e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8288376093147541e-02,0.0000000000000000e+00,1.6749246112512363e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7943448288295625e-01,0.0000000000000000e+00,9.2772129931590630e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0215475356886493e-01,0.0000000000000000e+00,9.2150873577064885e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2199514265780866e-01,5.0367822949231755e-02,4.0547277685420091e-01,1.2633027128327388e-03,4.2124867054916448e-01,1.1420973778864621e-01,4.1822855090050193e-01,3.8349488220427906e-02,2.9496526081338870e-01,2.6316701376196378e-01,5.7819014553586984e-02,4.4928179731633522e-01,3.6870081794181475e-01,3.4379159972059020e-01,4.3285035796550922e-02,2.8934066490368682e-01,1.6506236623895526e-01,5.1409737340394397e-02,4.3656662941094176e-01,4.0741600166446823e-01,3.3093105444149129e-01,1.8154906824334838e-01,7.4021277194442806e-02,9.1551457778346634e-01,7.7793863479408906e-02,9.7982254786335365e-01,3.5768304019009184e-01,9.8011476921380603e-01,1.1444132261371578e-01,6.5889311546754897e-02,9.3168408736936759e-01,9.4898719549892444e-02,9.9018267422289818e-01,3.4847130154209477e-01,9.9253518508033733e-01,4.8594398741962430e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_2,2,1,2.2065238358497802e-01,2.7041316358294909e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0813969099398424e+00,1.5707949999999999e+00,4.6142142099600090e+00,1.4726215563702159e+00,2.5000000000000000e-01,5.1050880620834143e+00,2.1598251306746627e-02,1.0165917300480313e-02,-4.2342689945582830e-02,2.9828205084865651e+00,1.0819794050689102e-01,2.5459673576103864e+01,1.1851332396645609e-01,1.0814110464703636e-01,1.1851332396645609e-01,1.0814110464703636e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2065238358497802e-01,0.0000000000000000e+00,2.8806223638847711e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4295729197507563e-02,0.0000000000000000e+00,2.3524898482799583e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5366972920698663e-01,0.0000000000000000e+00,1.7473108656193857e-02,7.4357624437954599e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0848142856656454e-01,0.0000000000000000e+00,8.5223772804477512e-03,6.7836988831432446e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3359185706999530e-01,0.0000000000000000e+00,9.3464497932392554e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2606643014936940e-01,0.0000000000000000e+00,9.4970059188861500e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9242209409258942e-01,5.4232827546506360e-03,4.9398472168569968e-01,2.1953732518149478e-03,4.9770068842447962e-01,6.0744455667116025e-02,4.9767598186317313e-01,7.7195651468656788e-03,2.8960478328123374e-01,2.7044242770978238e-01,6.8413269961862685e-02,4.6537686005660267e-01,3.8485957125874082e-01,3.7065491637631631e-01,1.0369747214021847e-01,2.6392788291555941e-01,2.3345734295363571e-01,6.5827340123544673e-02,4.4983169600902068e-01,3.9010186180486550e-01,3.7016734228568932e-01,1.5895223477785983e-01,3.7689766878138922e-02,9.3146541801313787e-01,4.9649182301509394e-02,9.7200262262585591e-01,2.8218135188650634e-01,9.7253977888675569e-01,2.2318122788141859e-01,2.7379453514522190e-02,9.3513575957955697e-01,7.6138240103873517e-02,9.7350349015045479e-01,2.8111774774424464e-01,9.7609243535994117e-01,4.4270278747433606e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_2,2,2,2.1067836937819853e-01,3.5509119939595568e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,1.5707949999999999e+00,3.4361169648638361e+00,2.9452431127404299e-01,2.5000000000000000e-01,4.8105637508093704e+00,5.4264150956679540e+00,7.1278044124384154e-01,-6.2543492731305363e+00,3.0664535914272140e+00,3.8770751105597739e-01,6.3869651369704288e+00,4.8029165190893286e-01,6.6324563177635659e-02,4.8029165190893286e-01,6.6324563177635659e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1067836937819853e-01,0.0000000000000000e+00,4.9833537854866011e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.2263670177108292e-02,0.0000000000000000e+00,6.8177892944121254e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5724754787433853e-02,0.0000000000000000e+00,5.9757894379498820e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6095286745511364e-01,0.0000000000000000e+00,2.0795793737298204e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7703026122100552e-01,0.0000000000000000e+00,7.1770082621633668e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3831786504974595e-01,0.0000000000000000e+00,6.2224073749076669e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1478344158271105e-01,1.6956182626441298e-02,7.5161997358807853e-01,2.5601228118646579e-02,7.5352746329877407e-01,5.9384140392196784e-02,7.5377154933538693e-01,3.8133008280224492e-03,8.3165050478856639e-02,6.9487366207515333e-01,1.0820264137936465e-01,7.1625775893742605e-01,2.0465477493667270e-01,7.1959472069273989e-01,1.9652848557319989e-02,1.0009266404480124e-01,6.2089582277003730e-01,1.3592366909221903e-01,6.6405428676416667e-01,2.7190386877549472e-01,6.7039152515029221e-01,5.4902156183648403e-02,1.5384195879332452e-01,7.0963939953423105e-01,3.2225522489632126e-02,9.6730167683457824e-01,6.5812076154115751e-01,9.5553318586008373e-01,1.6911538689178326e-01,1.4049420093773257e-01,7.8208450189316703e-01,3.1645013585459868e-02,9.8414538065395085e-01,5.9823688383019968e-01,9.7457935296878417e-01,4.1141707641961806e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_3,3,1,2.1920995501965965e-01,4.3507643752750691e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,1.5707949999999999e+00,5.8904862254808599e-01,3.7306412761378791e+00,2.5000000000000000e-01,4.6142142099600090e+00,1.2006605427740659e+01,8.4593979669340535e-01,-1.3708376742127859e+01,3.0664535914272131e+00,7.2281600219840503e-01,6.3869651369704288e+00,9.1721022037124100e-01,6.6324563177635659e-02,9.1721022037124100e-01,6.6324563177635659e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1920995501965965e-01,0.0000000000000000e+00,4.6686150963900253e-01,1.7835460919090409e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0834356871147390e-03,0.0000000000000000e+00,5.4174054385698178e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4916060916874023e-04,0.0000000000000000e+00,5.0075056085511757e-02,7.2744660737428510e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0817477786625010e-01,0.0000000000000000e+00,8.0066560138492018e-02,7.1907671147555696e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3626728643133488e-01,0.0000000000000000e+00,2.6825549617323124e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1959894676522945e-01,0.0000000000000000e+00,2.2188763912103041e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1717939758573745e-01,4.4276042359436083e-03,5.5061225028058658e-01,2.1257878184141533e-02,5.5070514683454830e-01,2.3541387202065542e-02,5.5109749817270848e-01,1.5483541758206428e-04,3.4205757989082687e-02,5.4328801817542416e-01,1.4907812186193695e-01,5.4649351859648243e-01,1.6036700137998774e-01,5.6542852749786454e-01,8.6214334227012411e-05,4.3937431415144536e-02,5.3872648720334726e-01,1.9621515575328383e-01,5.4475968845481382e-01,2.1221984367298075e-01,5.7734999064307846e-01,2.1624226550274263e-04,4.7216487831902654e-01,2.9540805085525745e-01,1.6015801797248538e-01,9.0815143399710674e-01,8.7356951770268731e-01,7.9211738296217704e-01,2.1224187876253284e-01,4.6493323373959955e-01,2.4979704023176247e-01,1.5797582241379654e-01,8.8302979278480009e-01,8.6156799473559320e-01,7.6716038146107735e-01,2.4380822970381513e-01
W_purity,P_W,lepton_heavy_unpolarized_proton_unpolarized,enhanced_region_3,3,2,2.1866043011579522e-01,4.1971959267745468e-01,nan,heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,1.5707949999999999e+00,4.9087385212340529e-01,3.6324665057131984e+00,2.5000000000000000e-01,4.6142142099600090e+00,1.1347871170477925e+01,8.3844156049327279e-01,-1.2966604666127999e+01,3.0664535914272140e+00,6.8926872896237246e-01,6.3869651369704288e+00,8.7569131100267827e-01,6.6324563177635659e-02,8.7569131100267827e-01,6.6324563177635659e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1866043011579522e-01,0.0000000000000000e+00,4.3165551930260249e-01,2.5805076998954870e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3193924941715554e-03,0.0000000000000000e+00,5.4007639249157879e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2263924307824849e-05,0.0000000000000000e+00,4.1097126531809365e-02,1.0117496340854690e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0774143358783251e-01,0.0000000000000000e+00,8.6580162572279115e-02,9.9331358682741816e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3983805542561198e-01,0.0000000000000000e+00,3.4586937215310154e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1729797650716692e-01,0.0000000000000000e+00,2.6789610034657763e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1924261391199737e-01,7.8381142237448093e-03,5.4127236185966898e-01,2.6573450373733608e-02,5.4133225891749714e-01,2.7765392776651066e-02,5.4192741799233946e-01,1.8339954464935919e-05,4.6604909485133496e-02,5.4009790543707803e-01,1.6958405430705670e-01,5.4310004466812989e-01,1.7891524159839570e-01,5.6704884542843448e-01,1.5968393072218475e-05,6.2911374329002623e-02,5.4005909348280956e-01,2.2390212435559165e-01,5.4503476979501442e-01,2.3565067368665382e-01,5.8586451684473695e-01,4.0502439137200679e-06,3.8818346047506680e-01,3.6631549028908161e-01,1.7271939784764351e-01,9.0223299448248084e-01,8.4241873477110185e-01,8.3256829014171818e-01,2.0896949648766794e-01,3.7773698908461267e-01,3.2731824910189267e-01,1.6822867503449387e-01,8.6723784097195433e-01,8.2052734487096679e-01,7.9857192806496458e-01,2.3933299931795940e-01
