spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,6.0204665318853426e+02,3.0102332659426702e+02,4.9999999999999978e-01,True,1,1,1.1725440179905242e-01,7.3616695110798558e-01,5.0339233574676817e-02,8.3646691836580378e-01,4.0033630512880974e-01,8.2973631296509176e-01,3.7378240006600855e-01,1.4398653087550328e-01,1.4398652402604797e-01,1.4398653071239159e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.4983808434579879e+02,7.4919042172899367e+01,4.9999999999999989e-01,True,1,1,1.1359279007819546e-01,4.5042100525713481e-02,4.8189626781856787e-01,1.6506893651094845e-01,5.0738838743571157e-01,4.9655658626317167e-01,9.4173001400225109e-02,1.2315641023338070e-02,1.2315640809397899e-02,1.2315639604101286e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.4819443606611765e+02,7.4097218033058809e+01,4.9999999999999994e-01,True,1,1,1.4437401654904924e-01,1.1609937069862315e-01,4.5498660788266576e-01,2.5610344571574556e-01,5.0904098510946394e-01,5.0175485133191722e-01,1.4452234331792380e-01,3.1266054376356378e-02,3.1266054514133695e-02,3.1266053605923355e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.6075140536938193e+02,8.0375702684690950e+01,4.9999999999999989e-01,True,1,1,1.5971641372704731e-01,2.0445923479323824e-01,4.2384211405149541e-01,3.4482103306072071e-01,5.0669527734929443e-01,5.2252688923847701e-01,1.9285480047322842e-01,5.1588633334996775e-02,5.1588633630608227e-02,5.1588633641362264e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,1.7922742096587677e+02,8.9613710482938387e+01,4.9999999999999989e-01,True,1,1,1.6731722092715989e-01,2.9213933715293106e-01,3.8896147740656178e-01,4.2977475927720682e-01,5.0065155724697519e-01,5.5497956971434859e-01,2.3732431605312124e-01,7.1365898980839129e-02,7.1365898448737947e-02,7.1365899581874309e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.0259280177942964e+02,1.0129640088971480e+02,4.9999999999999994e-01,True,1,1,1.7004880236035186e-01,3.7606756564598637e-01,3.5042015832188189e-01,5.0997852883019434e-01,4.9137111417141416e-01,5.9494183966779568e-01,2.7652760153734091e-01,8.9734690752721114e-02,8.9734689299534140e-02,8.9734691298070060e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,3.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.3193480879977864e+02,1.1596740439988926e+02,4.9999999999999978e-01,True,1,1,1.6892905163335589e-01,4.5494567881459747e-01,3.0888550864929437e-01,5.8429172345012681e-01,4.7940744824318016e-01,6.3896013172143729e-01,3.0946166995537816e-01,1.0588422293449959e-01,1.0588421949175912e-01,1.0588422180386829e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,2.6976845926324165e+02,1.3488422963162077e+02,4.9999999999999978e-01,True,1,1,1.6426999400978032e-01,5.2765045609812733e-01,2.6516081712689976e-01,6.5142527487218271e-01,4.6502703277389179e-01,6.8387170991654866e-01,3.3524335976508768e-01,1.1895525398976375e-01,1.1895525133911181e-01,1.1895525286421715e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,4.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,3.2051531473314094e+02,1.6025765736657041e+02,4.9999999999999989e-01,True,1,1,1.5610546229810865e-01,5.9309885167353282e-01,2.2014616384359775e-01,7.1011943068235872e-01,4.4829419802287634e-01,7.2688721588781213e-01,3.5312121979274708e-01,1.2813444261686774e-01,1.2813443916661546e-01,1.2813444330961932e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,3.9210568818811089e+02,1.9605284409405544e+02,4.9999999999999989e-01,True,1,1,1.4434726077918875e-01,6.5039574540360567e-01,1.7488126612723592e-01,7.5935960525939705e-01,4.2918043124332828e-01,7.6575083186821646e-01,3.6259109526162459e-01,1.3277625276614036e-01,1.3277625362548900e-01,1.3277625362548859e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,5.5000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,5.0015748704513584e+02,2.5007874352256789e+02,4.9999999999999994e-01,True,1,1,1.2880571010465772e-01,6.9905901212204802e-01,1.3060286713755309e-01,7.9860371224984650e-01,4.0760458211133022e-01,7.9889554179155675e-01,3.6349715216517431e-01,1.3249347583461690e-01,1.3249347549803769e-01,1.3249347536082204e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,6.0000000000000000e+00,-4.0000000000000002e-01,5.2359877559829882e-01,6.8051919113145959e+02,3.4025959556572968e+02,4.9999999999999994e-01,True,1,1,1.0907395428241080e-01,7.3931600183275037e-01,8.8901534073787675e-02,8.2804098850075414e-01,3.8336302526570615e-01,8.2562596463487492e-01,3.5603566893006328e-01,1.2716660056854123e-01,1.2716659887740017e-01,1.2716660015263154e-01
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,4.2153578625727727e+02,2.1076789312863860e+02,5.0000000000000000e-01,True,1,1,4.8329021841295977e-02,6.6221330882072618e-02,3.2168114802658077e-01,9.9313654654063208e-02,3.3008589618853568e-01,3.3317603268067891e-01,3.7583661672357396e-02,3.1422429848171228e-03,3.1422435147533262e-03,3.1422430933449041e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,1.5000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,3.7944286004721607e+02,1.8972143002360798e+02,4.9999999999999978e-01,True,1,1,6.6144784693536060e-02,1.3032229161291856e-01,3.3795467574481280e-01,1.7176647276126938e-01,3.5599604424219267e-01,3.7328534870745300e-01,6.9930829143752524e-02,8.1446889314510731e-03,8.1446881161533896e-03,8.1446890106206399e-03
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.0000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,3.7056566446368652e+02,1.8528283223184326e+02,5.0000000000000000e-01,True,1,1,8.0287351236275034e-02,2.0158219643620498e-01,3.3621628846230017e-01,2.4969267479412763e-01,3.6708642273437259e-01,4.1102526202078227e-01,1.0458252402859297e-01,1.5264991157264249e-02,1.5264990360016870e-02,1.5264991471843334e-02
transverse,h_in_minus_plus_h_in_plus_over_sqrt2,2.5000000000000000e+00,-4.0000000000000002e-01,1.0471975511965976e+00,3.7632225550044359e+02,1.8816112775022174e+02,4.9999999999999989e-01,True,1,1,9.1648002064068645e-02,2.7663770530611459e-01,3.2518819452090697e-01,3.3042801765807184e-01,3.7202367562780131e-01,4.5445646842566445e-01,1.3995098601147204e-01,2.4254898574074799e-02,2.4254897089516739e-02,2.4254899841126984e-02
