Q2,xB,t,phi,theta_e_gamma_rad,theta_e_gamma_deg,aligned,squared_amplitude_M2,amplitude_normalization_sqrt_M2,unpolarized_amp_ep_norm_r0_c0_real,unpolarized_amp_ep_norm_r0_c0_imag,unpolarized_amp_ep_norm_r0_c1_real,unpolarized_amp_ep_norm_r0_c1_imag,unpolarized_amp_ep_norm_r1_c0_real,unpolarized_amp_ep_norm_r1_c0_imag,unpolarized_amp_ep_norm_r1_c1_real,unpolarized_amp_ep_norm_r1_c1_imag,longitudinal_polarized_amp_ep_norm_r0_c0_real,longitudinal_polarized_amp_ep_norm_r0_c0_imag,longitudinal_polarized_amp_ep_norm_r0_c1_real,longitudinal_polarized_amp_ep_norm_r0_c1_imag,longitudinal_polarized_amp_ep_norm_r1_c0_real,longitudinal_polarized_amp_ep_norm_r1_c0_imag,longitudinal_polarized_amp_ep_norm_r1_c1_real,longitudinal_polarized_amp_ep_norm_r1_c1_imag,transverse_polarized_amp_ep_norm_r0_c0_real,transverse_polarized_amp_ep_norm_r0_c0_imag,transverse_polarized_amp_ep_norm_r0_c1_real,transverse_polarized_amp_ep_norm_r0_c1_imag,transverse_polarized_amp_ep_norm_r1_c0_real,transverse_polarized_amp_ep_norm_r1_c0_imag,transverse_polarized_amp_ep_norm_r1_c1_real,transverse_polarized_amp_ep_norm_r1_c1_imag
5.0000000000000000e-01,1.0000000000000001e-01,-7.0000000000000018e-01,3.1415926535897931e+00,7.7824771290077241e-02,4.4590309364923248e+00,True,2.8896299779033706e+07,5.3755278605020458e+03,6.7929338340806791e-02,-3.8026696474385452e-01,-5.3094673655187975e-02,2.9784045231974748e-01,-5.7439785119485019e-02,-2.9704389754459870e-01,7.3467508642690860e-02,3.7925130264941653e-01,2.4096342376606775e-03,2.8383990553788863e-01,-1.8906654299511692e-03,-2.2270861222572683e-01,-8.2981790551206885e-02,-2.1398358424967678e-01,1.0612866419324041e-01,2.7367199243171225e-01,-2.4096342376606445e-03,-2.8383990553788863e-01,1.8906654299511428e-03,2.2270861222572683e-01,-8.2981790551206858e-02,-2.1398358424967678e-01,1.0612866419324039e-01,2.7367199243171231e-01
5.0000000000000000e-01,2.0000000000000001e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.7233504939840183e-01,9.8740709927069812e+00,True,2.8877073424572623e+08,1.6993255551710103e+04,-6.3879906222835556e-02,-3.6076362052969474e-01,5.7641254522104862e-02,3.2533370595457711e-01,5.4270082281118508e-02,-3.2591289095294701e-01,-6.0138936948679340e-02,3.6140592550475797e-01,2.0978403352782211e-03,2.5064305181504015e-01,-1.8905705825149129e-03,-2.2587914461593106e-01,7.4731552550232963e-02,-2.1981434318453880e-01,-8.2810130704086868e-02,2.4357655994780689e-01,-2.0978403352782306e-03,-2.5064305181504015e-01,1.8905705825149196e-03,2.2587914461593106e-01,7.4731552550232935e-02,-2.1981434318453880e-01,-8.2810130704086868e-02,2.4357655994780689e-01
5.0000000000000000e-01,3.0000000000000004e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6677081513186243e-01,9.5552638530122032e+00,True,9.2376044137810683e+08,3.0393427601672483e+04,-6.1285254005624359e-02,-3.5371415052675487e-01,5.7794814196848426e-02,3.3345366344251620e-01,5.4338963308016325e-02,-3.3403100636275207e-01,-5.7618016304651590e-02,3.5432667954570390e-01,1.1603451453415217e-03,2.4562811223436712e-01,-1.0934792442919630e-03,-2.3147357803103480e-01,7.5679785396956453e-02,-2.2533030997913794e-01,-8.0245697543109423e-02,2.3892493625659661e-01,-1.1603451453415341e-03,-2.4562811223436712e-01,1.0934792442919737e-03,2.3147357803103480e-01,7.5679785396956439e-02,-2.2533030997913794e-01,-8.0245697543109396e-02,2.3892493625659661e-01
5.0000000000000000e-01,4.0000000000000002e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6413586028573898e-01,9.4042920611217866e+00,True,2.3309509177855239e+09,4.8279922512215402e+04,-6.0046969972709675e-02,-3.5022704398515364e-01,5.7848745992801959e-02,3.3733180639390664e-01,5.4352496660389722e-02,-3.3790806456183509e-01,-5.6416203927868280e-02,3.5082542250095772e-01,7.2669378061944066e-04,2.4315165706297362e-01,-6.9977515872881679e-04,-2.3414468921380979e-01,7.6119150015431250e-02,-2.2796555708377872e-01,-7.9008941774054139e-02,2.3662005451283163e-01,-7.2669378061944478e-04,-2.4315165706297362e-01,6.9977515872882059e-04,2.3414468921380979e-01,7.6119150015431250e-02,-2.2796555708377872e-01,-7.9008941774054139e-02,2.3662005451283163e-01
5.0000000000000000e-01,5.0000000000000000e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6259887722925009e-01,9.3162294188018553e+00,True,5.3773526762123880e+09,7.3330434856288615e+04,-5.9321972087226428e-02,-3.4814795576105600e-01,5.7874297246903558e-02,3.3960253904927945e-01,5.4354407624854516e-02,-3.4017809864325127e-01,-5.5712950811179635e-02,3.4873806777186556e-01,4.7699334817506608e-04,2.4167638627361440e-01,-4.6521445943628538e-04,-2.3570842199221584e-01,7.6372208978263426e-02,-2.2950879465283458e-01,-7.8280907332605357e-02,2.3524469079255722e-01,-4.7699334817505486e-04,-2.4167638627361440e-01,4.6521445943627552e-04,2.3570842199221584e-01,7.6372208978263439e-02,-2.2950879465283458e-01,-7.8280907332605357e-02,2.3524469079255722e-01
5.0000000000000000e-01,5.9999999999999998e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6159188650836145e-01,9.2585331004860993e+00,True,1.2301492402045464e+10,1.1091209312805103e+05,-5.8845927648718384e-02,-3.4676762190810478e-01,5.7888605602258850e-02,3.4109342846593288e-01,5.4353200193157113e-02,-3.4166850347482863e-01,-5.5251342787095890e-02,3.4735231350337109e-01,3.1473714743963704e-04,2.4069742953484075e-01,-3.0955587106806386e-04,-2.3673501227943100e-01,7.6536640206441839e-02,-2.3052213554811113e-01,-7.7801275596394825e-02,2.3433111448937258e-01,-3.1473714743963590e-04,-2.4069742953484075e-01,3.0955587106806299e-04,2.3673501227943100e-01,7.6536640206441839e-02,-2.3052213554811113e-01,-7.7801275596394825e-02,2.3433111448937258e-01
1.0000000000000000e+00,1.0000000000000001e-01,-2.1000000000000001e+00,3.1415926535897931e+00,1.2812264497087317e-01,7.3408868168840744e+00,True,3.4442232514241734e+05,5.8687505070706266e+02,1.2100901840354479e-01,-3.9116295921759814e-01,-6.7999217137368992e-02,2.2275238651600757e-01,-7.8198834602827685e-02,-2.1953970762391670e-01,1.3876432363390812e-01,3.8556497932777817e-01,8.6630498941872927e-03,3.0966097718309471e-01,-4.9803026867702698e-03,-1.7802106827153186e-01,-1.1492106772203992e-01,-1.5565661300707884e-01,2.0377531283660069e-01,2.7600661601336590e-01,-8.6630498941872545e-03,-3.0966097718309471e-01,4.9803026867702039e-03,1.7802106827153177e-01,-1.1492106772203992e-01,-1.5565661300707886e-01,2.0377531283660069e-01,2.7600661601336596e-01
1.0000000000000000e+00,1.0000000000000001e-01,-1.8999999999999999e+00,3.1415926535897931e+00,5.0643873675886138e-02,2.9016802198219662e+00,True,3.0498645741291847e+06,1.7463861469128713e+03,1.2165278852121646e-01,-3.9413116203971504e-01,-6.8554679424347051e-02,2.2309201116177377e-01,-7.7689174334151151e-02,-2.2022413779141978e-01,1.3773794268426764e-01,3.8908073533490423e-01,3.4362734757399575e-03,3.1108895566321465e-01,-1.9516371586085050e-03,-1.7668348278772908e-01,-1.1157938380605158e-01,-1.5660896850278896e-01,1.9780215837069495e-01,2.7762827624057451e-01,-3.4362734757399367e-03,-3.1108895566321465e-01,1.9516371586084740e-03,1.7668348278772911e-01,-1.1157938380605158e-01,-1.5660896850278888e-01,1.9780215837069495e-01,2.7762827624057462e-01
1.0000000000000000e+00,1.0000000000000001e-01,-1.7000000000000002e+00,3.1415926535897931e+00,3.0038990596733407e-02,1.7211073820259906e+00,True,1.2578309257952221e+07,3.5465912166405956e+03,-1.3682392838015173e-01,-3.9252975886262192e-01,7.7113602243239723e-02,2.2084591713702623e-01,6.9017473173640875e-02,-2.2338668496955233e-01,-1.2240744871730298e-01,3.9705394807253497e-01,1.8067268394692010e-03,2.7579652007895061e-01,-1.0146857339849477e-03,-1.5489159085536267e-01,9.6456646433765864e-02,-1.4055234480107970e-01,-1.7106473521033738e-01,2.4926794094069141e-01,-1.8067268394692166e-03,-2.7579652007895072e-01,1.0146857339849394e-03,1.5489159085536267e-01,9.6456646433765864e-02,-1.4055234480107959e-01,-1.7106473521033727e-01,2.4926794094069141e-01
1.0000000000000000e+00,1.0000000000000001e-01,-1.5000000000000000e+00,3.1415926535897931e+00,1.1447169605554723e-01,6.5587450576872097e+00,True,1.3419838638162068e+06,1.1584402720106923e+03,-1.3602170326671639e-01,-3.9592171024690959e-01,7.6470953366515382e-02,2.2140101837679166e-01,6.9388968004553325e-02,-2.2363522217801110e-01,-1.2327440639900795e-01,3.9993997132976011e-01,6.9667177646817440e-03,2.7879631367115282e-01,-3.8731446844364054e-03,-1.5499672827426142e-01,9.3781173117541208e-02,-1.4220243513472075e-01,-1.6651205320513965e-01,2.5248585252154604e-01,-6.9667177646817518e-03,-2.7879631367115282e-01,3.8731446844363932e-03,1.5499672827426142e-01,9.3781173117541208e-02,-1.4220243513472081e-01,-1.6651205320513965e-01,2.5248585252154604e-01
