lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phi_in_lepton,phiOut,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,squared_amplitude_M2,lepton_heavy_unpolarized_proton_unpolarized_trace,lepton_heavy_unpolarized_proton_unpolarized_spin_signal_M2,lepton_heavy_unpolarized_proton_unpolarized_cross_section_ratio,lepton_heavy_unpolarized_proton_unpolarized_purity,lepton_heavy_unpolarized_proton_unpolarized_GHZ_purity,lepton_heavy_unpolarized_proton_unpolarized_W_purity,lepton_heavy_unpolarized_proton_unpolarized_h_out_mean,lepton_heavy_unpolarized_proton_unpolarized_lambda_mean,lepton_heavy_unpolarized_proton_unpolarized_h_lambda,lepton_heavy_unpolarized_proton_unpolarized_h_lambda_connected,lepton_heavy_unpolarized_proton_L_trace,lepton_heavy_unpolarized_proton_L_spin_signal_M2,lepton_heavy_unpolarized_proton_L_cross_section_ratio,lepton_heavy_unpolarized_proton_L_purity,lepton_heavy_unpolarized_proton_L_GHZ_purity,lepton_heavy_unpolarized_proton_L_W_purity,lepton_heavy_unpolarized_proton_L_h_out_mean,lepton_heavy_unpolarized_proton_L_lambda_mean,lepton_heavy_unpolarized_proton_L_h_lambda,lepton_heavy_unpolarized_proton_L_h_lambda_connected,lepton_heavy_L_proton_unpolarized_trace,lepton_heavy_L_proton_unpolarized_spin_signal_M2,lepton_heavy_L_proton_unpolarized_cross_section_ratio,lepton_heavy_L_proton_unpolarized_purity,lepton_heavy_L_proton_unpolarized_GHZ_purity,lepton_heavy_L_proton_unpolarized_W_purity,lepton_heavy_L_proton_unpolarized_h_out_mean,lepton_heavy_L_proton_unpolarized_lambda_mean,lepton_heavy_L_proton_unpolarized_h_lambda,lepton_heavy_L_proton_unpolarized_h_lambda_connected,lepton_heavy_unpolarized_proton_Tx_trace,lepton_heavy_unpolarized_proton_Tx_spin_signal_M2,lepton_heavy_unpolarized_proton_Tx_cross_section_ratio,lepton_heavy_unpolarized_proton_Tx_purity,lepton_heavy_unpolarized_proton_Tx_GHZ_purity,lepton_heavy_unpolarized_proton_Tx_W_purity,lepton_heavy_unpolarized_proton_Tx_h_out_mean,lepton_heavy_unpolarized_proton_Tx_lambda_mean,lepton_heavy_unpolarized_proton_Tx_h_lambda,lepton_heavy_unpolarized_proton_Tx_h_lambda_connected,lepton_heavy_unpolarized_proton_Ty_trace,lepton_heavy_unpolarized_proton_Ty_spin_signal_M2,lepton_heavy_unpolarized_proton_Ty_cross_section_ratio,lepton_heavy_unpolarized_proton_Ty_purity,lepton_heavy_unpolarized_proton_Ty_GHZ_purity,lepton_heavy_unpolarized_proton_Ty_W_purity,lepton_heavy_unpolarized_proton_Ty_h_out_mean,lepton_heavy_unpolarized_proton_Ty_lambda_mean,lepton_heavy_unpolarized_proton_Ty_h_lambda,lepton_heavy_unpolarized_proton_Ty_h_lambda_connected,lepton_heavy_Tx_proton_unpolarized_trace,lepton_heavy_Tx_proton_unpolarized_spin_signal_M2,lepton_heavy_Tx_proton_unpolarized_cross_section_ratio,lepton_heavy_Tx_proton_unpolarized_purity,lepton_heavy_Tx_proton_unpolarized_GHZ_purity,lepton_heavy_Tx_proton_unpolarized_W_purity,lepton_heavy_Tx_proton_unpolarized_h_out_mean,lepton_heavy_Tx_proton_unpolarized_lambda_mean,lepton_heavy_Tx_proton_unpolarized_h_lambda,lepton_heavy_Tx_proton_unpolarized_h_lambda_connected,lepton_heavy_Ty_proton_unpolarized_trace,lepton_heavy_Ty_proton_unpolarized_spin_signal_M2,lepton_heavy_Ty_proton_unpolarized_cross_section_ratio,lepton_heavy_Ty_proton_unpolarized_purity,lepton_heavy_Ty_proton_unpolarized_GHZ_purity,lepton_heavy_Ty_proton_unpolarized_W_purity,lepton_heavy_Ty_proton_unpolarized_h_out_mean,lepton_heavy_Ty_proton_unpolarized_lambda_mean,lepton_heavy_Ty_proton_unpolarized_h_lambda,lepton_heavy_Ty_proton_unpolarized_h_lambda_connected,lepton_heavy_L_proton_L_trace,lepton_heavy_L_proton_L_spin_signal_M2,lepton_heavy_L_proton_L_cross_section_ratio,lepton_heavy_L_proton_L_purity,lepton_heavy_L_proton_L_GHZ_purity,lepton_heavy_L_proton_L_W_purity,lepton_heavy_L_proton_L_h_out_mean,lepton_heavy_L_proton_L_lambda_mean,lepton_heavy_L_proton_L_h_lambda,lepton_heavy_L_proton_L_h_lambda_connected,lepton_heavy_L_proton_Tx_trace,lepton_heavy_L_proton_Tx_spin_signal_M2,lepton_heavy_L_proton_Tx_cross_section_ratio,lepton_heavy_L_proton_Tx_purity,lepton_heavy_L_proton_Tx_GHZ_purity,lepton_heavy_L_proton_Tx_W_purity,lepton_heavy_L_proton_Tx_h_out_mean,lepton_heavy_L_proton_Tx_lambda_mean,lepton_heavy_L_proton_Tx_h_lambda,lepton_heavy_L_proton_Tx_h_lambda_connected,lepton_heavy_L_proton_Ty_trace,lepton_heavy_L_proton_Ty_spin_signal_M2,lepton_heavy_L_proton_Ty_cross_section_ratio,lepton_heavy_L_proton_Ty_purity,lepton_heavy_L_proton_Ty_GHZ_purity,lepton_heavy_L_proton_Ty_W_purity,lepton_heavy_L_proton_Ty_h_out_mean,lepton_heavy_L_proton_Ty_lambda_mean,lepton_heavy_L_proton_Ty_h_lambda,lepton_heavy_L_proton_Ty_h_lambda_connected,lepton_heavy_Tx_proton_Tx_trace,lepton_heavy_Tx_proton_Tx_spin_signal_M2,lepton_heavy_Tx_proton_Tx_cross_section_ratio,lepton_heavy_Tx_proton_Tx_purity,lepton_heavy_Tx_proton_Tx_GHZ_purity,lepton_heavy_Tx_proton_Tx_W_purity,lepton_heavy_Tx_proton_Tx_h_out_mean,lepton_heavy_Tx_proton_Tx_lambda_mean,lepton_heavy_Tx_proton_Tx_h_lambda,lepton_heavy_Tx_proton_Tx_h_lambda_connected,lepton_heavy_Tx_proton_Ty_trace,lepton_heavy_Tx_proton_Ty_spin_signal_M2,lepton_heavy_Tx_proton_Ty_cross_section_ratio,lepton_heavy_Tx_proton_Ty_purity,lepton_heavy_Tx_proton_Ty_GHZ_purity,lepton_heavy_Tx_proton_Ty_W_purity,lepton_heavy_Tx_proton_Ty_h_out_mean,lepton_heavy_Tx_proton_Ty_lambda_mean,lepton_heavy_Tx_proton_Ty_h_lambda,lepton_heavy_Tx_proton_Ty_h_lambda_connected
heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.6142142099600090e+00,7.6757448723177912e+00,7.7828726401333381e-01,-8.8124593364541575e+00,1.0946329400317003e-02,4.0568122734890681e-03,3.0664535914272131e+00,5.0225883396542115e-01,1.1147357085022459e-01,6.3869651369704288e+00,6.3468179524582602e-01,6.6324563177635659e-02,6.3468179524582602e-01,6.6324563177635659e-02,True,3.0368427005374047e-03,1.0000000000000000e+00,3.0368427005374047e-03,1.0000000000000000e+00,3.8569071716491754e-01,7.6532516127367205e-03,1.4578433058636026e-01,-5.5511151231257827e-16,4.9960036108132044e-16,-9.6516258423388734e-01,-9.6516258423388734e-01,1.0000000000000000e+00,3.0368427005374055e-03,1.0000000000000002e+00,7.3840601790934657e-01,7.6532516127367188e-03,2.6952899513222474e-02,-6.5726821642940436e-01,6.8310477313019724e-01,-9.6516258423388746e-01,-5.1617952836418979e-01,1.0000000000000000e+00,3.0368427005374064e-03,1.0000000000000007e+00,7.2818747110877058e-01,7.6532516127367041e-03,2.2804400076667376e-02,-9.1699139086893755e-01,9.4508134924910714e-01,-9.6516258423388746e-01,-9.8531123301656587e-02,1.0000000000000000e+00,3.0368427005374042e-03,9.9999999999999989e-01,5.0000001133869598e-01,7.6532516127367067e-03,1.4594575061253509e-01,1.0694651497722418e-08,-1.5114497819990191e-08,-9.6516258423388734e-01,-9.6516258423388723e-01,9.9999999999999978e-01,3.0368427005374042e-03,9.9999999999999989e-01,5.3297540508179253e-01,7.6532516127367362e-03,2.1851191502982401e-01,2.4445751114512715e-01,-2.5412756081915866e-01,-9.6516258423388734e-01,-9.0303919320265391e-01,1.0000000000000000e+00,3.0368427005374029e-03,9.9999999999999944e-01,5.0000001133875305e-01,7.6532516127367101e-03,1.4428574858461793e-01,3.0362815085505090e-06,-3.2875504660800914e-06,-9.6516258423388757e-01,-9.6516258422390566e-01,9.9999999999999989e-01,3.0368427005374029e-03,9.9999999999999944e-01,5.4319395188231179e-01,7.6532516127367214e-03,2.1123604981596547e-01,-2.8666915040788998e-01,2.6618713736237631e-01,-9.6516258423388734e-01,-8.8885494371670659e-01,1.0000000000000000e+00,4.9597462247411772e-03,1.6331916776142184e+00,9.9999999999999989e-01,6.6759045947371257e-03,1.4856445293975774e-02,-9.6391601113106062e-01,9.9693510853409106e-01,-9.6631172481214012e-01,-5.3500116374480822e-03,1.0000000000000002e+00,3.0368426671048719e-03,9.9999998899102260e-01,1.0000000000000002e+00,7.5920871089786551e-03,2.3027352738712373e-02,-9.1699139026942311e-01,9.4508134453898829e-01,-9.6516258526174403e-01,-9.8531129215241542e-02,1.0000000000000000e+00,2.3217759170503310e-03,7.6453611398425925e-01,9.9999999999999978e-01,9.4764772717420651e-04,5.9592980989616171e-02,-8.7966267050356295e-01,9.0375559217098533e-01,-9.6424374657986134e-01,-1.6924368888820340e-01,1.0000000000000000e+00,3.0373000191206744e-03,1.0001505901452152e+00,1.0000000000000002e+00,1.5303531408911296e-02,1.0150637770575464e-01,3.0465173853633232e-06,-3.3021676906774822e-06,-9.6531350621298828e-01,-9.6531350620292822e-01,1.0000000000000000e+00,3.0368430576712849e-03,1.0000001176003881e+00,1.0000000000000002e+00,7.5637153139426171e-03,2.1586312744576772e-01,2.4446051867798435e-01,-2.5413081848374225e-01,-9.6516249873311799e-01,-9.0303754703452166e-01
heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.7123889803846897e+00,7.7761491316538738e+00,7.8007722809805335e-01,-8.8152816178218991e+00,1.0939806305404115e-02,4.0534831163427367e-03,3.0721298534479300e+00,5.0766118278171757e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.8305267525056104e-01,6.3486432166545925e-02,5.8305267525056104e-01,6.3486432166545925e-02,True,2.2949683593948736e-02,9.9999999999999989e-01,2.2949683593948736e-02,1.0000000000000000e+00,3.7343772957878030e-01,1.9381008244371628e-01,6.5328851716442440e-02,-1.1102230246251565e-16,8.3266726846886741e-17,1.3160210103627529e-03,1.3160210103627529e-03,1.0000000000000002e+00,2.2949683593948732e-02,9.9999999999999989e-01,7.1705231166691119e-01,1.9381008244371620e-01,3.7062439845856131e-02,5.1599330145301603e-01,6.2378684558488620e-02,1.3160210103627251e-03,-3.0870962375268089e-02,1.0000000000000000e+00,2.2949683593948736e-02,1.0000000000000000e+00,7.4454801711331642e-01,1.9381008244371623e-01,4.3835755710652929e-02,8.1625729151418680e-01,1.5375692776923303e-01,1.3160210103626280e-03,-1.2418919240209397e-01,1.0000000000000000e+00,2.2949683593948729e-02,9.9999999999999967e-01,5.0001632009477026e-01,1.9381008244371631e-01,6.5328705195200884e-02,-1.1102230246251565e-16,6.9388939039072284e-17,1.3160210103627529e-03,1.3160210103627529e-03,1.0000000000000000e+00,2.2949683593948729e-02,9.9999999999999967e-01,5.2980682739587981e-01,1.9381008244371623e-01,5.6753537359281375e-02,-1.9010894136062240e-01,-2.3897432598920160e-02,1.3160210103627668e-03,-3.2270946022547719e-03,1.0000000000000000e+00,2.2949683593948729e-02,9.9999999999999967e-01,5.0001632009477026e-01,1.9381008244371628e-01,6.5328768806624610e-02,-3.3306690738754696e-16,2.4286128663675299e-16,1.3160210103629957e-03,1.3160210103629957e-03,1.0000000000000000e+00,2.2949683593948726e-02,9.9999999999999956e-01,5.0231112194947447e-01,1.9381008244371628e-01,4.5066253648517796e-02,1.0128723179487525e-01,-3.2702624609693587e-01,1.3160210103629610e-03,3.4439604201791221e-02,1.0000000000000000e+00,3.7997747389906786e-02,1.6556980942397765e+00,1.0000000000000002e+00,2.0592108846055227e-01,2.9868536467594194e-02,8.0464584552107821e-01,1.3054047297612043e-01,-4.2704644371329092e-02,-1.4774349362392097e-01,1.0000000000000000e+00,2.2949683593948729e-02,9.9999999999999967e-01,1.0000000000000002e+00,1.9381017662963809e-01,4.3835794211009242e-02,8.1625729151418691e-01,1.5375692776923311e-01,1.3160210103627251e-03,-1.2418919240209396e-01,9.9999999999999978e-01,1.7367858010071693e-02,7.5677984574267365e-01,1.0000000000000000e+00,8.9403222486962364e-02,1.1537051487935453e-01,8.2738507595836819e-01,1.7159481175515945e-01,3.7942720927515050e-02,-1.0403226543058944e-01,1.0000000000000000e+00,2.3080798792914629e-02,1.0057131593308966e+00,1.0000000000000000e+00,3.8541820924826065e-01,1.2289598233955652e-01,-4.4408920985006262e-16,2.7755575615628914e-16,1.3085450838074691e-03,1.3085450838074691e-03,1.0000000000000000e+00,2.2949683593948726e-02,9.9999999999999956e-01,1.0000000000000002e+00,1.9381053482971947e-01,5.6753328582036043e-02,-1.9010894136062290e-01,-2.3897432598919976e-02,1.3160210103629437e-03,-3.2270946022545724e-03
heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,4.8105637508093704e+00,7.8822613522988512e+00,7.8283467891802760e-01,-8.8124593364541575e+00,1.0946329400317003e-02,4.0568122734890681e-03,3.0664535914272131e+00,5.1277607169108108e-01,1.1147357085022459e-01,6.3869651369704288e+00,5.3142355525529605e-01,6.6324563177635659e-02,5.3142355525529605e-01,6.6324563177635659e-02,True,8.9336356483678853e-02,1.0000000000000000e+00,8.9336356483678853e-02,1.0000000000000000e+00,3.6172453251939507e-01,2.1499307660976241e-01,9.2140561727140316e-02,1.6653345369377348e-16,6.9388939039072284e-18,1.0604411748272563e-01,1.0604411748272563e-01,9.9999999999999989e-01,8.9336356483678867e-02,1.0000000000000002e+00,6.9654107762932027e-01,2.1499307660976244e-01,2.6565622242406092e-02,6.0048484388959689e-01,4.4301532255055953e-02,1.0604411748272555e-01,7.9441718802478328e-02,1.0000000000000002e+00,8.9336356483678867e-02,1.0000000000000002e+00,7.1890138670719317e-01,2.1499307660976233e-01,3.2232837219960182e-02,9.6126659995166330e-01,1.0694064941663467e-01,1.0604411748272558e-01,3.2456430213743392e-03,1.0000000000000002e+00,8.9336356483678825e-02,9.9999999999999967e-01,5.0001556782814682e-01,2.1499307660976236e-01,9.2365215740519147e-02,-2.4021706845900326e-10,4.4314318187188562e-10,1.0604411748272558e-01,1.0604411748272558e-01,9.9999999999999989e-01,8.9336356483678839e-02,9.9999999999999989e-01,5.2689241958132271e-01,2.1499307660976241e-01,7.4578395159005745e-02,-2.2182409633320144e-01,-1.6739674747018929e-02,1.0604411748272560e-01,1.0233085425905641e-01,1.0000000000000002e+00,8.9336356483678839e-02,9.9999999999999989e-01,5.0001556782814682e-01,2.1499307660976236e-01,9.2809823509414746e-02,-9.5165665348062589e-08,1.0876952596244882e-07,1.0604411748272563e-01,1.0604411748273598e-01,1.0000000000000000e+00,8.9336356483678825e-02,9.9999999999999967e-01,5.0453211050345015e-01,2.1499307660976241e-01,6.0216127739083691e-02,-8.4028633465426772e-02,-1.8128984306474838e-01,1.0604411748272563e-01,9.0810579708833147e-02,1.0000000000000002e+00,1.4476670332569083e-01,1.6204679597845333e+00,1.0000000000000000e+00,2.3198664205758124e-01,2.3216105476440388e-02,9.6376570385811255e-01,9.3332411022678141e-02,8.2463600034455464e-02,-7.4869767675905946e-03,1.0000000000000000e+00,8.9336356524691435e-02,1.0000000004590806e+00,9.9999999999999989e-01,2.1556634690038098e-01,3.2445718622397784e-02,9.6126659927014724e-01,1.0694064981068357e-01,1.0604411703059041e-01,3.2456422633349025e-03,1.0000000000000000e+00,6.8804093165745386e-02,7.7016900928028587e-01,9.9999999999999978e-01,9.4054487470422360e-02,8.3113478426005902e-02,9.6010420402329888e-01,1.1711841632514873e-01,1.2488624324457227e-01,1.2440359362246023e-02,1.0000000000000000e+00,8.9834847399415801e-02,1.0055799333592479e+00,1.0000000000000002e+00,4.2758059975887508e-01,1.5446956700821132e-01,-9.4876478118344210e-08,1.0860665131118274e-07,1.0578636469391609e-01,1.0578636469392638e-01,1.0000000000000000e+00,8.9336356061743075e-02,9.9999999527699812e-01,1.0000000000000002e+00,2.1750807264428840e-01,7.5650726197788315e-02,-2.2182419254654301e-01,-1.6739566056553815e-02,1.0604411907807700e-01,1.0233087835400242e-01
heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0912811944202923e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.6142142099600090e+00,8.4372491274696007e+00,7.9417934205602159e-01,-9.6762273982986926e+00,9.1814286386391140e-03,3.1847711971941064e-03,3.0664535914272131e+00,5.4103986142273464e-01,1.1147357085022459e-01,6.3869651369704288e+00,6.8581369859218899e-01,6.6324563177635659e-02,6.8581369859218899e-01,6.6324563177635659e-02,True,1.9625774542019929e-03,9.9999999999999989e-01,1.9625774542019929e-03,1.0000000000000000e+00,3.8391961281160503e-01,3.0520704785585662e-02,1.7453290360432078e-01,5.5511151231257827e-17,-5.5511151231257827e-17,-8.5647248657974773e-01,-8.5647248657974773e-01,1.0000000000000000e+00,1.9625774542019929e-03,1.0000000000000000e+00,7.3900390985729292e-01,3.0520704785585676e-02,1.4581779493857477e-02,-6.0415731371886472e-01,7.0546158283788696e-01,-8.5647248657974773e-01,-4.3026271176055159e-01,1.0000000000000000e+00,1.9625774542019929e-03,1.0000000000000000e+00,7.3506465715197955e-01,3.0520704785585676e-02,1.0207428788062202e-02,-7.6511089692304624e-01,8.9478259361232393e-01,-8.5647248657974773e-01,-1.7186457382989295e-01,1.0000000000000000e+00,1.9625774542019921e-03,9.9999999999999956e-01,5.0027703041760430e-01,3.0520704785585655e-02,1.6902985780838350e-01,-2.0568898294543780e-02,2.4016386118052013e-02,-8.5647248657974795e-01,-8.5597849597628328e-01,1.0000000000000000e+00,1.9625774542019921e-03,9.9999999999999956e-01,5.2855828534831339e-01,3.0520704785585651e-02,2.3388109575287472e-01,2.0883987904738044e-01,-2.4384288269446691e-01,-8.5647248657974795e-01,-8.0554836845127087e-01,9.9999999999999978e-01,1.9625774542019929e-03,1.0000000000000000e+00,5.0031488541845159e-01,3.0520704785585651e-02,1.6859298001993531e-01,4.3448390397935188e-02,-3.7421470690123637e-02,-8.5647248657974795e-01,-8.5484658391193857e-01,1.0000000000000000e+00,1.9625774542019929e-03,1.0000000000000000e+00,5.3245968305277891e-01,3.0520704785585637e-02,2.2034457419989620e-01,-4.4111305389832711e-01,3.7991824965687992e-01,-8.5647248657974784e-01,-6.8888558724189441e-01,9.9999999999999989e-01,3.2337405593597505e-03,1.6477008601296845e+00,9.9999999999999967e-01,3.0024410234932401e-02,6.7609232468497961e-03,-8.3101747639686296e-01,9.7119824063468763e-01,-8.5699968715255881e-01,-4.9916976139247393e-02,1.0000000000000000e+00,2.0058546162088327e-03,1.0220511867769504e+00,9.9999999999999989e-01,3.1988598779414776e-02,9.1724678448861022e-03,-7.6872842122050633e-01,8.9897550300569451e-01,-8.5650125522713161e-01,-1.6543323608565352e-01,1.0000000000000000e+00,1.5231763247941822e-03,7.7611017161792661e-01,1.0000000000000000e+00,8.6262706794783487e-03,2.6205048491612804e-02,-7.1674233661443898e-01,8.3872075733895934e-01,-8.5608782614909373e-01,-2.5494115076693613e-01,1.0000000000000000e+00,1.9610176194867273e-03,9.9920521113094118e-01,1.0000000000000002e+00,6.0683210090308942e-02,1.2775454597489885e-01,2.2897690933272430e-02,-1.3415747258662847e-02,-8.5613841520300449e-01,-8.5583122556863678e-01,9.9999999999999989e-01,1.9786629661937573e-03,1.0081961157544761e+00,9.9999999999999967e-01,3.4704157552024148e-02,2.1687428683350912e-01,2.5023729560445429e-01,-2.7897781888805251e-01,-8.5904736694086781e-01,-7.8923671200869228e-01
heavy,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0919517662412601e+00,2.5000000000000000e-01,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424680702e-02,4.7123889803846897e+00,8.5369359217719580e+00,7.9567149422605710e-01,-9.6793266479305142e+00,9.1758503507024299e-03,3.1821056263774510e-03,3.0721298534479309e+00,5.4640567199123502e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.3468179524582624e-01,6.3486432166545925e-02,6.3468179524582624e-01,6.3486432166545925e-02,True,1.0996957152310586e-02,1.0000000000000000e+00,1.0996957152310586e-02,1.0000000000000000e+00,3.9447807495526616e-01,1.9429963313253476e-01,5.5451645798921964e-02,1.1102230246251565e-16,-4.8572257327350599e-17,-2.9576863074207656e-02,-2.9576863074207656e-02,1.0000000000000000e+00,1.0996957152310586e-02,1.0000000000000000e+00,7.5790106557909775e-01,1.9429963313253470e-01,3.4059060526234947e-02,5.3169138817341910e-01,8.4413725037426390e-02,-2.9576863074207919e-02,-7.4458913720246461e-02,9.9999999999999989e-01,1.0996957152310589e-02,1.0000000000000002e+00,7.8670932975637875e-01,1.9429963313253473e-01,3.8503513413152439e-02,7.7193604946336603e-01,1.6823373055015470e-01,-2.9576863074207732e-02,-1.5944254442157854e-01,9.9999999999999989e-01,1.0996957152310586e-02,1.0000000000000000e+00,5.0030633212629305e-01,1.9429963313253479e-01,5.6154065003061381e-02,1.7989097144234578e-02,2.9343513886621320e-03,-2.9576863074207718e-02,-2.9629649406393680e-02,1.0000000000000000e+00,1.0996957152310586e-02,1.0000000000000000e+00,5.3074875220514117e-01,1.9429963313253470e-01,4.8318575427202470e-02,-1.8264661311003166e-01,-2.9793009538870995e-02,-2.9576863074207611e-02,-3.5018455360837267e-02,1.0000000000000000e+00,1.0996957152310586e-02,1.0000000000000000e+00,5.0002956161534384e-01,1.9429963313253473e-01,5.6911262179974394e-02,-1.0482906181689899e-02,3.1303453519030501e-02,-2.9576863074207434e-02,-2.9248711907804547e-02,1.0000000000000000e+00,1.0996957152310584e-02,9.9999999999999989e-01,5.0221725853880916e-01,1.9429963313253476e-01,4.0631149215810285e-02,1.0643459003325906e-01,-3.1782887151491401e-01,-2.9576863074207566e-02,4.2511225662156746e-03,1.0000000000000000e+00,1.8863671107387577e-02,1.7153536970382852e+00,9.9999999999999978e-01,2.0313445992732468e-01,2.6808462802269086e-02,7.5997588129352955e-01,1.4728592477679672e-01,-7.1469677890751371e-02,-1.8340342837512996e-01,1.0000000000000000e+00,1.1264672605942220e-02,1.0243445027495979e+00,1.0000000000000000e+00,2.0100019143108808e-01,3.3974408071055145e-02,7.7115183855357539e-01,1.6710011278369596e-01,-3.2019262642477175e-02,-1.6087882183813412e-01,1.0000000000000000e+00,8.2787928947616485e-03,7.5282578445094517e-01,1.0000000000000000e+00,1.0173203134420805e-01,1.0107400737960701e-01,7.8276999609294484e-01,1.8389476539017868e-01,4.1651140398386161e-03,-1.3978219074614456e-01,1.0000000000000000e+00,1.1043009009969622e-02,1.0041876909240626e+00,1.0000000000000000e+00,3.8364492343077261e-01,1.0709802179647672e-01,7.4748884400655524e-03,3.4095025478938779e-02,-2.9460910104869606e-02,-2.9715766616685867e-02,9.9999999999999978e-01,1.0979664623156540e-02,9.9842751691085641e-01,9.9999999999999978e-01,2.2864899581933215e-01,5.7194286284471256e-02,-1.9343369049890180e-01,1.5128228685371489e-03,-2.9547987961997056e-02,-2.9255357051464780e-02
