optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40,12330,909,3.4984963025321436,0.9890732248654498,0.07039718287283936,0.0034519411398751254,512,503,True,9.765625e-05,0.0034510928746710468,False,0.010926775134550187,0.9296028171271606,0.9965480588601249,0.9258676244024053,0.04266233515320404,0.1419429291362877,0.3097531684357598,0.7137651717215495,0.8862208623912066,0.07768074411608142,0.10241977793208562,0.11383898450866582,0.055636137127421686,0.9548175819734882,0.614025982110123,0.4948140753122004,0.9980871386169706,0.4781028333955462,0.9918621651374959
1,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,6668,9,0.0,1000.0,1000.0,0.0017895492621518017,299,285,False,1e-05,0.0017895506871333788,True,nan,nan,0.9982104507378482,0.6598036184471335,0.3919956699653355,0.31669505647508306,0.8636040882157521,0.5011014938695811,0.9516396641658168,0.6532206080298696,0.0014023905863354918,0.1700554770121218,0.13838812126837166,0.9398432746853472,0.6539003783898811,0.47314819567571076,0.989330281180498,0.521434019390201,0.9887684251502462
2,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11055,126,0.048341702886148634,0.8143499371511302,0.0012358480370644465,1.5531988717065737e-05,512,504,True,0.0001953125,1.5531722972639272e-05,False,0.1856500628488698,0.9987641519629356,0.9999844680112829,0.10272091413993566,0.17747189430302807,0.6639791089514556,0.27701734063525374,0.9624814351504511,0.10905015934068854,0.31706348911948,0.3356946201952549,0.22914054737019435,1.0,0.5062099608840783,0.0,0.6085336825614236,0.9960891395470017,0.02797186733006167,0.4734435144505119
3,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,10976,117,0.05126303798918398,0.8449193813860902,0.0013159504619395523,0.001229050011933408,512,502,True,4.8828125e-05,0.001229019467320347,False,0.1550806186139097,0.9986840495380604,0.9987709499880666,0.5540584607594852,0.16152108128393977,0.687146130288706,0.22887019324569835,0.7374700766907514,0.8356167534026185,0.8510088041936995,0.7583395423390443,0.1210634811846734,0.9847948492999872,0.811716971305512,0.0,0.7550627540431147,0.4991667656758935,0.20823601609837772,0.7065837075861421
4,latin_hypercube,nan,True,False,2,ABNORMAL: ,8,11575,1278,1.957245031316371,0.6137239075860239,0.5269286104521438,0.01672645300664155,466,452,False,1e-05,0.016726469620758744,True,0.38627609241397615,0.4730713895478562,0.9832735469933584,0.41383073717461116,0.12637521007979666,0.9821057428496337,0.756496176216404,0.7860398206498198,0.29796858936518594,0.15576723596723324,0.3986758026478678,0.13258917995908062,0.1209733014317411,0.8750318944165403,0.668383871981162,0.5869441225882631,0.03231048310069094,0.05791426465830101,0.4708941253908841
5,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,11227,468,0.7174930187920887,0.9281861636412573,0.0018338256980399148,0.0011999362594498075,512,502,True,4.8828125e-05,0.0011992394619678715,False,0.07181383635874276,0.9981661743019601,0.9988000637405502,0.5311932658180069,0.22757591136509048,0.12558079422869786,0.24102582204851938,0.5951092804950706,0.056663829935161746,0.38096575438477276,0.8868490751789878,0.34134200292747185,0.9905851077600776,0.0,0.0,0.5007944607691812,0.028724210533586213,0.004367345047403508,0.5052356278485143
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411
7,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,11652,252,0.051737236513038264,0.9349271001014534,0.0013175519829140558,0.00011657837772349744,512,504,True,0.0001953125,0.00011650618449843275,False,0.0650728998985466,0.9986824480170859,0.9998834216222765,0.739488002973425,0.3684273559468389,0.04932451882726944,0.04928277710555935,0.01933580652746851,0.9914923168087362,0.5249705338583425,0.15422686768234883,0.12701536961619572,0.9907976666582523,0.4348244664592824,0.0,0.9569960243900089,0.0054352595016691355,0.9445806591110796,0.44737569437579966
8,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253
9,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,11023,135,0.05173800457625259,0.54488634069663,0.0013270955779691729,4.00184716198293e-06,512,503,True,9.765625e-05,3.937979930812574e-06,False,0.45511365930337,0.9986729044220308,0.999995998152838,0.08325133776792965,0.42347946676996023,0.5568706111366245,0.3378896227813176,0.7914098377012042,0.996138094108367,0.36022726811257433,0.8263359294198536,0.07610120136408834,1.0,0.9994292206767327,0.0,0.00025289158399128186,8.212755384340298e-05,0.11691475573626768,0.6245473017824201
