detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_37,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_37,gradient_local_minimum,16,16,9.9999998703097881e-01,1.0000000000000000e+00,3.0942099356045274e+00,1.5147877497513114e+00,3.996704718278217,2.638153223736741,1.1308119491122315,6.283159888863751,1.025725048788529,3.6539388368416303
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_38,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_38,gradient_local_minimum,17,17,9.9999998585193572e-01,9.9999999999999989e-01,8.9855656173858878e-02,1.4936232772970983e+00,4.1931359783095665,2.4266339479776335,1.351259333561359,6.283108608140192,1.2018514088072705,2.720422652779758
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_39,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_39,gradient_local_minimum,18,18,9.9999998542711133e-01,9.9999999999999978e-01,8.2787104917384535e-01,1.4315270476621724e+00,4.250337320130885,0.2814898032344999,3.1403082632152284,0.0010727052412157327,1.5787284392230323,3.1459790772568494
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_41,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_41,gradient_local_minimum,19,19,9.9999998366280030e-01,1.0000000000000000e+00,2.3410865472959030e+00,1.7246669622666040e+00,4.999648959327574,0.233725042911661,3.13840272103553,3.1402525947895787,1.939552575412889,6.269902075212994
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_42,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_42,gradient_local_minimum,20,20,9.9999998184525341e-01,1.0000000000000002e+00,2.2742659205769553e+00,1.4294943094109760e+00,4.236807865563133,0.19421450636986762,3.1309130011014146,0.0,0.907435962285671,2.3797869496895954e-06
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_43,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_43,gradient_local_minimum,21,21,9.9999998111805921e-01,1.0000000000000000e+00,2.2955018853054354e+00,1.5592248810809783e+00,3.8225258020307677,0.06524456334717456,3.1171405593696795,0.011540382789933263,1.416428515235716,0.013616411308380127
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_44,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_44,gradient_local_minimum,22,22,9.9999998072258567e-01,9.9999999999999978e-01,5.4331925504234165e-02,1.5107738243545938e+00,4.1208528678544045,2.5856103834254553,1.4735002768937508,6.283046230187103,0.9243862482242406,2.624849612406328
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_47,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_47,gradient_local_minimum,23,23,9.9999997676755670e-01,1.0000000000000000e+00,2.1615856681381671e+00,1.4326692361267475e+00,2.87811861775603,0.5031399761758765,3.1343811445163943,6.283185307179587e-05,0.6930877719342041,6.282536944136815e-05
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_50,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_50,gradient_local_minimum,24,24,9.9999997230350735e-01,1.0000000000000000e+00,7.7705104346504883e-01,1.5671810870575540e+00,4.600595094172291,0.041267174226149256,3.1082599666218327,6.036167504715932,1.758783675043399,5.748901706955659
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_51,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_51,gradient_local_minimum,25,25,9.9999997220411985e-01,9.9999999999999989e-01,2.5415220534076250e+00,1.7989003708147113e+00,3.988660487515446,1.0657069401272263,2.0738710099621205,3.1412393926827376,1.0588273780383461,0.00021622993186035997
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_58,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_58,gradient_local_minimum,26,26,9.9999996467374741e-01,1.0000000000000002e+00,1.0570613887037654e+00,1.3746992150524346e+00,4.999984140056644,1.244216326734737,3.1406519567273707,6.283153230190354,0.6563873142480775,6.282503077886005
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_59,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_59,gradient_local_minimum,27,27,9.9999996433043492e-01,9.9999999999999989e-01,6.0971064226900363e-03,1.5540799827116316e+00,4.432188183872402,2.967752682689106,2.449490810589489,3.1792856645237896e-05,0.7581442542893796,1.0515147218406278
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_63,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_63,gradient_local_minimum,28,28,9.9999996298096361e-01,1.0000000000000002e+00,3.1414819112207155e+00,1.5540497736586125e+00,5.0,2.939207514194469,2.581259160115961,7.735416178069431e-05,1.183525056634452,2.5347753599277995e-05
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_66,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_66,gradient_local_minimum,29,29,9.9999996046354178e-01,1.0000000000000000e+00,6.6238568599226744e-01,1.3236967153513799e+00,4.84169672148094,0.8719861713199049,2.2692641402643643,6.282985824913581,1.9446725366453361,3.141709787427745
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_67,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_67,gradient_local_minimum,30,30,9.9999996040239969e-01,9.9999999999999967e-01,7.5947336730860526e-01,1.5749571335612809e+00,4.15484822054915,0.035437329411005844,3.062719536932781,4.382160168717058,1.52642073571518,1.314037847844156
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_68,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_68,gradient_local_minimum,31,31,9.9999996038404571e-01,9.9999999999999989e-01,8.2461447941142751e-01,1.3652627290318993e+00,4.7337978045453735,0.3748126268679349,3.141592653589793,6.28310566743378,1.5141656712014775,1.5684839020175998
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_70,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_70,gradient_local_minimum,32,32,9.9999995929482610e-01,9.9999999999999978e-01,6.8549183248867190e-02,1.6382371028061240e+00,4.183462205178102,2.511587765890964,1.3339759995020437,3.141769165032161,1.156376685707012,0.5151174050625781
max_c_e_gamma_mixing_angles_polarization_03_local_minimum_73,C_e_gamma,C_{mu\gamma},mixing_angles,polarization_cluster_03_local_minimum_73,gradient_local_minimum,33,33,9.9999995798843466e-01,1.0000000000000000e+00,2.3553257319705021e+00,1.6996960796267853e+00,4.703664504027973,0.21256751370303983,3.1340009932997,3.1267442484738943,1.854497436586285,5.473395627757756
