selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_muon_unpolarized_proton_unpolarized_C_mu_p,lepton_muon_unpolarized_proton_unpolarized_C_mu_gamma,lepton_muon_unpolarized_proton_unpolarized_C_p_gamma,lepton_muon_unpolarized_proton_unpolarized_C_mu_rest,lepton_muon_unpolarized_proton_unpolarized_C_p_rest,lepton_muon_unpolarized_proton_unpolarized_C_gamma_rest,lepton_muon_unpolarized_proton_unpolarized_W_purity,lepton_muon_unpolarized_proton_L_C_mu_p,lepton_muon_unpolarized_proton_L_C_mu_gamma,lepton_muon_unpolarized_proton_L_C_p_gamma,lepton_muon_unpolarized_proton_L_C_mu_rest,lepton_muon_unpolarized_proton_L_C_p_rest,lepton_muon_unpolarized_proton_L_C_gamma_rest,lepton_muon_unpolarized_proton_L_W_purity,lepton_muon_L_proton_unpolarized_C_mu_p,lepton_muon_L_proton_unpolarized_C_mu_gamma,lepton_muon_L_proton_unpolarized_C_p_gamma,lepton_muon_L_proton_unpolarized_C_mu_rest,lepton_muon_L_proton_unpolarized_C_p_rest,lepton_muon_L_proton_unpolarized_C_gamma_rest,lepton_muon_L_proton_unpolarized_W_purity,lepton_muon_unpolarized_proton_Tx_C_mu_p,lepton_muon_unpolarized_proton_Tx_C_mu_gamma,lepton_muon_unpolarized_proton_Tx_C_p_gamma,lepton_muon_unpolarized_proton_Tx_C_mu_rest,lepton_muon_unpolarized_proton_Tx_C_p_rest,lepton_muon_unpolarized_proton_Tx_C_gamma_rest,lepton_muon_unpolarized_proton_Tx_W_purity,lepton_muon_unpolarized_proton_Ty_C_mu_p,lepton_muon_unpolarized_proton_Ty_C_mu_gamma,lepton_muon_unpolarized_proton_Ty_C_p_gamma,lepton_muon_unpolarized_proton_Ty_C_mu_rest,lepton_muon_unpolarized_proton_Ty_C_p_rest,lepton_muon_unpolarized_proton_Ty_C_gamma_rest,lepton_muon_unpolarized_proton_Ty_W_purity,lepton_muon_Tx_proton_unpolarized_C_mu_p,lepton_muon_Tx_proton_unpolarized_C_mu_gamma,lepton_muon_Tx_proton_unpolarized_C_p_gamma,lepton_muon_Tx_proton_unpolarized_C_mu_rest,lepton_muon_Tx_proton_unpolarized_C_p_rest,lepton_muon_Tx_proton_unpolarized_C_gamma_rest,lepton_muon_Tx_proton_unpolarized_W_purity,lepton_muon_Ty_proton_unpolarized_C_mu_p,lepton_muon_Ty_proton_unpolarized_C_mu_gamma,lepton_muon_Ty_proton_unpolarized_C_p_gamma,lepton_muon_Ty_proton_unpolarized_C_mu_rest,lepton_muon_Ty_proton_unpolarized_C_p_rest,lepton_muon_Ty_proton_unpolarized_C_gamma_rest,lepton_muon_Ty_proton_unpolarized_W_purity,lepton_muon_L_proton_L_C_mu_p,lepton_muon_L_proton_L_C_mu_gamma,lepton_muon_L_proton_L_C_p_gamma,lepton_muon_L_proton_L_C_mu_rest,lepton_muon_L_proton_L_C_p_rest,lepton_muon_L_proton_L_C_gamma_rest,lepton_muon_L_proton_L_W_purity,lepton_muon_L_proton_Tx_C_mu_p,lepton_muon_L_proton_Tx_C_mu_gamma,lepton_muon_L_proton_Tx_C_p_gamma,lepton_muon_L_proton_Tx_C_mu_rest,lepton_muon_L_proton_Tx_C_p_rest,lepton_muon_L_proton_Tx_C_gamma_rest,lepton_muon_L_proton_Tx_W_purity,lepton_muon_L_proton_Ty_C_mu_p,lepton_muon_L_proton_Ty_C_mu_gamma,lepton_muon_L_proton_Ty_C_p_gamma,lepton_muon_L_proton_Ty_C_mu_rest,lepton_muon_L_proton_Ty_C_p_rest,lepton_muon_L_proton_Ty_C_gamma_rest,lepton_muon_L_proton_Ty_W_purity,lepton_muon_Tx_proton_Tx_C_mu_p,lepton_muon_Tx_proton_Tx_C_mu_gamma,lepton_muon_Tx_proton_Tx_C_p_gamma,lepton_muon_Tx_proton_Tx_C_mu_rest,lepton_muon_Tx_proton_Tx_C_p_rest,lepton_muon_Tx_proton_Tx_C_gamma_rest,lepton_muon_Tx_proton_Tx_W_purity,lepton_muon_Tx_proton_Ty_C_mu_p,lepton_muon_Tx_proton_Ty_C_mu_gamma,lepton_muon_Tx_proton_Ty_C_p_gamma,lepton_muon_Tx_proton_Ty_C_mu_rest,lepton_muon_Tx_proton_Ty_C_p_rest,lepton_muon_Tx_proton_Ty_C_gamma_rest,lepton_muon_Tx_proton_Ty_W_purity
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_0,0,1,4.2881221111375822e-01,5.5928957216501785e-01,nan,muon,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1985052996799346e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.3014376029327757e+00,2.1647944251435149e-02,1.0159703051359940e-02,-9.2367453085772397e-05,2.9889615064708090e+00,1.0331065997009289e-01,3.7741223720614343e+01,9.4292817254054348e-02,1.0507060565324335e-01,9.4292817254054348e-02,1.0507060565324335e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3994386228461329e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.7093742055970356e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0091664596270816e-01,1.1872285985752974e-03,5.3262516151307393e-02,3.8285203765145964e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5963532341677763e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.7721513793440744e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2881221111375822e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.8074884680874332e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3795124578811533e-01,0.0000000000000000e+00,1.2129630433797770e-01,9.8504451324143184e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4448693399541129e-01,0.0000000000000000e+00,1.2827585321524970e-01,5.5501506258427077e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2973681436331492e-01,1.1175484838946635e-01,5.4980082769956570e-02,7.8968654137999295e-01,1.2463499466699320e-01,7.9756874693437341e-01,7.9161200673652155e-01,1.3883398711118240e-06,1.0246807967660176e-01,2.3896253485408362e-03,5.9518841075489792e-01,1.3141318400041263e-01,6.0951863136429918e-01,6.0084853743487399e-01,3.9750184698256918e-02,6.0899940453039154e-02,7.9786470564158829e-02,9.0749425426101493e-01,1.1424415247404916e-01,9.1117051589315134e-01,9.1262740875021775e-01,2.5843743516189281e-02,5.7489656847185190e-02,1.4363817494588871e-01,7.9465798519603992e-01,3.9895063551847765e-01,8.7750271154450865e-01,8.8732061503258552e-01,2.6749036555351424e-01,3.2206817604366778e-01,3.7630380227896182e-01,8.8258574736727469e-01,5.6221683893546326e-01,9.7644295144402105e-01,9.9564927381787194e-01,1.4860238288072977e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_0,0,2,4.2665984972166154e-01,5.4985096311785686e-01,nan,muon,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1901423810776990e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.3996123733574573e+00,2.8079918219797138e-02,1.3592370343546854e-02,-1.6635831045008648e-04,2.9176229062587757e+00,1.0016364705443245e-01,4.3916051653031658e+01,1.2678312580808210e-01,1.4073990576273065e-01,1.2678312580808210e-01,1.4073990576273065e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3221061512595637e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.0984599657251364e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1443135089249183e-01,1.5410593473668950e-03,3.2721615109556249e-02,3.5065759918581907e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9963961837027151e-02,0.0000000000000000e+00,0.0000000000000000e+00,8.3572156036779344e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2665984972166154e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.0764253088028457e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3091322647339707e-01,0.0000000000000000e+00,6.5481286041536094e-02,8.5972639645112460e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5120710388655939e-01,0.0000000000000000e+00,6.9106179590119332e-02,6.5600473059496504e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2361221585134891e-01,8.6132453186076721e-02,3.5263014867269543e-02,7.0006139373154741e-01,9.3123419107535549e-02,7.0534704191319086e-01,7.0095586875073168e-01,1.4248895432688021e-06,7.7156447013442417e-02,1.3713185314141046e-02,7.0511493044249496e-01,9.8742063657813253e-02,7.1186307339727239e-01,7.0780221062143500e-01,2.9408549643571806e-02,4.7215400648496324e-02,5.6751819693821953e-02,9.3010145323090043e-01,8.5150666980329026e-02,9.3226530133556418e-01,9.3279690559968453e-01,1.9884154702966155e-02,4.4938017346434968e-02,1.0685197452330486e-01,8.4690271800019734e-01,3.6152443750010493e-01,9.1461839251740051e-01,9.1974166097539756e-01,2.8563638816019726e-01,2.9022888298568256e-01,3.2449335627615949e-01,9.0866042895055121e-01,5.0465478622473847e-01,9.8744331054249568e-01,9.9805181712539992e-01,1.5538316077212769e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_1,1,1,4.0854693200518244e-01,5.3618487534029202e-01,nan,muon,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1521514323872220e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.1050880620834143e+00,2.6233294262929574e-01,2.9362287676689348e-02,-7.8211819338096125e-04,9.5518606393197008e+00,4.3318402379849408e-01,3.9805074349578248e+01,1.7173370368097346e-01,3.0250911589898088e-01,1.7173370368097346e-01,3.0250911589898088e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6197271660971677e-01,3.6644100282309848e-02,3.8699407620536655e-04,5.1167987229125056e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6110920794453045e-02,2.4216301761520728e-02,7.0424874119066269e-02,4.7676750083106251e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3352823312424036e-02,1.0382502495912473e-02,1.4007396474480308e-03,6.4732902106370793e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0854693200518244e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.0208896381996511e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5313317191722784e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.7174546347247694e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6288512935299712e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.9696295070201025e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2454746262009231e-01,1.6967960032862547e-01,7.5486242931077349e-02,7.3610562202326280e-01,1.8916581995855208e-01,7.5626517919121494e-01,7.4084008131414281e-01,4.7245958759095863e-04,2.4037583289184777e-01,5.3241371664637200e-03,2.1985000101504712e-01,2.6578197939306208e-01,3.4488510706796316e-01,2.4737328410154213e-01,3.8288633593682141e-02,1.3203975519242131e-01,1.3707188528795536e-01,8.4075559712370462e-01,2.0440034097371620e-01,8.5431891515775571e-01,8.5511111150624752e-01,2.0951518605555448e-02,1.0989100227951284e-01,1.4710964498939694e-01,7.1827080927787690e-01,5.9012112548286122e-01,9.1788597573570663e-01,9.2308173058840326e-01,2.5106958666902524e-01,2.2040688627995703e-01,2.9095953115716539e-01,7.1211737423876176e-01,7.2291944734269320e-01,9.7214517563419889e-01,9.9052738243615557e-01,1.6843243533292784e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_1,1,2,4.0386465327264454e-01,5.2984204077140873e-01,nan,muon,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.1152779862982989e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.2032628325080950e+00,3.8997864709385799e-01,4.4574876127611282e-02,-1.8325752483656353e-03,9.2387095667948493e+00,4.2418975275106025e-01,4.9042172223718069e+01,2.6501161624279584e-01,4.5908465216544625e-01,2.6501161624279584e-01,4.5908465216544625e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4735533690073877e-01,2.5332322790255459e-02,8.1262713032307730e-03,4.4578237996611114e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7454866177996541e-02,1.9249921833277894e-02,2.9357218456118214e-02,4.2851729751217232e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7974284940435674e-02,0.0000000000000000e+00,0.0000000000000000e+00,7.1985391113284225e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0386465327264454e-01,0.0000000000000000e+00,0.0000000000000000e+00,7.5028760067608546e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3951006607598285e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.2531251974924888e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6560434202765495e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.9681884835731382e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1102338119945410e-01,1.1649403646229858e-01,4.1653067731703748e-02,6.2805835903273077e-01,1.2599766186253183e-01,6.3921650326994583e-01,6.2989035187701525e-01,2.9841395022907639e-04,1.7528436504714456e-01,2.3498947242055951e-02,3.8059198029526470e-01,1.9032246888602211e-01,4.2487728017660975e-01,3.8774772027796567e-01,2.8118612353981831e-02,9.6879634960588490e-02,8.7636661555735546e-02,8.5466418351003659e-01,1.4198959279387394e-01,8.6193487370433308e-01,8.6094497323456387e-01,1.6107828913494188e-02,7.7933690535690020e-02,1.0631908061712587e-01,7.6687507126283927e-01,5.7151885050577445e-01,9.5048799890325153e-01,9.5323529306565080e-01,2.7160486663711220e-01,1.7796065426382754e-01,2.2383755284277101e-01,7.5502156903286199e-01,6.7378256848409401e-01,9.8688260269759009e-01,9.9617795981070345e-01,1.7309711461207875e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_2,2,1,3.6502101215314398e-01,5.0462532674443294e-01,nan,muon,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0360452313616908e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,3.9269908169872414e-01,5.5486520934134601e-02,7.0524639751445933e-02,-5.6936488120631866e-03,1.6111253538070749e+00,3.8146623953955391e-02,1.1868383270242541e+02,7.6909224592323555e-01,7.9398868198443795e-01,7.6909224592323555e-01,7.9398868198443795e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8375977708951785e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.0287794429809213e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5791750601915339e-01,5.4682428432300354e-05,2.7397607797699352e-05,1.0003222965053883e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5242517953128396e-03,0.0000000000000000e+00,0.0000000000000000e+00,9.8922709164642764e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6502101215314398e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.9278302551730524e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8369001300752891e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.6742163184530987e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6616620488051767e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.6838324233384682e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8172441089044808e-01,6.1169491205595727e-03,5.1107718094474917e-04,1.9537220454198684e-01,6.1588243074757196e-03,1.9546858799071617e-01,1.9537352180995721e-01,1.1767659738000931e-07,4.0906554176633409e-03,3.2468093916066362e-03,9.8376611989712481e-01,5.9754243137550914e-03,9.8377892596392702e-01,9.8377577906742575e-01,1.6651057757403023e-03,3.2196428733275734e-03,3.1696493136814546e-03,9.9455088679056747e-01,5.5073006869650037e-03,9.9456108983871594e-01,9.9456092925362760e-01,1.5260540952222626e-03,3.0500130534100263e-03,7.0401247147359805e-03,9.8939317401734606e-01,1.0661356492361337e-01,9.9509585122987321e-01,9.9511608060607415e-01,3.3112109625082864e-01,8.0538984716933382e-02,8.1111167271222265e-02,9.9278666978261632e-01,1.4439958235210340e-01,9.9994879284505656e-01,9.9999504091637326e-01,1.6787968489122748e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_2,2,2,3.6199895228288387e-01,5.0377598946452240e-01,nan,muon,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.0250364542734212e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.9087385212340517e-01,5.0309780085602163e-02,7.3031612734132209e-02,-6.4123128579997328e-03,1.5184109707093203e+00,3.3400349972144271e-02,1.2399945973014199e+02,8.1839713992196772e-01,8.4034587353574863e-01,8.1839713992196772e-01,8.4034587353574863e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8199771649193613e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.2346947316140668e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5914985254645997e-01,3.8475994284723389e-05,0.0000000000000000e+00,8.9935965189390413e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2399240577286024e-03,0.0000000000000000e+00,0.0000000000000000e+00,9.9131703751734990e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6199895228288387e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.9421737640878793e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8194468516700271e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.3613810236684072e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6630940771905198e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.3794249211280734e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8027433968478171e-01,4.9557689946469145e-03,3.4876863827261223e-04,1.7632716965890158e-01,4.9860716237012928e-03,1.7639730768032885e-01,1.7632802429025143e-01,1.3712524690727448e-07,3.2316981749448003e-03,2.6301774951792509e-03,9.8712997371024236e-01,4.7774924811427805e-03,9.8713804864874211e-01,9.8713626265615062e-01,1.3374419895632820e-03,2.5897700352151293e-03,2.5528330255818353e-03,9.9560018766538649e-01,4.4464388835638250e-03,9.9560685217745992e-01,9.9560675678226207e-01,1.2417187769002969e-03,2.4486570663098031e-03,5.7086296977136098e-03,9.9143442758877154e-01,9.5597142345791364e-02,9.9601629977005601e-01,9.9602964914370440e-01,3.3164963168112110e-01,7.3005235611294655e-02,7.3420660555644363e-02,9.9421973392109397e-01,1.2980924038441660e-01,9.9996636312586196e-01,9.9999677896319039e-01,1.6778691427488648e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_3,3,1,3.6344346604142741e-01,5.0461496842752862e-01,nan,muon,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.4461029890960662e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,1.9634954084936207e-01,1.2039849141324501e+00,2.9458208067700914e-01,-1.2871713938369544e-01,3.7629539674212720e+00,1.9816374882114815e-01,1.3211274911673675e+02,2.6593285644749307e+00,3.1969624518495050e+00,2.6593285644749307e+00,3.1969624518495050e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8690220914619068e-01,4.7153747249527154e-04,2.6414663588520582e-03,1.2164152092568130e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2725532369644368e-01,4.9412066723576015e-04,1.9867150097324189e-03,1.2078515254545047e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7051275007171505e-03,0.0000000000000000e+00,0.0000000000000000e+00,9.6348487495668622e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6344346604142741e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.6441797383704353e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8619588062421508e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2196881843367080e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6985861274777031e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.2325088302282499e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7521366767200866e-01,7.7949486838825681e-03,8.9523527513984773e-04,1.9914697376551563e-01,7.9440828431269067e-03,1.9930334842641950e-01,1.9915286819416395e-01,1.1038774870000236e-06,9.6023017031430947e-03,6.5321239470574289e-03,9.3219495279871134e-01,1.2231632536682288e-02,9.3225231254155827e-01,9.3222574447870932e-01,1.9471393209716335e-03,6.0673609115824865e-03,4.9839559458053871e-03,9.7114391776917552e-01,1.0140267739225259e-02,9.7118407081938418e-01,9.7117790664944070e-01,1.7444708146096852e-03,4.1144188592266782e-04,1.1870216757166679e-02,9.6467763925358940e-01,2.4640700555472284e-01,9.9557945928027203e-01,9.9565013563993743e-01,3.3286189541673911e-01,4.0475373887065007e-02,4.2981591357181673e-02,9.6443334789370494e-01,2.6731619204866075e-01,9.9987109801057650e-01,9.9997568648002921e-01,1.7705127892187322e-01
W_purity,P_W,lepton_muon_unpolarized_proton_Tx,enhanced_region_3,3,2,3.6174076086440604e-01,5.0401880566084600e-01,nan,muon,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.4047594875651734e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,2.9452431127404310e-01,1.1182796267985780e+00,3.0379787118411578e-01,-1.4587649871906791e-01,3.4425632638119756e+00,1.7847408996107653e-01,1.3632198118740106e+02,2.8709562396168016e+00,3.3571578036559835e+00,2.8709562396168016e+00,3.3571578036559835e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8508046334780495e-01,3.2385308055833770e-04,2.0583619732687129e-03,1.1068020977949217e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3157657689675398e-01,3.6860061565057144e-04,1.5588646419203791e-03,1.0993815955231427e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4368461170177541e-03,0.0000000000000000e+00,0.0000000000000000e+00,9.7032827751811790e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6174076086440604e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.7114224846893948e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8453919047293577e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.7086595026419828e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6945991199073920e-01,0.0000000000000000e+00,0.0000000000000000e+00,9.8648146080975775e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7493946802981850e-01,6.5272635308533580e-03,7.0753587956909889e-04,1.8467950542039249e-01,6.6642846468819945e-03,1.8479835507823411e-01,1.8468439965913941e-01,8.4210927556448132e-07,7.5980621342453779e-03,5.3515648620542462e-03,9.4506832182532763e-01,9.8958058485430871e-03,9.4510497867180154e-01,9.4508958803261756e-01,1.6166390577620588e-03,4.8238508008989949e-03,4.0354735411845290e-03,9.7662605098484823e-01,8.3519853334080262e-03,9.7665343603259680e-01,9.7664986030006262e-01,1.4777032078279787e-03,1.4813721060775856e-04,1.0389748805979478e-02,9.7121898771900772e-01,2.2167799177390554e-01,9.9614231520406860e-01,9.9619648519574411e-01,3.3346051984502129e-01,3.8125522692817250e-02,4.0128795818568500e-02,9.7115216735599130e-01,2.4141223366564751e-01,9.9990303883219689e-01,9.9998142580326210e-01,1.7597750320627117e-01
