selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
W_purity,P_W,lepton_muon_Tx_proton_Ty,enhanced_region_0,0,25,4.9769779052074647e-01,9.9999999999999978e-01,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.3379421944391554e+00,4.3196898986859651e+00,2.5000000000000000e-01,1.0000000000000000e+00,3.3379421944391554e+00,4.7123889803846897e+00,4.1769892650591967e-01,1.0788412543348787e+01,4.3125697519826048e-02,7.2870836652635829e-01,-7.0146239976182274e+00,-7.2917473197964477e-01,3.1976891339544466e+00,1.0147760623570507e+01,2.6788888199730898e-01,7.3729118524612192e-01,0.0000000000000000e+00,1.1292154204835296e+02,,,2.5094096036946123e-03,1.3748730304093026e+00,7.0679191338363090e-04,2.4294687038348814e+00,muon,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9187531553554056e+00,1.5707949999999999e+00,3.8288160465625602e+00,6.8722339297276713e-01,1.0000000000000000e+00,3.8288160465625602e+00,5.7009074811259772e+00,4.5949456198120237e-01,-3.1348935240061166e+00,7.5858460947901740e+00,6.0155190522856183e-01,8.1667236723877906e+01,2.5094096036950564e-03,1.2855163881638458e+00,2.5094096036950564e-03,1.2855163881638458e+00
W_purity,P_W,lepton_muon_Tx_proton_Ty,enhanced_region_1,1,18,4.9756914778365213e-01,1.0000000000000000e+00,high_s_high_theta_in_mid_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.1050880620834143e+00,6.0868357663302239e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.7123889803846897e+00,6.0868357663302239e+00,6.4567849637113928e-01,1.0788412543348787e+01,6.5130609890687141e-02,7.0946012849255613e-01,-5.9344939548860589e+00,-7.2917473197964444e-01,5.2979414634527888e+00,1.0147760623570507e+01,4.8066297215881110e-01,7.3729118524612203e-01,0.0000000000000000e+00,1.1292154204835293e+02,,,2.5094096036946123e-03,1.1776534544143742e+00,4.5591237750253200e-03,2.4294687038348801e+00,muon,high_s,high_theta_in,mid_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.9187531553554056e+00,1.5707949999999999e+00,5.5959619142068187e+00,2.4543692606170255e+00,1.0000000000000000e+00,5.5959619142068187e+00,5.7009074811259701e+00,4.5949456198120181e-01,-3.1348935240061127e+00,7.5858460947901811e+00,6.0155190522856195e-01,8.1667236723877863e+01,2.5094096036948343e-03,1.2855163881638441e+00,2.5094096036948343e-03,1.2855163881638441e+00
W_purity,P_W,lepton_muon_Tx_proton_Ty,enhanced_region_2,2,19,4.6398133469511094e-01,1.0000000000000002e+00,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,3.5342917352885173e+00,4.4178646691106467e+00,1.8000000000000000e+00,1.8000000000000000e+00,3.5342917352885173e+00,4.7123889803846897e+00,1.1829184150739291e-01,1.4202473677764212e+01,7.0539545402018098e-03,7.3244763714134209e-01,-6.0866231937549307e+00,-4.2456437731729263e-01,6.0677990130768364e+00,1.7531130248800043e+01,8.1307690592713000e-01,9.4014945871906885e-01,0.0000000000000000e+00,1.5701629583010336e+02,,,4.5169372866502577e-03,2.4747714547367452e+00,2.3688259610352438e-02,5.7553538774705535e+00,muon,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.2175677229219204e+00,1.5707949999999999e+00,3.9269908169872414e+00,7.8539816339744828e-01,1.8000000000000000e+00,4.7123889803846897e+00,5.8213264276791432e-01,3.3779289323300946e-02,-2.8878735197289216e+00,1.7531130248800043e+01,8.3556633538687575e-01,0.0000000000000000e+00,1.1765586980908589e+00,2.3688259610352438e-02,1.1765586980908589e+00,2.3688259610352438e-02
W_purity,P_W,lepton_muon_Tx_proton_Ty,enhanced_region_3,3,18,4.5110618520919199e-01,9.9999999999999989e-01,high_s_high_theta_in_high_Egamma,nan,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.1050880620834143e+00,5.8904862254808616e+00,1.8000000000000000e+00,1.8000000000000000e+00,4.7123889803846897e+00,5.8904862254808616e+00,1.7967250546262625e-01,1.4202473677764207e+01,1.0675120062136790e-02,7.3244763714134165e-01,-6.0866231937549262e+00,-6.5808369492240626e-01,6.0677990130768436e+00,1.7531130248800043e+01,8.1605296173865471e-01,9.4014945871906896e-01,0.0000000000000000e+00,1.5701629583010333e+02,,,4.5169372866502577e-03,2.4747714547367448e+00,2.3688259610352438e-02,5.7553538774705517e+00,muon,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,2.2175677229219204e+00,1.5707949999999999e+00,5.3996123733574573e+00,2.2580197197676641e+00,1.8000000000000000e+00,4.7123889803846897e+00,4.5977593146143581e-01,2.6870098806128579e-02,-2.2380764238771094e+00,1.7531130248800043e+01,8.2963384169426502e-01,0.0000000000000000e+00,9.1283850581819204e-01,2.3688259610352438e-02,9.1283850581819204e-01,2.3688259610352438e-02
