selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_massless_unpolarized_proton_unpolarized_C_massless_p,lepton_massless_unpolarized_proton_unpolarized_C_massless_gamma,lepton_massless_unpolarized_proton_unpolarized_C_p_gamma,lepton_massless_unpolarized_proton_unpolarized_C_massless_rest,lepton_massless_unpolarized_proton_unpolarized_C_p_rest,lepton_massless_unpolarized_proton_unpolarized_C_gamma_rest,lepton_massless_unpolarized_proton_unpolarized_F3,lepton_massless_unpolarized_proton_L_C_massless_p,lepton_massless_unpolarized_proton_L_C_massless_gamma,lepton_massless_unpolarized_proton_L_C_p_gamma,lepton_massless_unpolarized_proton_L_C_massless_rest,lepton_massless_unpolarized_proton_L_C_p_rest,lepton_massless_unpolarized_proton_L_C_gamma_rest,lepton_massless_unpolarized_proton_L_F3,lepton_massless_L_proton_unpolarized_C_massless_p,lepton_massless_L_proton_unpolarized_C_massless_gamma,lepton_massless_L_proton_unpolarized_C_p_gamma,lepton_massless_L_proton_unpolarized_C_massless_rest,lepton_massless_L_proton_unpolarized_C_p_rest,lepton_massless_L_proton_unpolarized_C_gamma_rest,lepton_massless_L_proton_unpolarized_F3,lepton_massless_unpolarized_proton_Tx_C_massless_p,lepton_massless_unpolarized_proton_Tx_C_massless_gamma,lepton_massless_unpolarized_proton_Tx_C_p_gamma,lepton_massless_unpolarized_proton_Tx_C_massless_rest,lepton_massless_unpolarized_proton_Tx_C_p_rest,lepton_massless_unpolarized_proton_Tx_C_gamma_rest,lepton_massless_unpolarized_proton_Tx_F3,lepton_massless_unpolarized_proton_Ty_C_massless_p,lepton_massless_unpolarized_proton_Ty_C_massless_gamma,lepton_massless_unpolarized_proton_Ty_C_p_gamma,lepton_massless_unpolarized_proton_Ty_C_massless_rest,lepton_massless_unpolarized_proton_Ty_C_p_rest,lepton_massless_unpolarized_proton_Ty_C_gamma_rest,lepton_massless_unpolarized_proton_Ty_F3,lepton_massless_Tx_proton_unpolarized_C_massless_p,lepton_massless_Tx_proton_unpolarized_C_massless_gamma,lepton_massless_Tx_proton_unpolarized_C_p_gamma,lepton_massless_Tx_proton_unpolarized_C_massless_rest,lepton_massless_Tx_proton_unpolarized_C_p_rest,lepton_massless_Tx_proton_unpolarized_C_gamma_rest,lepton_massless_Tx_proton_unpolarized_F3,lepton_massless_Ty_proton_unpolarized_C_massless_p,lepton_massless_Ty_proton_unpolarized_C_massless_gamma,lepton_massless_Ty_proton_unpolarized_C_p_gamma,lepton_massless_Ty_proton_unpolarized_C_massless_rest,lepton_massless_Ty_proton_unpolarized_C_p_rest,lepton_massless_Ty_proton_unpolarized_C_gamma_rest,lepton_massless_Ty_proton_unpolarized_F3,lepton_massless_L_proton_L_C_massless_p,lepton_massless_L_proton_L_C_massless_gamma,lepton_massless_L_proton_L_C_p_gamma,lepton_massless_L_proton_L_C_massless_rest,lepton_massless_L_proton_L_C_p_rest,lepton_massless_L_proton_L_C_gamma_rest,lepton_massless_L_proton_L_F3,lepton_massless_L_proton_Tx_C_massless_p,lepton_massless_L_proton_Tx_C_massless_gamma,lepton_massless_L_proton_Tx_C_p_gamma,lepton_massless_L_proton_Tx_C_massless_rest,lepton_massless_L_proton_Tx_C_p_rest,lepton_massless_L_proton_Tx_C_gamma_rest,lepton_massless_L_proton_Tx_F3,lepton_massless_L_proton_Ty_C_massless_p,lepton_massless_L_proton_Ty_C_massless_gamma,lepton_massless_L_proton_Ty_C_p_gamma,lepton_massless_L_proton_Ty_C_massless_rest,lepton_massless_L_proton_Ty_C_p_rest,lepton_massless_L_proton_Ty_C_gamma_rest,lepton_massless_L_proton_Ty_F3,lepton_massless_Tx_proton_Tx_C_massless_p,lepton_massless_Tx_proton_Tx_C_massless_gamma,lepton_massless_Tx_proton_Tx_C_p_gamma,lepton_massless_Tx_proton_Tx_C_massless_rest,lepton_massless_Tx_proton_Tx_C_p_rest,lepton_massless_Tx_proton_Tx_C_gamma_rest,lepton_massless_Tx_proton_Tx_F3,lepton_massless_Tx_proton_Ty_C_massless_p,lepton_massless_Tx_proton_Ty_C_massless_gamma,lepton_massless_Tx_proton_Ty_C_p_gamma,lepton_massless_Tx_proton_Ty_C_massless_rest,lepton_massless_Tx_proton_Ty_C_p_rest,lepton_massless_Tx_proton_Ty_C_gamma_rest,lepton_massless_Tx_proton_Ty_F3
F3,F_3,lepton_massless_L_proton_L,enhanced_region_0,0,1,2.3888280072968333e-08,9.9999999999999978e-01,nan,massless,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2181221091771559e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,4.4178646691106467e+00,5.9180363098093316e-03,2.6054881018965767e-03,-5.9979809237101003e-06,3.1452993411013157e+00,1.1006849086117108e-01,1.8975250868623657e+01,2.3945669176409012e-02,2.6901688340848575e-02,2.3945669176409012e-02,2.6901688340848575e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.3924189732401984e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8257602682453086e-12,4.8934900039819529e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.3116355056451459e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.7251180046479486e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0273586494646413e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0273586409496526e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0135426791947726e-11,9.2796947040430754e-12,9.8170363100875024e-01,2.1073424255447017e-08,9.8170364071963334e-01,9.8170364071963334e-01,2.3888280072968333e-08,3.5120645494076770e-12,9.8125052504146403e-12,7.0759772269429611e-01,0.0000000000000000e+00,7.0759772455694103e-01,7.0759772455694103e-01,0.0000000000000000e+00,5.5168025697353524e-12,1.0143781587470361e-11,7.0533016576129959e-01,0.0000000000000000e+00,7.0533016576130003e-01,7.0533016576129937e-01,0.0000000000000000e+00,1.9303361849998396e-02,4.6206537573146494e-01,5.3116354831720813e-01,6.9302696634347194e-01,7.4088911772779464e-01,8.7295388222473713e-01,5.7247336222764744e-01,4.4495712577146068e-01,6.4118532298528985e-01,6.7251178528926925e-01,8.2971801973469572e-01,8.5415776329061321e-01,9.7093628968046164e-01,7.7096685538484633e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_0,0,2,2.2568712233686506e-08,9.9999999999999978e-01,nan,massless,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.2133106558473834e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,2.5000000000000000e-01,5.1050880620834143e+00,1.0264662836373397e-02,4.5934804136428635e-03,-1.8703906597581821e-05,3.1041949035839900e+00,1.0828724396299499e-01,2.5263039825998089e+01,4.2330927633023270e-02,4.7453907097912244e-02,4.2330927633023270e-02,4.7453907097912244e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0219861191011950e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5970465890791546e-12,4.9472052757261670e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.5893180946913721e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8142770543499807e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6107421062957376e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6107420059344683e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1923869145874581e-12,1.4870961519166193e-12,9.2747518930672435e-01,2.1073424255447017e-08,9.2747518930672401e-01,9.2747518930672412e-01,2.2568712233686506e-08,1.8778406764362424e-12,1.2720566296240339e-12,3.0967528399328931e-01,1.4901161193847656e-08,3.0967528502788927e-01,3.0967528502788999e-01,5.3283902954541058e-09,1.3087629386764462e-12,1.9445932860130174e-12,8.1605562781580998e-01,0.0000000000000000e+00,8.1605563555017802e-01,8.1605563555017802e-01,0.0000000000000000e+00,7.8573819127766373e-03,3.3645719585151823e-01,6.5893181049747496e-01,6.0525836262597710e-01,8.2905089335988336e-01,8.9468826446791205e-01,5.6067357037495458e-01,4.2571972888324267e-01,5.4256702946446056e-01,7.8142770807935957e-01,7.5035299634914809e-01,9.3769925322126335e-01,9.9620359133301295e-01,7.6981455573847180e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_1,1,1,1.5078126629583352e-08,1.0000000000000002e+00,nan,massless,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1175613881140247e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,4.2215151282612844e+00,3.8645076171136561e-01,4.4148046197306834e-02,-1.7969850614489591e-03,9.2469122498488829e+00,4.2418681001939584e-01,4.9006854108148246e+01,2.6265642231318442e-01,4.5498331063806352e-01,2.6265642231318442e-01,4.5498331063806352e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.4177175981228334e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9247791061193633e-14,5.7521558379634137e-14,4.4177089047648627e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3171663521244990e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5216158344155859e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1705572731579998e-13,4.0644976359555882e-14,6.1964493249521013e-01,2.1073424255447017e-08,6.1964493727799463e-01,6.1964493727799463e-01,1.5078126629583352e-08,6.4641639800325734e-14,8.0808344349704456e-14,9.3605236372911638e-01,0.0000000000000000e+00,9.3605236372911593e-01,9.3605236372911593e-01,0.0000000000000000e+00,8.6563020707486077e-14,7.7977624006036602e-14,8.5435129415138633e-01,0.0000000000000000e+00,8.5435129971262114e-01,8.5435129971262136e-01,0.0000000000000000e+00,1.1131454055267609e-03,1.5397803327222595e-01,7.3171663879982041e-01,6.3265261997893418e-01,9.5496038641786696e-01,9.6729382194347902e-01,6.6288387524384951e-01,1.7418264982220180e-01,2.3248138047008587e-01,7.5216158559378110e-01,6.8160872936413675e-01,9.8807384248572616e-01,9.9999895823853235e-01,7.3482936421661549e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_1,1,2,1.3096161345086939e-08,9.9999999999999978e-01,nan,massless,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0746499935163465e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.3014376029327757e+00,5.2715803883363710e-01,6.1794228792197994e-02,-3.5910727940762816e-03,8.8835479710535203e+00,4.1339707355529948e-01,5.7829595761606491e+01,3.7488196701360810e-01,6.3666545003341601e-01,3.7488196701360810e-01,6.3666545003341601e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8594865003809442e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.1479333064383843e-15,6.3518926642871414e-15,3.8594840622654242e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.7376547388140171e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8675191162647240e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5885460411762531e-14,4.1467076447459563e-15,5.3819484903561754e-01,2.1073424255447017e-08,5.3819485405052847e-01,5.3819485405052891e-01,1.3096161345086939e-08,1.4995912107651162e-14,3.1195341491117975e-15,5.0075164553671925e-01,1.4901161193847656e-08,5.0075164570663333e-01,5.0075164570663377e-01,8.6161225272975212e-09,1.1226407085394441e-14,7.4230312439492554e-15,8.6448773777556043e-01,0.0000000000000000e+00,8.6448773787765509e-01,8.6448773787765509e-01,0.0000000000000000e+00,1.5420280459794711e-03,1.1361462329678171e-01,7.7376547385417072e-01,5.9196550910649204e-01,9.6758870151717047e-01,9.7423498245746321e-01,6.3203002710299905e-01,1.4236598454713889e-01,1.8213725258758937e-01,7.8675190562827069e-01,6.3347211640967349e-01,9.9352479209815392e-01,9.9999870910806932e-01,6.9127607755234721e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_2,2,1,7.9175339123206075e-09,9.9999999999999978e-01,nan,massless,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.8081965708389807e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.7923114550561809e+00,1.1776305800636899e+00,1.6928709138451925e-01,-3.1044946410747117e-02,6.6586243927541711e+00,3.3710074495143744e-01,9.5288864035960174e+01,1.1758344223566386e+00,1.7491272391831783e+00,1.1758344223566386e+00,1.7491272391831783e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2415740250749569e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7488230209874251e-16,4.4185085042132860e-16,2.2415739992318451e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8524704220367512e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8791182030891092e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7763301094624436e-15,4.1611463314789538e-16,3.2537594957528138e-01,2.1073424255447017e-08,3.2537595272572017e-01,3.2537595272572156e-01,7.9175339123206075e-09,1.9656327417479630e-15,5.6984449924703156e-16,7.7537207448193124e-01,2.5809568279517847e-08,7.7537208116916967e-01,7.7537208116916967e-01,2.3107888716279202e-08,2.0866469836742351e-15,1.8326533677324754e-15,9.1317021816517840e-01,0.0000000000000000e+00,9.1317021817454735e-01,9.1317021817454713e-01,0.0000000000000000e+00,3.9340376665101115e-03,4.0086281640396217e-02,8.8524703985099207e-01,4.4115045998221564e-01,9.8826572625159681e-01,9.8907056340423827e-01,4.9092948881648191e-01,6.8851703646356135e-02,7.9573805842872991e-02,8.8791182397659241e-01,4.6512113688912521e-01,9.9919622089845450e-01,9.9999226075185821e-01,5.2212520801785500e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_2,2,2,7.6620433558949531e-09,9.9999999999999978e-01,nan,massless,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.5894221820459047e+00,1.5707949999999999e+00,4.8105637508093704e+00,1.6689710972195773e+00,1.0000000000000000e+00,6.1850105367549055e+00,1.8074504224306644e+00,3.1108445597818646e-01,-1.1403556944686745e-01,4.8825534479725183e+00,2.8155455855801442e-01,1.1808938852317331e+02,1.7904552850808837e+00,2.6371627115731573e+00,1.7904552850808837e+00,2.6371627115731573e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0856807739195719e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6691132929296939e-18,1.7405787478656116e-16,8.4519513141395622e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.3020413113227012e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.8891056053242592e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9924515912359864e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9924521066661939e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4272670604517819e-16,1.5397945419537774e-16,3.1487640677032835e-01,2.1073424255447017e-08,3.1487641113071202e-01,3.1487641113071202e-01,7.6620433558949531e-09,1.1563692752305471e-16,1.9844927457787995e-16,6.1354306066100028e-01,0.0000000000000000e+00,6.1354306813818826e-01,6.1354306813818837e-01,0.0000000000000000e+00,1.6994305223662722e-16,2.7771194108901156e-16,7.7987618653048407e-01,2.1073424255447017e-08,7.7987619122740637e-01,7.7987619122740670e-01,1.8977112855030852e-08,7.6473278316253557e-02,5.0202674441677815e-02,7.3020412612884256e-01,2.6713213456926665e-01,7.7591065553587990e-01,7.7376320169955981e-01,2.3541899507596134e-01,8.8316795284991659e-02,7.2965917425717591e-02,7.8891056779004154e-01,2.7233320173037784e-01,8.3139715589289565e-01,8.2990686195364705e-01,2.5767217339528642e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_3,3,1,6.8803050170611583e-09,1.0000000000000004e+00,nan,massless,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0271689142161655e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,4.4178646691106467e+00,1.3354356562908096e+00,8.1627121655241497e-02,-6.3502199982731957e-03,1.5904603695581645e+01,7.9279876680909389e-01,7.6628594439444640e+01,1.7240881807014477e-01,8.3695153621655516e-01,1.7240881807014477e-01,8.3695153621655516e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6964469047436094e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.3287348788829635e-15,3.2314455404626153e-15,3.6964466357744385e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6220764601150640e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6301517233501729e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1912743887216922e-15,1.8775966279905411e-15,3.9986943177101431e-01,1.4901161193847656e-08,3.9986943655240936e-01,3.9986943655240936e-01,6.8803050170611583e-09,6.8917883455562465e-15,2.7781281003046873e-15,6.8113460981345164e-01,1.4901161193847656e-08,6.8113460989577013e-01,6.8113460989576979e-01,1.1719860235084844e-08,8.0181571299151981e-15,4.7401318330942245e-15,5.1739987910709873e-01,0.0000000000000000e+00,5.1739987918941666e-01,5.1739987918941666e-01,0.0000000000000000e+00,5.3226651988206863e-03,7.8210594333242345e-02,3.6220764247875575e-01,9.2911852707188647e-01,9.9415226127884238e-01,9.9720974995865652e-01,9.4481621377708069e-01,2.4778567932245209e-02,8.1869063127212552e-02,3.6301516732294176e-01,9.3209740351316683e-01,9.9693682954877005e-01,9.9998580434489692e-01,9.5038305666618272e-01
F3,F_3,lepton_massless_L_proton_L,enhanced_region_3,3,2,5.3860008189147475e-09,1.0000000000000002e+00,nan,massless,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,9.5877621032073390e-01,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.8000000000000000e+00,5.6941366846315002e+00,6.8443723279958846e+00,5.0360819803755130e-01,-4.5095692334351151e-01,7.6261406775264131e+00,6.5859027939146642e-01,1.4782877399940824e+02,1.7794753429180954e+00,4.9761830452450155e+00,1.7794753429180954e+00,4.9761830452450155e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6217529316916693e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4579461485829354e-16,0.0000000000000000e+00,1.6217529460914046e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8204439845992861e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8120203425730976e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3344851260172425e-16,1.0296053150171650e-17,1.8072419797071393e-01,2.5809568279517847e-08,1.8072419797558928e-01,1.8072419797558928e-01,5.3860008189147475e-09,2.6989982057345044e-16,4.4962084070486479e-17,4.4124750478630131e-01,1.4901161193847656e-08,4.4124750478630109e-01,4.4124750478630137e-01,7.5922717635826936e-09,1.3206332842095447e-16,5.1370121200237840e-17,6.0421521015413115e-01,0.0000000000000000e+00,6.0421521320872662e-01,6.0421521320872662e-01,0.0000000000000000e+00,5.0719677340685998e-02,3.1387220837242991e-02,5.8204440046230466e-01,8.1171233519416186e-01,9.9833233489834339e-01,9.9753702829871249e-01,8.5450018241267744e-01,3.9907476549203964e-02,2.2976724995945053e-03,5.8120203134024795e-01,8.1315699988880430e-01,9.9950729975597963e-01,9.9871292881826979e-01,8.5692713070706461e-01
