state,absolute_threshold,direct_contour_delta,target_success_count,maximum_attempt_count,configured_workers,selected_minimum_count,recorded_minimum_count,usable_covariance_count,nonusable_covariance_count,mean_initial_success_fraction,minimum_initial_success_fraction,mean_attempted_direction_count,maximum_attempted_direction_count,elapsed_hours
W,0.01,0.02,1024,10240,1,1255,1,1,0,1.0,1.0,512.0,512,0.053646643333332675
GHZ,0.01,0.02,1024,10240,1,950,0,0,0,nan,nan,nan,0,0.05364672088888862
CEP,0.01,0.02,1024,10240,1,1675,0,0,0,nan,nan,nan,0,0.05364681333333364
CEGAMMA,0.01,0.02,1024,10240,1,1640,0,0,0,nan,nan,nan,0,0.05364693322222188
CPGAMMA,0.01,0.02,1024,10240,1,2019,0,0,0,nan,nan,nan,0,0.05364703752777536
