selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,s_regime,theta_in_regime,qOut_regime,electron_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C_e_p,unpolarized_C_e_gamma,unpolarized_C_p_gamma,unpolarized_C_e_rest,unpolarized_C_p_rest,unpolarized_C_gamma_rest,unpolarized_F3,L_proton_C_e_p,L_proton_C_e_gamma,L_proton_C_p_gamma,L_proton_C_e_rest,L_proton_C_p_rest,L_proton_C_gamma_rest,L_proton_F3,L_electron_C_e_p,L_electron_C_e_gamma,L_electron_C_p_gamma,L_electron_C_e_rest,L_electron_C_p_rest,L_electron_C_gamma_rest,L_electron_F3,Tx_proton_C_e_p,Tx_proton_C_e_gamma,Tx_proton_C_p_gamma,Tx_proton_C_e_rest,Tx_proton_C_p_rest,Tx_proton_C_gamma_rest,Tx_proton_F3,Ty_proton_C_e_p,Ty_proton_C_e_gamma,Ty_proton_C_p_gamma,Ty_proton_C_e_rest,Ty_proton_C_p_rest,Ty_proton_C_gamma_rest,Ty_proton_F3,Tx_electron_C_e_p,Tx_electron_C_e_gamma,Tx_electron_C_p_gamma,Tx_electron_C_e_rest,Tx_electron_C_p_rest,Tx_electron_C_gamma_rest,Tx_electron_F3,Ty_electron_C_e_p,Ty_electron_C_e_gamma,Ty_electron_C_p_gamma,Ty_electron_C_e_rest,Ty_electron_C_p_rest,Ty_electron_C_gamma_rest,Ty_electron_F3,LL_C_e_p,LL_C_e_gamma,LL_C_p_gamma,LL_C_e_rest,LL_C_p_rest,LL_C_gamma_rest,LL_F3,LTx_C_e_p,LTx_C_e_gamma,LTx_C_p_gamma,LTx_C_e_rest,LTx_C_p_rest,LTx_C_gamma_rest,LTx_F3,LTy_C_e_p,LTy_C_e_gamma,LTy_C_p_gamma,LTy_C_e_rest,LTy_C_p_rest,LTy_C_gamma_rest,LTy_F3,TxTx_C_e_p,TxTx_C_e_gamma,TxTx_C_p_gamma,TxTx_C_e_rest,TxTx_C_p_rest,TxTx_C_gamma_rest,TxTx_F3,TxTy_C_e_p,TxTy_C_e_gamma,TxTy_C_p_gamma,TxTy_C_e_rest,TxTy_C_p_rest,TxTy_C_gamma_rest,TxTy_F3
F3,F_3,LL,enhanced_region_0,0,1,6.1093342657450211e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,1.2762720155208536e+00,4.4178646691106467e+00,5.0000000000000000e-01,1.2762720155208536e+00,1.9238076764428463e+01,9.8392914418709787e-01,-1.4913781564663839e+01,1.1940661771000585e+00,9.4748493840549153e-01,1.6692411579184559e+02,2.9347977811844395e-08,2.1621476292302910e+00,2.9347977811844395e-08,2.1621476292302910e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3017248012994461e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1846585740142369e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4686896394938742e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1925692401902597e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9765880907009545e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9746196258890474e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1125300306757377e-01,2.6484988785629754e-01,1.6673665009061823e-05,9.3810775487853948e-01,8.9994482994448932e-01,6.1169054731021155e-01,6.1093342657450211e-01,5.4444418424656020e-02,1.2591749655808497e-03,1.4655984663010602e-06,6.8899755719548247e-02,6.8888248771227859e-02,4.2225367289835052e-02,3.1974903235460770e-03,5.0399778268057943e-02,1.1637668689020823e-03,1.2155408153680023e-06,6.3781205928973295e-02,6.3770587874864948e-02,3.9088419924770412e-02,2.7400540404887053e-03,1.0213347468915274e-03,2.9786079764522355e-02,1.2540669908160763e-06,9.9885231971303656e-01,9.9840810596166008e-01,9.9885179755141440e-01,9.9740969687037773e-01,1.0220633267694565e-03,2.9759758822180692e-02,1.2580789595650899e-06,9.9956701970157347e-01,9.9912390804156304e-01,9.9956649716672397e-01,9.9883848995096813e-01
F3,F_3,LL,enhanced_region_0,0,2,6.1093342654360805e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7072627222700087e+00,1.5707949999999999e+00,1.8653206380689404e+00,5.0069132916587327e+00,5.0000000000000000e-01,1.8653206380689396e+00,1.9238076764428463e+01,9.8392914418709809e-01,-1.4913781564663838e+01,1.1940661771000585e+00,9.4748493840549153e-01,1.6692411579184554e+02,2.9347977853477758e-08,2.1621476292302910e+00,2.9347977853477758e-08,2.1621476292302910e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4150965815188239e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1846585716331038e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.7577705838177175e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.6560232800517085e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9765880688497285e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9746196040217700e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1125300309021000e-01,2.6484988781978297e-01,1.6672794551470068e-05,9.3810775487292986e-01,8.9994482994798120e-01,6.1169054727528882e-01,6.1093342654360805e-01,4.8360555871037832e-02,1.1184689813205568e-03,1.0726818973481970e-06,6.1200587591764492e-02,6.1190366479263493e-02,3.7506913416272741e-02,2.5228128861145833e-03,5.0399778329293848e-02,1.1637668656058291e-03,1.2154792039831220e-06,6.3781205923904460e-02,6.3770587869845755e-02,3.9088419919879436e-02,2.7400540399422171e-03,1.0213343529485185e-03,2.9786079389937367e-02,1.2544276926651499e-06,9.9885231971283628e-01,9.9840810596149621e-01,9.9885179755121378e-01,9.9740969687000147e-01,1.0224931461590594e-03,2.9772005321675121e-02,1.2699769471047340e-06,9.9997854250874918e-01,9.9953524859239518e-01,9.9997801975153711e-01,9.9966110510399386e-01
F3,F_3,LL,enhanced_region_1,1,1,5.1065992328401144e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.3744467859455343e+00,4.5160394395353274e+00,1.0000000000000000e+00,1.3744467859455345e+00,1.9059254303129755e+01,9.6414246074099996e-01,-1.0491054589085163e+01,1.5886790396854145e+00,9.5794192638849096e-01,1.7396099829361532e+02,5.8695955706955516e-08,4.2840999157181274e+00,5.8695955706955516e-08,4.2840999157181274e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1010951499240740e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1983640535025673e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6594197977339569e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4745925092731284e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4738085696444906e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3779097498224042e-01,1.1639691830070967e-01,9.6806189544610782e-06,9.6338382130120925e-01,9.5632637976921164e-01,4.7562029889599283e-01,5.1065992328401144e-01,2.6548391004049900e-02,1.2391531061532491e-04,2.7664780705411838e-07,3.0304860819174148e-02,3.0304607477117846e-02,1.4613949560321193e-02,4.9629656381717244e-04,2.5520780763125413e-02,1.1905684012627318e-04,2.9198619965500400e-07,2.9131848328972042e-02,2.9131605047034256e-02,1.4048285735850312e-02,4.5861974216065119e-04,1.8163226201844962e-04,8.4753555326628708e-03,2.9091904370851133e-07,9.9954383320588303e-01,9.9950790034244497e-01,9.9954381670325809e-01,9.9906391847169629e-01,1.8170689488050922e-04,8.4744409664137543e-03,2.9049241384262956e-07,9.9995691463658420e-01,9.9992100436979947e-01,9.9995689812709510e-01,9.9988988026140480e-01
F3,F_3,LL,enhanced_region_1,1,2,5.1065992323805443e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1583470628722106e+00,1.5707949999999999e+00,1.7671458676442597e+00,4.9087385212340520e+00,1.0000000000000000e+00,1.7671458676442586e+00,1.9059254303129755e+01,9.6414246074100018e-01,-1.0491054589085163e+01,1.5886790396854147e+00,9.5794192638849074e-01,1.7396099829361543e+02,5.8695955929000121e-08,4.2840999157181274e+00,5.8695955929000121e-08,4.2840999157181274e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1012626895173838e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1983640582349311e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0497085119237681e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4745925414629730e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4738086546083946e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.3779097347543530e-01,1.1639691829020103e-01,9.6810420615600634e-06,9.6338382128787492e-01,9.5632637975746027e-01,4.7562029885726292e-01,5.1065992323805443e-01,2.4856313129492370e-02,1.1601747211335400e-04,3.0476074259436908e-07,2.8373362145695327e-02,2.8373124951096226e-02,1.3682520724691918e-02,4.3504911163790120e-04,2.5520780780433107e-02,1.1905684065149501e-04,2.9201661577332000e-07,2.9131848326898843e-02,2.9131605044968662e-02,1.4048285733922002e-02,4.5861974206699542e-04,1.8163188985350170e-04,8.4753554472691284e-03,2.9044902389382825e-07,9.9954383320580820e-01,9.9950790034237313e-01,9.9954381670318326e-01,9.9906391847154918e-01,1.8171324968696803e-04,8.4747443519514222e-03,2.8963931262872856e-07,9.9999270967068776e-01,9.9995679811729099e-01,9.9999269316069184e-01,9.9996146681095477e-01
F3,F_3,LL,enhanced_region_2,2,1,2.1183618392888853e-01,1.0000000000000004e+00,nan,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1846406287587699e-01,1.5707949999999999e+00,2.2580197197676632e+00,5.3996123733574564e+00,1.8000000000000000e+00,2.2580197197676637e+00,1.6837240835118379e+01,8.4561664515561741e-01,-3.2125358942304563e+00,3.9538016158296245e+00,9.6487685127430622e-01,1.7772481795763903e+02,1.0565272012819094e-07,6.8123525760952504e+00,1.0565272012819094e-07,6.8123525760952504e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4979747660655619e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6138798741328000e-09,7.2020049327722937e-06,1.7139952857312200e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5154326954712758e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6442983789329850e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6442965103657362e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6563385684180703e-01,3.4336285669760103e-02,6.5097860091345439e-06,9.8365295721945867e-01,9.8305348774767387e-01,1.8741500377470205e-01,2.1183618392888853e-01,1.4118422017215720e-02,7.1238686453005927e-06,2.4021785189558271e-07,1.4373114107938673e-02,1.4373112344479968e-02,2.6938019527036213e-03,4.4511330275184020e-05,1.4146215896182921e-02,7.1377518267604001e-06,1.9927938054790021e-07,1.4401409475580280e-02,1.4401407708116210e-02,2.6991044357362226e-03,4.4686745420365630e-05,1.9457372688960632e-05,2.6443499119805499e-03,6.4643660801182780e-08,9.9995726065339463e-01,9.9995376420447390e-01,9.9995726046396383e-01,9.9991219213404525e-01,1.9461455479596879e-05,2.6443407041077962e-03,5.8953388634896110e-08,9.9997350884750447e-01,9.9997001247980810e-01,9.9997350865812729e-01,9.9994468741370213e-01
F3,F_3,LL,enhanced_region_2,2,2,2.0434838304175654e-01,1.0000000000000002e+00,nan,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1169776918849203e-01,1.5707949999999999e+00,2.1598449493429825e+00,5.3014376029327757e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.6846687040678916e+01,8.4601448196640938e-01,-3.2143382249345942e+00,3.9461577409646851e+00,9.6496419042522685e-01,1.7812228776742094e+02,1.0565272101636936e-07,6.8161745135260476e+00,1.0565272101636936e-07,6.8161745135260476e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5007048238657614e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1018288675197714e-09,4.9076488422715971e-06,1.7401831212596254e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4078055349571812e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6207255999650564e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8018753324345834e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8018727206969007e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5098704984428684e-01,2.7918888953268241e-02,5.4003828604959336e-06,9.6854490565862827e-01,9.6814243267480571e-01,1.8358338944342856e-01,2.0434838304175654e-01,1.4135837607779559e-02,4.8603204639350516e-06,2.3266468083027652e-07,1.4390842613999774e-02,1.4390841795128988e-02,2.6971179987319107e-03,4.4621095823685716e-05,1.4181582830628288e-02,4.8759213858135152e-06,1.8577979869573200e-07,1.4437412926246481e-02,1.4437412104065116e-02,2.7058455416991930e-03,4.4910350220606539e-05,1.9454104680449039e-05,1.8019035912516784e-03,5.8400740358098410e-08,9.9996614457946154e-01,9.9996452109484479e-01,9.9996614439014497e-01,9.9993120789100631e-01,1.9450131773199742e-05,1.8018942331524232e-03,5.3346587440887351e-08,9.9998751115137907e-01,9.9998588771832175e-01,9.9998751096211302e-01,9.9997394005590179e-01
F3,F_3,LL,enhanced_region_3,3,1,2.1183618390727535e-01,9.9999999999999967e-01,nan,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1846406287587699e-01,1.5707949999999999e+00,8.8357293382212987e-01,4.0251655874119230e+00,1.8000000000000000e+00,8.8357293382212931e-01,1.6837240835118379e+01,8.4561664515561774e-01,-3.2125358942304549e+00,3.9538016158296254e+00,9.6487685127430600e-01,1.7772481795763886e+02,1.0565272057228015e-07,6.8123525760952504e+00,1.0565272057228015e-07,6.8123525760952504e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4976434841145191e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6221689127293042e-09,7.2020048362296704e-06,1.7139966879155454e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1789047235134547e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6442983729326503e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6442965294379284e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.6563386049494404e-01,3.4336285678870038e-02,6.5089295929667943e-06,9.8365295722008284e-01,9.8305348774837231e-01,1.8741500375527528e-01,2.1183618390727535e-01,1.4431545523366731e-02,7.2818742881833407e-06,1.1180945122214429e-07,1.4691886230954987e-02,1.4691884426820933e-02,2.7535454580497657e-03,4.6507591067467418e-05,1.4146216107920079e-02,7.1377520075821604e-06,1.9928584992726522e-07,1.4401409475634246e-02,1.4401407708208719e-02,2.6991044354482915e-03,4.4686745415869979e-05,1.9464068403807211e-05,2.6443499136296791e-03,6.9175160044565587e-08,9.9995726065339496e-01,9.9995376420447435e-01,9.9995726046396427e-01,9.9991219213404547e-01,1.9459421236656970e-05,2.6442561985306288e-03,6.4683533548411017e-08,9.9994248127922081e-01,9.9993898502650358e-01,9.9994248108975392e-01,9.9988263503267283e-01
F3,F_3,LL,enhanced_region_3,3,2,2.0434838306000527e-01,1.0000000000000000e+00,nan,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1169776918849203e-01,1.5707949999999999e+00,9.8174770424681057e-01,4.1233403578366037e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.6846687040678916e+01,8.4601448196640938e-01,-3.2143382249345942e+00,3.9461577409646833e+00,9.6496419042522685e-01,1.7812228776742114e+02,1.0565272035023554e-07,6.8161745135260485e+00,1.0565272035023554e-07,6.8161745135260485e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5059251232525325e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0994296977409027e-09,4.9076488328068619e-06,1.7401786120259412e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5167686823479585e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8018754089290656e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8018728302881537e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5098705218050050e-01,2.7918888974066480e-02,5.3995614201699641e-06,9.6854490565570750e-01,9.6814243267155764e-01,1.8358338946056901e-01,2.0434838306000527e-01,1.4413818967302155e-02,4.9559074842783408e-06,1.1880201003136790e-07,1.4673838577703003e-02,1.4673837741296511e-02,2.7501562999422478e-03,4.6393290417637402e-05,1.4181582798067284e-02,4.8759213715236374e-06,1.8578037968321647e-07,1.4437412926492558e-02,1.4437412104341954e-02,2.7058455419453759e-03,4.4910350225476795e-05,1.9458263741667370e-05,1.8019035562355612e-03,5.8426279289770848e-08,9.9996614457946131e-01,9.9996452109484424e-01,9.9996614439014486e-01,9.9993120789100576e-01,1.9459436627304660e-05,1.8018565477135211e-03,5.7064978431853278e-08,9.9996787067712145e-01,9.9996624728012351e-01,9.9996787048776881e-01,9.9993466002894849e-01
