selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_electron_unpolarized_proton_unpolarized_C_e_p,lepton_electron_unpolarized_proton_unpolarized_C_e_gamma,lepton_electron_unpolarized_proton_unpolarized_C_p_gamma,lepton_electron_unpolarized_proton_unpolarized_C_e_rest,lepton_electron_unpolarized_proton_unpolarized_C_p_rest,lepton_electron_unpolarized_proton_unpolarized_C_gamma_rest,lepton_electron_unpolarized_proton_unpolarized_W_purity,lepton_electron_unpolarized_proton_L_C_e_p,lepton_electron_unpolarized_proton_L_C_e_gamma,lepton_electron_unpolarized_proton_L_C_p_gamma,lepton_electron_unpolarized_proton_L_C_e_rest,lepton_electron_unpolarized_proton_L_C_p_rest,lepton_electron_unpolarized_proton_L_C_gamma_rest,lepton_electron_unpolarized_proton_L_W_purity,lepton_electron_L_proton_unpolarized_C_e_p,lepton_electron_L_proton_unpolarized_C_e_gamma,lepton_electron_L_proton_unpolarized_C_p_gamma,lepton_electron_L_proton_unpolarized_C_e_rest,lepton_electron_L_proton_unpolarized_C_p_rest,lepton_electron_L_proton_unpolarized_C_gamma_rest,lepton_electron_L_proton_unpolarized_W_purity,lepton_electron_unpolarized_proton_Tx_C_e_p,lepton_electron_unpolarized_proton_Tx_C_e_gamma,lepton_electron_unpolarized_proton_Tx_C_p_gamma,lepton_electron_unpolarized_proton_Tx_C_e_rest,lepton_electron_unpolarized_proton_Tx_C_p_rest,lepton_electron_unpolarized_proton_Tx_C_gamma_rest,lepton_electron_unpolarized_proton_Tx_W_purity,lepton_electron_unpolarized_proton_Ty_C_e_p,lepton_electron_unpolarized_proton_Ty_C_e_gamma,lepton_electron_unpolarized_proton_Ty_C_p_gamma,lepton_electron_unpolarized_proton_Ty_C_e_rest,lepton_electron_unpolarized_proton_Ty_C_p_rest,lepton_electron_unpolarized_proton_Ty_C_gamma_rest,lepton_electron_unpolarized_proton_Ty_W_purity,lepton_electron_Tx_proton_unpolarized_C_e_p,lepton_electron_Tx_proton_unpolarized_C_e_gamma,lepton_electron_Tx_proton_unpolarized_C_p_gamma,lepton_electron_Tx_proton_unpolarized_C_e_rest,lepton_electron_Tx_proton_unpolarized_C_p_rest,lepton_electron_Tx_proton_unpolarized_C_gamma_rest,lepton_electron_Tx_proton_unpolarized_W_purity,lepton_electron_Ty_proton_unpolarized_C_e_p,lepton_electron_Ty_proton_unpolarized_C_e_gamma,lepton_electron_Ty_proton_unpolarized_C_p_gamma,lepton_electron_Ty_proton_unpolarized_C_e_rest,lepton_electron_Ty_proton_unpolarized_C_p_rest,lepton_electron_Ty_proton_unpolarized_C_gamma_rest,lepton_electron_Ty_proton_unpolarized_W_purity,lepton_electron_L_proton_L_C_e_p,lepton_electron_L_proton_L_C_e_gamma,lepton_electron_L_proton_L_C_p_gamma,lepton_electron_L_proton_L_C_e_rest,lepton_electron_L_proton_L_C_p_rest,lepton_electron_L_proton_L_C_gamma_rest,lepton_electron_L_proton_L_W_purity,lepton_electron_L_proton_Tx_C_e_p,lepton_electron_L_proton_Tx_C_e_gamma,lepton_electron_L_proton_Tx_C_p_gamma,lepton_electron_L_proton_Tx_C_e_rest,lepton_electron_L_proton_Tx_C_p_rest,lepton_electron_L_proton_Tx_C_gamma_rest,lepton_electron_L_proton_Tx_W_purity,lepton_electron_L_proton_Ty_C_e_p,lepton_electron_L_proton_Ty_C_e_gamma,lepton_electron_L_proton_Ty_C_p_gamma,lepton_electron_L_proton_Ty_C_e_rest,lepton_electron_L_proton_Ty_C_p_rest,lepton_electron_L_proton_Ty_C_gamma_rest,lepton_electron_L_proton_Ty_W_purity,lepton_electron_Tx_proton_Tx_C_e_p,lepton_electron_Tx_proton_Tx_C_e_gamma,lepton_electron_Tx_proton_Tx_C_p_gamma,lepton_electron_Tx_proton_Tx_C_e_rest,lepton_electron_Tx_proton_Tx_C_p_rest,lepton_electron_Tx_proton_Tx_C_gamma_rest,lepton_electron_Tx_proton_Tx_W_purity,lepton_electron_Tx_proton_Ty_C_e_p,lepton_electron_Tx_proton_Ty_C_e_gamma,lepton_electron_Tx_proton_Ty_C_p_gamma,lepton_electron_Tx_proton_Ty_C_e_rest,lepton_electron_Tx_proton_Ty_C_p_rest,lepton_electron_Tx_proton_Ty_C_gamma_rest,lepton_electron_Tx_proton_Ty_W_purity
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_0,0,1,3.3446325694381301e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5394975765159313e+00,1.5707949999999999e+00,3.1415926535897931e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.1415926535897931e+00,1.2615875019082010e+01,7.7773182929774232e-01,-6.9443342886999702e+00,4.4853380233469080e+00,7.8607139211513011e-01,1.2300624506817542e+02,5.8695955651444365e-08,2.8357704238870269e+00,5.8695955651444365e-08,2.8357704238870269e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6664425629665727e-01,2.2036767410860136e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.4602270333195309e-02,0.0000000000000000e+00,7.7663250448711391e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9255737968459433e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6709693987078325e-01,2.2034904456624815e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4750998239435940e-01,0.0000000000000000e+00,5.4906322979254685e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1393000735643278e-01,0.0000000000000000e+00,5.4911811004286903e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9933763257472654e-02,3.0599302502859721e-02,3.9052663921608929e-02,2.9610791656142776e-06,5.2394632902427185e-02,3.4929743852082272e-02,4.2530932663944435e-02,1.3194094374273563e-01,2.1470986773636177e-02,7.7663260309661121e-03,1.9330867664446324e-06,2.5710607907666539e-02,2.4509580630825024e-02,1.4143269934525745e-02,2.9184293281661861e-01,1.6648812156326350e-02,6.2795651423151432e-03,1.5777665362745468e-06,2.0015536727378800e-02,1.9004967098686328e-02,1.1110300002468227e-02,3.3446325694381301e-01,1.5188157277573611e-04,5.4906323480817520e-01,1.9305438004101351e-06,9.9990001071002477e-01,8.3566117272709395e-01,9.9989999917673089e-01,1.6328165306117742e-01,1.4614260775008825e-04,5.5090843690928404e-01,1.8721105938920032e-06,9.7471047653661058e-01,8.0408980046752410e-01,9.7471046558250940e-01,3.4696297701683226e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_0,0,2,3.3434340665811524e-01,9.9999999999999989e-01,nan,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.5894221390351317e+00,1.5707949999999999e+00,3.2397674240144743e+00,9.8174770424681146e-02,1.0000000000000000e+00,3.2397674240144743e+00,1.1732302212923290e+01,7.4561764092010152e-01,-6.4579768246552627e+00,4.8825533654581985e+00,7.6250299367543206e-01,1.1808938928606979e+02,5.8695955207355155e-08,2.6371627528303381e+00,5.8695955207355155e-08,2.6371627528303381e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6664439534958661e-01,2.3284530414890980e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9609748740879740e-02,0.0000000000000000e+00,8.6231473398501682e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.8504190437006360e-01,4.7587021178790068e-11,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5844714379580876e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5530466454818684e-01,0.0000000000000000e+00,6.0961328431188189e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2861423310326426e-01,0.0000000000000000e+00,6.0967355246648058e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.7857284900393864e-02,2.5188616805091626e-02,3.5207898929889507e-02,2.6256727087307000e-06,4.5457251187204062e-02,2.8753530997913137e-02,3.7840391792574007e-02,1.2779795846904754e-01,2.0845616834442894e-02,8.8309105371583256e-03,2.0031954136087917e-06,2.5381656188635193e-02,2.3795871364021344e-02,1.4480632990842726e-02,2.7816316836870614e-01,1.5672849454460111e-02,6.9604898642299136e-03,1.5952919972993665e-06,1.9197307024548048e-02,1.7891008333053633e-02,1.1085954576806748e-02,3.3434340665811524e-01,1.4383476932536596e-04,6.0941099532849607e-01,1.9564170370847913e-06,9.9929184956422479e-01,7.9196112936871421e-01,9.9929183921367337e-01,1.6801262548905438e-01,1.3771022325237414e-04,6.1167470443939309e-01,1.8936002246228156e-06,9.7421272916955226e-01,7.5825094634201007e-01,9.7421271943835108e-01,3.7715247304313099e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_1,1,1,3.3331573494975086e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.5652864017122641e-02,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,1.5707963267948966e+00,1.6866894443583458e+01,8.4686529607549177e-01,-3.2181937860203500e+00,3.9298058991517140e+00,9.6515102707672717e-01,1.8000000000000000e+02,1.0565272042908724e-07,6.8243504344336703e+00,1.0565272042908724e-07,6.8243504344336703e+00,2.3950627740706848e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6665817654968440e-01,2.5179745967721667e-09,0.0000000000000000e+00,1.7638470261923628e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9269787707361448e-13,2.5179597192004355e-09,2.2091945788435520e-10,1.7637959011079979e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3331573494366717e-01,2.4090715002017162e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6665818149996864e-01,2.4198719248293692e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6665823372353511e-01,2.4819282142792415e-09,0.0000000000000000e+00,2.5179198170910411e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6665817789158038e-01,2.4286234203688276e-09,0.0000000000000000e+00,1.9810022909676029e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6711209390025264e-01,5.0926467015961046e-05,4.1856865811903579e-06,1.1154586220154669e-07,5.3253552139884662e-05,5.3088920563480049e-05,1.5570750902624844e-05,1.8734612346869591e-10,1.4274174226552002e-02,2.2088465970134739e-10,1.7907631083719312e-07,1.4531673147041155e-02,1.4531673148141317e-02,2.7235041093858830e-03,3.3331574551655418e-01,1.4274171847774851e-02,2.2062306378529873e-10,1.4541881094538243e-07,1.4531670635368426e-02,1.4531670636117149e-02,2.7235031730249953e-03,3.3331573494975086e-01,1.9436284677695630e-05,2.4895143430114510e-09,2.8442860955379956e-08,9.9999999999999956e-01,1.0000000000000000e+00,9.9999999981111332e-01,1.6665818305168925e-01,1.9438519307932244e-05,2.4076607543236931e-09,3.0993632286683378e-08,9.9999999999994060e-01,9.9999999999994105e-01,9.9999999981100551e-01,1.6665848191752342e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_1,1,2,3.3273973473906465e-01,1.0000000000000002e+00,nan,electron,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,9.6051476328201477e-02,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,1.8000000000000000e+00,1.6689710972195777e+00,1.6866429877982291e+01,8.4684573966773435e-01,-3.2181051471664697e+00,3.9301818258972232e+00,9.6514673172604004e-01,1.7971543534114861e+02,1.0565272025309103e-07,6.8241624710605677e+00,1.0565272025309103e-07,6.8241624710605677e+00,1.7630870775566675e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6665832651617407e-01,2.5161634750762081e-09,0.0000000000000000e+00,8.5935420159838846e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1527992498063542e-04,2.5059624205977628e-09,1.1303150055852740e-07,1.7636652107450297e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3270071177074589e-01,3.1064480181306426e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6695226838740854e-01,2.5178644169621123e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6668294509003648e-01,2.5179154317100938e-09,4.1421078871790116e-05,2.5137012471532216e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6659732693258497e-01,1.4693452968334476e-09,4.1420901754927267e-05,1.5657464350233524e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6720869657913665e-01,2.3644215456615711e-01,1.0567902022781996e-03,5.1891125293436561e-07,2.4070977360749291e-01,2.4070745377929015e-01,4.5125410297897212e-02,4.9830825372271991e-03,1.4248982635537390e-02,1.1283081369395007e-07,1.8899782562898172e-07,1.4506027167257523e-02,1.4506027168061143e-02,2.7186977123500708e-03,3.3270118928277220e-01,1.4271688712971596e-02,1.1301185181286991e-07,1.4663020452262138e-07,1.4529142727210164e-02,1.4529142727515817e-02,2.7230294866196617e-03,3.3273973473906465e-01,1.9436412179916000e-05,4.1423626037806074e-05,2.9277901471530104e-08,9.9999887452858183e-01,9.9999887367062201e-01,9.9999887433968115e-01,1.5264891918589527e-01,1.9438411501353099e-05,4.1421385956863510e-05,3.0857542909767943e-08,9.9999999577603160e-01,9.9999999491816649e-01,9.9999999558709485e-01,1.6795360613282687e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_2,2,1,3.3326165982422595e-01,1.0000000000000002e+00,nan,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1525279301785658e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.5707963267948966e+00,1.9152484117991989e+01,9.6635000107976510e-01,-1.0542372393360644e+01,1.5467670290993174e+00,9.6042873608637291e-01,1.8000000000000000e+02,5.8695955651444365e-08,4.3050559210113786e+00,5.8695955651444365e-08,4.3050559210113786e+00,5.1705589008123603e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6663916315027555e-01,5.8088453047730853e-10,0.0000000000000000e+00,2.2568745302603017e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4781887789097968e-14,5.8054690669486908e-10,3.4935808933267420e-10,2.2606009810555649e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3326165978952782e-01,5.4241296921610460e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6663916764510520e-01,5.2947469685015690e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6663920638668736e-01,4.9983014070595597e-10,0.0000000000000000e+00,4.4108614978095904e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6663916407800244e-01,4.8070247428334071e-10,3.4538483184576307e-12,2.1499323817872614e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6899592133051933e-01,1.6243060352089950e-05,1.6288579007269465e-06,3.5235686984610512e-09,1.7834100419768315e-05,1.7759571247283564e-05,7.3632848275871035e-06,2.6442542152230044e-11,2.5689345293758100e-02,3.4916550275951155e-10,3.5413376798439833e-08,2.9324010468402429e-02,2.9324010468417573e-02,1.4140549081522050e-02,3.3326166990748424e-01,2.5689339211934441e-02,3.4935792800339094e-10,4.6531745225999240e-09,2.9324003371836119e-02,2.9324003371832334e-02,1.4140545414002184e-02,3.3326165982422595e-01,1.8166920125758986e-04,4.2174937040837979e-10,2.6629735245242365e-08,9.9999999999999967e-01,1.0000000000000000e+00,9.9999998349815000e-01,1.6663916862122383e-01,1.8166977834161200e-04,5.4442308480275171e-10,2.7122577380671954e-08,9.9999999999996603e-01,9.9999999999996636e-01,9.9999998349801078e-01,1.6663928712464535e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_2,2,2,3.3324984065057084e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_mid_Egamma,high_s,high_theta_in,mid_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.1539815346971753e+00,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,1.0000000000000000e+00,1.6689710972195777e+00,1.9129213037810842e+01,9.6580004857642443e-01,-1.0529562963890884e+01,1.5572286798088963e+00,9.5980800388858012e-01,1.7698628218395910e+02,5.8695955502258146e-08,4.2998250956560291e+00,5.8695955502258146e-08,4.2998250956560291e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6663965272791489e-01,5.5333161413368749e-10,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1415178345056560e-04,0.0000000000000000e+00,2.9911834173033846e-05,7.0486638112485524e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3317098397881934e-01,9.1275271954189773e-11,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6943201400351857e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6691357118652977e-01,0.0000000000000000e+00,2.1152958084691420e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6605519441137909e-01,0.0000000000000000e+00,2.1150882296576035e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6900373773259794e-01,7.5221904762041270e-01,5.2206036093943024e-02,4.3976034488922415e-06,8.6023267029854145e-01,8.5864706187180506e-01,4.1733290244760185e-01,8.2305340697647181e-02,2.5264073734752902e-02,2.9420818578327490e-05,1.6762790726943089e-07,2.8838586412571064e-02,2.8838571405658379e-02,1.3906496409260500e-02,3.3318078181645661e-01,2.5647093306022977e-02,2.9862739460354351e-05,1.4678645613580565e-07,2.9275797698297176e-02,2.9275782467931145e-02,1.4117327450217976e-02,3.3324984065057084e-01,1.8165997143838549e-04,2.1153446944370841e-03,1.4729762782021818e-07,9.9988257959110960e-01,9.9988034198404752e-01,9.9988256308884305e-01,1.6335648176690851e-01,1.8168213193192021e-04,2.1153004930647280e-03,1.4636886757147688e-07,9.9999996298911764e-01,9.9999772573815493e-01,9.9999994648485602e-01,1.6658339371249647e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_3,3,1,3.3254068119187941e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9718697346152658e+00,1.5707949999999999e+00,1.9634954084936211e+00,5.1050880620834143e+00,2.5000000000000000e-01,1.9634954084936207e+00,1.9026272411990661e+01,9.9058084079575692e-01,-1.6887929284947990e+01,1.0607595613870684e+00,9.3076120451725275e-01,1.5998683280033109e+02,1.4673988926738879e-08,1.0691715781954476e+00,1.4673988926738879e-08,1.0691715781954476e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6626762305405526e-01,3.6943464154225917e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5223877942986620e-03,0.0000000000000000e+00,5.5998267067919301e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3070643652382647e-01,3.6095444731719208e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8062157317629257e-01,3.5402533571371464e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7215255008262742e-01,0.0000000000000000e+00,6.1634765038064511e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5095629270803992e-01,0.0000000000000000e+00,6.1453202648253033e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7661656401031348e-01,5.9385681843729510e-01,3.7059798030906171e-01,2.0829132151182219e-05,8.7627547654578986e-01,7.9405028065726735e-01,6.4435455181456802e-01,9.1246874760471691e-02,9.4202725684533736e-02,5.1836833114542284e-03,3.2137337301756454e-06,1.2606576496363844e-01,1.2595914628764862e-01,8.3776031864021688e-02,3.3137681711510070e-01,9.8760531203121671e-02,5.4196099748739374e-03,3.5954036220512749e-06,1.3216461204246882e-01,1.3205344568387964e-01,8.7828481310590817e-02,3.3254068119187941e-01,4.6561977211286585e-03,6.1807088347553905e-02,3.7847079993957845e-06,9.9890630046143936e-01,9.9699231734204286e-01,9.9889544844498457e-01,1.4833884982205145e-01,4.6613729699146404e-03,6.1706026562073794e-02,3.8535296775221717e-06,9.9999959781336245e-01,9.9809396443311293e-01,9.9998873355317253e-01,1.5772270540909972e-01
W_purity,P_W,lepton_electron_L_proton_Ty,enhanced_region_3,3,2,3.3253992111778458e-01,1.0000000000000000e+00,nan,electron,high_s_high_theta_in_low_Egamma,high_s,high_theta_in,low_Egamma,5.1099895000000003e-04,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.9768128913780667e+00,1.5707949999999999e+00,2.0616701789183018e+00,5.2032628325080950e+00,2.5000000000000000e-01,2.0616701789183018e+00,1.8657723600992099e+01,9.8822374599655971e-01,-1.6560801294523284e+01,1.1021803819594269e+00,9.1490890782382628e-01,1.5494504887646852e+02,1.4673988885105516e-08,1.0484611679085896e+00,1.4673988885105516e-08,1.0484611679085896e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6627773318682926e-01,3.4590369306042787e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4374432206147874e-03,0.0000000000000000e+00,8.6963040795562385e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2986979034583530e-01,3.2781337102734355e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8392579137321952e-01,3.0085842244037953e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7559647429756703e-01,0.0000000000000000e+00,9.5686459765767687e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4518460080481310e-01,0.0000000000000000e+00,9.5463391538322964e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7216433753084878e-01,5.6085481579169927e-01,4.3735310351616158e-01,2.4494739571585122e-05,8.6813755921612912e-01,7.4992338617374943e-01,6.6264975176032792e-01,1.1160898277551146e-01,9.2537889994076486e-02,7.9400936951857862e-03,4.0200210174173856e-06,1.2398763493036211e-01,1.2373313438157782e-01,8.2520739913904892e-02,3.3112234304080712e-01,9.6765421444984678e-02,8.2750507182318255e-03,4.3633393280341479e-06,1.2965017301794668e-01,1.2938582193659465e-01,8.6288009390898673e-02,3.3253992111778458e-01,4.6437894966216255e-03,9.6078085663460433e-02,4.6841941007680354e-06,9.9854302638263870e-01,9.9391004472969557e-01,9.9853222820179910e-01,1.4134469921935477e-01,4.6505626725366067e-03,9.5895390085517895e-02,4.7486349467051880e-06,9.9995934841640588e-01,9.9535057777059577e-01,9.9994853406299911e-01,1.5562026384810701e-01
