Q2,xB,t,phi,theta_e_gamma_rad,theta_e_gamma_deg,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_spin_signal_M2,unpolarized_rho_ep_r0_c0_real,unpolarized_rho_ep_r0_c0_imag,unpolarized_rho_ep_r0_c1_real,unpolarized_rho_ep_r0_c1_imag,unpolarized_rho_ep_r0_c2_real,unpolarized_rho_ep_r0_c2_imag,unpolarized_rho_ep_r0_c3_real,unpolarized_rho_ep_r0_c3_imag,unpolarized_rho_ep_r1_c0_real,unpolarized_rho_ep_r1_c0_imag,unpolarized_rho_ep_r1_c1_real,unpolarized_rho_ep_r1_c1_imag,unpolarized_rho_ep_r1_c2_real,unpolarized_rho_ep_r1_c2_imag,unpolarized_rho_ep_r1_c3_real,unpolarized_rho_ep_r1_c3_imag,unpolarized_rho_ep_r2_c0_real,unpolarized_rho_ep_r2_c0_imag,unpolarized_rho_ep_r2_c1_real,unpolarized_rho_ep_r2_c1_imag,unpolarized_rho_ep_r2_c2_real,unpolarized_rho_ep_r2_c2_imag,unpolarized_rho_ep_r2_c3_real,unpolarized_rho_ep_r2_c3_imag,unpolarized_rho_ep_r3_c0_real,unpolarized_rho_ep_r3_c0_imag,unpolarized_rho_ep_r3_c1_real,unpolarized_rho_ep_r3_c1_imag,unpolarized_rho_ep_r3_c2_real,unpolarized_rho_ep_r3_c2_imag,unpolarized_rho_ep_r3_c3_real,unpolarized_rho_ep_r3_c3_imag,longitudinal_polarized_trace,longitudinal_polarized_spin_signal_M2,longitudinal_polarized_rho_ep_r0_c0_real,longitudinal_polarized_rho_ep_r0_c0_imag,longitudinal_polarized_rho_ep_r0_c1_real,longitudinal_polarized_rho_ep_r0_c1_imag,longitudinal_polarized_rho_ep_r0_c2_real,longitudinal_polarized_rho_ep_r0_c2_imag,longitudinal_polarized_rho_ep_r0_c3_real,longitudinal_polarized_rho_ep_r0_c3_imag,longitudinal_polarized_rho_ep_r1_c0_real,longitudinal_polarized_rho_ep_r1_c0_imag,longitudinal_polarized_rho_ep_r1_c1_real,longitudinal_polarized_rho_ep_r1_c1_imag,longitudinal_polarized_rho_ep_r1_c2_real,longitudinal_polarized_rho_ep_r1_c2_imag,longitudinal_polarized_rho_ep_r1_c3_real,longitudinal_polarized_rho_ep_r1_c3_imag,longitudinal_polarized_rho_ep_r2_c0_real,longitudinal_polarized_rho_ep_r2_c0_imag,longitudinal_polarized_rho_ep_r2_c1_real,longitudinal_polarized_rho_ep_r2_c1_imag,longitudinal_polarized_rho_ep_r2_c2_real,longitudinal_polarized_rho_ep_r2_c2_imag,longitudinal_polarized_rho_ep_r2_c3_real,longitudinal_polarized_rho_ep_r2_c3_imag,longitudinal_polarized_rho_ep_r3_c0_real,longitudinal_polarized_rho_ep_r3_c0_imag,longitudinal_polarized_rho_ep_r3_c1_real,longitudinal_polarized_rho_ep_r3_c1_imag,longitudinal_polarized_rho_ep_r3_c2_real,longitudinal_polarized_rho_ep_r3_c2_imag,longitudinal_polarized_rho_ep_r3_c3_real,longitudinal_polarized_rho_ep_r3_c3_imag,transverse_polarized_trace,transverse_polarized_spin_signal_M2,transverse_polarized_rho_ep_r0_c0_real,transverse_polarized_rho_ep_r0_c0_imag,transverse_polarized_rho_ep_r0_c1_real,transverse_polarized_rho_ep_r0_c1_imag,transverse_polarized_rho_ep_r0_c2_real,transverse_polarized_rho_ep_r0_c2_imag,transverse_polarized_rho_ep_r0_c3_real,transverse_polarized_rho_ep_r0_c3_imag,transverse_polarized_rho_ep_r1_c0_real,transverse_polarized_rho_ep_r1_c0_imag,transverse_polarized_rho_ep_r1_c1_real,transverse_polarized_rho_ep_r1_c1_imag,transverse_polarized_rho_ep_r1_c2_real,transverse_polarized_rho_ep_r1_c2_imag,transverse_polarized_rho_ep_r1_c3_real,transverse_polarized_rho_ep_r1_c3_imag,transverse_polarized_rho_ep_r2_c0_real,transverse_polarized_rho_ep_r2_c0_imag,transverse_polarized_rho_ep_r2_c1_real,transverse_polarized_rho_ep_r2_c1_imag,transverse_polarized_rho_ep_r2_c2_real,transverse_polarized_rho_ep_r2_c2_imag,transverse_polarized_rho_ep_r2_c3_real,transverse_polarized_rho_ep_r2_c3_imag,transverse_polarized_rho_ep_r3_c0_real,transverse_polarized_rho_ep_r3_c0_imag,transverse_polarized_rho_ep_r3_c1_real,transverse_polarized_rho_ep_r3_c1_imag,transverse_polarized_rho_ep_r3_c2_real,transverse_polarized_rho_ep_r3_c2_imag,transverse_polarized_rho_ep_r3_c3_real,transverse_polarized_rho_ep_r3_c3_imag
5.0000000000000000e-01,1.0000000000000001e-01,-7.0000000000000018e-01,3.1415926535897931e+00,7.7824771290077241e-02,4.4590309364923248e+00,True,2.8896299779033706e+07,1.0000000000000000e+00,2.8896299779033706e+07,3.0991371071314455e-01,-2.6609008327242265e-18,-2.4271414227362167e-01,-3.3274030377333550e-16,-2.5451004063677952e-17,-3.9876405927096150e-18,-1.5879927897851150e-17,2.0339402861333497e-18,-2.4271414227362167e-01,3.3518987913989741e-16,1.9008628928685550e-01,-1.9651328945075957e-18,1.2436068580179572e-17,-1.5955178929816050e-18,2.2007144746006376e-17,4.4260629858613587e-18,-2.5451004063677952e-17,3.9876405927096150e-18,1.2436068580179572e-17,1.5955178929816052e-18,1.9008628928685548e-01,1.9835132826454870e-18,-2.4271414227362167e-01,-3.3708954750177026e-16,-1.5879927897851150e-17,-2.0339402861333501e-18,2.2007144746006376e-17,-4.4260629858613579e-18,-2.4271414227362167e-01,3.3461834288561799e-16,3.0991371071314455e-01,2.6443799269189841e-18,-1.3877787807814457e-17,0.0000000000000000e+00,-3.0991371071314455e-01,2.6609008327242265e-18,2.4271414227362167e-01,3.3274030377333550e-16,7.9176287118449485e-18,2.1938762721756624e-17,3.8265545516678112e-17,-2.4965899370684765e-17,2.4271414227362167e-01,-3.3518987913989741e-16,-1.9008628928685550e-01,1.9651328945075957e-18,-1.3695935233117746e-17,-2.1895476974544444e-17,-2.0398367766185773e-17,2.5568220900871578e-17,7.9176287118449485e-18,-2.1938762721756627e-17,-1.3695935233117746e-17,2.1895476974544447e-17,1.9008628928685548e-01,1.9835132826454870e-18,-2.4271414227362167e-01,-3.3708954750177026e-16,3.8265545516678112e-17,2.4965899370684765e-17,-2.0398367766185773e-17,-2.5568220900871581e-17,-2.4271414227362167e-01,3.3461834288561799e-16,3.0991371071314455e-01,2.6443799269189841e-18,5.0000000000000000e-01,1.4448149889516853e+07,1.5495685535657228e-01,0.0000000000000000e+00,-1.2135707113681082e-01,-1.6748063105365861e-16,1.1345397503623048e-01,4.2892531846833074e-02,-1.4485654758634225e-01,-5.4764622205483351e-02,-1.2135707113681082e-01,1.6748063105365861e-16,9.5043144643427724e-02,0.0000000000000000e+00,-8.8858686017570132e-02,-3.3594010422809996e-02,1.1345397503623049e-01,4.2892531846833074e-02,1.1345397503623048e-01,-4.2892531846833074e-02,-8.8858686017570132e-02,3.3594010422809996e-02,9.5043144643427724e-02,0.0000000000000000e+00,-1.2135707113681082e-01,-1.6162306662176191e-16,-1.4485654758634225e-01,5.4764622205483351e-02,1.1345397503623049e-01,-4.2892531846833074e-02,-1.2135707113681082e-01,1.6162306662176191e-16,1.5495685535657228e-01,0.0000000000000000e+00
5.0000000000000000e-01,2.0000000000000001e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.7233504939840183e-01,9.8740709927069812e+00,True,2.8877073424572623e+08,1.0000000000000000e+00,2.8877073424572623e+08,2.7574476458850095e-01,-7.0819466324172676e-19,-2.4867082555930078e-01,7.2407438664022025e-16,-7.6421961813980256e-18,1.6357394948739318e-18,1.2542902339030316e-21,-1.5117810727616063e-21,-2.4867082555930078e-01,-7.2627160093925149e-16,2.2425523541149903e-01,1.6412929857359591e-18,-1.1687137245287179e-21,1.5534805536542920e-21,7.6422817579074021e-18,-1.6356977953930410e-18,-7.6421961813980256e-18,-1.6357394948739314e-18,-1.1687137245287179e-21,-1.5534805536543401e-21,2.2425523541149900e-01,-1.7212146542517625e-18,-2.4867082555930078e-01,7.1524446856090841e-16,1.2542902339030316e-21,1.5117810727615100e-21,7.6422817579074021e-18,1.6356977953930410e-18,-2.4867082555930078e-01,-7.1111667384570797e-16,2.7574476458850095e-01,-2.4909139880335313e-18,1.3877787807814457e-17,0.0000000000000000e+00,-2.7574476458850095e-01,7.0819466324172676e-19,2.4867082555930078e-01,-7.2407438664022025e-16,-4.8222689918170887e-19,-9.0228306235362780e-18,9.0080412993407248e-18,8.1929242902077764e-18,2.4867082555930078e-01,7.2627160093925149e-16,-2.2425523541149903e-01,-1.6412929857359591e-18,-6.4584340921593892e-18,9.6130628175859379e-18,-4.7980389522327685e-19,-9.0258958851626949e-18,-4.8222689918170887e-19,9.0228306235362764e-18,-6.4584340921593892e-18,-9.6130628175859379e-18,2.2425523541149900e-01,-1.7212146542517625e-18,-2.4867082555930078e-01,7.1524446856090841e-16,9.0080412993407248e-18,-8.1929242902077764e-18,-4.7980389522327685e-19,9.0258958851626934e-18,-2.4867082555930078e-01,-7.1111667384570797e-16,2.7574476458850095e-01,-2.4909139880335313e-18,4.9999999999999989e-01,1.4438536712286311e+08,1.3787238229425045e-01,0.0000000000000000e+00,-1.2433541277965036e-01,3.6258861535675149e-16,1.1733998054747427e-01,-4.0991510254146657e-02,-1.3011751370138763e-01,4.5455209488266410e-02,-1.2433541277965036e-01,-3.6258861535675149e-16,1.1212761770574950e-01,0.0000000000000000e+00,-1.0581715332136966e-01,3.6966129576632686e-02,1.1733998054747427e-01,-4.0991510254146650e-02,1.1733998054747427e-01,4.0991510254146657e-02,-1.0581715332136966e-01,-3.6966129576632686e-02,1.1212761770574950e-01,0.0000000000000000e+00,-1.2433541277965036e-01,3.5664169510636853e-16,-1.3011751370138763e-01,-4.5455209488266410e-02,1.1733998054747427e-01,4.0991510254146650e-02,-1.2433541277965036e-01,-3.5664169510636853e-16,1.3787238229425045e-01,0.0000000000000000e+00
5.0000000000000000e-01,3.0000000000000004e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6677081513186243e-01,9.5552638530122032e+00,True,9.2376044137810683e+08,9.9999999999999989e-01,9.2376044137810683e+08,2.6472570008114293e-01,-2.6096489078665563e-18,-2.4956591332797276e-01,1.0903152475376681e-15,-1.0898033867348613e-18,-4.5290924623537898e-19,2.1834035930404002e-20,1.7637446466202368e-21,-2.4956591332797276e-01,-1.0923227292108674e-15,2.3527429991885701e-01,-1.0838502329026822e-18,-2.0583600244242925e-20,-1.6627349544854425e-21,1.0910538224210223e-18,4.5301025592751454e-19,-1.0898033867348613e-18,4.5290924623537860e-19,-2.0583600244242925e-20,1.6627349544852258e-21,2.3527429991885701e-01,1.0979979107178370e-18,-2.4956591332797276e-01,1.0916248218953485e-15,2.1834035930404002e-20,-1.7637446466201766e-21,1.0910538224210223e-18,-4.5301025592751415e-19,-2.4956591332797276e-01,-1.0896172662778249e-15,2.6472570008114293e-01,2.5280351327985086e-18,0.0000000000000000e+00,0.0000000000000000e+00,-2.6472570008114293e-01,2.6096489078665563e-18,2.4956591332797276e-01,-1.0903152475376681e-15,-2.0658086606437425e-18,-1.2330907273907304e-17,3.3252833415267488e-18,1.3558791508914910e-17,2.4956591332797276e-01,1.0923227292108674e-15,-2.3527429991885701e-01,1.0838502329026822e-18,8.9970825552382605e-19,1.1196071788719923e-17,-2.0233910244690949e-18,-1.2327480794306198e-17,-2.0658086606437425e-18,1.2330907273907304e-17,8.9970825552382605e-19,-1.1196071788719923e-17,2.3527429991885701e-01,1.0979979107178370e-18,-2.4956591332797276e-01,1.0916248218953485e-15,3.3252833415267488e-18,-1.3558791508914913e-17,-2.0233910244690949e-18,1.2327480794306198e-17,-2.4956591332797276e-01,-1.0896172662778249e-15,2.6472570008114293e-01,2.5280351327985086e-18,4.9999999999999989e-01,4.6188022068905324e+08,1.3236285004057147e-01,0.0000000000000000e+00,-1.2478295666398634e-01,5.4593137714349100e-16,1.1806276551961360e-01,-4.0274369611839445e-02,-1.2523560616796861e-01,4.2721217558923635e-02,-1.2478295666398634e-01,-5.4593137714349100e-16,1.1763714995942848e-01,0.0000000000000000e+00,-1.1130073222185421e-01,3.7967659048496361e-02,1.1806276551961360e-01,-4.0274369611839451e-02,1.1806276551961360e-01,4.0274369611839445e-02,-1.1130073222185421e-01,-3.7967659048496361e-02,1.1763714995942848e-01,0.0000000000000000e+00,-1.2478295666398634e-01,5.4542654560119376e-16,-1.2523560616796861e-01,-4.2721217558923635e-02,1.1806276551961360e-01,4.0274369611839451e-02,-1.2478295666398634e-01,-5.4542654560119376e-16,1.3236285004057147e-01,0.0000000000000000e+00
5.0000000000000000e-01,4.0000000000000002e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6413586028573898e-01,9.4042920611217866e+00,True,2.3309509177855239e+09,1.0000000000000000e+00,2.3309509177855239e+09,2.5937206932469559e-01,-1.6690814510098645e-18,-2.4982425999176905e-01,1.4361604909673552e-15,-1.7858142472820411e-18,3.9300153380610209e-19,-6.8577702873378537e-19,-1.0962289402236794e-19,-2.4982425999176905e-01,-1.4339019437761972e-15,2.4062793067530447e-01,5.3432743019224421e-19,6.6053810091242446e-19,1.0561224796336922e-19,1.7605753194606801e-18,-3.9701217986510006e-19,-1.7858142472820411e-18,-3.9300153380610195e-19,6.6053810091242446e-19,-1.0561224796336935e-19,2.4062793067530444e-01,-5.3423484409337087e-19,-2.4982425999176905e-01,1.4331625492637304e-15,-6.8577702873378537e-19,1.0962289402236779e-19,1.7605753194606801e-18,3.9701217986509997e-19,-2.4982425999176905e-01,-1.4353707026666539e-15,2.5937206932469559e-01,1.6712854488897036e-18,-2.7755575615628914e-17,0.0000000000000000e+00,-2.5937206932469559e-01,1.6690814510098645e-18,2.4982425999176905e-01,-1.4361604909673552e-15,3.0040618484480027e-18,-5.1518466240427431e-18,-5.7897784049685891e-19,5.0503099898487912e-18,2.4982425999176905e-01,1.4339019437761972e-15,-2.4062793067530447e-01,-5.3432743019224421e-19,-3.9530742828298579e-18,5.4462605470377251e-18,1.6577467188017930e-18,-5.3670817660284816e-18,3.0040618484480027e-18,5.1518466240427438e-18,-3.9530742828298579e-18,-5.4462605470377251e-18,2.4062793067530444e-01,-5.3423484409337087e-19,-2.4982425999176905e-01,1.4331625492637304e-15,-5.7897784049685891e-19,-5.0503099898487905e-18,1.6577467188017930e-18,5.3670817660284816e-18,-2.4982425999176905e-01,-1.4353707026666539e-15,2.5937206932469559e-01,1.6712854488897036e-18,4.9999999999999994e-01,1.1654754588927617e+09,1.2968603466234779e-01,0.0000000000000000e+00,-1.2491212999588452e-01,7.1798444286579734e-16,1.1832590190708997e-01,-3.9903226068709947e-02,-1.2284880722559148e-01,4.1428492392505581e-02,-1.2491212999588452e-01,-7.1798444286579734e-16,1.2031396533765219e-01,0.0000000000000000e+00,-1.1396950942139299e-01,3.8434113123875790e-02,1.1832590190708997e-01,-3.9903226068709954e-02,1.1832590190708997e-01,3.9903226068709947e-02,-1.1396950942139299e-01,-3.8434113123875790e-02,1.2031396533765219e-01,0.0000000000000000e+00,-1.2491212999588452e-01,7.1773489719721875e-16,-1.2284880722559148e-01,-4.1428492392505581e-02,1.1832590190708997e-01,3.9903226068709954e-02,-1.2491212999588452e-01,-7.1773489719721875e-16,1.2968603466234779e-01,0.0000000000000000e+00
5.0000000000000000e-01,5.0000000000000000e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6259887722925009e-01,9.3162294188018553e+00,True,5.3773526762123880e+09,1.0000000000000000e+00,5.3773526762123880e+09,2.5621019926563088e-01,1.8225730436093208e-18,-2.4992285196645597e-01,1.4651828045640070e-15,1.0326379868184379e-18,-7.8536562728530740e-21,-8.8260766237110013e-19,-2.7320482364106392e-21,-2.4992285196645597e-01,-1.4644270019994567e-15,2.4378980073436918e-01,2.5381091430584324e-18,8.6095112993133617e-19,2.6650942800122512e-21,-1.0542945192582015e-18,7.7867023164548124e-21,1.0326379868184379e-18,7.8536562728539377e-21,8.6095112993133617e-19,-2.6650942800121308e-21,2.4378980073436918e-01,-2.5256425640213394e-18,-2.4992285196645597e-01,1.4693106929415533e-15,-8.8260766237110013e-19,2.7320482364105189e-21,-1.0542945192582015e-18,-7.7867023164548906e-21,-2.4992285196645597e-01,-1.4645215480075276e-15,2.5621019926563082e-01,-1.8323815692004738e-18,-5.5511151231257827e-17,0.0000000000000000e+00,-2.5621019926563088e-01,-1.8225730436093208e-18,2.4992285196645597e-01,-1.4651828045640070e-15,-4.7033461698125447e-19,1.2377842599168426e-17,3.0613742330516173e-19,-1.2678507982171964e-17,2.4992285196645597e-01,1.4644270019994567e-15,-2.4378980073436918e-01,-2.5381091430584324e-18,2.3270570942874826e-18,-1.2079061372849175e-17,-2.2138934092836906e-18,1.2372445456652006e-17,-4.7033461698125447e-19,-1.2377842599168426e-17,2.3270570942874826e-18,1.2079061372849173e-17,2.4378980073436918e-01,-2.5256425640213394e-18,-2.4992285196645597e-01,1.4693106929415533e-15,3.0613742330516173e-19,1.2678507982171964e-17,-2.2138934092836906e-18,-1.2372445456652003e-17,-2.4992285196645597e-01,-1.4645215480075276e-15,2.5621019926563082e-01,-1.8323815692004738e-18,4.9999999999999989e-01,2.6886763381061935e+09,1.2810509963281541e-01,0.0000000000000000e+00,-1.2496142598322794e-01,7.2589953211165394e-16,1.1845438497707390e-01,-3.9677176897274256e-02,-1.2143482298004180e-01,4.0675496764437456e-02,-1.2496142598322794e-01,-7.2589953211165394e-16,1.2189490036718453e-01,0.0000000000000000e+00,-1.1554709466162588e-01,3.8703358391862425e-02,1.1845438497707389e-01,-3.9677176897274263e-02,1.1845438497707390e-01,3.9677176897274256e-02,-1.1554709466162588e-01,-3.8703358391862425e-02,1.2189490036718453e-01,0.0000000000000000e+00,-1.2496142598322794e-01,7.3161225401599360e-16,-1.2143482298004180e-01,-4.0675496764437456e-02,1.1845438497707389e-01,3.9677176897274263e-02,-1.2496142598322794e-01,-7.3161225401599360e-16,1.2810509963281541e-01,0.0000000000000000e+00
5.0000000000000000e-01,5.9999999999999998e-01,-5.0000000000000022e-01,3.1415926535897931e+00,1.6159188650836145e-01,9.2585331004860993e+00,True,1.2301492402045464e+10,1.0000000000000000e+00,1.2301492402045464e+10,2.5412330152614754e-01,-1.8993979398863176e-18,-2.4996599315323562e-01,1.8214910941883076e-15,7.7455612527517537e-19,-1.4416341354627955e-19,-5.9364896848263951e-21,-9.3888894641151397e-22,-2.4996599315323562e-01,-1.8212820837433863e-15,2.4587669847385249e-01,-1.1694798177649038e-19,5.8393345790537353e-21,9.2353322649354681e-22,-7.7465328038094746e-19,1.4414805782636194e-19,7.7455612527517537e-19,1.4416341354627947e-19,5.8393345790537353e-21,-9.2353322649356036e-22,2.4587669847385252e-01,1.1962769582638580e-19,-2.4996599315323559e-01,1.8203069688439247e-15,-5.9364896848263951e-21,9.3888894641127925e-22,-7.7465328038094746e-19,-1.4414805782636203e-19,-2.4996599315323559e-01,-1.8205158831581796e-15,2.5412330152614754e-01,1.8956306940103509e-18,2.7755575615628914e-17,0.0000000000000000e+00,-2.5412330152614754e-01,1.8993979398863176e-18,2.4996599315323562e-01,-1.8214910941883076e-15,-3.6021598049859593e-18,2.6848853256504378e-18,2.8805081819207111e-18,-2.5820446086124460e-18,2.4996599315323562e-01,1.8212820837433863e-15,-2.4587669847385249e-01,1.1694798177649038e-19,4.3110111028945680e-18,-2.7818343203668695e-18,-3.6139356292498404e-18,2.6830229034775333e-18,-3.6021598049859593e-18,-2.6848853256504378e-18,4.3110111028945680e-18,2.7818343203668695e-18,2.4587669847385252e-01,1.1962769582638580e-19,-2.4996599315323559e-01,1.8203069688439247e-15,2.8805081819207111e-18,2.5820446086124460e-18,-3.6139356292498404e-18,-2.6830229034775325e-18,-2.4996599315323559e-01,-1.8205158831581796e-15,2.5412330152614754e-01,1.8956306940103509e-18,4.9999999999999989e-01,6.1507462010227299e+09,1.2706165076307374e-01,0.0000000000000000e+00,-1.2498299657661778e-01,9.1082346374008209e-16,1.1852824740386744e-01,-3.9525218124878400e-02,-1.2049985253422263e-01,4.0182682691683347e-02,-1.2498299657661778e-01,-9.1082346374008209e-16,1.2293834923692620e-01,0.0000000000000000e+00,-1.1658890024280412e-01,3.8878510515174027e-02,1.1852824740386744e-01,-3.9525218124878400e-02,1.1852824740386744e-01,3.9525218124878400e-02,-1.1658890024280412e-01,-3.8878510515174027e-02,1.2293834923692620e-01,0.0000000000000000e+00,-1.2498299657661778e-01,9.1084244621448842e-16,-1.2049985253422263e-01,-4.0182682691683347e-02,1.1852824740386744e-01,3.9525218124878400e-02,-1.2498299657661778e-01,-9.1084244621448842e-16,1.2706165076307374e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000001e-01,-2.1000000000000001e+00,3.1415926535897931e+00,1.2812264497087317e-01,7.3408868168840744e+00,True,3.4442232514241734e+05,1.0000000000000000e+00,3.4442232514241734e+05,3.7786103918896774e-01,9.7573209655898598e-18,-2.1481803226070961e-01,-2.5639782291016471e-16,5.5516649732475131e-18,1.1722010207167563e-18,-2.2863725155106612e-17,6.8101546819075869e-18,-2.1481803226070961e-01,2.5625992618316096e-16,1.2213896081103219e-01,-2.2798593278904929e-18,1.2987606801040308e-17,-3.9036717298418796e-18,-1.5427783327313817e-17,1.7342819313489499e-18,5.5516649732475131e-18,-1.1722010207167555e-18,1.2987606801040308e-17,3.9036717298418789e-18,1.2213896081103218e-01,2.0412391799046770e-18,-2.1481803226070961e-01,-2.6553012169367734e-16,-2.2863725155106612e-17,-6.8101546819075877e-18,-1.5427783327313817e-17,-1.7342819313489470e-18,-2.1481803226070961e-01,2.5687171330666555e-16,3.7786103918896774e-01,-1.0392423681867762e-17,-4.1633363423443370e-17,-1.4551915228366852e-11,-3.7786103918896774e-01,-9.7573209655898598e-18,2.1481803226070961e-01,2.5639782291016471e-16,-3.2510430205024826e-17,6.1521164523332272e-18,7.0305325369217490e-17,-1.9731061914071096e-17,2.1481803226070961e-01,-2.5625992618316096e-16,-1.2213896081103219e-01,2.2798593278904929e-18,3.4642963811273640e-17,-6.6158936585997420e-18,-6.8361762161171736e-17,1.6865942864082691e-17,-3.2510430205024826e-17,-6.1521164523332272e-18,3.4642963811273640e-17,6.6158936585997420e-18,1.2213896081103218e-01,2.0412391799046770e-18,-2.1481803226070961e-01,-2.6553012169367734e-16,7.0305325369217490e-17,1.9731061914071096e-17,-6.8361762161171736e-17,-1.6865942864082691e-17,-2.1481803226070961e-01,2.5687171330666555e-16,3.7786103918896774e-01,-1.0392423681867762e-17,4.9999999999999989e-01,1.7221116257120867e+05,1.8893051959448387e-01,0.0000000000000000e+00,-1.0740901613035478e-01,-1.1955463046102108e-16,8.7739189268091725e-02,6.1061932260727016e-02,-1.5416137897225207e-01,-1.0728833670050025e-01,-1.0740901613035478e-01,1.1955463046102108e-16,6.1069480405516061e-02,0.0000000000000000e+00,-4.9930591362920593e-02,-3.4749105992132483e-02,8.7739189268091725e-02,6.1061932260727023e-02,8.7739189268091725e-02,-6.1061932260727016e-02,-4.9930591362920593e-02,3.4749105992132483e-02,6.1069480405516088e-02,0.0000000000000000e+00,-1.0740901613035481e-01,-1.2552830045580026e-16,-1.5416137897225207e-01,1.0728833670050025e-01,8.7739189268091725e-02,-6.1061932260727023e-02,-1.0740901613035481e-01,1.2552830045580026e-16,1.8893051959448393e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000001e-01,-1.8999999999999999e+00,3.1415926535897931e+00,5.0643873675886138e-02,2.9016802198219662e+00,True,3.0498645741291847e+06,1.0000000000000000e+00,3.0498645741291847e+06,3.7877433099227409e-01,8.0914044086194082e-18,-2.1428153870085392e-01,-8.3780917920089194e-16,-3.7246889900018678e-17,-1.4496407681675432e-17,-2.1614783721690940e-17,2.7264120964972565e-18,-2.1428153870085392e-01,8.3498434310482322e-16,1.2122566900772599e-01,-7.3346592404606918e-19,1.2228158364802607e-17,-1.5425647157680455e-18,2.7860264543130344e-17,1.5680255062404651e-17,-3.7246889900018678e-17,1.4496407681675432e-17,1.2228158364802607e-17,1.5425647157680463e-18,1.2122566900772599e-01,-1.2605093605161802e-18,-2.1428153870085392e-01,-8.2400577065850157e-16,-2.1614783721690940e-17,-2.7264120964972572e-18,2.7860264543130344e-17,-1.5680255062404648e-17,-2.1428153870085392e-01,8.2946142260409899e-16,3.7877433099227409e-01,-8.2575344204445366e-18,0.0000000000000000e+00,1.1641532182693481e-10,-3.7877433099227409e-01,-8.0914044086194082e-18,2.1428153870085392e-01,8.3780917920089194e-16,2.4491287016616736e-17,2.0864960654373429e-17,4.4172943308077790e-17,-1.3989456636246994e-17,2.1428153870085392e-01,-8.3498434310482322e-16,-1.2122566900772599e-01,7.3346592404606918e-19,-2.2701924012324554e-17,-2.1508320189996777e-17,-9.3516550698768134e-18,2.5133937466638728e-17,2.4491287016616736e-17,-2.0864960654373429e-17,-2.2701924012324554e-17,2.1508320189996777e-17,1.2122566900772599e-01,-1.2605093605161802e-18,-2.1428153870085392e-01,-8.2400577065850157e-16,4.4172943308077790e-17,1.3989456636246994e-17,-9.3516550698768134e-18,-2.5133937466638731e-17,-2.1428153870085392e-01,8.2946142260409899e-16,3.7877433099227409e-01,-8.2575344204445366e-18,5.0000000000000000e-01,1.5249322870645924e+06,1.8938716549613699e-01,0.0000000000000000e+00,-1.0714076935042696e-01,-4.1158268239001941e-16,8.7558895483101196e-02,6.0936457122673232e-02,-1.5471937556906634e-01,-1.0767667343669118e-01,-1.0714076935042696e-01,4.1158268239001941e-16,6.0612834503862997e-02,0.0000000000000000e+00,-4.9550749107646536e-02,-3.4484755452142121e-02,8.7558895483101223e-02,6.0936457122673246e-02,8.7558895483101196e-02,-6.0936457122673232e-02,-4.9550749107646536e-02,3.4484755452142121e-02,6.0612834503862976e-02,0.0000000000000000e+00,-1.0714076935042695e-01,-3.9892484986206574e-16,-1.5471937556906634e-01,1.0767667343669118e-01,8.7558895483101223e-02,-6.0936457122673246e-02,-1.0714076935042695e-01,3.9892484986206574e-16,1.8938716549613702e-01,0.0000000000000000e+00
