optimization_run,start_source,screening_dGHZ,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_dGHZ,lbfgs_dGHZ,final_dGHZ,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_dGHZ,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,1724,1215,132.33049770308278,1.1474702127880667,6.408947943484909e-07,2.6235789493360746e-08,25,11,False,1e-05,2.660165145918938e-08,True,0.9258676244024053,0.04266233515320404,0.1419429291362877,0.3097531684357598,0.7137651717215495,0.8862208623912066,0.07768074411608142,0.10241977793208562,0.9999655829812083,0.002708659262032555,1.0,0.8362029628878853,0.2770857102548087,0.2530082792228275,0.7495511454024039,0.7495533497504961
1,latin_hypercube,nan,False,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,11489,9,0.0,1000.0,1000.0,0.0006758818632985155,512,501,True,2.44140625e-05,0.0006741820616205248,False,0.6598036184471335,0.3919956699653355,0.31669505647508306,0.8636040882157521,0.5011014938695811,0.9516396641658168,0.6532206080298696,0.0014023905863354918,0.19946353412592063,0.07480483858483129,0.8842726557942018,0.7894045376180884,0.4999953726681281,3.024162257947438e-06,0.6230284555950231,0.1013126593327655
2,latin_hypercube,nan,False,False,2,ABNORMAL: ,7,12717,1341,99957792.84079652,0.9815117712814867,0.4220715965843944,0.0019772579374026157,512,501,True,2.44140625e-05,0.0019733078152982058,False,0.10272091413993566,0.17747189430302807,0.6639791089514556,0.27701734063525374,0.9624814351504511,0.10905015934068854,0.31706348911948,0.3356946201952549,0.6817997402615639,0.9998560467781369,0.9925384678318973,0.7879792717320536,0.9121691071493396,0.9997832421746712,0.49076644854009926,0.009062078081910313
3,latin_hypercube,nan,False,False,2,ABNORMAL: ,2,11877,414,4.4229083158895195,0.9778270641718323,0.7951077538411744,0.0031674526196484843,512,502,True,4.8828125e-05,0.003157305726500857,False,0.5540584607594852,0.16152108128393977,0.687146130288706,0.22887019324569835,0.7374700766907514,0.8356167534026185,0.8510088041936995,0.7583395423390443,0.5548588946112529,0.6109752841311937,0.9886394292155056,0.7607681591507227,0.00012280417193887043,0.5001239912744297,0.5074951721769941,0.992131040938643
4,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,24,1161,486,2325.9016589666953,0.46325854925281,5.703960985375383e-06,2.834833120860681e-08,31,17,False,1e-05,2.8345245917582542e-08,True,0.41383073717461116,0.12637521007979666,0.9821057428496337,0.756496176216404,0.7860398206498198,0.29796858936518594,0.15576723596723324,0.3986758026478678,0.978065448402896,0.0002923834526604331,1.0,0.8484396586898367,0.7804678701579498,0.49933983305140084,0.26151856909815296,0.26151170305484306
5,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,10671,54,1.5894487735034507e-05,1.0453036589373899,0.9999998170564627,0.29731413610126173,512,505,True,0.000390625,0.29730899650584985,False,0.5311932658180069,0.22757591136509048,0.12558079422869786,0.24102582204851938,0.5951092804950706,0.056663829935161746,0.38096575438477276,0.8868490751789878,1.0,0.983233996089725,0.0,0.833748059064947,0.49979419809198594,0.812530743239969,0.9765794817567958,0.522038251534944
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,1542,702,772.913491758502,1.001163395898086,1.2915674642578883e-06,9.735041564173864e-08,42,28,False,1e-05,9.732058084986041e-08,True,0.739488002973425,0.3684273559468389,0.04932451882726944,0.04928277710555935,0.01933580652746851,0.9914923168087362,0.5249705338583425,0.15422686768234883,1.0,1.0,0.0,3.07156398135303e-05,0.018474061694652304,0.9714523562528189,0.9609953313959553,0.46099538760781916
8,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253
9,latin_hypercube,nan,False,False,2,ABNORMAL: ,6,12522,1071,2.7482476340253146,0.9661368375530928,0.6312727774243269,0.0032314349746050824,512,502,True,4.8828125e-05,0.0032276490831821994,False,0.08325133776792965,0.42347946676996023,0.5568706111366245,0.3378896227813176,0.7914098377012042,0.996138094108367,0.36022726811257433,0.8263359294198536,0.12374414000727985,0.7087345845985271,0.7968487623126418,0.5655513574495464,0.5001760745957434,9.655695653575524e-05,0.06591283102291434,0.5536649172233361
