rank,phi_e_region,spin_case,spin_label,best_C13_key,best_C13,kinematic_point,s,sqrt_s,qOut,theta_in,phi_in_electron,phi_in,phiOut,phi_e_region_offset,Q2,xB,t,W2,y,theta_e_gamma_deg,squared_amplitude_M2
11,forward,unpolarized,Unpolarized,unpolarized_C13,1.6466826981996500e-12,s03_qout02,2.0977947899999997e+01,4.5801689815988222e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,5.5083868471861044e-02,6.0573620588765609e-03,-3.2483416349915076e-05,9.9184659289453876e+00,4.5246585661333194e-01,1.8269484278106727e+01,1.4053434967297226e+07
12,forward,unpolarized,Unpolarized,unpolarized_C13,1.5169128546279577e-12,s04_qout02,2.3308830999999998e+01,4.8279220167687056e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,5.2665961041874335e-02,5.4944553382914032e-03,-2.6712405875005386e-05,1.0412470447259279e+01,4.2736180676823043e-01,1.7470456434503514e+01,1.6007466617993405e+07
13,forward,unpolarized,Unpolarized,unpolarized_C13,1.3032120767916512e-12,s05_qout03,2.5639714099999999e+01,5.0635673294625008e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.5695686171830135e-02,7.6153782039001614e-03,-5.1416601421879011e-05,1.3350259097770623e+01,5.0751925325902481e-01,2.0303868204040864e+01,6.6808843520840062e+06
14,forward,unpolarized,Unpolarized,unpolarized_C13,1.2183330525436004e-12,s06_qout00,2.7970597199999997e+01,5.2887235889201083e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,9.3505320449296953e-03,1.7811160460025944e-03,-2.7972011294053669e-06,6.1203097648299103e+00,1.9378628043737225e-01,1.2408876463217082e+01,1.7334410070611671e+08
15,forward,unpolarized,Unpolarized,unpolarized_C13,1.1306168711397394e-12,s06_qout01,2.7970597199999997e+01,5.2887235889201083e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.3913220525144805e-02,3.0367041681361642e-03,-8.1405871582145423e-06,8.7306591695708899e+00,2.9067956626972019e-01,1.4105850074122451e+01,5.3033353075821385e+07
16,forward,unpolarized,Unpolarized,unpolarized_C13,1.0719258889229868e-12,s06_qout03,2.7970597199999997e+01,5.2887235889201083e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,9.1410559824495446e-02,6.9648386918077631e-03,-4.2981077308269386e-05,1.3913010170432743e+01,4.8446702951977144e-01,1.9399893021340262e+01,7.6416460828008596e+06
17,forward,unpolarized,Unpolarized,unpolarized_C13,9.2719737726200155e-13,s05_qout01,2.5639714099999999e+01,5.0635673294625008e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.4389021628732674e-02,3.2347706136346857e-03,-9.2390852917855912e-06,8.3950998378651622e+00,3.0451067913695945e-01,1.4386433488467588e+01,5.0025147246234052e+07
18,forward,unpolarized,Unpolarized,unpolarized_C13,8.0487335642381395e-13,s04_qout03,2.3308830999999998e+01,4.8279220167687056e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.0118808783782521e-01,8.4452580963796809e-03,-6.3281964658524955e-05,1.2760301314000467e+01,5.3420359117593186e-01,2.1460432346129895e+01,5.6801698335669525e+06
19,forward,unpolarized,Unpolarized,unpolarized_C13,7.8578840725713401e-13,s05_qout01,2.5639714099999999e+01,5.0635673294625008e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.4389021628732820e-02,3.2347706136347061e-03,-9.2390852917855912e-06,8.3950998378651605e+00,3.0451067913695939e-01,1.4386433488467588e+01,5.0025147240579844e+07
20,forward,unpolarized,Unpolarized,unpolarized_C13,7.8408133955992418e-13,s03_qout01,2.0977947899999997e+01,4.5801689815988222e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.5676009481119141e-02,3.7646631099596079e-03,-1.2520823612061690e-05,7.6744354968442012e+00,3.3934880326324329e-01,1.5144973152573110e+01,4.3106998604212508e+07
21,forward,unpolarized,Unpolarized,unpolarized_C13,6.7765468761743968e-13,s02_qout01,1.8647064799999999e+01,4.3182247278250809e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.6585471464139900e-02,4.1342960640804189e-03,-1.5105858148097935e-05,7.2837296539880807e+00,3.6192892506025592e-01,1.5680614063536019e+01,3.9058710938669160e+07
22,forward,unpolarized,Unpolarized,unpolarized_C13,6.6529408031413593e-13,s01_qout02,1.6316181699999998e+01,4.0393293626541515e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,6.2797638080755183e-02,7.8294892551991953e-03,-5.4357527077847501e-05,8.8377021204100323e+00,5.1959576904635818e-01,2.0811832426143255e+01,9.6621378623777181e+06
23,forward,unpolarized,Unpolarized,unpolarized_C13,6.6348321340220762e-13,s03_qout04,2.0977947899999997e+01,4.5801689815988222e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.1146808651463089e-01,1.5502701846724384e-02,-2.1463336446683797e-04,1.4309100517842815e+01,6.7870703983958647e-01,3.0964231415353535e+01,1.4000532407882279e+06
24,forward,unpolarized,Unpolarized,unpolarized_C13,6.1667594351076076e-13,s02_qout02,1.8647064799999999e+01,4.3182247278250809e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,5.8294533042488279e-02,6.7990031843142501e-03,-4.0952685298176384e-05,9.3955317790966824e+00,4.8257307142483252e-01,1.9328998380798836e+01,1.1942610884806337e+07
25,forward,unpolarized,Unpolarized,unpolarized_C13,5.4214205199171593e-13,s02_qout02,1.8647064799999999e+01,4.3182247278250809e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,5.8294533042488494e-02,6.7990031843142753e-03,-4.0952685298176384e-05,9.3955317790966824e+00,4.8257307142483252e-01,1.9328998380798836e+01,1.1942610884718742e+07
26,forward,unpolarized,Unpolarized,unpolarized_C13,5.3880343222390596e-13,s05_qout00,2.5639714099999999e+01,5.0635673294625008e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0614548307835552e+00,0.0000000000000000e+00,3.6491984127206410e-02,7.4228475321055851e-03,-4.8920280014531994e-05,5.7595225244774593e+00,1.9855397014399795e-01,2.4997596335207454e+01,3.1532568590204366e+06
27,forward,unpolarized,Unpolarized,unpolarized_C13,5.2755368760395426e-13,s04_qout04,2.3308830999999998e+01,4.8279220167687056e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.8918507834432424e-01,1.3157906744240010e-02,-1.5428945536721616e-04,1.5068711754956210e+01,6.4104780270729700e-01,2.7771621976727509e+01,1.9125904115475276e+06
28,forward,unpolarized,Unpolarized,unpolarized_C13,4.8800976390259047e-13,s04_qout04,2.3308830999999998e+01,4.8279220167687056e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.8918507834432313e-01,1.3157906744239929e-02,-1.5428945536721616e-04,1.5068711754956214e+01,6.4104780270729711e-01,2.7771621976727456e+01,1.9125904115536937e+06
29,forward,unpolarized,Unpolarized,unpolarized_C13,4.8632597070322385e-13,s02_qout01,1.8647064799999999e+01,4.3182247278250809e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.6585471464139754e-02,4.1342960640803955e-03,-1.5105858148097935e-05,7.2837296539880807e+00,3.6192892506025603e-01,1.5680614063536019e+01,3.9058710939970575e+07
30,forward,unpolarized,Unpolarized,unpolarized_C13,4.6160462109987160e-13,s04_qout03,2.3308830999999998e+01,4.8279220167687056e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.0118808783782479e-01,8.4452580963796462e-03,-6.3281964658524955e-05,1.2760301314000470e+01,5.3420359117593186e-01,2.1460432346129878e+01,5.6801698336547576e+06
31,forward,unpolarized,Unpolarized,unpolarized_C13,4.2539965407426860e-13,s03_qout01,2.0977947899999997e+01,4.5801689815988222e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.5676009481119616e-02,3.7646631099596791e-03,-1.2520823612061690e-05,7.6744354968441995e+00,3.3934880326324313e-01,1.5144973152573110e+01,4.3106998603521511e+07
32,forward,unpolarized,Unpolarized,unpolarized_C13,4.0469032425724528e-13,s06_qout04,2.7970597199999997e+01,5.2887235889201083e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.6213845701857621e-01,1.0294809345405035e-02,-9.4201296237669013e-05,1.6467240243295695e+01,5.8136200880211308e-01,2.3857430193821017e+01,2.9695363862636546e+06
33,forward,unpolarized,Unpolarized,unpolarized_C13,3.9692752235650120e-13,s06_qout02,2.7970597199999997e+01,5.2887235889201083e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,4.9241134030911918e-02,4.6897897264350707e-03,-1.9446073169300293e-05,1.1330249311384973e+01,3.8757307218080173e-01,1.6337196509813459e+01,1.9511305797721185e+07
34,forward,unpolarized,Unpolarized,unpolarized_C13,3.8379364389383073e-13,s01_qout02,1.6316181699999998e+01,4.0393293626541515e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,6.2797638080755835e-02,7.8294892551992769e-03,-5.4357527077847501e-05,8.8377021204100323e+00,5.1959576904635818e-01,2.0811832426143290e+01,9.6621378623606116e+06
35,forward,unpolarized,Unpolarized,unpolarized_C13,3.7519071449033191e-13,s06_qout04,2.7970597199999997e+01,5.2887235889201083e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.6213845701857596e-01,1.0294809345405017e-02,-9.4201296237669013e-05,1.6467240243295695e+01,5.8136200880211308e-01,2.3857430193821017e+01,2.9695363862953219e+06
36,forward,unpolarized,Unpolarized,unpolarized_C13,3.6484249941562226e-13,s06_qout05,2.7970597199999997e+01,5.2887235889201083e+00,1.7500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.8732689856180460e-01,1.5637207615047721e-02,-2.1844312691076003e-04,1.8967082793416942e+01,6.7825968352842791e-01,3.0916516583390305e+01,1.0773282734246952e+06
37,forward,unpolarized,Unpolarized,unpolarized_C13,3.5522962511670287e-13,s03_qout03,2.0977947899999997e+01,4.5801689815988222e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.0851539776901489e-01,9.5463842898485998e-03,-8.0940785082344967e-05,1.2138501185510250e+01,5.6558432774741840e-01,2.2999348966919417e+01,4.6434659053420080e+06
38,forward,unpolarized,Unpolarized,unpolarized_C13,3.5203744117004217e-13,s04_qout00,2.3308830999999998e+01,4.8279220167687056e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.5871752192352791e-03,2.0003969557762214e-03,-3.5293206005988629e-06,5.6628932020517615e+00,2.1368046525110546e-01,1.2723151994521741e+01,1.6123805831563687e+08
39,forward,unpolarized,Unpolarized,unpolarized_C13,3.4996038506555639e-13,s06_qout03,2.7970597199999997e+01,5.2887235889201083e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.1410559824494558e-02,6.9648386918076937e-03,-4.2981077308269386e-05,1.3913010170432752e+01,4.8446702951977161e-01,1.9399893021340223e+01,7.6416460829094537e+06
40,forward,unpolarized,Unpolarized,unpolarized_C13,3.2990452731091753e-13,s02_qout00,1.8647064799999999e+01,4.3182247278250809e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,9.9361473430325253e-03,2.3177523476615360e-03,-4.7398258768798387e-06,5.1568832722083524e+00,2.4128565000730934e-01,1.3186428677154481e+01,1.4616051425433427e+08
41,forward,unpolarized,Unpolarized,unpolarized_C13,3.2468806700077417e-13,s06_qout00,2.7970597199999997e+01,5.2887235889201083e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.3633231299858233e+00,0.0000000000000000e+00,3.6084910922166605e-02,7.0281918375000732e-03,-4.3834387392929890e-05,5.9780684187733666e+00,1.8952257590591953e-01,2.4717814806308070e+01,3.2997315115700434e+06
42,forward,unpolarized,Unpolarized,unpolarized_C13,3.1773414583085752e-13,s04_qout01,2.3308830999999998e+01,4.8279220167687056e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.4964036852785997e-02,3.4725519580151307e-03,-1.0649950760292717e-05,8.0438398850183752e+00,3.2052093667320591e-01,1.4725418393770642e+01,4.6736273562157899e+07
43,forward,unpolarized,Unpolarized,unpolarized_C13,3.0241642686483168e-13,s00_qout02,1.3985298599999998e+01,3.7396923135466635e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,6.9640298037107307e-02,9.3776204896855973e-03,-7.8083171007837534e-05,8.2364263896590266e+00,5.6665128485479133e-01,2.3056945513652828e+01,7.2139949950204613e+06
44,forward,unpolarized,Unpolarized,unpolarized_C13,2.9368080672876968e-13,s01_qout03,1.6316181699999998e+01,4.0393293626541515e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.3461383002310506e-01,1.3426591468092684e-02,-1.6065873120110736e-04,1.0771142579913924e+01,6.4950071738434645e-01,2.8435603674387671e+01,2.5176743959308555e+06
45,forward,unpolarized,Unpolarized,unpolarized_C13,2.8313531307822758e-13,s00_qout00,1.3985298599999998e+01,3.7396923135466635e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.0519371230673947e-02,2.8330585292151243e-03,-7.0860358088099269e-06,4.5824040170685318e+00,2.8332320408780087e-01,1.3960162555912953e+01,1.2597734712058899e+08
46,forward,unpolarized,Unpolarized,unpolarized_C13,2.7628268070489958e-13,s00_qout02,1.3985298599999998e+01,3.7396923135466635e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,6.9640298037106668e-02,9.3776204896855089e-03,-7.8083171007837534e-05,8.2364263896590266e+00,5.6665128485479144e-01,2.3056945513652796e+01,7.2139949950331636e+06
47,forward,unpolarized,Unpolarized,unpolarized_C13,2.7533305001910890e-13,s06_qout02,2.7970597199999997e+01,5.2887235889201083e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.3633231299858233e+00,0.0000000000000000e+00,1.8845468037525373e-01,1.8352102760332129e-02,-3.0211459558764894e-04,1.0960222424820545e+01,3.7905306764212809e-01,3.2279224235647682e+01,4.0217519080158946e+05
48,forward,unpolarized,Unpolarized,unpolarized_C13,2.6771076288048441e-13,s04_qout00,2.3308830999999998e+01,4.8279220167687056e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0614548307835552e+00,0.0000000000000000e+00,3.6974996754508757e-02,7.8873382820312393e-03,-5.5267077013204527e-05,5.5307618553556113e+00,2.0901045830157730e-01,2.5329376382397989e+01,2.9983686074978434e+06
49,forward,unpolarized,Unpolarized,unpolarized_C13,2.6647225734727201e-13,s04_qout02,2.3308830999999998e+01,4.8279220167687056e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,5.2665961041874550e-02,5.4944553382914258e-03,-2.6712405875005386e-05,1.0412470447259279e+01,4.2736180676823043e-01,1.7470456434503536e+01,1.6007466617836790e+07
50,forward,unpolarized,Unpolarized,unpolarized_C13,2.5383445487211813e-13,s02_qout03,1.8647064799999999e+01,4.3182247278250809e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.1884283290751672e-01,1.1088633832554810e-02,-1.0935626120017069e-04,1.1478537222671248e+01,6.0321961302911065e-01,2.5159579627734708e+01,3.5814069500441109e+06
51,forward,unpolarized,Unpolarized,unpolarized_C13,2.4870368236383358e-13,s04_qout01,2.3308830999999998e+01,4.8279220167687056e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,2.4964036852785851e-02,3.4725519580151090e-03,-1.0649950760292717e-05,8.0438398850183752e+00,3.2052093667320602e-01,1.4725418393770642e+01,4.6736273563115500e+07
52,forward,unpolarized,Unpolarized,unpolarized_C13,2.4170141084335239e-13,s03_qout03,2.0977947899999997e+01,4.5801689815988222e+00,1.2500000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.0851539776901575e-01,9.5463842898486778e-03,-8.0940785082344967e-05,1.2138501185510247e+01,5.6558432774741818e-01,2.2999348966919463e+01,4.6434659053032771e+06
53,forward,unpolarized,Unpolarized,unpolarized_C13,2.4035962997457538e-13,s00_qout01,1.3985298599999998e+01,3.7396923135466635e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.9505206445299949e-02,5.2975133095060512e-03,-2.4829516521441628e-05,6.4199720764677846e+00,4.2498588968543571e-01,1.7397750046117142e+01,2.9249276123749498e+07
54,forward,unpolarized,Unpolarized,unpolarized_C13,2.3875075848851921e-13,s02_qout00,1.8647064799999999e+01,4.3182247278250809e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,5.0614548307835552e+00,0.0000000000000000e+00,3.8286711593689453e-02,9.1284193847318111e-03,-7.4143907856205588e-05,5.0357896061860750e+00,2.3606575079990938e-01,2.6229262907051559e+01,2.6536595822910722e+06
55,forward,unpolarized,Unpolarized,unpolarized_C13,2.3800751235396177e-13,s02_qout00,1.8647064799999999e+01,4.3182247278250809e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.3633231299858233e+00,0.0000000000000000e+00,3.8286711593689765e-02,9.1284193847318909e-03,-7.4143907856205588e-05,5.0357896061860750e+00,2.3606575079990921e-01,2.6229262907051645e+01,2.6536595822999203e+06
56,forward,unpolarized,Unpolarized,unpolarized_C13,2.3283099402006058e-13,s05_qout01,2.5639714099999999e+01,5.0635673294625008e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.3633231299858233e+00,0.0000000000000000e+00,9.3727965904457700e-02,1.2710037389597291e-02,-1.4414634172247814e-04,8.1604425629199717e+00,2.9783381330520109e-01,2.8546941124736836e+01,9.7452565793253295e+05
57,forward,unpolarized,Unpolarized,unpolarized_C13,2.3275845566531586e-13,s01_qout00,1.6316181699999998e+01,4.0393293626541515e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.3633231299858233e+00,0.0000000000000000e+00,3.9220712312337848e-02,9.9946116688044949e-03,-8.8977275597701750e-05,4.7648090001505885e+00,2.5421740497831480e-01,2.6868957226011396e+01,2.4561754750429429e+06
58,forward,unpolarized,Unpolarized,unpolarized_C13,2.1949833444559348e-13,s02_qout00,1.8647064799999999e+01,4.3182247278250809e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.9361473430324507e-03,2.3177523476615187e-03,-4.7398258768798387e-06,5.1568832722083524e+00,2.4128565000730934e-01,1.3186428677154481e+01,1.4616051425811306e+08
59,forward,unpolarized,Unpolarized,unpolarized_C13,2.0029018067847293e-13,s01_qout01,1.6316181699999998e+01,4.0393293626541515e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.7796453786681226e-02,4.6208283159126029e-03,-1.8879407825462017e-05,6.8675174763467206e+00,3.8969540878426129e-01,1.6393292573060577e+01,3.4486453755772330e+07
60,forward,unpolarized,Unpolarized,unpolarized_C13,1.9668919924390670e-13,s05_qout04,2.5639714099999999e+01,5.0635673294625008e+00,1.5000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.7364061538385303e-01,1.1515096051003476e-02,-1.1799004588529838e-04,1.5785592615478985e+01,6.0902537735296280e-01,2.5526781721637843e+01,2.4394992425256306e+06
