rank,phi_e_region,spin_case,spin_label,best_C13_key,best_C13,kinematic_point,s,sqrt_s,qOut,theta_in,phi_in_electron,phi_in,phiOut,phi_e_region_offset,Q2,xB,t,W2,y,theta_e_gamma_deg,squared_amplitude_M2
1,forward,unpolarized,Unpolarized,unpolarized_C13,3.1151429112029603e-12,s05_qout00,2.5639714099999999e+01,5.0635673294625008e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,9.4587415127546683e-03,1.8818022738428589e-03,-3.1227864812960481e-06,5.8968121282129458e+00,2.0300699678249531e-01,1.2552596310868790e+01,1.6758162901486617e+08
2,forward,unpolarized,Unpolarized,unpolarized_C13,2.9357213453275866e-12,s05_qout00,2.5639714099999999e+01,5.0635673294625008e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.4587415127545833e-03,1.8818022738428420e-03,-3.1227864812960481e-06,5.8968121282129458e+00,2.0300699678249531e-01,1.2552596310868790e+01,1.6758162901752937e+08
3,forward,unpolarized,Unpolarized,unpolarized_C13,2.9180216075179120e-12,s04_qout00,2.3308830999999998e+01,4.8279220167687056e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,9.5871752192353589e-03,2.0003969557762379e-03,-3.5293206005988629e-06,5.6628932020517615e+00,2.1368046525110546e-01,1.2723151994521771e+01,1.6123805831332406e+08
4,forward,unpolarized,Unpolarized,unpolarized_C13,2.7829267500068795e-12,s06_qout01,2.7970597199999997e+01,5.2887235889201083e+00,7.5000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,2.3913220525144968e-02,3.0367041681361854e-03,-8.1405871582145423e-06,8.7306591695708864e+00,2.9067956626972008e-01,1.4105850074122504e+01,5.3033353074853055e+07
5,forward,unpolarized,Unpolarized,unpolarized_C13,2.7304921438776918e-12,s03_qout00,2.0977947899999997e+01,4.5801689815988222e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,9.7427553123749025e-03,2.1427527243027696e-03,-4.0502281042721213e-06,5.4169419519115998e+00,2.2623232170791868e-01,1.2929718969778245e+01,1.5416648877746585e+08
6,forward,unpolarized,Unpolarized,unpolarized_C13,2.6726394588814644e-12,s05_qout02,2.5639714099999999e+01,5.0635673294625008e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,5.0771267756770835e-02,5.0504251508299387e-03,-2.2559736995913992e-05,1.0881942785851997e+01,4.0601465246010193e-01,1.6843714065372001e+01,1.7821300905524347e+07
7,forward,unpolarized,Unpolarized,unpolarized_C13,2.4672521058936441e-12,s01_qout00,1.6316181699999998e+01,4.0393293626541515e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.5378560551852569e+00,0.0000000000000000e+00,1.0184773977573006e-02,2.5396498371702755e-03,-5.6923499386276533e-06,4.8799656188600586e+00,2.5979649258629739e-01,1.3516352785160803e+01,1.3691849775024253e+08
8,forward,unpolarized,Unpolarized,unpolarized_C13,2.2154739553499852e-12,s01_qout00,1.6316181699999998e+01,4.0393293626541515e+00,5.0000000000000000e-01,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,1.0184773977572935e-02,2.5396498371702578e-03,-5.6923499386276533e-06,4.8799656188600586e+00,2.5979649258629739e-01,1.3516352785160803e+01,1.3691849775300896e+08
9,forward,unpolarized,Unpolarized,unpolarized_C13,1.6605478924988605e-12,s06_qout02,2.7970597199999997e+01,5.2887235889201083e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,4.9241134030911231e-02,4.6897897264350039e-03,-1.9446073169300293e-05,1.1330249311384977e+01,3.8757307218080184e-01,1.6337196509813392e+01,1.9511305797395144e+07
10,forward,unpolarized,Unpolarized,unpolarized_C13,1.6583981551320204e-12,s05_qout02,2.5639714099999999e+01,5.0635673294625008e+00,1.0000000000000000e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.5707963267948966e+00,4.8869219055841224e+00,0.0000000000000000e+00,5.0771267756770169e-02,5.0504251508298728e-03,-2.2559736995913992e-05,1.0881942785851997e+01,4.0601465246010193e-01,1.6843714065371937e+01,1.7821300905330785e+07
