state,sqrt_s_GeV,theta_p_out_rad,theta_gamma_out_rad,qOut_GeV,phi_p_out_rad,phi_gamma_out_rad,alpha_e_rad,alpha_p_rad
W,0.01531210438769006,0.012300118437780607,0.013912803666941498,0.006447745621124943,0.025866673591502704,0.02655417605275909,0.006948718063030094,0.009001486249720232
GHZ,0.049610736367167445,0.03403336729175258,0.009217786782286247,0.03128452521630151,0.02223966178329573,0.02321067916866707,0.013935473042610036,0.01346140385907145
CEP,0.2512881436300525,0.15377936243814821,0.23532459846543383,0.07018051405520585,0.40903805125299625,0.40777593801509887,0.15813143081652212,0.15714182158156234
CEGAMMA,0.06162892920058453,0.04101864338285497,0.04389179727011032,0.04090827905607748,0.07810074664616172,0.08431817502434458,0.03385380593117504,0.03051808009580975
CPGAMMA,0.2890804131480244,0.1911664447028603,0.2047207685228826,0.15846014911170614,0.4639681962008423,0.4681575968249148,0.21456859622129115,0.13516533382192708
