state,local_minimum_id,objective,remaining_budget,saved_contour_delta,contour_success_fraction,ellipsoid_volume_before_bounds,maximum_bounding_radius,bounding_radius_u0,bounding_radius_u1,bounding_radius_u2,bounding_radius_u3,bounding_radius_u4,bounding_radius_u5,bounding_radius_u6,bounding_radius_u7
CPGAMMA,0,3.952393967665557e-14,0.009999999999960476,0.05,0.22330729166666666,1.0970351436224477e-12,0.07869142107966356,0.024131226999244484,0.006585871713368304,0.04427055877842892,0.07869142107966356,0.03569783255459567,0.0283322092640918,0.03194281703879896,0.02430656910428102
CPGAMMA,1,6.80566714095221e-14,0.009999999999931944,0.05,0.17708333333333334,2.6974307686729552e-08,0.12870905789938963,0.12731006562752614,0.08035839477144051,0.07834088469710652,0.11014332494194262,0.11439843561741227,0.10512631309561082,0.12870905789938963,0.057742492682120984
CPGAMMA,2,2.049915792667889e-12,0.009999999997950084,0.05,0.24088541666666666,1.0575229936991e-18,0.05413494589297128,0.010969472806987127,0.0003745968714095908,0.04794957012727128,0.05413494589297128,0.005106736618583922,0.005137151678900838,0.008780392335989512,0.007645819802141127
CPGAMMA,3,2.276845378901271e-12,0.009999999997723155,0.05,0.22526041666666666,1.7353769017679547e-08,0.11366464192520814,0.10753051224183614,0.06471514979508053,0.08321046583731916,0.1070435029765431,0.10616187716347583,0.10979825973231254,0.11366464192520814,0.05855585599892633
CPGAMMA,4,2.757793993168889e-12,0.009999999997242206,0.05,0.13606770833333334,2.0948303318569122e-08,0.12296624785406414,0.1119857324188154,0.06145688161095112,0.08254731727579116,0.12296624785406414,0.12117328768764284,0.12194932175927019,0.1078942372936852,0.05670417774244655
CPGAMMA,5,2.9094504583326852e-12,0.00999999999709055,0.05,0.18359375,2.6267481121393338e-08,0.12097295244160479,0.1151424749386659,0.08800866345304147,0.09105538209109901,0.09427605021811071,0.12097295244160479,0.11720892481954984,0.11107200037088624,0.05824437108486165
CPGAMMA,6,3.4017233474514796e-12,0.009999999996598277,0.05,0.2532552083333333,1.255231988635686e-09,0.08793513976248525,0.08528386905775262,0.05902193851668159,0.06115906591163837,0.053137221735883707,0.08523056754822747,0.08793513976248525,0.06964034128536493,0.04421460994299894
CPGAMMA,7,4.349076654364126e-12,0.009999999995650924,0.05,0.232421875,3.0687654207065415e-09,0.11394939228517108,0.09921716360354475,0.040813886335005226,0.08080902093084617,0.11394939228517108,0.09438595960769224,0.08759763785722338,0.09073904059952712,0.043633530945815596
CPGAMMA,8,4.818367926873179e-12,0.009999999995181632,0.05,0.22721354166666666,2.244984196909e-08,0.11940683217363691,0.11940683217363691,0.09248014375540323,0.08316845327881242,0.10105434921344257,0.11102773214895756,0.11714399140017469,0.10835315359907055,0.05359583119577131
CPGAMMA,9,4.932609876107108e-12,0.00999999999506739,0.05,0.2421875,2.1639251950274216e-08,0.12008154482994521,0.1095803079608601,0.07586649419228642,0.08149750361111256,0.10406002998782737,0.12008154482994521,0.11095876868000425,0.10420193358447098,0.057967341934378414
CPGAMMA,10,5.202616115695946e-12,0.009999999994797384,0.05,0.236328125,2.724037611520549e-08,0.11710713167012585,0.11710713167012585,0.07929189778027741,0.08789455662879235,0.1062882161249552,0.11693120234412432,0.11436243075187359,0.10977213450814617,0.056867089479467066
CPGAMMA,11,6.038058941726376e-12,0.009999999993961941,0.05,0.125,7.488791099246442e-08,0.15524228381666014,0.12287084230195577,0.08499738726102213,0.10763335365988926,0.12223052644769908,0.15524228381666014,0.12695724474188597,0.14283606380226996,0.056666525842941934
CPGAMMA,12,6.952438624807655e-12,0.009999999993047562,0.05,0.232421875,2.9594622657736886e-08,0.11848981980087527,0.11507618896782272,0.08587830774360586,0.09047684185902179,0.1063633054453929,0.11848981980087527,0.10837279627336645,0.11370569639854432,0.056730101419486346
