state,absolute_threshold,selected_minimum_count,usable_ellipsoid_count,configured_directions_per_minimum,monte_carlo_samples,raw_summed_ellipsoid_volume,boundary_clipped_summed_volume,union_coverage_fraction,union_standard_error,union_relative_standard_error,unit_8_ball_volume,factorized_mean_length_volume,geometry_width_correction,boundary_retention_factor,overlap_retention_factor,coverage_retention_factor,total_volume_correction,correction_factor_product,factorized_reconstructed_union_volume,mean_correlation_length_sqrt_s,mean_correlation_length_theta_p_out,mean_correlation_length_theta_gamma_out,mean_correlation_length_qOut,mean_correlation_length_phi_p_out,mean_correlation_length_phi_gamma_out,mean_correlation_length_alpha_e,mean_correlation_length_alpha_p,mean_physical_correlation_length_sqrt_s,mean_physical_correlation_length_theta_p_out,mean_physical_correlation_length_theta_gamma_out,mean_physical_correlation_length_qOut,mean_physical_correlation_length_phi_p_out,mean_physical_correlation_length_phi_gamma_out,mean_physical_correlation_length_alpha_e,mean_physical_correlation_length_alpha_p,overlap_fraction_of_clipped_sum,bounded_domain_acceptance,mean_overlap_multiplicity_inside_domain,median_overlap_multiplicity_inside_domain,maximum_overlap_multiplicity_inside_domain,median_local_volume,effective_ellipsoid_count_by_raw_volume,largest_ellipsoid_raw_volume_share,top_10_ellipsoid_raw_volume_share,mean_contour_success_fraction,maximum_bounding_radius
W,0.01,787,787,1536,20000,8.716879126932712e-15,8.716443282976365e-15,8.716443282976365e-15,4.358439563466355e-19,5.0002500125006235e-05,4.058712126416768,9.564882689659486e-17,91.13419797982945,0.99995,1.0,0.99995,91.12964126993046,91.12964126993046,8.716443282976365e-15,0.003814139339026044,0.003915249299887752,0.004428582951640036,0.0041064171302105535,0.004116808963406217,0.004226228378491778,0.0022118456557554795,0.002865262063599869,0.01531210438769006,0.012300118437780607,0.013912803666941498,0.006447745621124943,0.025866673591502704,0.02655417605275909,0.006948718063030094,0.009001486249720232,0.0,0.99995,1.0,1.0,1,5.734389479724725e-20,13.15294044469596,0.15955736781798652,0.7275174054405318,0.9808823724057602,0.022107087189938212
GHZ,0.01,367,367,1536,20000,1.7081933145198506e-14,1.4111384971248485e-14,1.4068680138385489e-14,4.584204056954322e-17,0.0032584464298442725,4.058712126416768,1.3102448589528521e-15,13.03720676977156,0.8261,0.9969737319937053,0.8235999999999999,10.737443495583856,10.737443495583854,1.4068680138385489e-14,0.012357691432786722,0.010833157269146108,0.0029341126614634023,0.009010737885012951,0.003539552105485366,0.003694094322197628,0.004435798838079707,0.004284897930226957,0.049610736367167445,0.03403336729175258,0.009217786782286247,0.03128452521630151,0.02223966178329573,0.02321067916866707,0.013935473042610036,0.01346140385907145,0.0030262680062946856,0.8261,1.0060525360125894,1.0,2,2.078159442703921e-22,36.87556314096004,0.08336181120500206,0.4040155089038463,0.586762389305177,0.09361578179701441
CEP,0.01,550,550,1536,20000,7.041102992761446e-07,2.1397911995002037e-07,1.6331897321576493e-07,1.94912629100462e-09,0.011934475539651958,4.058712126416768,2.619406774138324e-07,2.6880525248231737,0.3039,0.7632472423193055,0.23195083694083696,0.6234960328736651,0.6234960328736651,1.6331897321576493e-07,0.0625941392356322,0.04894949135466382,0.07490614615370085,0.04806366583586294,0.06510042776925609,0.06489955620845199,0.050334797745022905,0.0500197953418657,0.2512881436300525,0.15377936243814821,0.23532459846543383,0.07018051405520585,0.40903805125299625,0.40777593801509887,0.15813143081652212,0.15714182158156234,0.23675275768069448,0.3039,1.813589996709444,1.0,11,1.1268320999835791e-10,223.56848727508307,0.011312880774794965,0.08642010494252587,0.3116986268939394,0.14448707300643807
CEGAMMA,0.01,1193,1193,1536,20000,2.8805713503349e-11,1.8885025772795603e-11,1.6140722022047648e-11,9.308435657867211e-14,0.005767050349514862,4.058712126416768,3.303897212832746e-12,8.718707528631352,0.6556,0.8546836110384769,0.5603305753968254,4.885358406234638,4.885358406234639,1.6140722022047648e-11,0.015351340176862217,0.013056639706680105,0.013971192993088362,0.013954202363252515,0.012430119887791444,0.013419654347500172,0.010776001112754455,0.009714206601776363,0.06162892920058453,0.04101864338285497,0.04389179727011032,0.04090827905607748,0.07810074664616172,0.08431817502434458,0.03385380593117504,0.03051808009580975,0.1453163889615231,0.6556,1.4239627821842586,1.0,9,5.861609500625275e-15,220.96595131786736,0.014824622839504017,0.10662943203760193,0.7369344177842971,0.062410048316078805
CPGAMMA,0.01,1816,1816,1536,20000,1.0107590113793736e-05,4.929977078002895e-06,4.6984290344794036e-06,3.4851502486823035e-08,0.007417692643874243,4.058712126416768,2.2479589879330838e-06,4.496340977771705,0.48775,0.953032632837861,0.4648416666666667,2.0900866340090296,2.090086634009029,4.6984290344794036e-06,0.07200793228580316,0.06085016925559319,0.06516464452822804,0.06606597412545423,0.07384283186213059,0.0745095956802038,0.06829930544131296,0.043024462024532154,0.2890804131480244,0.1911664447028603,0.2047207685228826,0.15846014911170614,0.4639681962008423,0.4681575968249148,0.21456859622129115,0.13516533382192708,0.04696736716213901,0.48775,1.0997437211686314,1.0,4,1.227088950651614e-09,487.16752840683637,0.007409076758095441,0.051542386726385864,0.6236885955855359,0.15524228381666014
