canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out,helicity_mechanism,full_chain_flip_to_conserving_ratio,helicity_flip_fraction,helicity_conserving_fraction,full_chain_longitudinal_to_transverse_ratio,virtual_photon_transverse_fraction,virtual_photon_longitudinal_fraction,helicity_interference_relative,virtual_photon_interference_relative
1,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_193,dGHZ,1.774964567389015e-05,0.9999999999999998,0.24273564219746996,1.336022508783866,2.867566753561568,1.2201762287671867,0.0035205335553405845,3.1108411550793984,6.283174233591474,3.141579469010216,helicity_conserving,0.0012418944821869537,0.001240354093282548,0.9987596459067174,0.0014139071331850295,0.9985880891775981,0.0014119108224018143,-0.002094143939673769,0.007848229829101834
2,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_198,dGHZ,2.0282516553315336e-05,1.0000000000000002,0.31842077679374553,1.226047573994727,1.6192189631927891,0.4912311676496532,0.005090941417047757,3.1188904888378364,3.141565094653256,3.1415920152163994,helicity_conserving,0.006453143722647322,0.006411767664392773,0.9935882323356072,0.006557037165629577,0.9934856774891827,0.006514322510817251,-0.007749110503003708,-0.04904672711777894
3,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_203,dGHZ,2.341280437556282e-05,0.9999999999999998,0.642676852903207,0.9352928225169135,4.9856384192958,2.388916491364632,0.00019107084426568164,3.1277482204508846,6.282377479647726,3.1416078897085526,helicity_conserving,0.0002716151872448558,0.00027154143246783133,0.9997284585675322,8.797642774482468e-05,0.9999120313114261,8.796868857385056e-05,-4.9154598843361994e-05,0.0002687638197101304
4,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_206,dGHZ,2.5958528770451745e-05,1.0000000000000004,1.1210284845837146,0.45230062980254954,4.983404122629303,2.3574532490459834,0.0006248207823816347,3.1322704057060196,6.2828246875513525,0.0,helicity_conserving,0.0011252668559864664,0.0011240020537293441,0.9988759979462707,1.054608085747853e-05,0.9999894540303612,1.0545969638829998e-05,-0.000665285687010051,-0.0003723077700757938
5,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_207,dGHZ,2.6294909644710694e-05,1.0,1.0858097748551758,0.47680636005280796,3.821746010026225,1.7671041310554891,0.0007002678049987229,3.121818144748411,3.1414587297801355,1.3512126624583015e-05,helicity_conserving,0.00038583174726447073,0.00038568293854240285,0.9996143170614576,0.00022554176523235486,0.999774509092385,0.00022549090761500752,-0.000280709537496485,0.0013441290713186462
6,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_216,dGHZ,3.987445415842041e-05,1.0000000000000002,0.32329631433336753,1.25393123452994,3.4506864608494117,1.5512604758354522,0.0015507699834037669,3.119404518404815,6.2829267837607405,3.141605284663928,helicity_conserving,0.0008791961258634765,0.000878423819044906,0.9991215761809551,0.00034648909536640906,0.9996536309177436,0.0003463690822564352,-0.0010345878547684472,0.002691582751811524
7,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_219,dGHZ,4.261091652052104e-05,0.9999999999999998,0.9072995212982067,0.6671835434796719,4.15064841310128,1.9550445811531083,0.00016274976178832652,3.129673488408723,0.0005850850455955598,1.827821506970728e-05,helicity_conserving,0.0005222379602963897,0.0005219653701661288,0.9994780346298339,0.00014834025325255004,0.9998516817483145,0.00014831825168553302,-6.368991000181082e-05,-0.00038484760730460034
8,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_231,dGHZ,5.748397647363871e-05,1.0000000000000002,0.9767181705475438,0.5946879857726587,4.4648303244433745,2.1127783747692424,0.0,3.1294437528580166,1.5925658186595724,6.28317604014631,helicity_conserving,0.0005006374397604476,0.0005003869273302594,0.9994996130726698,6.241959595246644e-05,0.9999375843000102,6.2415699989692e-05,-0.00014109531809616767,-3.503093504645433e-05
9,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_236,dGHZ,6.738359173821338e-05,1.0000000000000002,0.17076605057251548,1.4059166105721843,2.859134155003752,1.1959136775785468,0.004966516980615165,3.111359124104145,6.283149753218961,3.1415933856437293,helicity_conserving,0.0025918242810890465,0.0025851240936933836,0.9974148759063065,0.0017310044505823307,0.9982719867480475,0.0017280132519525357,-0.004256081763073312,0.008686713611508586
10,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_241,dGHZ,8.981841163654244e-05,0.9999999999999999,0.17233494136221444,1.4019813118737539,3.3149914205567246,1.4419376326807474,0.003384802041293875,3.118687798073359,0.0004386794265534804,3.1415938659373306,helicity_conserving,0.0031647217751254704,0.0031547379073751866,0.9968452620926249,0.000565405869037775,0.99943491363411,0.0005650863658899875,-0.00412503783361162,0.003842117254280628
11,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_242,dGHZ,0.00010203878912287318,1.0,0.24367421428526842,1.3312340570515158,3.796778364110092,1.7191008752761308,0.002027211346058349,3.1220158443988284,6.280865114953453,3.141585121825577,helicity_conserving,0.0016217377356298394,0.0016191119606650194,0.998380888039335,0.00020358110499058574,0.99979646033184,0.0002035396681600323,-0.0018653847131105854,0.002115359011650597
12,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_249,dGHZ,0.00013287056314536112,0.9999999999999997,1.1524666903498562,0.44527807541624187,1.790673283784102,0.6137186707279972,0.002512602060595143,3.1225942652038445,6.283165925510656,6.283162430446892,helicity_conserving,0.003806893087847585,0.0037924556147817035,0.9962075443852183,0.0031570487923507154,0.9968528867975843,0.003147113202415638,-0.003235238873992641,-0.023813681103593838
13,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_253,dGHZ,0.00014186704505053308,1.0000000000000004,1.0645581577471583,0.5525054470049134,1.552217157591664,0.46700974059908007,0.0021316243076119463,3.1238126831811552,6.283184377965118,2.6740420639938003e-05,helicity_conserving,0.004997780893327279,0.004972927292321807,0.9950270727076782,0.007308114871267082,0.9927449061877149,0.007255093812285084,-0.00227203834652661,-0.031148533117016795
14,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_266,dGHZ,0.00018904359226963518,1.0000000000000002,0.208444559968266,1.367111465591935,3.5902745937954443,1.6022431143497617,0.0029145634969827182,3.1193092280161876,6.28189682562409,3.141641086580523,helicity_conserving,0.0019378434437590279,0.0019340954695337878,0.9980659045304662,0.0003675071407740368,0.9996326278711066,0.00036737212889334715,-0.0024582793352542548,0.0033972764025644517
