detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,pair_delta_xy,kinematic_point,incoming_state,initial_spin_averaging_version,initial_component,ensemble_weight,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,weighted_abs2,fraction,decomposition_rank,retained_fraction_total
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,6.5499301597366739e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,6.5926227537320476e+04,-3.7956904451023162e+04,7.6072295041011181e+04,-5.2239636298477821e-01,5.7869940728066540e+09,5.7869940728066540e+09,1.5475052211178844e-01,2,9.9436639170185892e-01
c_ep_LTy_region_3,enhanced_cluster,C_e_p,C_{ep},LTy,enhanced_region_3,3,6.5499301597366739e-11,2.2265940544321561e+00,high_s_high_theta_in_high_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,2.8875162616329908e+04,-1.6404290486264308e+04,3.3209573355844819e+04,-5.1664141792565743e-01,1.1028757624772382e+09,1.1028757624772382e+09,2.9492098647513433e-02,3,9.9436639170185892e-01
c_ep_low_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_0,0,1.5998681310788414e-11,2.9878079980471766e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.7418850280974355e+04,1.1319036373495601e+04,2.0773466959935136e+04,5.7624540625266452e-01,4.3153692953551674e+08,4.3153692953551674e+08,6.0584516174072189e-01,1,9.6993946860325686e-01
c_ep_low_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_0,0,1.5998681310788414e-11,2.9878079980471766e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.3503481226376267e+04,8.7747601486790372e+03,1.6104049829093987e+04,5.7624492233341751e-01,2.5934042089794201e+08,2.5934042089794201e+08,3.6409430686253497e-01,2,9.6993946860325686e-01
c_ep_low_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_1,1,1.5644388991104633e-11,2.9039380873360230e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.6947650276014982e+04,-3.6075888330114525e+04,3.9858406499570505e+04,-1.1316174786864925e+00,1.5886925686850038e+09,1.5886925686850038e+09,4.7456673527893917e-01,1,1.0000000000000000e+00
c_ep_low_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_1,1,1.5644388991104633e-11,2.9039380873360230e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.3138219517704043e+04,-2.7966811657350965e+04,3.0899115948083712e+04,-1.1316165068746706e+00,9.5475536637312126e+08,9.5475536637312126e+08,2.8520001046192123e-01,2,1.0000000000000000e+00
c_ep_low_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_1,1,1.5644388991104633e-11,2.9039380873360230e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,5.2168011098655470e+03,-2.1797227448045822e+04,2.2412811921794564e+04,-1.3358818858796258e+00,5.0233413824173653e+08,5.0233413824173653e+08,1.5005487953019245e-01,3,1.0000000000000000e+00
c_ep_low_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_1,1,1.5644388991104633e-11,2.9039380873360230e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,4.0442029292138895e+03,-1.6897686650227657e+04,1.7374906948295989e+04,-1.3358804976038916e+00,3.0188739146194422e+08,3.0188739146194422e+08,9.0178374728947200e-02,4,1.0000000000000000e+00
c_ep_low_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_2,2,9.5225529732419707e-12,2.8869082261703971e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-5.1410367922110599e+03,-1.1005237743048914e+05,1.1017239235580621e+05,-1.6174768451250230e+00,1.2137956037401699e+10,1.2137956037401699e+10,3.3506543691062568e-01,1,1.0000000000000002e+00
c_ep_low_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_2,2,9.5225529732419707e-12,2.8869082261703971e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-1.5450016070662361e+04,1.0124550139692376e+05,1.0241755000827846e+05,1.7222276287958540e+00,1.0489354549698219e+10,1.0489354549698219e+10,2.8955617850939652e-01,2,1.0000000000000002e+00
c_ep_low_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_2,2,9.5225529732419707e-12,2.8869082261703971e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,-3.9856053332180759e+03,-8.5315022716469510e+04,8.5408068418527560e+04,-1.6174787231735599e+00,7.2945381509838848e+09,7.2945381509838848e+09,2.0136401920465741e-01,3,1.0000000000000002e+00
c_ep_low_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_2,2,9.5225529732419707e-12,2.8869082261703971e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-1.1977072838510434e+04,7.8487766424138652e+04,7.9396345961442901e+04,1.7222260906197493e+00,6.3037797520291328e+09,6.3037797520291328e+09,1.7401436537532053e-01,4,1.0000000000000002e+00
c_ep_low_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_3,3,5.9239878780893149e-12,3.0825260308503033e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,1.6285986045503994e+04,-3.3866727600405297e+03,1.6634388893432526e+04,-2.0502808886828552e-01,2.7670289385795140e+08,2.7670289385795140e+08,6.2362522085582106e-01,1,9.9840479961407580e-01
c_ep_low_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,low_Egamma_LTy_region_3,3,5.9239878780893149e-12,3.0825260308503033e+00,high_s_high_theta_in_low_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.2625256139094839e+04,-2.6254212818886940e+03,1.2895345264286103e+04,-2.0502791780376370e-01,1.6628992948514602e+08,1.6628992948514602e+08,3.7477957875825474e-01,2,9.9840479961407580e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_0,0,3.6411234059827836e-11,2.7688954195973068e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,2.1446005157600128e+04,1.4803747054005797e+04,2.6059203058781299e+04,6.0417259869504492e-01,6.7908206405879664e+08,6.7908206405879664e+08,7.3290875968909019e-01,1,9.8952943262255366e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_0,0,3.6411234059827836e-11,2.7688954195973068e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.1804832010581735e+04,8.1486290456839424e+03,1.4344135182095128e+04,6.0417204609905539e-01,2.0575421412221918e+08,2.0575421412221918e+08,2.2206309642727154e-01,2,9.8952943262255366e-01
c_ep_mid_egamma_lty_region_0,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_0,0,3.6411234059827836e-11,2.7688954195973068e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-3.5137259005172978e+03,-4.4354605074113933e+03,5.6585845948233582e+03,-2.2407566821875418e+00,3.2019579616772220e+07,3.2019579616772220e+07,3.4557576506191942e-02,3,9.8952943262255366e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_1,1,3.3000853388504701e-11,2.7943950314419306e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,2.1419169538891761e+04,-1.3251041490729929e+04,2.5186721190437529e+04,-5.5402242569932114e-01,6.3437092432483470e+08,6.3437092432483470e+08,7.4045586247035367e-01,1,9.9181612074051706e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_1,1,3.3000853388504701e-11,2.7943950314419306e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,1.1790059714356288e+04,-7.2939519630708746e+03,1.3863882692365531e+04,-5.5402191952868785e-01,1.9220724330767250e+08,1.9220724330767250e+08,2.2434978442289885e-01,2,9.9181612074051706e-01
c_ep_mid_egamma_lty_region_1,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_1,1,3.3000853388504701e-11,2.7943950314419306e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,3.1626345472503740e+03,-3.6246975460443391e+03,4.8104770636353142e+03,-8.5337055053720068e-01,2.3140689579761434e+07,2.3140689579761434e+07,2.7010473847264536e-02,3,9.9181612074051706e-01
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_2,2,1.9552883238878080e-11,2.6329209562750799e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,6.0614671241830263e+04,-8.2491355456694879e+05,8.2713754048406822e+05,-1.4974481190876345e+00,6.8415651087803345e+11,6.8415651087803345e+11,4.9969151508478599e-01,1,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_2,2,1.9552883238878080e-11,2.6329209562750799e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,7,1,1,1,-4.9759034531164833e+05,3.4500699905044708e+05,6.0549647492050740e+05,2.5353400241843835e+00,3.6662598114116064e+11,3.6662598114116064e+11,2.6777482794215823e-01,2,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_2,2,1.9552883238878080e-11,2.6329209562750799e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,4,1,-1,-1,3.3363340219183941e+04,-4.5406889909548103e+05,4.5529295799118525e+05,-1.4974517449612654e+00,2.0729167759636319e+11,2.0729167759636319e+11,1.5140087216250953e-01,3,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_2,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_2,2,1.9552883238878080e-11,2.6329209562750799e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,6,1,1,-1,-2.7389515339362598e+05,1.8990794115391988e+05,3.3329203585720225e+05,2.5353369861879709e+00,1.1108358116583859e+11,1.1108358116583859e+11,8.1132784810546324e-02,4,1.0000000000000000e+00
c_ep_mid_egamma_lty_region_3,egamma_region_max,C_e_p,C_{ep},LTy,mid_Egamma_LTy_region_3,3,1.5829848326315673e-11,2.5914522869635226e+00,high_s_high_theta_in_mid_Egamma,"$|L_eT_{y,p}\rangle$",prepared_spin_ensemble_v4,"electron L, proton Ty",1.0000000000000000e+00,5,1,-1,1,-2.4887001889203384e+03,-4.2152452782610583e+05,4.2153187446224253e+05,-1.5767003041637173e+00,1.7768912118765186e+11,1.7768912118765186e+11,4.8809759446782836e-01,1,1.0000000000000000e+00
