spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,0,-1,-1,-1,-2.6847278281846687e-01,-2.4621689185863048e-18,2.6847278281846687e-01,-3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,1,-1,-1,1,1.8127510515296111e-02,-1.7185422145576990e-01,1.7280763892157944e-01,-1.4657030439593686e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,2,-1,1,-1,-1.6325366147626776e-03,2.1198648068367710e-03,2.6756312522105666e-03,2.2270463267948988e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,3,-1,1,1,9.9217892635264943e-03,1.1718732727044098e-02,1.5354823311185447e-02,8.6824415481175532e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,4,1,-1,-1,2.4899321354663234e-18,-2.9468239588051944e-20,2.4901065070338465e-18,-1.1834404419746010e-02
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,5,1,-1,1,1.3602154349112260e-18,3.9185520664776309e-18,4.1479195179109788e-18,1.2366877689807136e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,6,1,1,-1,1.9271565562824788e-19,8.6342663116319949e-19,8.8467218297291177e-19,1.3511970984246173e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,0,-1,-1,-1,7,1,1,1,2.1828979433588408e-19,1.5307042934795598e-19,2.6661018482415509e-19,6.1154815587374167e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,1,-1,-1,1,0,-1,-1,-1,1.8127510515296111e-02,1.7185422145576990e-01,1.7280763892157944e-01,1.4657030439593686e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,theta_in,6.5625000000000000e-01,phiOut,1.0471975511965976e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3586918994514217e+00,8.4999999999999998e-01,6.5625000000000000e-01,0.0000000000000000e+00,1.0471975511965976e+00,8.3557018866783395e+00,9.1198329745699391e-01,-6.2117962694306854e+00,1.6862637332873653e+00,4.4398728532495196e-01,5.3342855754030950e+01,0.0000000000000000e+00,0.0000000000000000e+00,True,1,1,-9.4586782242236007e-18,-2.0603572460187591e-17,6.1947657339823145e-02,-2.1073424255447017e-08,6.1947657022022817e-02,6.1947657022021263e-02,-1.9683007724602653e-09,-4.4408920985006271e-16,2.5363950696688509e-10,2.5363906287767524e-10,1,-1,-1,1,1,-1,-1,1,-1.1213764381185366e-01,1.6035354661097297e-18,1.1213764381185366e-01,3.1415926535897931e+00
