selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_L,enhanced_region_0,0,20,2.1499533853289386e-10,9.9999999999999989e-01,high_s_high_theta_in_low_Egamma,7.6642230105823916e-01,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.1598449493429825e+00,4.7123889803846897e+00,2.5000000000000000e-01,2.5000000000000000e-01,2.1598449493429825e+00,4.6142142099600090e+00,6.7629333476387115e-04,1.8212106611434315e+01,2.9227382274945408e-04,9.8526232801230973e-01,-1.6165266767098604e+01,-7.5203434823376364e-08,1.1522628734442411e+00,3.1930709101813792e+00,1.1212944386102652e-01,8.9574168854809866e-01,6.3358759095448072e+00,1.4987782953144577e+02,1.1058189561934828e-01,2.6158616010665181e+00,4.8938630925476900e-13,2.6777947315889199e-03,3.0159037972540426e-03,1.0234199221683182e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1915955855647962e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,2.5000000000000000e-01,4.0251655874119221e+00,2.4935738046869744e+00,5.5014418231352991e-01,-2.2133236212737391e+00,2.9188525343658691e+00,2.1964442426113812e-01,4.3912763175342114e+01,4.8944182040600026e-13,1.4012509170710863e-01,4.8944182040600026e-13,1.4012509170710863e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_L,enhanced_region_1,1,11,9.7328099777377757e-11,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,6.5865780384237382e-01,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,4.7123889803846897e+00,5.8904862254808616e+00,2.5000000000000000e-01,1.0000000000000000e+00,4.8105637508093704e+00,5.8904862254808616e+00,6.7629333476385348e-04,8.8141142820353870e+00,2.9227382274944644e-04,8.0757758086513898e-01,-5.8706413198675502e+00,-7.5203434823376364e-08,2.4557643777161151e+00,6.1944420833484148e+00,1.1135341797836643e-01,6.8466332454854673e-01,6.3358759095448072e+00,1.0151463154158930e+02,1.1058189561934828e-01,1.7717645593496201e+00,4.8948865793985163e-13,1.0685390297795324e-02,3.0159037972540379e-03,1.9812183938869519e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1999631498135441e+00,1.5707949999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,2.5000000000000000e-01,5.3014376029327757e+00,1.8584088060455188e+00,4.6825424769724194e-01,-1.6495441605432224e+00,2.9902380722726400e+00,1.9232423329706158e-01,3.7738312303523671e+01,4.8952508713284715e-13,1.0443232275165819e-01,4.8952508713284715e-13,1.0443232275165819e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_L,enhanced_region_2,2,24,9.7168220249481633e-11,1.0000000000000002e+00,high_s_high_theta_in_mid_Egamma,1.1556371606650035e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.7671458676442597e+00,5.6941366846315002e+00,1.0000000000000000e+00,1.8000000000000000e+00,1.7671458676442586e+00,5.6941366846315002e+00,8.6399393138379674e-02,1.9059254866006341e+01,9.2657549740413157e-03,9.6414246244279933e-01,-1.0491055020612094e+01,-4.7558039055035889e-02,1.5886790257269419e+00,1.0118037517038267e+01,4.5186048217564706e-01,9.6513359343582461e-01,1.0200877014772592e+01,1.7942642716206254e+02,1.7803889049879285e-01,3.1315819190677701e+00,1.9575452370190760e-12,3.5249303476092564e-12,1.9420677043626152e-02,6.8235869507559999e+00,massless,high_s,high_theta_in,mid_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0268215637865308e+00,1.5707949999999999e+00,4.0251655874119221e+00,8.8357293382212898e-01,1.0000000000000000e+00,4.0251655874119221e+00,3.7299646910771584e+00,3.2920635927379788e-01,-2.0531371805581982e+00,8.4800513605963044e+00,5.4904884917975705e-01,6.6213131954586558e+01,1.9577672816240010e-12,8.3841375526151585e-01,1.9577672816240010e-12,8.3841375526151585e-01
C_massless_gamma,C_{l_0\gamma},lepton_massless_L_proton_L,enhanced_region_3,3,25,7.5037903555499840e-11,1.0000000000000002e+00,high_s_high_theta_in_low_Egamma,1.8828423666364271e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,0.0000000000000000e+00,6.1850105367549055e+00,2.5000000000000000e-01,1.0000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,7.5596411228175606e+00,1.9690182787340667e+01,7.4561764168770328e-01,9.9463038846228391e-01,-1.7477223488821959e+01,-6.4579770791191420e+00,9.8614341926276639e-01,4.8825534479725183e+00,4.3754989270374578e-01,9.5980801843176677e-01,7.9774551914886572e+01,1.8000000000000000e+02,1.3923285902179181e+00,3.1415926535897931e+00,4.8938630925476900e-13,1.9582946375606980e-12,4.2481012738374407e-01,4.2998251031508703e+00,massless,high_s,high_theta_in,low_Egamma,0.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.0610691594533685e+00,1.5707949999999999e+00,1.9634954084936229e-01,3.3379421944391554e+00,2.5000000000000000e-01,1.9634954084936207e-01,1.2350573581723557e+01,9.2988954573497096e-01,-1.0962505378147805e+01,1.8110345142066169e+00,6.4362105523988089e-01,1.0787892109669082e+02,4.8960835385969403e-13,6.9403410178827185e-01,4.8960835385969403e-13,6.9403410178827185e-01
