spin_case,entanglement_mode,Q2,t,phi,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3
polarized,h_in_plus_minus_h_in_minus,1.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.3396031725380169e+01,3.5527136788005009e-15,-2.7755575615628914e-17,True,1,1,-2.4954045192142434e-16,-6.3202123135023177e-17,3.1095519774431640e-01,1.4901161193847656e-08,3.1095519843650077e-01,3.1095519843650798e-01,5.6293070135133293e-09,2.2204460492503160e-16,5.0255501995132013e-10,5.0255546404052998e-10
polarized,h_in_plus_minus_h_in_minus,1.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,8.8847579660929682e+01,2.1316282072803006e-14,9.0205620750793969e-17,True,1,1,9.1120035689651473e-18,-5.8920070001747589e-17,-3.7842242449132241e-01,0.0000000000000000e+00,-3.7842242695765216e-01,-3.7842242695765260e-01,0.0000000000000000e+00,5.0550272330349150e-33,-3.1691019955829014e-09,-3.1691024119165356e-09
polarized,h_in_plus_minus_h_in_minus,2.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.0505825648680468e+02,0.0000000000000000e+00,-2.7755575615628914e-17,True,1,1,-1.8222035914410940e-16,-2.8263151781277003e-17,-6.9436476750128406e-01,0.0000000000000000e+00,-6.9436476869038710e-01,-6.9436476869038710e-01,0.0000000000000000e+00,9.3871608469413486e-32,-1.7730574534045808e-09,-1.7730574534045808e-09
polarized,h_in_plus_minus_h_in_minus,2.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.2560172817056961e+02,-1.4210854715202004e-14,2.7755575615628914e-17,True,1,1,-6.4371468996705345e-17,1.4628327602808115e-17,-7.8076882134692238e-01,0.0000000000000000e+00,-7.8076882241279999e-01,-7.8076882241279255e-01,0.0000000000000000e+00,1.0135535387117763e-32,-2.7788209061270844e-09,-2.7788204621462947e-09
polarized,h_in_plus_minus_h_in_minus,3.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.4998612999769580e+02,7.1054273576010019e-15,2.7755575615628914e-17,True,1,1,-1.3306517724761489e-16,-4.6640772461398929e-18,-8.2887598021028774e-01,0.0000000000000000e+00,-8.2887598490137038e-01,-8.2887598490137415e-01,0.0000000000000000e+00,3.3674803098166797e-32,-8.4772810442397539e-09,-8.4772811553704766e-09
polarized,h_in_plus_minus_h_in_minus,3.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,1.7944293033106106e+02,0.0000000000000000e+00,-2.7755575615628914e-17,True,1,1,-5.0966809277193525e-17,7.1991145586701373e-17,-8.4454134359358757e-01,0.0000000000000000e+00,-8.4454135282656195e-01,-8.4454135282657605e-01,0.0000000000000000e+00,-4.0607299062203135e-33,-1.6679959714924631e-08,-1.6679960159013841e-08
polarized,h_in_plus_minus_h_in_minus,4.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.1642790962917491e+02,-1.4210854715202004e-14,-2.7755575615628914e-17,True,1,1,8.0112433141968437e-17,7.1528880657805772e-17,-8.2684340002323287e-01,-2.1073424255447017e-08,-8.2684340053990857e-01,-8.2684340054016192e-01,-2.0141295785842387e-08,-4.4408920985006271e-16,-9.7204352151182048e-10,-9.7204352151171460e-10
polarized,h_in_plus_minus_h_in_minus,4.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,2.6511115768605021e+02,-4.2632564145606011e-14,2.7755575615628914e-17,True,1,1,-1.2988839719190065e-16,-7.9673865089440719e-17,-7.4409252191147268e-01,0.0000000000000000e+00,-7.4409252516728197e-01,-7.4409252516728197e-01,0.0000000000000000e+00,6.8682150924105495e-32,-5.2036616220965844e-09,-5.2036616220965844e-09
polarized,h_in_plus_minus_h_in_minus,5.0000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,3.3287409408925032e+02,2.8421709430404007e-14,8.3266726846886741e-17,True,1,1,-7.2701116463587048e-17,-2.5488232234552899e-16,-6.3299870111538525e-01,0.0000000000000000e+00,-6.3299870796692159e-01,-6.3299870796692193e-01,0.0000000000000000e+00,1.6277770267856801e-31,-9.1516993005070352e-09,-9.1516997445962450e-09
polarized,h_in_plus_minus_h_in_minus,5.5000000000000000e+00,-4.0000000000000002e-01,0.0000000000000000e+00,4.3416619700249049e+02,1.7053025658242404e-13,2.7755575615628914e-16,True,1,1,-5.0850923227735239e-17,-5.5752772665094736e-16,-5.0039081323554624e-01,0.0000000000000000e+00,-5.0039081374551642e-01,-5.0039081374551875e-01,0.0000000000000000e+00,3.7729923686607155e-31,-1.3681923402390772e-09,-1.3681925622836821e-09
