x_name,y_name,x_label,y_label,direct_vs_rescaled_total_variation,sampling_baseline_total_variation,excess_total_variation,direct_vs_rescaled_js_divergence_bits,sampling_baseline_js_divergence_bits,excess_js_divergence_bits,rescaled_a_rejection_fraction,rescaled_b_rejection_fraction,direct_rejection_fraction
sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],0.08896551724137931,0.028465767116441776,0.06049975012493754,0.029370118201777828,0.0025092322312032286,0.0268608859705746,0.42323553330526414,0.42740661001809394,0.44642807716792604
sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,0.07883058470764617,0.050974512743628186,0.027856071964017987,0.0216242402991484,0.006724455521883896,0.014899784777264504,0.42323553330526414,0.42740661001809394,0.44642807716792604
theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,0.04890554722638681,0.04878560719640179,0.00011994002998502035,0.00596201853707754,0.006288324918085614,-0.0003263063810080742,0.42323553330526414,0.42740661001809394,0.44642807716792604
theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],0.07816091954022988,0.05082458770614692,0.02733633183408296,0.020013979342208,0.0060381895276542955,0.013975789814553705,0.42323553330526414,0.42740661001809394,0.44642807716792604
theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],0.07936031984007996,0.058240879560219894,0.02111944027986007,0.019138858244666053,0.007716582335794201,0.011422275908871852,0.42323553330526414,0.42740661001809394,0.44642807716792604
phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,0.0983408295852074,0.026946526736631685,0.07139430284857572,0.03140094321933449,0.002319949556272104,0.029080993663062386,0.42323553330526414,0.42740661001809394,0.44642807716792604
alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,0.05420289855072463,0.026306846576711646,0.027896051974012986,0.012198060758761113,0.0024067463216147127,0.009791314437146401,0.42323553330526414,0.42740661001809394,0.44642807716792604
sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,0.08263868065967017,0.04089955022488756,0.04173913043478261,0.023826309531738706,0.004658420544218762,0.019167888987519942,0.42323553330526414,0.42740661001809394,0.44642807716792604
sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,0.0871664167916042,0.03320339830084957,0.053963018490754626,0.0324379483039616,0.00343657471160959,0.02900137359235201,0.42323553330526414,0.42740661001809394,0.44642807716792604
