local_minimum_id,absolute_objective,existing_contour_delta,direct_contour_delta,configured_direction_count,existing_success_count,direct_success_count,existing_success_fraction,direct_success_fraction,success_fraction_change,direct_contour_seconds,relative_frobenius_error,best_covariance_scale,best_scale_over_assumed_scale,best_scaled_relative_frobenius_error,trace_ratio_scaled_over_direct,std_ratio_min,std_ratio_median,std_ratio_max,correlation_rms_difference,correlation_max_abs_difference,generalized_variance_ratio_min,generalized_variance_ratio_median,generalized_variance_ratio_max,log_ellipsoid_volume_ratio,std_ratio_u0_sqrt_s_unit,std_ratio_u1_theta_p_out_unit,std_ratio_u2_theta_gamma_out_unit,std_ratio_u3_qOut_fraction_unit,std_ratio_u4_phi_p_out_unit,std_ratio_u5_phi_gamma_out_unit,std_ratio_u6_alpha_e_unit,std_ratio_u7_alpha_p_unit
387,8.46665260312296e-06,0.05,0.02,1536,1228,1288,0.7994791666666666,0.8385416666666666,0.0390625,23.346473099998548,0.14385114327610646,0.36943003811952574,0.9235750952988144,0.11807293250291594,1.0514409849094501,1.0013220671487344,1.0252702279507355,1.041261062512209,0.045363737086351365,0.08412640627434498,0.9103706681884445,0.9973474966378254,1.306197035814617,0.1043340226420213,1.0403113194764395,1.0361887815708164,1.0113748515756258,1.041261062512209,1.0303318665450127,1.0202085893564583,1.011722204805074,1.0013220671487344
1009,0.0028788325668602788,0.05,0.02,1536,1075,1075,0.6998697916666666,0.6998697916666666,0.0,20.134645699996327,0.4616943671764123,0.28004641035449007,0.7001160258862252,0.19068966662577924,1.364966795109777,1.092869048088764,1.139822034198325,1.278655041837047,0.06383438380443426,0.1936750267150192,1.1047835865310602,1.259237045592865,1.9842027121498094,1.083266562275007,1.1359338321552297,1.1033845122280606,1.232239118401145,1.1349590484241192,1.1437102362414202,1.278655041837047,1.1635591323057128,1.092869048088764
738,0.0007791129642459316,0.05,0.02,1536,1365,1435,0.888671875,0.9342447916666666,0.045572916666666664,25.704458799998974,0.2737985043727796,0.3274837474198462,0.8187093685496156,0.16513455699792973,1.1685068020220624,0.9940745866085429,1.0660515314280068,1.176183171814899,0.051892702027816276,0.13075328852729426,0.906557257545342,1.101658296073373,1.5719480412428608,0.47912761954294325,1.0565780569761263,0.9940745866085429,1.092787291764601,1.120619811800202,1.0641611560859743,1.176183171814899,1.067941906770039,1.0322822747359937
712,0.000693354180105854,0.05,0.02,1536,910,910,0.5924479166666666,0.5924479166666666,0.0,21.22345229999337,0.20448193345936133,0.3414655568462533,0.8536638921156333,0.1131541885067387,1.1657645822129978,1.0261265327927422,1.0823188498893095,1.1134456278863123,0.03920204522732268,0.09817458934321661,0.9876092917518737,1.1764068093242557,1.3853094453493515,0.6147358137863819,1.0679154691609982,1.0845538355341566,1.0261265327927422,1.0956357747963754,1.1024904075477944,1.1134456278863123,1.0800838642444621,1.0777300600795654
807,0.000983976242761031,0.05,0.02,1536,1470,1512,0.95703125,0.984375,0.02734375,28.185391599996365,0.16588023750445352,0.3582099010633344,0.8955247526583361,0.1187337601645898,1.0992409989124663,0.9696752332123033,1.0475090262799776,1.0987908315452684,0.040854684294639565,0.1048990599752785,0.8673623467377831,1.0933720589126126,1.3965030494546777,0.35432394139863277,0.9696752332123033,1.0422167507917142,1.0377800796503989,1.0987908315452684,1.0528013017682407,1.0969325013637194,1.0597322791930968,1.040882179655616
573,0.0005377478070162089,0.05,0.02,1536,805,805,0.5240885416666666,0.5240885416666666,0.0,17.07410279999749,0.38685923726750987,0.29725298653838067,0.7431324663459518,0.18514338186620444,1.2876523872646863,1.0660752353300165,1.1218078137100218,1.252856582953648,0.06022672498152981,0.18483993931875478,1.0763977912786782,1.1770808594444289,2.0423406365378804,0.9140762705139949,1.1457937921239405,1.0660752353300165,1.123500070816238,1.156266882648429,1.1201155566038057,1.252856582953648,1.075722149874184,1.070223990699185
290,2.7170642691309865e-07,0.05,0.02,1536,798,798,0.51953125,0.51953125,0.0,19.20103449999442,0.1898738042795822,0.3529072445334955,0.8822681113337387,0.1362937753734313,1.0929353262414112,0.9896805217166798,1.0399795810134727,1.1072216395152084,0.041966735588621046,0.07815134177354384,0.9216610114590219,1.0293948292646036,1.3545393909699877,0.23763382001710198,1.1072216395152084,1.0130615350624996,1.066897626964446,1.0673564644552687,1.1052569610729135,0.9943999597450315,1.0054510038791715,0.9896805217166798
793,0.00090963111984943,0.05,0.02,1536,1508,1528,0.9817708333333334,0.9947916666666666,0.013020833333333334,27.617372499997145,0.22090200608180327,0.3421832950560229,0.8554582376400574,0.14437411990744084,1.1495361151773673,0.9725379229437706,1.0641603835844289,1.1579953424012603,0.04451443147908849,0.09857107581682703,0.8628662503500374,1.1363130770587366,1.5502799306294575,0.5345846477474083,0.9725379229437706,1.049625744759325,1.069190595153351,1.050090591881767,1.1266291327367823,1.1579953424012603,1.0852023468627896,1.0591301720155066
741,0.0007860249367174221,0.05,0.02,1536,793,793,0.5162760416666666,0.5162760416666666,0.0,18.185782399996242,0.4349235386615966,0.28817715106591063,0.7204428776647767,0.21313678920449766,1.303421010326038,1.0675350665386638,1.136957140901062,1.2555735610318999,0.07419252039883302,0.14169914448909487,1.0379020303232485,1.1965497824092646,1.9292054729092125,0.9385449103172832,1.2555735610318999,1.0958606321187236,1.0675350665386638,1.1504703889358476,1.16306399019294,1.1821739531976931,1.1234438928662762,1.0735532185363483
655,0.000604476063308379,0.05,0.02,1536,788,788,0.5130208333333334,0.5130208333333334,0.0,16.301618899997266,0.250806706885648,0.3263348103502642,0.8158370258756605,0.11220165702196128,1.2098059742429341,1.0649873336589353,1.0916051049825142,1.1605708412241713,0.0444408539567344,0.09187351763740037,1.0390753157585704,1.1529251820489104,1.582014735834386,0.7208971891983111,1.105536299788232,1.0843046402952157,1.0649873336589353,1.092271793034668,1.1241093544661467,1.1605708412241713,1.0909384169303602,1.0722852431394942
560,0.0004746622175709758,0.05,0.02,1536,785,785,0.5110677083333334,0.5110677083333334,0.0,15.643319700000575,0.38747410526687626,0.29654977009790884,0.7413744252447722,0.1799539945948357,1.2983611877867232,1.0671975039983732,1.1143572018967096,1.238497731942826,0.06029104927184045,0.16378188931034662,1.0617295036974594,1.1933072610362172,1.9460965463611655,0.9296676087520552,1.0925207191248059,1.1171677745967559,1.1115466291966631,1.1492692708915302,1.1769518597553206,1.238497731942826,1.0926657672901103,1.0671975039983732
383,7.4089555781586824e-06,0.05,0.02,1536,1521,1532,0.990234375,0.9973958333333334,0.007161458333333333,29.648268600001757,0.1294041383081659,0.38639603585770516,0.9659900896442629,0.12459984240287941,1.04189053967538,0.9278371278786998,1.0375684205149964,1.082270591213883,0.03104140552960985,0.11480664487110509,0.8436049261896647,1.0595666366879373,1.367804664231904,0.2276968533549777,0.9278371278786998,1.0198362846408635,1.0472508800761593,1.002908569877163,1.0617041452020852,1.082270591213883,1.0376576567566842,1.0374791842733087
