metric,count,mean,std,minimum,q25,median,q75,maximum
existing_success_fraction,50,0.7341927083333334,0.25956726840922584,0.21223958333333334,0.50048828125,0.7496744791666666,0.9993489583333334,1.0
direct_success_fraction,50,0.7383984375,0.25966227613335685,0.22526041666666666,0.5008138020833334,0.7692057291666666,0.9993489583333334,1.0
success_fraction_change,50,0.0042057291666666675,0.010446904354933497,0.0,0.0,0.0,0.0013020833333333333,0.045572916666666664
direct_contour_seconds,50,24.82563039399858,7.803745344717069,10.474192699999548,18.229802924995965,21.864291000001685,32.935225024999454,38.198374499996135
relative_frobenius_error,50,0.34247423764501117,0.21328652466741452,0.07687915396596968,0.20153929582743474,0.29211186580701265,0.4134332185962616,0.9890748676344933
best_covariance_scale,50,0.40114741374306695,0.17083202614204612,0.26437970293118823,0.3140734690940783,0.3438466115049178,0.3765288129199881,1.0006554267242143
best_scale_over_assumed_scale,50,1.0028685343576675,0.4270800653551154,0.6609492573279706,0.7851836727351958,0.8596165287622946,0.9413220322999702,2.5016385668105356
best_scaled_relative_frobenius_error,50,0.2239837662699221,0.22887148688795605,0.018293709442082137,0.11128073612194533,0.14294838661127188,0.1958189377768204,0.9832805126016981
trace_ratio_scaled_over_direct,50,1.0446767063514526,0.31838724790807926,0.08184086780556013,1.0267298465248669,1.1509724749466916,1.2392645177520951,1.4986210736237673
std_ratio_min,50,0.865406172775559,0.30678686657590326,0.013833907753007114,0.8413237875099153,0.9860424352881811,1.0612707678388669,1.1138163486965313
std_ratio_median,50,1.088148065126963,0.13119421427639494,0.8024099646946297,1.0341024966615189,1.0869619774359118,1.1215799373398854,1.7320906192731536
std_ratio_max,50,4.858930315687676,25.336906664858404,0.9967795515834288,1.1087776366079845,1.1768992063502657,1.2517303573605105,182.2079420332423
correlation_rms_difference,50,0.05838745042347186,0.04745975904794964,0.007469260151964029,0.036120764733347174,0.04214285238966983,0.053672816653966685,0.26099745544310476
correlation_max_abs_difference,50,0.15528853620418615,0.14664266963038694,0.020129933935281945,0.09059652224979847,0.09939698013841904,0.1442187887488812,0.7032929304316232
generalized_variance_ratio_min,50,0.7927977259297891,0.34544203907748233,9.009530482632939e-05,0.6749820359234054,0.9084639628668932,1.0387819943997398,1.2254978639098482
generalized_variance_ratio_median,50,1.1907078654443366,0.4390360047205876,0.64941705475657,1.024544347309197,1.1581130338631254,1.2057194183056934,3.940346129965443
generalized_variance_ratio_max,50,834.516241995206,5828.5263953854765,1.002051290815789,1.388107846375683,1.5817930686910189,1.9039270607964331,41634.20043376352
log_ellipsoid_volume_ratio,50,0.32926132103996736,2.056288462084209,-5.788600426360517,0.1800923812159887,0.6394746258985826,0.8777974551904997,9.501452222353294
