canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out,helicity_mechanism,full_chain_flip_to_conserving_ratio,helicity_flip_fraction,helicity_conserving_fraction,full_chain_longitudinal_to_transverse_ratio,virtual_photon_transverse_fraction,virtual_photon_longitudinal_fraction,helicity_interference_relative,virtual_photon_interference_relative
1,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_1,dGHZ,2.280689526761525e-08,1.0,2.4389177418774413,0.7026618843453465,5.0,0.1205983008750418,3.141592653589793,3.141592653589793,8.733938101272923e-09,2.3142547890121468,helicity_flipping,3.729724877408746e+21,1.0,2.68116290844154e-22,5.239241486185656e-26,1.0,5.239241486185656e-26,-2.4829267938839126e-12,1.4685108705361567e-17
2,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_5,dGHZ,2.390074716985364e-08,1.0,2.280949415329478,0.7101601838504819,5.0,0.12059598552424938,3.141592653589793,0.0,6.283185307177605,0.0,helicity_flipping,3.9315456169090933e+21,1.0,2.5435289258736394e-22,3.4766746046419953e-28,1.0,3.4766746046419953e-28,-2.6070620242575102e-14,-2.6051565426423883e-14
3,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_12,dGHZ,2.4614682223386802e-08,0.9999999999999999,2.150288859325826,0.9912953901156674,4.9986871286567585,0.28107068376147326,3.141592653589793,3.141592653589793,1.711264988012715,1.5436566279068529,helicity_flipping,1.6533681371711948e+22,1.0,6.048259776621405e-23,1.2449033763618432e-26,1.0,1.2449033763618432e-26,-1.038239590679569e-13,7.5963379875909e-19
4,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_13,dGHZ,2.4622180989178895e-08,1.0000000000000002,2.1691892539513855,0.9723903885059361,5.0,0.8990439702123689,3.141592003891488,3.141592653589793,0.7113552365206922,2.345023534029287,helicity_flipping,1.1039912683993902e+20,1.0,9.05804265508222e-21,9.917018245546515e-18,1.0,9.917018245546515e-18,3.453547060146566e-11,-1.232449828899179e-09
5,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_15,dGHZ,2.4759391640348698e-08,0.9999999999999997,2.4020754038664722,0.739503554738598,4.999852549380618,2.0312082046463824,0.03930962734291594,3.141592653589793,6.204970758626356,0.07355106796245123,helicity_flipping,6.984939500220148e+17,1.0,1.431651627001898e-18,4.4994646307600225e-13,0.99999999999955,4.499464630757998e-13,-1.2608591190018695e-10,-8.658716001408788e-08
6,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_17,dGHZ,2.4853029994183214e-08,1.0,2.4106629274018005,0.7309264938599248,4.999751927687562,1.7875891598607474,3.141592653589793,3.141592653589793,3.0962925920896307,1.1092514237755453,helicity_flipping,1.5062025006785441e+24,1.0,6.639213515775601e-25,2.527085249811049e-28,1.0,2.527085249811049e-28,1.966570332464802e-14,9.511902280730943e-19
7,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_20,dGHZ,2.540438587024773e-08,1.0000000000000004,2.3449090611243206,0.7966766617251122,4.996863622303827,2.031267267701895,0.019634954084936207,3.141592653589793,5.610466402922992,2.093138040466706,helicity_flipping,6.626692369826613e+16,1.0,1.5090484727392965e-17,4.793795695991746e-12,0.9999999999952063,4.793795695968766e-12,7.911709906044469e-11,5.5429694383549346e-08
8,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_38,dGHZ,2.6424831032637317e-08,1.0,2.4362482892802206,0.7053526704280575,5.0,1.9554322244180469,3.1409371381899778,3.141592653589793,0.0003168744078172731,5.7069812828676,helicity_flipping,4.0718290650012584e+16,1.0,2.4558987718697147e-17,5.074963097671835e-12,0.9999999999949251,5.07496309764608e-12,-9.278676965782335e-10,-5.067896763795534e-07
9,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_43,dGHZ,2.6532965957114165e-08,0.9999999999999998,2.304935247653219,0.8366501783479192,5.0,2.0427207675751244,3.5522668482302576e-05,3.141592653589793,0.5926742077497108,3.5687989256380637,helicity_flipping,4.68524872960272e+20,1.0,2.1343584038168958e-21,6.981616486363171e-16,0.9999999999999992,6.981616486363167e-16,4.477454935105226e-12,3.1720445788584207e-09
10,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_45,dGHZ,2.6597029583117564e-08,0.9999999999999998,2.33670510769395,0.8048889505552872,5.0,2.0446884936172545,0.002454369260617026,3.141592653589793,0.9372246721873273,4.475978083056126,helicity_flipping,7.382416211809754e+16,1.0,1.3545700639314892e-17,4.579530331878658e-12,0.9999999999954206,4.579530331857686e-12,9.759410571255825e-11,7.052303117908873e-08
11,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_48,dGHZ,2.6726605636668045e-08,1.0,2.3692896861312316,0.7722939962726171,5.0,2.046476528077922,0.0006135923151542565,3.141592653589793,0.9216700846509821,2.1510481220538367,helicity_flipping,9.205628327142698e+17,1.0,1.086291955815238e-18,3.710647436329978e-13,0.999999999999629,3.7106474363286014e-13,-1.8966667966856488e-11,-1.3580581604238242e-08
12,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_51,dGHZ,2.6841654397549122e-08,0.9999999999999997,2.2220181454653214,0.9195823735121594,5.0,2.0316789434941573,0.009817477042468103,3.141592653589793,2.271731324336405,1.5862031316926763,helicity_flipping,1.774708358730896e+18,1.0,5.634728630652902e-19,1.7393698409448317e-13,0.9999999999998261,1.739369840944529e-13,-1.465641423824985e-10,-1.00830628588995e-07
13,GHZ,electron,2,3,dghz_mixing_angles_polarization_03_local_minimum_52,dGHZ,2.690143294563853e-08,1.0,2.4223144774675944,0.719274421200124,5.0,2.0344078730886475,0.01963281003845514,3.141592653589793,0.038621331939324724,6.145330592638761,helicity_flipping,1.877905545565461e+16,1.0,5.325081457698595e-17,1.695706128499367e-11,0.999999999983043,1.6957061284706127e-11,-1.1056957784194301e-09,-7.646204795073534e-07
