selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,example_rank,selected_concurrence,selected_purity,pair_delta_xy,lepton,kinematic_point,s_regime,theta_in_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_in,phi_in_lepton,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,lepton_muon_unpolarized_proton_unpolarized_C_mu_p,lepton_muon_unpolarized_proton_unpolarized_C_mu_gamma,lepton_muon_unpolarized_proton_unpolarized_C_p_gamma,lepton_muon_unpolarized_proton_unpolarized_C_mu_rest,lepton_muon_unpolarized_proton_unpolarized_C_p_rest,lepton_muon_unpolarized_proton_unpolarized_C_gamma_rest,lepton_muon_unpolarized_proton_unpolarized_GHZ_purity,lepton_muon_unpolarized_proton_L_C_mu_p,lepton_muon_unpolarized_proton_L_C_mu_gamma,lepton_muon_unpolarized_proton_L_C_p_gamma,lepton_muon_unpolarized_proton_L_C_mu_rest,lepton_muon_unpolarized_proton_L_C_p_rest,lepton_muon_unpolarized_proton_L_C_gamma_rest,lepton_muon_unpolarized_proton_L_GHZ_purity,lepton_muon_L_proton_unpolarized_C_mu_p,lepton_muon_L_proton_unpolarized_C_mu_gamma,lepton_muon_L_proton_unpolarized_C_p_gamma,lepton_muon_L_proton_unpolarized_C_mu_rest,lepton_muon_L_proton_unpolarized_C_p_rest,lepton_muon_L_proton_unpolarized_C_gamma_rest,lepton_muon_L_proton_unpolarized_GHZ_purity,lepton_muon_unpolarized_proton_Tx_C_mu_p,lepton_muon_unpolarized_proton_Tx_C_mu_gamma,lepton_muon_unpolarized_proton_Tx_C_p_gamma,lepton_muon_unpolarized_proton_Tx_C_mu_rest,lepton_muon_unpolarized_proton_Tx_C_p_rest,lepton_muon_unpolarized_proton_Tx_C_gamma_rest,lepton_muon_unpolarized_proton_Tx_GHZ_purity,lepton_muon_unpolarized_proton_Ty_C_mu_p,lepton_muon_unpolarized_proton_Ty_C_mu_gamma,lepton_muon_unpolarized_proton_Ty_C_p_gamma,lepton_muon_unpolarized_proton_Ty_C_mu_rest,lepton_muon_unpolarized_proton_Ty_C_p_rest,lepton_muon_unpolarized_proton_Ty_C_gamma_rest,lepton_muon_unpolarized_proton_Ty_GHZ_purity,lepton_muon_Tx_proton_unpolarized_C_mu_p,lepton_muon_Tx_proton_unpolarized_C_mu_gamma,lepton_muon_Tx_proton_unpolarized_C_p_gamma,lepton_muon_Tx_proton_unpolarized_C_mu_rest,lepton_muon_Tx_proton_unpolarized_C_p_rest,lepton_muon_Tx_proton_unpolarized_C_gamma_rest,lepton_muon_Tx_proton_unpolarized_GHZ_purity,lepton_muon_Ty_proton_unpolarized_C_mu_p,lepton_muon_Ty_proton_unpolarized_C_mu_gamma,lepton_muon_Ty_proton_unpolarized_C_p_gamma,lepton_muon_Ty_proton_unpolarized_C_mu_rest,lepton_muon_Ty_proton_unpolarized_C_p_rest,lepton_muon_Ty_proton_unpolarized_C_gamma_rest,lepton_muon_Ty_proton_unpolarized_GHZ_purity,lepton_muon_L_proton_L_C_mu_p,lepton_muon_L_proton_L_C_mu_gamma,lepton_muon_L_proton_L_C_p_gamma,lepton_muon_L_proton_L_C_mu_rest,lepton_muon_L_proton_L_C_p_rest,lepton_muon_L_proton_L_C_gamma_rest,lepton_muon_L_proton_L_GHZ_purity,lepton_muon_L_proton_Tx_C_mu_p,lepton_muon_L_proton_Tx_C_mu_gamma,lepton_muon_L_proton_Tx_C_p_gamma,lepton_muon_L_proton_Tx_C_mu_rest,lepton_muon_L_proton_Tx_C_p_rest,lepton_muon_L_proton_Tx_C_gamma_rest,lepton_muon_L_proton_Tx_GHZ_purity,lepton_muon_L_proton_Ty_C_mu_p,lepton_muon_L_proton_Ty_C_mu_gamma,lepton_muon_L_proton_Ty_C_p_gamma,lepton_muon_L_proton_Ty_C_mu_rest,lepton_muon_L_proton_Ty_C_p_rest,lepton_muon_L_proton_Ty_C_gamma_rest,lepton_muon_L_proton_Ty_GHZ_purity,lepton_muon_Tx_proton_Tx_C_mu_p,lepton_muon_Tx_proton_Tx_C_mu_gamma,lepton_muon_Tx_proton_Tx_C_p_gamma,lepton_muon_Tx_proton_Tx_C_mu_rest,lepton_muon_Tx_proton_Tx_C_p_rest,lepton_muon_Tx_proton_Tx_C_gamma_rest,lepton_muon_Tx_proton_Tx_GHZ_purity,lepton_muon_Tx_proton_Ty_C_mu_p,lepton_muon_Tx_proton_Ty_C_mu_gamma,lepton_muon_Tx_proton_Ty_C_p_gamma,lepton_muon_Tx_proton_Ty_C_mu_rest,lepton_muon_Tx_proton_Ty_C_p_rest,lepton_muon_Tx_proton_Ty_C_gamma_rest,lepton_muon_Tx_proton_Ty_GHZ_purity
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_0,0,1,4.8244638565613601e-01,5.0001986326950443e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0864391493331829e-01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,9.8174770424681035e-01,1.5546896607227151e+01,8.3490892104135606e-01,-3.2802227762465499e+00,3.9540163685792034e+00,9.0284687344967873e-01,1.7817113813142063e+02,6.7890828422919203e-01,6.8122451997195217e+00,6.7890828422919203e-01,6.8122451997195217e+00,4.0014638266096161e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613607e-01,8.2901713434314003e-03,9.4649546314731232e-03,4.2722701185099139e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613590e-01,8.0361043649143822e-03,2.6172306140811218e-03,4.4591459239925697e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613607e-01,5.2811839883139680e-03,0.0000000000000000e+00,1.2051526145854631e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,4.0435613438362279e-03,0.0000000000000000e+00,1.2011381526658348e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,8.0819017756737725e-03,2.2148038258036972e-02,6.7903418916159999e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,7.3420823158531368e-03,2.1990985337625862e-02,5.6812097238438776e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,8.9937064549136924e-03,4.4053181955680636e-03,4.6334256472918063e-02,1.0264849883068241e-02,4.7252765014010288e-02,4.6597680996312701e-02,4.8623656319132424e-01,1.1755534289421901e-01,3.3146764219019902e-03,7.7676047092689257e-02,1.2173073229704817e-01,1.4436395843527830e-01,8.3861077592018635e-02,4.7460562206954737e-01,1.0950341617153934e-01,4.6191943992135859e-03,1.3199747376938259e-01,1.1478905539329735e-01,1.7486716019488652e-01,1.3641430468280294e-01,4.7925438148086269e-01,3.3528570412142478e-01,2.3789142070749378e-02,1.3128347025760057e-01,9.9119718623546149e-01,9.9957055235143000e-01,9.4196109709521081e-01,7.2548381523470207e-02,3.4327298004555779e-01,2.2155070019456394e-02,1.2357723475170779e-01,9.9230373930557625e-01,9.9972356078613134e-01,9.3920269715742488e-01,2.2837939316065947e-01
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_0,0,2,4.8244638565613596e-01,5.0001986326950432e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.0864391493331829e-01,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,1.8000000000000000e+00,2.1598449493429825e+00,1.5546896607227147e+01,8.3490892104135583e-01,-3.2802227762465499e+00,3.9540163685792047e+00,9.0284687344967873e-01,1.7817113813142083e+02,6.7890828422919236e-01,6.8122451997195199e+00,6.7890828422919236e-01,6.8122451997195199e+00,4.0014638266109180e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,8.2901713431129415e-03,9.4649546314731457e-03,4.2722701185098112e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613590e-01,8.0361043649219092e-03,2.6172305617354220e-03,4.4591459240027692e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613607e-01,5.2811839883273627e-03,0.0000000000000000e+00,1.2051526145855744e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613596e-01,4.0435613438361568e-03,0.0000000000000000e+00,1.2011381526657659e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613596e-01,8.0819017756640164e-03,2.2148039119163802e-02,6.7903418916543355e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613607e-01,7.3420823158590913e-03,2.1990989411465441e-02,5.6812097238542027e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8244638565613601e-01,8.9937064549138329e-03,4.4053181844184858e-03,4.6334255722358844e-02,1.0264849883068241e-02,4.7252765014010288e-02,4.6597680996312701e-02,4.8623656319132424e-01,1.0096816228805591e-01,1.9116995975246420e-03,1.7037503245119648e-01,1.0742377321279634e-01,2.0140472719883748e-01,1.7427836601596028e-01,4.9037804380171768e-01,1.0950341585835263e-01,4.6191944099981137e-03,1.3199747361894021e-01,1.1478905539329930e-01,1.7486716019488779e-01,1.3641430468280133e-01,4.7925438148086263e-01,3.3528570185482653e-01,2.3789140678854362e-02,1.3128347375608146e-01,9.9119718623546149e-01,9.9957055235143011e-01,9.4196109709521081e-01,7.2548381523470318e-02,3.4327299282925267e-01,2.2155096042165628e-02,1.2357717853041059e-01,9.9230374768864005e-01,9.9972356171802490e-01,9.3920269369493747e-01,7.3651338450148940e-01
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_1,1,1,4.8079486963133061e-01,5.0002953199489375e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.2364178472033423e-01,1.5707949999999999e+00,1.6689710972195773e+00,4.8105637508093704e+00,1.8000000000000000e+00,2.3561944901923448e+00,1.5134869701430876e+01,8.3039364139568783e-01,-3.3531529649988241e+00,3.9711130199505584e+00,8.8369858792957834e-01,1.7734788597441289e+02,9.1283850581819170e-01,6.8036968740340011e+00,9.1283850581819170e-01,6.8036968740340011e+00,4.6009292164413086e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133050e-01,7.6637916376081621e-03,1.0851339319374936e-02,4.8607118837361019e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133056e-01,7.3160448350933936e-03,2.4219570436525444e-03,5.0550031866465735e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133061e-01,2.1098406590531926e-03,0.0000000000000000e+00,1.6015188036793912e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133061e-01,5.7567900543577417e-04,0.0000000000000000e+00,1.5977636489014721e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133050e-01,7.3791328285872848e-03,2.7977147354968469e-02,6.2697991026935207e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133050e-01,6.4860301320734054e-03,2.7839477984431388e-02,5.2355902656705334e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8079486963133061e-01,8.4944009367001663e-03,5.1666143287601848e-03,5.2228959411318568e-02,1.0125337819642068e-02,5.2949908238409227e-02,5.2518871268950870e-02,4.8554389809903020e-01,8.1082231426139378e-02,1.6056250983970503e-03,2.1492705282665017e-01,8.8342069969962286e-02,2.3236906451018610e-01,2.1776967613285964e-01,4.8865401828646815e-01,8.8397459421218558e-02,4.5299219722947596e-03,1.7523714071062110e-01,9.4270147569512519e-02,1.9893314458414507e-01,1.7827171782166085e-01,4.7700229024707935e-01,3.2855479453488368e-01,3.0025725582519924e-02,1.6950079064212134e-01,9.8541245902473262e-01,9.9943318466371800e-01,9.4436220823237971e-01,6.8551427079146077e-02,3.3493022995050703e-01,2.8443232645057631e-02,1.6231867175208106e-01,9.8673868535355502e-01,9.9959570191314007e-01,9.4224323979913971e-01,7.2866895116729635e-01
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_1,1,2,4.8027863769274731e-01,5.0001301379230612e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,9.6563528875082405e-02,1.5707949999999999e+00,1.4726215563702159e+00,4.6142142099600090e+00,1.8000000000000000e+00,1.8653206380689396e+00,1.6236539313773363e+01,8.4133573323072242e-01,-3.2181043171649821e+00,3.9418304381582434e+00,9.3569352328576871e-01,1.7915137874693770e+02,3.0912066662575122e-01,6.8183381649299877e+00,3.0912066662575122e-01,6.8183381649299877e+00,8.1163183418453012e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274731e-01,9.1273977144545240e-03,5.4602604856111301e-03,2.8643994891696618e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274726e-01,9.0473104256056109e-03,2.2344506080889449e-03,2.9057024341889781e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274726e-01,8.7022133513608539e-03,0.0000000000000000e+00,4.9003316779551748e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274731e-01,8.1209293376118003e-03,0.0000000000000000e+00,4.8756174632349998e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274731e-01,9.0751661325066384e-03,1.1422660013771796e-02,7.4702408350293143e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274731e-01,8.7022579165075050e-03,1.1254201568899678e-02,6.3144986223294189e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.8027863769274731e-01,9.6920254523719680e-03,2.9855900571528512e-03,3.2268157484901444e-02,1.0513457441818783e-02,3.3806109307705078e-02,3.2524320391459069e-02,4.8484838465841268e-01,1.6782489475319159e-01,1.9131677157772737e-03,8.9255629823295782e-02,1.7353230465195796e-01,1.9513166849429098e-01,9.9573253675541831e-02,4.8703094235347316e-01,1.7753406852986550e-01,3.7777109040236659e-03,6.2817702257028415e-02,1.8259551560472528e-01,1.9306194616810848e-01,7.5952882456742088e-02,4.7842974653862846e-01,3.4575445773834224e-01,1.2131645529897706e-02,6.5293293590067011e-02,9.9745100663434305e-01,9.9951215507649538e-01,9.3788356378550231e-01,5.3282034628707564e-02,3.5536331100396862e-01,1.0863233558822571e-02,5.7578866801400674e-02,9.9805127221726209e-01,9.9965176838400849e-01,9.3441884812897291e-01,6.9893637944491493e-01
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_2,2,1,4.7882598349067174e-01,5.0182603906329892e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.8863624284822813e+00,1.5707949999999999e+00,1.2762720155208536e+00,4.4178646691106467e+00,1.8000000000000000e+00,5.1050880620834143e+00,5.0746258034087628e+00,2.6803437113861811e-01,-1.6432874245302930e+01,1.4737960970779481e+01,9.1795845027541745e-01,9.4532750269271205e+01,7.0993971195658503e+00,1.4202728986188460e+00,7.0993971195658503e+00,1.4202728986188460e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,9.0377997770950381e-05,3.8566587824853366e-02,3.5961210537441550e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067168e-01,0.0000000000000000e+00,3.8732835227373114e-02,9.2426718526316554e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3315649988823852e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3288571169630664e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,9.6031249720762965e-05,6.1894738177063653e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,1.8372564074064902e-05,5.7257069687292874e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067168e-01,4.4202772119130785e-04,3.9336009633482390e-02,4.9028105508280460e-03,3.9341080865336414e-02,4.9433319483941657e-03,3.9642941445125868e-02,4.8142102140407539e-01,3.2088783069229155e-03,3.9295733952547880e-02,1.3434405205843339e-01,4.2142959602185059e-02,1.3520428511831248e-01,1.4076241180060958e-01,4.7494443514621015e-01,2.5817607806802928e-03,3.8552480853624248e-02,1.3321764475245954e-01,4.1663515550494884e-02,1.3415101919306086e-01,1.3955688547057110e-01,4.7036536953726671e-01,3.5443160873549184e-01,3.3994608150132765e-03,1.3334253141398425e-01,9.8833995377204553e-01,9.9728859405205283e-01,9.3218792539164808e-01,1.0359130511341497e-01,3.5353493829324117e-01,7.0506206194799661e-03,1.3314482956971396e-01,9.8897597213332555e-01,9.9787339266496444e-01,9.3317418857983581e-01,1.8157605601991500e-01
GHZ_purity,P_{\rm GHZ+},lepton_muon_unpolarized_proton_Tx,enhanced_region_2,2,2,4.7882598349067168e-01,5.0182603906329892e-01,nan,muon,high_s_high_theta_in_high_Egamma,high_s,high_theta_in,high_Egamma,1.0565837550000000e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2231115974493845e+00,1.8863624284822813e+00,1.5707949999999999e+00,1.8653206380689404e+00,5.0069132916587327e+00,1.8000000000000000e+00,4.3196898986859651e+00,5.0746258034087637e+00,2.6803437113861828e-01,-1.6432874245302937e+01,1.4737960970779476e+01,9.1795845027541711e-01,9.4532750269271233e+01,7.0993971195658512e+00,1.4202728986188478e+00,7.0993971195658512e+00,1.4202728986188478e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,9.0377997770835862e-05,3.8566587824887130e-02,3.5961210537273927e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067168e-01,0.0000000000000000e+00,3.8732835295200559e-02,9.2426718526329547e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3315649988816342e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067168e-01,0.0000000000000000e+00,0.0000000000000000e+00,1.3288571169628838e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067179e-01,9.6031249714097818e-05,6.1894752367304424e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,1.8372564052134189e-05,5.7257046247324106e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.7882598349067174e-01,4.4202771601367538e-04,3.9336009568925405e-02,4.9028105508136487e-03,3.9341080865339238e-02,4.9433319484166252e-03,3.9642941445128664e-02,4.8142102140407539e-01,2.1965967632190044e-03,3.8108708261566336e-02,1.3253859871065279e-01,4.1377615760775907e-02,1.3351521838871186e-01,1.3882997585544843e-01,4.8320684130361091e-01,2.5817606892676258e-03,3.8552481143826769e-02,1.3321764571360903e-01,4.1663515550486890e-02,1.3415101919305922e-01,1.3955688547056952e-01,4.7036536953726676e-01,3.5443161127405048e-01,3.3994640109915597e-03,1.3334252915062478e-01,9.8833995377204553e-01,9.9728859405205306e-01,9.3218792539164796e-01,1.0359130511341524e-01,3.5417577051285259e-01,5.5594809907210108e-03,1.3329049043211399e-01,9.8941794302076214e-01,9.9834027915444878e-01,9.3342045320843003e-01,7.7600680172109959e-01
