detail_id,detail_source,selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,selected_concurrence,selected_purity,pair_delta_xy,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
c_ep_TxTy_region_0,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_0,0,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,4.3396234742715456e-01,2.1816760473161674e+00,-2.9513459302684256e-06,2.2244176079203952e+00,1.3744467859455340e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_0,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_0,0,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,-4.3396234742715456e-01,-2.1816760473161674e+00,2.9513459302684256e-06,2.2244176079203952e+00,4.5160394395353274e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_0,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_0,0,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,kp,2.1293443574024722e+00,-3.8650522668136850e-01,-2.0939725024531253e+00,0.0000000000000000e+00,2.1293442960878401e+00,4.5298634464223264e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_0,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_0,0,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,pp,2.0091730781588182e+00,0.0000000000000000e+00,1.7767758603713024e+00,0.0000000000000000e+00,1.7767758603713024e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_0,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_0,0,9.6846090566041676e-01,1.0000000000000002e+00,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,3.8650522668136850e-01,3.1719664208182274e-01,0.0000000000000000e+00,5.0000000000000000e-01,6.8722339297276724e-01,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.5160394395353274e+00,5.0000000000000000e-01,6.8722339297276724e-01,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_1,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,k,2.2244176666143929e+00,-4.3396234742715373e-01,2.1816760473161674e+00,-2.9513459302684256e-06,2.2244176079203952e+00,1.7671458676442588e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_1,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,p,2.4140997689462407e+00,4.3396234742715373e-01,-2.1816760473161674e+00,2.9513459302684256e-06,2.2244176079203952e+00,4.9087385212340520e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_1,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,kp,2.1293443574024722e+00,3.8650522668136850e-01,-2.0939725024531253e+00,0.0000000000000000e+00,2.1293442960878401e+00,4.8949145143470529e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_1,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,pp,2.0091730781588182e+00,0.0000000000000000e+00,1.7767758603713024e+00,0.0000000000000000e+00,1.7767758603713024e+00,1.5707963267948966e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
c_ep_TxTy_region_1,enhanced_cluster,C_e_p,C_{ep},TxTy,enhanced_region_1,1,9.6846011338358196e-01,9.9999999999999956e-01,2.9590671196274299e+00,high_s_high_theta_in_low_Egamma,qout,5.0000000000000000e-01,-3.8650522668136850e-01,3.1719664208182274e-01,0.0000000000000000e+00,5.0000000000000000e-01,2.4543692606170260e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176079203952e+00,1.7767758603713024e+00,1.5707949999999999e+00,4.9087385212340520e+00,5.0000000000000000e-01,2.4543692606170260e+00,1.8945298627191985e+01,9.5551595341283524e-01,-1.5693699199555713e+01,1.7618424048718833e+00,9.6081107205615368e-01
