detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
dghz_mixing_angles_polarization_04_local_minimum_91,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_91,gradient_local_minimum,19,19,3.2907274355029849e-08,1.0000000000000000e+00,2.4970426872145106e+00,2.2153472557664897e+00,4.990460804126737,3.141592653589793,0.0,4.192367076409564,0.6911669920939338,1.9889990297061535
dghz_mixing_angles_polarization_04_local_minimum_98,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_98,gradient_local_minimum,20,20,3.5639444570479696e-08,1.0000000000000000e+00,2.3614211345533622e+00,2.3614305207923012e+00,4.406033039153813,3.141483827408845,3.141592653589793,2.8685635701091865,1.725901799822549,1.391283170518075
dghz_mixing_angles_polarization_04_local_minimum_101,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_101,gradient_local_minimum,21,21,3.6420138877459101e-08,1.0000000000000000e+00,2.1978900354695203e+00,2.5144919541452766e+00,4.966130227055908,3.141592653589793,0.0,0.29094856994144663,0.8190283889657355,6.1224086004473595
dghz_mixing_angles_polarization_04_local_minimum_105,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_105,gradient_local_minimum,22,22,3.8262512073313421e-08,1.0000000000000002e+00,2.5411507426846627e+00,2.5411495423860688e+00,4.5312381716834835,7.669903939428206e-05,3.141592653589793,4.866817111018122,1.892581544884514,5.924427972685362
dghz_mixing_angles_polarization_04_local_minimum_108,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_108,gradient_local_minimum,23,23,3.9308482873136311e-08,1.0000000000000000e+00,2.3726046965383971e+00,2.3726092530049057e+00,4.378321062296591,0.00015233650831382982,3.141592653589793,0.0020750085977016487,1.8268925746288138,3.336005288827209
dghz_mixing_angles_polarization_04_local_minimum_109,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_109,gradient_local_minimum,24,24,3.9374595905519295e-08,1.0000000000000000e+00,2.4147597995316015e+00,2.4147771486400136e+00,4.089600863715691,3.141592653589793,3.141592653589793,3.1874476177023694,1.3585412703445807,5.86465404206603
dghz_mixing_angles_polarization_04_local_minimum_117,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_117,gradient_local_minimum,25,25,4.3616712546967019e-08,1.0000000000000002e+00,2.0273398290877909e+00,2.6850445301043262e+00,4.931348503781535,3.141592653589793,0.0,3.608363803465439,0.7848237948285428,5.613046422092614
dghz_mixing_angles_polarization_04_local_minimum_119,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_119,gradient_local_minimum,26,26,4.4636070661098660e-08,9.9999999999999978e-01,2.0997169990321969e+00,2.6126800246149506e+00,4.9929987985761795,3.141592653589793,0.0,4.045353783126774,1.014459597779327,0.35440947835767306
dghz_mixing_angles_polarization_04_local_minimum_122,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_122,gradient_local_minimum,27,27,4.7709635599946436e-08,9.9999999999999989e-01,2.3265008421940583e+00,2.3264836964816933e+00,3.8305409787076643,3.141592653589793,3.141592653589793,3.1057283685219246,1.3544016356054138,5.444210077534224
dghz_mixing_angles_polarization_04_local_minimum_123,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_123,gradient_local_minimum,28,28,4.7782513835243644e-08,1.0000000000000002e+00,2.3820098045051932e+00,2.3820131171607843e+00,3.8759026766994946,0.012489550868296426,3.141592653589793,6.2142352341959395,1.4695136511401083,3.1592085548488975
dghz_mixing_angles_polarization_04_local_minimum_125,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_125,gradient_local_minimum,29,29,4.8337685015924565e-08,1.0000000000000000e+00,2.1954112756510478e+00,2.5169715916648205e+00,4.828823765595288,3.141592653589793,0.0,2.304082526961314,1.0979175750668968,5.615981916421908
dghz_mixing_angles_polarization_04_local_minimum_133,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_133,gradient_local_minimum,30,30,5.3618708469339280e-08,1.0000000000000002e+00,2.2324915542968817e+00,2.4798937356143926e+00,4.643121554783283,3.141592653589793,0.0,4.931152728965964,1.099013844341065,3.73044046554626
dghz_mixing_angles_polarization_04_local_minimum_141,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_141,gradient_local_minimum,31,31,7.3916357063026169e-08,1.0000000000000002e+00,2.3484710963295283e+00,2.3484668258631909e+00,3.1897845493260677,2.712458253828094,3.141592653589793,3.1392153292191916,1.1258723923204184,0.1537717501884733
dghz_mixing_angles_polarization_04_local_minimum_145,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_145,gradient_local_minimum,32,32,7.8866491599769307e-08,1.0000000000000000e+00,2.4645338765463078e+00,2.2478416072727554e+00,4.989558443240835,3.141592653589793,0.0,2.6242261765600317,1.7022291467090602,3.193936683418746
dghz_mixing_angles_polarization_04_local_minimum_153,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_153,gradient_local_minimum,33,33,9.3566794763559611e-08,1.0000000000000002e+00,2.6674746692425879e+00,2.0449222710707415e+00,4.6495420001624055,3.141592653589793,0.0,1.537921585977095,1.459972521765974,3.639577612766646
dghz_mixing_angles_polarization_04_local_minimum_155,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_155,gradient_local_minimum,34,34,9.7688451942367977e-08,1.0000000000000000e+00,2.3799220422942144e+00,2.3324913288664089e+00,4.062776504665836,3.141592653589793,0.0,4.192862235713046,1.2271520870769252,0.18247457475517967
dghz_mixing_angles_polarization_04_local_minimum_162,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_162,gradient_local_minimum,35,35,1.1445512659047996e-07,1.0000000000000002e+00,2.2544640147046908e+00,2.4579196883663390e+00,3.7092846881010715,3.141592653589793,0.0,0.14300132563397855,1.0651284086998296,2.522340272685495
dghz_mixing_angles_polarization_04_local_minimum_166,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_166,gradient_local_minimum,36,36,1.3556033912583565e-07,1.0000000000000002e+00,1.8819764436478503e+00,1.8819874219536541e+00,3.1966239607056908,0.0006133288789190857,3.141592653589793,0.0013207343553626376,1.1294590434524796,3.9369839084862592
dghz_mixing_angles_polarization_04_local_minimum_169,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_169,gradient_local_minimum,37,37,1.7402472701875213e-07,1.0000000000000000e+00,2.2827775668682202e+00,2.4296097128584671e+00,4.104026975665099,3.141592653589793,0.0,6.1306334995575105,1.5548626444205738,0.2661080806269175
dghz_mixing_angles_polarization_04_local_minimum_176,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_176,gradient_local_minimum,38,38,3.4941089118397869e-07,1.0000000000000000e+00,3.0459519105204138e+00,1.6664366007449138e+00,5.0,3.141592653589793,0.0,3.3165026424941266,1.5971726719377886,2.32512267150634
dghz_mixing_angles_polarization_04_local_minimum_177,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_177,gradient_local_minimum,39,39,4.1487133540031209e-07,1.0000000000000000e+00,3.1093625442278583e+00,3.1093621435504453e+00,4.999872324186688,0.0023363813090141764,3.141592653589793,3.142770706506709,2.0355701258204517,0.0168325008633673
dghz_mixing_angles_polarization_04_local_minimum_180,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_180,gradient_local_minimum,40,40,4.5983127573487046e-07,1.0000000000000000e+00,2.2107280892409547e+00,2.2106753257744596e+00,1.810057821773592,1.788396524999906,3.141592653589793,3.152469736449094,0.43602458654447324,3.7825441815188485
dghz_mixing_angles_polarization_04_local_minimum_183,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_183,gradient_local_minimum,41,41,1.0022833401677257e-06,1.0000000000000004e+00,1.8447185778115784e+00,1.8447094096894396e+00,1.7443396883576514,0.0007669903939428206,3.141592653589793,3.4496667784359007,0.4031701854937199,6.281709275769791
dghz_mixing_angles_polarization_04_local_minimum_184,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_184,gradient_local_minimum,42,42,2.6216842535801411e-06,1.0000000000000000e+00,2.1744031913554833e+00,2.5444445485836793e+00,4.331864290356229,0.0002992416381723569,3.125733959233217,8.420461862213741e-05,2.0455332813184284,3.1415901444402583
dghz_mixing_angles_polarization_04_local_minimum_186,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_186,gradient_local_minimum,43,43,7.1415285908725573e-06,9.9999999999999978e-01,2.2229181636592981e+00,2.4957370745519381e+00,4.875698051949316,0.00017245807558103894,3.127910844277779,0.00043612487111441387,2.3327182949471843,3.1415910712364314
dghz_mixing_angles_polarization_04_local_minimum_205,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_205,gradient_local_minimum,44,44,2.5831952589345990e-05,9.9999999999999978e-01,2.5877528440650406e+00,2.1162649618905749e+00,4.136445135593897,0.0004516512863079027,3.123701568389497,3.1416215127334213,1.9390796380757498,6.283166762333852
dghz_mixing_angles_polarization_04_local_minimum_210,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_210,gradient_local_minimum,45,45,2.8232654459120120e-05,1.0000000000000000e+00,1.9389370136175554e+00,2.7798743760298130e+00,3.580678364721649,0.0012042720370971352,3.1207179644008596,6.282267444625291,1.6266434613308463,3.1416361859665245
dghz_mixing_angles_polarization_04_local_minimum_213,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_213,gradient_local_minimum,46,46,3.3854628577705523e-05,9.9999999999999956e-01,1.7484301364768948e+00,3.0008821348562891e+00,1.5108578727196704,2.4565894578555225,2.443349436600556,6.283107005703628,0.2549381681302357,3.141540519081309
dghz_mixing_angles_polarization_04_local_minimum_215,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_215,gradient_local_minimum,47,47,3.7170140248869265e-05,1.0000000000000000e+00,2.1835481692763978e+00,2.6291604904919050e+00,1.4515179524933817,1.6250618659706273,2.021614313743921,6.2831772750311705,0.2992755611999035,3.1415686681582704
dghz_mixing_angles_polarization_04_local_minimum_221,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_221,gradient_local_minimum,48,48,4.5419637539409618e-05,9.9999999999999989e-01,1.9899159549019949e+00,2.6885858132552900e+00,1.6081096458826236,0.0031836855155212246,3.121414755120749,3.1416144548223817,0.49577732813032144,3.1415850179712317
dghz_mixing_angles_polarization_04_local_minimum_224,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_224,gradient_local_minimum,49,49,4.6370445150727001e-05,1.0000000000000000e+00,2.2021709574932289e+00,2.3573417995560155e+00,1.3829494771192261,0.9273886331026557,1.9090255981034148,3.1415910191015963,0.2694459260038676,1.4684979399592802e-05
dghz_mixing_angles_polarization_04_local_minimum_226,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_226,gradient_local_minimum,50,50,5.2067393235532503e-05,9.9999999999999978e-01,1.8695347175565409e+00,2.9007381024073120e+00,1.4010416429992152,2.444287468763401,1.819428161279665,6.283069227214747,0.22423016619037126,3.141527155484378
dghz_mixing_angles_polarization_04_local_minimum_227,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_227,gradient_local_minimum,51,51,5.4041435548636694e-05,1.0000000000000002e+00,2.3201737930092676e+00,2.2653317269048889e+00,1.353801096592544,1.625041176824967,1.770545462026131,3.1415214270287355,0.2541527712126841,6.283115049800299
dghz_mixing_angles_polarization_04_local_minimum_228,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_228,gradient_local_minimum,52,52,5.4343780785152032e-05,1.0000000000000004e+00,2.7339947691288082e+00,1.9650584808546419e+00,3.1190153804639458,0.0017959065916156509,3.1112520768797567,3.141698294658849,1.3810535776675346,2.9954056437152116e-05
dghz_mixing_angles_polarization_04_local_minimum_230,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_230,gradient_local_minimum,53,53,5.7210653295819076e-05,1.0000000000000000e+00,2.2668516021006773e+00,2.5530007232596335e+00,1.699515623792591,0.2772846968532874,2.5637149053480783,4.575982126104757e-05,0.4738646233214608,3.1416304505607457
dghz_mixing_angles_polarization_04_local_minimum_232,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_232,gradient_local_minimum,54,54,5.9407052671084124e-05,1.0000000000000004e+00,1.8727030654554573e+00,2.8988966844756510e+00,1.3688612479899784,2.5160920611010567,1.611444375588535,6.283085781068039,0.21122857629838684,3.141525710246781
dghz_mixing_angles_polarization_04_local_minimum_233,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_233,gradient_local_minimum,55,55,6.3947723720759051e-05,1.0000000000000002e+00,2.8439428420454527e+00,1.8104818188402041e+00,1.3865259962921455,2.4797784585072677,1.7320269235977404,3.141516428187926,0.21723610928609297,6.283145872278056
dghz_mixing_angles_polarization_04_local_minimum_234,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_234,gradient_local_minimum,56,56,6.4729496031452237e-05,1.0000000000000004e+00,2.3183821740502264e+00,2.5097590065051483e+00,1.4624190472629803,1.0987123605051894,2.090059198823803,3.442764679143346e-05,0.3152663831877628,3.141616235725045
dghz_mixing_angles_polarization_04_local_minimum_235,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_235,gradient_local_minimum,57,57,6.6294674284880710e-05,9.9999999999999978e-01,2.7359514290813105e+00,2.0031027287441812e+00,1.6636313630807509,0.003345975281363643,3.1199994661636525,4.1680206599914235e-06,0.5308527572394902,6.2831562641805885
dghz_mixing_angles_polarization_04_local_minimum_238,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_238,gradient_local_minimum,58,58,7.2462625017931736e-05,1.0000000000000002e+00,2.5683974947273529e+00,2.1590185673301261e+00,2.7528445183054133,0.0005683254276180915,3.1278123584319615,0.00017341081544197917,1.1940165005761316,8.596285982762293e-06
dghz_mixing_angles_polarization_04_local_minimum_243,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_243,gradient_local_minimum,59,59,1.0271465533549909e-04,9.9999999999999956e-01,2.6883820654466204e+00,1.9477292845242078e+00,1.5182190056689362,1.4956897998939187,2.273120802004524,3.141594674930361,0.32532174771878997,4.375785540516128e-06
dghz_mixing_angles_polarization_04_local_minimum_245,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_245,gradient_local_minimum,60,60,1.1911764646821187e-04,9.9999999999999978e-01,2.9733430872500484e+00,1.7395033937576891e+00,4.865233770867531,3.141592653589793,3.138628448156481,2.2417755727764095,1.9343956408354899,4.57737042310572e-07
dghz_mixing_angles_polarization_04_local_minimum_247,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_247,gradient_local_minimum,61,61,1.2442757298168492e-04,1.0000000000000000e+00,2.4927847161435222e+00,2.1188154210800367e+00,1.3052029463302173,2.2502017710477413,1.4951613378547617,3.141463499226863,0.2234132906043232,6.28304530601539
dghz_mixing_angles_polarization_04_local_minimum_251,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_251,gradient_local_minimum,62,62,1.3388891130485837e-04,1.0000000000000000e+00,2.7320294569211510e+00,1.9494129699320248e+00,2.245585516737428,0.012395894632816432,3.0547134689886923,3.1415498212817585,0.8677024209825104,6.283171576505252
dghz_mixing_angles_polarization_04_local_minimum_252,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_252,gradient_local_minimum,63,63,1.3756880666683733e-04,1.0000000000000000e+00,2.8965136895479917e+00,1.8140653616035676e+00,3.732619730200785,0.0,3.12412109763996,5.037156792494068,1.6820523855440204,6.28317057776871
dghz_mixing_angles_polarization_04_local_minimum_257,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_257,gradient_local_minimum,64,64,1.6425958070518718e-04,1.0000000000000000e+00,2.9279255079002464e+00,1.7847811734561767e+00,3.4359127947522787,3.1344979924458225,3.1405769944777497,0.8584901785089497,0.9380288906680507,4.1452177941936807e-11
dghz_mixing_angles_polarization_04_local_minimum_258,dGHZ,d_{\rm GHZ},mixing_angles,polarization_cluster_04_local_minimum_258,gradient_local_minimum,65,65,1.6682127629001433e-04,1.0000000000000000e+00,2.9562727207461825e+00,1.7223198435315639e+00,1.650706203127719,0.9106844487653921,2.7801033446089627,3.141468093182637,0.38293689009169524,6.283138364743475
