lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_gamma,optimization_run,start_source,screening_one_minus_C_e_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_gamma,lbfgs_one_minus_C_e_gamma,final_one_minus_C_e_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_gamma,local_minimum_verified,initial_C_e_gamma,lbfgs_C_e_gamma,final_C_e_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id
electron,gradient_local_minimum_0000,gradient,gradient,gradient,0.00051099895,17.08295456358883,4.133153101881037,1.96013913284952,1.9574915390312873,0.0,0.0,3.141592653589793,0.0,0.7725392830581225,0.08895689797369474,0.0,3.141592653589793,0.1325359400733194,2.9949291080531704,3.141592653589793,-0.9960459436627516,0.05008361858694155,0.00780557514164666,-0.03034438609731477,0.9245194338583513,1.6275464982578907,7.246150932792203,0.39599746169730526,0.14666354553662203,8.403202167673205,5.145690784580381e-08,0.00986966770171993,5.145690784580381e-08,0.00986966770171993,True,,gradient,1019000475,2.3559088660759024,3.0689812385619017,1.0000000000000002,4629162202611.941,0.9999288786215936,1.0000000000000002,0.09093256296858714,2.408007618082131e-06,-2.2753555827259575e-06,-0.9998897541691489,-0.9998897541636699,0.0,0.9999999999567458,0.0,0.999999999957355,1.5608566254584192e-06,0.9999999999573551,0.9999999999855819,1.4142122879089858,1.8023219858534423e-06,1.2183587472236468e-12,2.436273405237444e-12,1.2185807918285718e-12,1.1695218766006259e-05,1.5898985331959822e-05,1.597505316640038e-05,2.759420409796608e-05,2.177951117417338e-06,-2.87652077340073,0.15785569387579262,1.1695218766006259e-05,0.004509065100733285,0.006310919818113235,0.006310919818113234,0.6504880993693504,0.9936614859777887,0.9936614859777888,0.004509065100733285,4.3254178017093636e-11,1019,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,670,72,7366.090562982948,0.9752576511962167,7.545931500763103e-06,4.3254178017093636e-11,27,13,False,1e-05,4.3255954373933037e-11,True,0.024742348803783388,0.9999924540684992,0.9999999999567458,0.807370029507413,0.44166503732318013,0.6001230282825214,0.5536239576664554,0.8200108201001365,0.8421682189458576,0.7547831357590716,0.8308601271705426,0.784074430837329,0.028315860069269852,1.0,0.36226147244565743,0.0,0.02109375,0.7499090830200039,0.9768870687468278,0
electron,gradient_local_minimum_0001,gradient,gradient,gradient,0.00051099895,12.371272019647982,3.5172819079010402,1.6335664896135966,1.630597559863629,0.0,0.0,3.141592653589793,0.0,0.96746176139221,0.06842029135145401,6.255958023144513,3.141592653589793,3.1655801966290014,2.9740953057069865,3.1143653695547195,-0.9976602448444346,0.030574385873644805,0.0044842718854117185,-0.012466951242546466,0.9669391706160667,1.722076194727886,7.667407910581958,0.5933238619018166,0.16749734788280662,9.596891113319334,7.73226986883202e-08,0.009053794638250068,7.73226986883202e-08,0.009053794638250068,True,,gradient,2030001344,2.3567349156643584,3.0995485923294956,1.0,10003671760394.58,0.999945686820802,1.0,0.022400667948442685,-9.77667197032961e-07,9.43071626402503e-07,-0.9998814925175576,-0.9998814925166356,0.0,0.9999999999168845,0.0,0.9999999999961372,1.7804786376595708e-05,0.9999999999961372,0.9999999999722948,1.4141990248418437,2.055919641387629e-05,1.5850543100270897e-10,3.170104179162081e-10,1.5850543100270897e-10,1.3197586434291946e-05,1.6420688992101123e-05,1.6420689039835133e-05,2.9618275426393068e-05,1.6115513266386e-06,3.141349261254965,0.10882141538886052,1.3197586434291946e-05,0.0022609736967937446,0.0029969449441227458,0.0029969449441227458,0.6626291643458364,0.9969734367804508,0.9969734367804508,0.0022609736967937446,8.31155144709328e-11,2030,sobol_screened,0.6143659158728554,True,False,2,ABNORMAL: ,4,1550,675,0.9551364963767441,0.6143659158728554,0.09877137107973777,8.31155144709328e-11,39,25,False,1e-05,1.3949763566500906e-10,True,0.38563408412714467,0.9012286289202622,0.9999999999168845,0.6308750091120601,0.04318350367248058,0.6981964884325862,0.36182933673262596,0.9585984442383051,0.5220278762280941,0.7159245135262609,0.14035917818546295,0.6306651743935525,0.021778855152743123,1.0,0.5708304889110765,0.995666643158851,0.5038177360473196,0.7501720227704874,0.9866169596455304,1
electron,gradient_local_minimum_0002,gradient,gradient,gradient,0.00051099895,17.333666832377563,4.163372050679301,1.97602116061751,1.9724044994050767,0.0,0.0,3.141592653589793,0.0,1.1960365671925692,0.06747116188691006,6.269138249223414,3.141592653589793,3.4420968136080003,2.970987409972294,3.1275455956336207,-0.9977246845241484,0.04493927664504538,0.004504364806918805,-0.01773855240257682,0.9539018249120708,1.6933946983265382,10.811733548590789,0.6063532520803925,0.1706052436174992,9.77496042208393,7.902470411380591e-08,0.013600441145936282,7.902470411380591e-08,0.013600441145936282,True,,gradient,1935001089,2.357459866877525,3.0890484581237336,1.0,9588248885635.854,0.9999433124763085,1.0,0.2736007543721607,5.394674784886533e-06,-5.319956399019166e-06,-0.999920292599203,-0.9999202925705035,0.0,0.9999999998960065,0.0,0.9999999999680397,1.3753836358849715e-05,0.9999999999680397,0.9999999999653355,1.4142023323837867,1.588156224755555e-05,1.4406631443364404e-10,1.891680145860164e-10,1.4406631443364404e-10,8.884803257729767e-06,1.1060562706496915e-05,1.1269578570380577e-05,1.9945365964226682e-05,1.2968955882672352e-06,-2.56593359217524,0.13004480244617242,8.884803257729767e-06,0.002817532358642274,0.004273652567796522,0.004273652567796522,0.6000168921062298,0.9957064020662393,0.9957064020662393,0.002817532358642274,1.0399348049361379e-10,1935,sobol_screened,0.5966346993054028,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,1362,711,0.6913708262944509,0.5966346993054028,0.06520675024928324,1.0399348049361379e-10,30,16,False,1e-05,7.955569536477469e-11,True,0.40336530069459714,0.9347932497507168,0.9999999998960065,0.030522683635354042,0.40228508692234755,0.9821661934256554,0.44418500643223524,0.9192685429006815,0.8374667698517442,0.6163246501237154,0.9887629086151719,0.7916017620568582,0.021476737860910457,1.0,0.5845379283573424,0.9977643412903768,0.5478267224865756,0.7504027819086393,0.9832746631215797,2
electron,gradient_local_minimum_0003,gradient,gradient,gradient,0.00051099895,15.6459557843782,3.9554969073908017,1.8665305317961582,1.8625355250211704,0.0,0.0,3.141592653589793,0.0,1.3691086765447023,0.054316582040478026,3.1268003673649116,3.141592653589793,3.3109921139526244,2.9383627431163624,6.268393020954705,-0.9985252170977837,0.0384902226243915,0.0035503434398879426,-0.010257328275771155,0.9725563953511118,1.7343079072310235,11.682621186031245,0.734199209560312,0.20322991047343134,11.644216140949181,9.57663277567633e-08,0.014116542940635024,9.57663277567633e-08,0.014116542940635024,False,,gradient,1554001186,2.3544150327542073,1.6068303759307943,1.0,16100554809827.209,0.9999477874353968,0.9999999999999999,0.13130185546910622,-1.4300542117096082e-05,1.428440262818409e-05,-0.9999066566182955,-0.9999066564140208,8.460879528341959e-10,0.9999999998817204,0.0,0.9999999998970908,7.840942312340873e-06,0.9999999998970908,0.9999999993965147,1.4142071602013608,9.05394030843578e-06,3.0740743284241034e-11,6.148037562959262e-11,3.0740743284241034e-11,1.0483628564996938e-05,1.2856229902338046e-05,1.2917245978054779e-05,2.3339858467334984e-05,1.2473167443872868e-06,-2.827516293331585,0.10688297413053759,1.0483628564996938e-05,0.6421928160980028,0.9970883726253257,0.9970883726253257,0.002088442383061317,0.0028882875162070743,0.0028882875162070747,0.6421928160980028,1.1827960832988538e-10,1554,sobol_screened,0.5035654600163858,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4,1332,396,77600.04241584051,0.5035654600163858,0.22384252651371805,1.1827960832988538e-10,43,29,False,1e-05,1.7372958627248636e-10,True,0.4964345399836142,0.776157473486282,0.9999999998817204,0.4570417469367385,0.27310609817504883,0.9689125530421734,0.43146338034421206,0.5206619314849377,0.520512044429779,0.6722742663696408,0.1473656203597784,0.7398215010595109,0.01728950504719709,1.0,0.7195293808994843,0.49764573452767996,0.5269607614738442,0.7494335811053976,0.5114699940791887,3
electron,gradient_local_minimum_0004,gradient,gradient,gradient,0.00051099895,17.982276992368515,4.240551496252406,2.0165340191595336,2.011731851723847,0.0,0.0,3.141592653589793,0.0,1.2020688128000778,0.07853981633974483,0.0025170877834124897,3.141592653589793,3.945685568171342,2.947614501069358,3.144109741373205,-0.996917333733128,0.06193528430292483,0.006060272478610328,-0.025015173163817708,0.9366590037715508,1.654922569225011,11.037793138637598,0.5975690466694442,0.19397815252043527,11.114129457165912,7.782762745378591e-08,0.01846013339718411,7.782762745378591e-08,0.01846013339718411,False,,gradient,1113001835,2.3589813622695233,3.0785341935375015,1.0,5165678003990.034,0.9999012651667727,1.0,0.02392049004632016,-1.2074839893905231e-05,1.2287955008405405e-05,-0.9999418568716708,-0.9999418567232957,0.0,0.9999999997223673,9.112890788977741e-10,0.9999999997305165,4.38808204685018e-06,0.9999999997305167,0.9999999992999297,1.41420997932733,5.066920700555755e-06,1.6298296046102223e-11,1.9255263219441083e-11,1.6298739304864288e-11,7.34052013710368e-06,7.247921830087285e-06,8.397196511466463e-06,1.4588441967190966e-05,1.1029755278709806e-06,-1.5288073978361016,0.15121224464566463,7.34052013710368e-06,0.002004866127369989,0.005805689057856818,0.005805689057856818,0.3205401760532064,0.994179722500176,0.994179722500176,0.002004866127369989,2.7763269461189566e-10,1113,sobol_screened,0.29184385307134986,True,False,2,ABNORMAL: ,4,2040,837,90526.99141612966,0.29184385307134986,0.09467481234911557,2.7763269461189566e-10,56,42,False,1e-05,2.744142690858098e-10,True,0.7081561469286501,0.9053251876508844,0.9999999997223673,0.7070491360500455,0.027302181348204613,0.9903947506099939,0.5672826496884227,0.8963920464739203,0.6191322905942798,0.7354323351755738,0.7658552266657352,0.8108266283500809,0.025,1.0,0.5748846086756758,0.0004006069629263198,0.6279753620608227,0.7508870889336954,0.97992786875783,4
electron,gradient_local_minimum_0005,gradient,gradient,gradient,0.00051099895,1.0209332842530798,1.0104124327486672,0.06981592950933137,0.0573065839772014,0.0,0.0,3.141592653589793,0.0,0.0625369617429968,0.10358999440380372,6.283020329795201,3.141592653589793,2.4562889536079275,0.8192495827776461,3.141427676205409,-0.9946393528110854,0.0019074550229810526,0.015069799663338565,-0.00019866346546416506,0.9994447275757844,1.7916800544949132,1.0045112218535446,0.8971263253915256,2.322343070812147,133.0604565389873,1.1694629220050656e-07,0.0008545127250503108,1.1694629220050656e-07,0.0008545127250503108,False,,gradient,1273001158,0.8284570910407573,2.1144195897843256,1.0,283076568621.7185,0.99198296428214,1.0,0.2281143990067717,5.9688668967439185e-06,-5.348150144135477e-06,-0.9995222878930887,-0.9995222878611664,1.7573434972431726e-06,0.9999999997090219,1.981785947515635e-06,0.9999999997823529,1.7126692256277202e-05,0.9999999997823527,0.9999975071504447,1.4141995783532921,1.9776200764088373e-05,1.4357370847761786e-10,2.863078559321522e-10,1.4273409623423735e-10,4.918481809064253e-05,7.015373178612931e-05,0.00011239466494413992,0.00011933854987677183,5.2725390005754004e-05,1.7709809265057508,0.8836271273649274,4.918481809064253e-05,0.19422674483609353,0.7344231672056998,0.7344231672056997,0.07269229795482102,0.26545749424442355,0.2654574942444235,0.19422674483609353,2.9097813047940235e-10,1273,sobol_screened,0.39693311463653214,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,1257,378,0.9894625314080693,0.39693311463653214,0.0006504539696430278,2.9097813047940235e-10,41,27,False,1e-05,2.643929519763333e-10,True,0.6030668853634679,0.999349546030357,0.9999999997090219,0.19597350992262363,0.08430111035704613,0.6184414410963655,0.4976808335632086,0.8920277832075953,0.3654215093702078,0.2139695743098855,0.38563813734799623,0.006221319990423429,0.032973719328454276,1.0,0.8966825695199503,0.9999737430337767,0.39093052862872085,0.2637060823573378,0.6730406589690261,5
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,24.999912555161565,4.99999125550851,2.412011045861167,2.4092158514134,0.0,0.0,3.141592653589793,0.0,1.7947483445254675,0.03926455398652549,6.243949804075469,3.141592653589793,2.898339309369544,2.98842559925292,3.1023571504856764,-0.9992292464306521,0.03500794423940823,0.0019496070164889711,-0.008958810557638698,0.9759025364000423,1.7415554700653297,18.801246728950364,0.7444593628130619,0.15316705433687242,8.775825773953741,9.714809401373259e-08,0.013024663988980167,9.714809401373259e-08,0.013024663988980167,True,,gradient,410002748,0.7855617423530096,1.5368724758457775,0.9999999999999999,54474244055750.18,0.9999837468334,0.9999999999999998,0.15335717251529235,6.35679915461651e-06,-6.1845200397536715e-06,-0.9998955493291354,-0.9998955492898216,2.734591163401764e-10,0.9999999996441734,0.0,0.9999999999087417,3.2531115395216566e-05,0.9999999999087418,0.999999999699085,1.414187000826437,3.756369645244886e-05,5.291365123838432e-10,1.0582734687821164e-09,5.291367344284481e-10,1.1874936764066174e-05,1.4194854928844129e-05,1.4396511099321884e-05,2.6069791692910303e-05,1.3616152528667335e-06,2.5903976515283262,0.10445923534072776,1.1874936764066174e-05,0.027281024669586373,0.9972207702007696,0.9972207702007696,9.222202840724461e-05,0.0027531600075375888,0.0027531600075375888,0.027281024669586373,3.5582659041466513e-10,410,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,2779,1314,56172.79667683216,0.9207741774856045,8.590087764903664e-05,3.5582659041466513e-10,72,58,False,1e-05,3.4562896988887815e-10,True,0.07922582251439543,0.999914099122351,0.9999999996441734,0.9336374846010702,0.5913208614274142,0.4299538520004093,0.10305342107736193,0.9279654077481657,0.5666400176110399,0.7866768886789101,0.0990119056797843,0.999997821807627,0.012498295710508233,1.0,0.7306507898146298,0.9937554757362823,0.46128502784371306,0.25005206879872677,0.48920170286547,6
electron,gradient_local_minimum_0007,gradient,gradient,gradient,0.00051099895,14.859900509053393,3.8548541488691104,1.8133054682713814,1.8074389504738302,0.0,0.0,3.141592653589793,0.0,1.1889283774588106,0.08022459743855337,6.271840592966526,3.141592653589793,1.4934639793458784,2.909448320823657,3.1302479393767335,-0.9967837325258648,0.061248166971687334,0.006666553987176741,-0.021089524251687315,0.9458594668525229,1.6755193741837864,10.005976163180815,0.6571776370006083,0.23214433276613658,13.300890505380174,8.560413267133526e-08,0.020079406964135127,8.560413267133526e-08,0.020079406964135127,False,,gradient,1077001437,2.3603793159540314,3.0877769028243423,1.0,4203096765901.0435,0.9998546149748735,1.0000000000000002,0.03809296486814709,4.910385310696874e-06,-4.648117418404318e-06,-0.9999433141828085,-0.9999433141599844,1.5294786648771357e-09,0.9999999996252614,0.0,0.9999999996851938,1.5483202818825642e-05,0.9999999996851938,0.9999999988554347,1.4142009201824588,1.787846262473193e-05,1.1986478476444518e-10,2.397295671895853e-10,1.1986478476444518e-10,8.130433650293595e-06,6.105890338005114e-06,8.1460218208375e-06,1.423632398829871e-05,1.027859826688146e-06,-0.17437973844525184,0.14439961151951541,8.130433650293595e-06,2.0925724522907334e-05,0.005302744261121057,0.005302744261121057,0.0028824002134903446,0.9946830194148908,0.9946830194148908,2.0925724522907334e-05,3.747385735053399e-10,1077,sobol_screened,0.25374967703628437,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,1584,756,91735.24306688191,0.25374967703628437,0.08206998272953603,3.747385735053399e-10,39,25,False,1e-05,3.7310199374473996e-10,True,0.7462503229637156,0.917930017270464,0.9999999996252614,0.6911984290927649,0.004411453381180763,0.9410512903705239,0.711532530374825,0.007166649214923382,0.1610704567283392,0.816298009827733,0.9684674637392163,0.7147520857301674,0.025536282479806348,1.0,0.6375944279753043,0.9981944326550266,0.23769217464258885,0.7513320714119014,0.9828699144989541,7
electron,gradient_local_minimum_0008,gradient,gradient,gradient,0.00051099895,6.021338467531404,2.4538415734377397,1.0476418226624857,1.043512890485673,0.0,0.0,3.141592653589793,0.0,0.7238201948915826,0.07853981633974483,3.052418809008983,3.141592653589793,4.9975706855954325,2.88844040167269,6.194011462598777,-0.996917333733128,0.021830902018671883,0.0061339511295931065,-0.0067477147679413695,0.9816806462630344,1.7540008793288078,4.417040804176963,0.6922166131700597,0.2531522519171035,14.504555609082633,9.020442903739934e-08,0.007541683829795337,9.020442903739934e-08,0.007541683829795337,False,,gradient,991001767,2.3530414971125304,1.585710164280414,1.0000000000000002,5295401851458.289,0.9998599826543003,1.0000000000000004,0.29549727744959103,-4.133975991582606e-06,3.852516662905536e-06,-0.9998410208926788,-0.9998410208767525,2.8593175445749476e-09,0.9999999995771284,2.0452867065491225e-09,0.9999999998575223,3.143961743464408e-05,0.9999999998575223,0.9999999965893066,1.414187891966924,3.630334316847766e-05,5.607878605928818e-10,9.884495320778812e-10,5.60787856409684e-10,2.163266446387115e-05,1.818214507686725e-05,2.1826956638197732e-05,3.98148095407384e-05,1.919551867828533e-06,0.4538118644563102,0.0964240135753734,2.163266446387115e-05,0.08888648516750801,0.9975826800511771,0.9975826800511771,0.00026302647757185443,0.0023775051392820844,0.0023775051392820844,0.08888648516750801,4.228716266041488e-10,991,latin_hypercube,nan,True,False,2,ABNORMAL: ,5,1942,900,86368.39561678088,0.7726802747592064,0.13606453622648995,4.228716266041488e-10,48,34,False,1e-05,3.8959024895035554e-10,True,0.2273197252407936,0.86393546377351,0.9999999995771284,0.37708558545938203,0.20290120647061682,0.9717104863047352,0.5286365588066783,0.3861875197855334,0.5826340185867599,0.5819251413145096,0.44179953304677827,0.3657695394344755,0.025,1.0,0.6747723821279898,0.4858075418404557,0.7953880780636654,0.748996371131626,0.5047472219125786,8
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,24.728309579128936,4.972756738382538,2.39791191821893,2.3769253276079754,0.0,0.0,3.141592653589793,0.0,2.0091490143593163,0.08116853502898917,0.001294806533093439,3.141592653589793,6.101496553902942,2.6500229571124714,3.142887460122886,-0.9967076426512516,0.23185541505012663,0.011581416391719406,-0.03758951629792033,0.9085986826091629,1.5913900328672355,20.667596481605838,0.8394505738504812,0.49156969647732185,28.164868944677433,1.0939284944555538e-07,0.09713305876893774,1.0939284944555538e-07,0.09713305876893774,False,,gradient,391001304,0.7716525410809817,3.075646336463339,1.0,1683707351515.1443,0.9992991271782832,1.0,0.16153198378462708,-3.9667438722634785e-07,5.771042993485409e-07,-0.9999819803971929,-0.999981980396964,0.0,0.9999999995233537,2.6332282597778326e-10,0.99999999954821,9.455171334710486e-06,0.9999999995482098,0.9999999996655693,1.414205841942062,1.0917891425545629e-05,4.9712456373640634e-11,8.940026489939197e-11,4.97122342596968e-11,2.71708274292473e-06,1.8319139161344799e-06,2.7476264366806028e-06,4.54899665905921e-06,4.7312810715099793e-07,-0.3612858474524159,0.20801426890862865,2.71708274292473e-06,0.0002547383787345143,0.011160740464439604,0.011160740464439604,0.02182043882203442,0.9888347105389015,0.9888347105389014,0.0002547383787345143,4.766462780025904e-10,391,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,1449,819,49391.631999451296,0.9091542439414628,0.04079344677865249,4.766462780025904e-10,30,16,False,1e-05,4.764115768551846e-10,True,0.09084575605853716,0.9592065532213475,0.9999999995233537,0.9592696656805687,0.47618259969495463,0.983618518246812,0.06284856770612396,0.15840877075800622,0.7786253526923298,0.7714623969411633,0.6947123526055845,0.9932138918840651,0.025836747146782572,1.0,0.8293778020278905,0.0002060748600895006,0.9710833368118182,0.24562463252492014,0.9790086353012382,9
