optimization_run,start_source,screening_one_minus_C_e_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_gamma,lbfgs_one_minus_C_e_gamma,final_one_minus_C_e_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_gamma,local_minimum_verified,initial_C_e_gamma,lbfgs_C_e_gamma,final_C_e_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,False,2,ABNORMAL: ,14,5829,1341,90996.82011874183,0.9936403390876943,0.01321466885278999,0.000886267579703226,203,189,False,1e-05,0.0008862696531355407,True,0.006359660912305654,0.98678533114721,0.9991137324202968,0.9258676244024053,0.04266233515320404,0.1419429291362877,0.3097531684357598,0.7137651717215495,0.8862208623912066,0.07768074411608142,0.10241977793208562,0.9262501930234313,0.47363913380273875,0.7089568618480163,0.8250333808408726,0.5103933447825416,0.941188840266544,0.5795414820765766,0.04150998745935818
1,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,5825,9,0.0,1000.0,1000.0,0.0002151950721472895,263,249,False,1e-05,0.00021521241157984594,True,nan,nan,0.9997848049278527,0.6598036184471335,0.3919956699653355,0.31669505647508306,0.8636040882157521,0.5011014938695811,0.9516396641658168,0.6532206080298696,0.0014023905863354918,1.0,0.4928222208511705,0.6644377056204874,0.8337558361995921,0.49419193839513137,0.05396104948133097,0.5869218957706053,0.04413733243719415
2,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,907,90,1471.486341249441,0.918756463711795,0.0033865369695669223,7.86115772477558e-09,37,23,False,1e-05,7.823686032359944e-09,True,0.08124353628820499,0.9966134630304331,0.9999999921388423,0.10272091413993566,0.17747189430302807,0.6639791089514556,0.27701734063525374,0.9624814351504511,0.10905015934068854,0.31706348911948,0.3356946201952549,0.8330162078018856,0.03986996722033759,1.0,0.3759292284426894,0.4990628684573974,0.46780380149847656,0.25356570722567723,0.5333704115352225
3,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,803,72,396.32170833947384,0.8596668607576357,8.03939835458678e-06,3.012013749525977e-09,34,20,False,1e-05,3.0104728709900996e-09,True,0.14033313924236435,0.9999919606016454,0.9999999969879863,0.5540584607594852,0.16152108128393977,0.687146130288706,0.22887019324569835,0.7374700766907514,0.8356167534026185,0.8510088041936995,0.7583395423390443,1.0,0.016534279344232714,1.0,0.6135632988609462,0.4779264845106731,0.10312500000000001,0.25152472686919297,0.5176453689896869
4,latin_hypercube,nan,False,False,2,ABNORMAL: ,1,11721,297,21.494790725153333,0.9974675464346208,0.653514285309462,0.00011199479305834537,512,501,True,2.44140625e-05,0.00011195073107317377,False,0.0025324535653792487,0.34648571469053796,0.9998880052069417,0.41383073717461116,0.12637521007979666,0.9821057428496337,0.756496176216404,0.7860398206498198,0.29796858936518594,0.15576723596723324,0.3986758026478678,0.37546556204102083,0.14099934962226893,0.9967980968293576,0.8530871893271961,0.00011421235153245611,0.4995091260901605,0.04762938289053218,0.5229805672123348
5,latin_hypercube,nan,True,False,2,ABNORMAL: ,9,8114,972,77085.6847850218,0.9878742129997025,0.16220360644994813,0.003604289967745533,322,308,False,1e-05,0.0036043089512457493,True,0.012125787000297518,0.8377963935500519,0.9963957100322545,0.5311932658180069,0.22757591136509048,0.12558079422869786,0.24102582204851938,0.5951092804950706,0.056663829935161746,0.38096575438477276,0.8868490751789878,0.6544032424609677,0.5207532998607425,0.6583964731789059,0.7830829600730449,0.4797856566682832,0.04526242688657842,0.42611001100395984,0.03794554075453722
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411,0.8925523781518598,0.28218435012845433,0.7341616524261402,0.8939201499329624,0.9302309209366058,0.7953105132286594,0.9289013281302905,0.1988639675756411
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,6539,1017,0.5145750836183169,0.9984523230439166,0.09284726328194215,0.0007671848315093932,248,234,False,1e-05,0.0007672239733637065,True,0.0015476769560834058,0.9071527367180579,0.9992328151684906,0.739488002973425,0.3684273559468389,0.04932451882726944,0.04928277710555935,0.01933580652746851,0.9914923168087362,0.5249705338583425,0.15422686768234883,0.8149443169003012,0.5222155292236995,0.6365797593945058,0.8099901500998969,0.5101906394013799,0.95082741321252,0.41932654124417224,0.042003123715851264
8,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253,0.20543239043124698,0.18177400940797847,0.6123016977600544,0.8140861171178999,0.8178330234562332,0.5996011796123207,0.649861334012195,0.10763940172735253
9,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11738,684,6.530720497520027,0.8569842265345731,0.07812787723161518,0.0006139813817542805,512,504,True,0.0001953125,0.0006139637135085252,False,0.14301577346542693,0.9218721227683848,0.9993860186182457,0.08325133776792965,0.42347946676996023,0.5568706111366245,0.3378896227813176,0.7914098377012042,0.996138094108367,0.36022726811257433,0.8263359294198536,0.0005946525696687847,0.0,0.9222835505736421,0.3422631285304779,0.7734244477048905,0.9177518025036541,0.2760231379365987,0.7763304826444386
