spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,0,-1,-1,-1,4.1486188197172019e-01,3.6876267539853931e-18,4.1486188197172019e-01,8.8888059236947852e-18
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,1,-1,-1,1,1.4020810225379976e-01,-4.1008533782272073e-02,1.4608220898036733e-01,-2.8454658831620899e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,2,-1,1,-1,2.5694855319480892e-02,-7.1332938722983852e-03,2.6666635921271085e-02,-2.7079632679489762e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,3,-1,1,1,1.0857467077867866e-02,3.6374024654726657e-03,1.1450558416200112e-02,3.2326230732697919e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,4,1,-1,-1,-8.2260178678060156e-18,-2.2587117360284527e-17,2.4038411773840851e-17,-1.9200568311511745e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,5,1,-1,1,2.5139089232937288e-17,-4.8404673119147488e-17,5.4543433951605051e-17,-1.0917868317434147e+00
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,6,1,1,-1,5.3645086199627018e-18,5.9800613595723001e-18,8.0336222588508503e-18,8.3960468863291804e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,0,-1,-1,-1,7,1,1,1,5.6917778366124120e-18,-1.4303196253222730e-19,5.6935747192478368e-18,-2.5124288055959992e-02
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,1,-1,-1,1,0,-1,-1,-1,1.4020810225379976e-01,4.1008533782272066e-02,1.4608220898036733e-01,2.8454658831620894e-01
unpolarized,pure_initial_state,user_frame_independent,s,2.4528062159999998e+01,qOut,1.5500000000000000e+00,2.4528062159999998e+01,4.9525813632892497e+00,2.3874638724051245e+00,1.1416138143800101e+00,1.5500000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.6323357855614756e+01,7.8088240975631906e-01,-5.8204422587585185e+00,5.4602197304812599e+00,8.8394539684405593e-01,5.6085789702264651e+02,5.6085789702264651e+02,1.0000000000000000e+00,True,1,1,2.5452427821530405e-17,1.5546266929704238e-16,4.7184896189880983e-02,2.5809568279517847e-08,4.7184897121569154e-02,4.7184897121564449e-02,1.4062195163161334e-09,6.6613381477509383e-16,8.7923219919960882e-11,8.7922776264431901e-11,1,-1,-1,1,1,-1,-1,1,5.1564882337336942e-02,4.3469707961548883e-19,5.1564882337336942e-02,8.4300993216993091e-18
