Q2,xB,t,phi,theta_e_gamma_rad,theta_e_gamma_deg,aligned,squared_amplitude_M2,unpolarized_trace,unpolarized_h_out_mean,unpolarized_lambda_mean,unpolarized_h_lambda,unpolarized_h_lambda_connected,unpolarized_C13,polarized_trace,polarized_spin_signal_M2,polarized_h_lambda,polarized_delta_C13
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,0.0000000000000000e+00,2.8153070433526870e+00,1.6130521161756326e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,5.2359877559829882e-01,2.7362540376418822e+00,1.5677580803251055e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,1.0471975511965976e+00,2.5481957237109909e+00,1.4600086034192418e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,1.5707963267948966e+00,2.2974785946397813e+00,1.3163582699450714e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,2.0943951023931953e+00,2.0033485459743829e+00,1.1478341657800232e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,2.6179938779914940e+00,1.7183779549327363e+00,9.8455804425967372e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,3.1415926535897931e+00,1.5859756885856358e+00,9.0869713366311501e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,3.6651914291880918e+00,1.7183779549327360e+00,9.8455804425967358e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,4.1887902047863905e+00,2.0033485459743821e+00,1.1478341657800226e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,4.7123889803846897e+00,2.2974785946397813e+00,1.3163582699450714e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,5.2359877559829879e+00,2.5481957237109905e+00,1.4600086034192415e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.5000000000000000e+00,5.7595865315812871e+00,2.7362540376418822e+00,1.5677580803251055e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,0.0000000000000000e+00,2.7645349382104132e+00,1.5839618427591651e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,5.2359877559829882e-01,2.6900086872282571e+00,1.5412614463170624e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,1.0471975511965976e+00,2.5044625918684660e+00,1.4349513646245831e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,1.5707963267948966e+00,2.2471430337595057e+00,1.2875181179664355e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,2.0943951023931953e+00,1.9345118255126355e+00,1.1083936302002235e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,2.6179938779914940e+00,1.6189631541247840e+00,9.2759755918537934e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,3.1415926535897931e+00,1.4666923368589888e+00,8.4035280746200087e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,3.6651914291880918e+00,1.6189631541247835e+00,9.2759755918537905e+01,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,4.1887902047863905e+00,1.9345118255126346e+00,1.1083936302002229e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,4.7123889803846897e+00,2.2471430337595057e+00,1.2875181179664355e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,5.2359877559829879e+00,2.5044625918684655e+00,1.4349513646245828e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.2999999999999998e+00,5.7595865315812871e+00,2.6900086872282567e+00,1.5412614463170621e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.1000000000000001e+00,0.0000000000000000e+00,2.7127304092405580e+00,1.5542800340628060e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.0000000000000000e-01,1.0000000000000001e-01,-2.1000000000000001e+00,5.2359877559829882e-01,2.6418262987520054e+00,1.5136549712515725e+02,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
