spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,0,-1,-1,-1,-2.7970250014061154e-01,2.3461485840075878e-19,2.7970250014061154e-01,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,1,-1,-1,1,-1.9083013074128380e-01,5.3766262218544497e-02,1.9825980367106377e-01,2.8669625316015237e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,2,-1,1,-1,9.8979286058043427e-03,-2.7478198493182640e-03,1.0272268717761785e-02,-2.7079632679489601e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,3,-1,1,1,5.6159575873341600e-03,-5.3956666869407321e-03,7.7879521454165407e-03,-7.6539552670567412e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,4,1,-1,-1,6.2511823672277233e-19,1.2946252313363042e-18,1.4376464445391179e-18,1.1209573193248155e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,5,1,-1,1,-9.0065274484280826e-19,-1.3599118242928381e-17,1.3628910167432331e-17,-1.6369285093775310e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,6,1,1,-1,-4.4053979248483343e-19,-1.6132423816248763e-18,1.6723116607359058e-18,-1.8373740946861414e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,0,-1,-1,-1,7,1,1,1,1.1508514430594562e-19,-3.2252669570471120e-19,3.4244424346471310e-19,-1.2280555360469954e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,1,-1,-1,1,0,-1,-1,-1,-1.9083013074128380e-01,-5.3766262218544497e-02,1.9825980367106377e-01,-2.8669625316015237e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.9364259599999997e+01,qOut,6.1250000000000004e-01,1.9364259599999997e+01,4.4004840188324739e+00,2.1002707339571525e+00,1.7216687899838106e+00,6.1250000000000004e-01,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0155037783977772e+01,8.0872920934122250e-01,-7.2599494684402668e+00,3.2815899536219844e+00,6.7931732381086252e-01,4.5470775026636347e+03,6.8212102632969618e-13,1.1102230246251565e-16,True,1,1,-3.0101625045056939e-17,-2.2178232061650217e-17,1.1795690583797725e-02,0.0000000000000000e+00,1.1795672507083266e-02,1.1795672507335847e-02,0.0000000000000000e+00,5.1828747571412762e-33,-3.0069732658849157e-11,-3.0069066525457899e-11,1,-1,-1,1,1,-1,-1,1,-1.4055080016723023e-01,-1.0982867442830931e-18,1.4055080016723023e-01,-3.1415926535897931e+00
