spin_case,entanglement_mode,scan_parameterization,scan_x_name,scan_x_value,scan_y_name,scan_y_value,s,sqrt_s,pIn,pOut,qOut,theta_in,phi_in,phiOut,Q2,xB,t,F1,F2,W2,y,squared_amplitude_M2,spin_signal_M2,trace,normalized_by_squared_amplitude,entanglement_h_in,entanglement_s_in,C12,C13,C23,C1_23,C2_13,C3_12,F3,M1,M2,M3,row_index,row_h_out,row_s_out,row_lambda,col_index,col_h_out,col_s_out,col_lambda,rho_real,rho_imag,rho_abs,rho_phase
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,0,-1,-1,-1,-3.6414936707219236e-01,2.9039984894503182e-18,3.6414936707219236e-01,3.1415926535897931e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,1,-1,-1,1,-1.6363316254583626e-01,4.2473744398566333e-02,1.6905570338792719e-01,2.8876303618452885e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,2,-1,1,-1,-8.5538468858177577e-02,2.3746817336200859e-02,8.8773537657346427e-02,2.8707963267948968e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,3,-1,1,1,-3.6631389614826627e-02,1.8403916840274807e-02,4.0994668679926891e-02,2.6760202032302556e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,4,1,-1,-1,-1.1622565857579275e-17,7.4752059566487301e-18,1.3818926919557977e-17,2.5700386857645001e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,5,1,-1,1,1.5098697931467948e-17,-7.3301099270033298e-18,1.6783956350266980e-17,-4.5196396213468992e-01
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,6,1,1,-1,-2.8066378676663611e-18,1.1364142515416841e-18,3.0279784463113052e-18,2.7568672749493963e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,0,-1,-1,-1,7,1,1,1,2.7571584839627514e-18,-5.1944228121135610e-18,5.8808121256076132e-18,-1.0828195729988248e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,1,-1,-1,1,0,-1,-1,-1,-1.6363316254583626e-01,-4.2473744398566347e-02,1.6905570338792719e-01,-2.8876303618452885e+00
polarized,h_in_plus_minus_h_in_minus,user_frame_independent,s,1.8073308959999999e+01,qOut,1.0812500000000000e+00,1.8073308959999999e+01,4.2512714521658115e+00,2.0221556249061430e+00,1.2206013935507534e+00,1.0812500000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,1.0808348720393452e+01,7.6452855837580014e-01,-5.1032550210171701e+00,2.8558190173761332e-02,1.5143914573532688e-02,4.2087679844420718e+00,8.2224686750026243e-01,1.7480867501585937e+00,-1.1102230246251565e-16,-5.5511151231257827e-17,True,1,1,-1.5837922853839530e-16,-3.9709721878634168e-16,-1.3671687698814419e-01,-1.4901161193847656e-08,-1.3671687434087654e-01,-1.3671687434087576e-01,-2.4231081384384202e-09,-2.2204460492503111e-16,-2.5950033091191307e-10,-2.5950011233675510e-10,1,-1,-1,1,1,-1,-1,1,-7.8509976728350847e-02,-1.4584973478537876e-18,7.8509976728350847e-02,-3.1415926535897931e+00
