canonical_index,state,lepton,retained_component_count,polarization_cluster_number,detail_id,selected_observable,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,qOut,theta_p_out,theta_gamma_out,phi_p_out,phi_gamma_out
1,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_2,dGHZ,2.2912499293258053e-08,1.0,0.8769663281031554,0.8769773078245011,5.0,0.12125646002932378,3.141592653589793,3.141592653589793,0.03350956918859602,0.5228842828633161
2,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_11,dGHZ,2.4487161100947876e-08,1.0000000000000004,0.5986296483752662,0.5986102795742193,5.0,0.6597621815810085,3.141592653589793,3.141592653589793,3.574465620881374,1.1755423999226969e-06
3,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_16,dGHZ,2.4760800192403254e-08,1.0,0.8943311365470473,0.8943338413095963,4.999938415639027,1.648874169531122,3.141496692832402,3.141592653589793,6.28079035278685,6.029488255139138
4,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_19,dGHZ,2.5353888321977973e-08,1.0,0.7851937535008957,0.7851987042358647,5.0,1.8887990980447835,3.1413090319908736,3.141592653589793,3.1703137121790705,0.38898536978014253
5,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_23,dGHZ,2.578177958739654e-08,1.0,0.7757183770383717,0.7757105580604906,4.999765481148077,2.032922831817382,0.010605199024533336,3.141592653589793,2.6174360423478698,4.55651624435998
6,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_24,dGHZ,2.587119816189266e-08,1.0,0.7425270000444631,0.7425333494011398,5.0,2.0330695321773846,0.00973758267289865,3.141592653589793,2.581654320079685,5.00822242916622
7,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_25,dGHZ,2.592862176051701e-08,1.0,0.7686859984538408,0.7686838830079568,5.0,2.033175048404339,0.0073631077818510785,3.141592653589793,3.8560994205671815,0.054574183805175265
8,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_27,dGHZ,2.598736682040682e-08,0.9999999999999997,0.753495314966132,0.817308544172363,4.997787289841268,0.3224874742297697,3.141592653589793,0.0,0.09394468774292043,0.9661662865311872
9,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_28,dGHZ,2.602929973289853e-08,1.0000000000000004,0.7050246962751945,0.7050157693662985,5.0,2.0310697020895834,0.010806927155464507,3.141592653589793,3.6054858168218296,6.280939556234942
10,GHZ,electron,2,1,dghz_mixing_angles_polarization_01_local_minimum_32,dGHZ,2.6292176719739017e-08,1.0,0.691513796781288,0.691512645488114,5.0,1.9487166821387898,3.14116438050674,3.141592653589793,3.149132338242656,2.8019619455970575
