detail_id,selected_observable,selected_observable_label,selected_spin_case,selected_region,qOut_regime,cluster_id,energy_band_cluster_id,selected_concurrence,selected_purity,alpha_e,alpha_p,sqrt_s,theta_p_out,theta_gamma_out,phi_p_out,qOut,phi_gamma_out
max_c_ep_mixing_angles_polarization_04_local_minimum_2,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_2,gradient_local_minimum,0,0,9.9999998468951945e-01,1.0000000000000002e+00,2.8064511669698580e+00,1.9268510090713744e+00,3.705153877248976,3.1394278539965867,3.06785404557785,4.20157003915678,0.08530687014306339,3.141927513362611
max_c_ep_mixing_angles_polarization_04_local_minimum_10,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_10,gradient_local_minimum,1,1,9.9999995686661447e-01,9.9999999999999956e-01,2.5825769432718442e+00,2.1872246466670209e+00,3.4484025969457592,3.0852369019234858,3.114610207062826,6.2563566122079255,0.08037111107993136,3.141723035612944
max_c_ep_mixing_angles_polarization_04_local_minimum_11,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_11,gradient_local_minimum,2,2,9.9999995456459312e-01,1.0000000000000000e+00,2.0950640446778070e+00,2.5610144884763448e+00,3.374962976761751,3.071172656325967,3.106832428108205,0.0034213310210967464,0.07630566883762613,0.0002628342433300212
max_c_ep_mixing_angles_polarization_04_local_minimum_14,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_14,gradient_local_minimum,3,3,9.9999994975584738e-01,1.0000000000000002e+00,2.9776472215713676e+00,1.7435173094905818e+00,3.704510838674339,3.141592653589793,2.9675739309500546,5.804001398781425,0.08613097743223308,3.1440103315205605
max_c_ep_mixing_angles_polarization_04_local_minimum_18,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_18,gradient_local_minimum,4,4,9.9999993954731814e-01,1.0000000000000000e+00,3.0044655249379852e+00,1.7160165556516112e+00,3.7195299071101964,3.140875234974777,2.9331632493030835,5.108462629958112,0.09687017273553661,3.139155824468579
max_c_ep_mixing_angles_polarization_04_local_minimum_21,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_21,gradient_local_minimum,5,5,9.9999993079735305e-01,1.0000000000000002e+00,1.8287476738922996e+00,2.8330369647071492e+00,3.9069915866004705,3.141592653589793,3.051402080827248,6.039887123304426,0.27233660652501956,0.0007895026115664761
max_c_ep_mixing_angles_polarization_04_local_minimum_29,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_29,gradient_local_minimum,6,6,9.9999992367212986e-01,1.0000000000000002e+00,2.9729381385899329e+00,1.7475331272378560e+00,3.711460539557295,3.1271217702284697,2.973192618926321,0.9574289677702347,0.08544962553645248,3.1398896728440455
max_c_ep_mixing_angles_polarization_04_local_minimum_39,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_39,gradient_local_minimum,7,7,9.9999990307742426e-01,1.0000000000000002e+00,2.7834271976842180e+00,1.9626996542734620e+00,3.3265738715698365,3.0668595515840207,3.0660621953927474,3.1414700933972037,0.08557513219984972,3.1411773931266245
max_c_ep_mixing_angles_polarization_04_local_minimum_41,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_41,gradient_local_minimum,8,8,9.9999990035731312e-01,9.9999999999999978e-01,2.0496082294220663e+00,2.6149895363842446e+00,3.185606569694412,3.0481776874340714,3.094292954371783,0.0046610605150705035,0.07109346953834465,5.53661993797622e-05
max_c_ep_mixing_angles_polarization_04_local_minimum_42,C_e_p,C_{mup},mixing_angles,polarization_cluster_04_local_minimum_42,gradient_local_minimum,9,9,9.9999989994594807e-01,9.9999999999999989e-01,3.0111810932599328e+00,1.4336441289669877e+00,3.756120134380912,3.1415612376632573,2.923102536172966,0.532796277462552,0.08666008459189925,3.1388467403530558
