lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_trace,lepton_muon_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_muon_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_muon_alpha_e_mix_proton_alpha_p_mix_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_muon_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_muon_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_muon_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_muon_alpha_e_mix_proton_alpha_p_mix_F3,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_muon_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_muon_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_muon_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_W_purity,lepton_muon_alpha_e_mix_proton_alpha_p_mix_one_minus_C_e_gamma,optimization_run,start_source,screening_one_minus_C_e_gamma,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_gamma,lbfgs_one_minus_C_e_gamma,final_one_minus_C_e_gamma,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_gamma,local_minimum_verified,initial_C_e_gamma,lbfgs_C_e_gamma,final_C_e_gamma,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,one_minus_C_e_gamma_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
muon,gradient_local_minimum_0000,gradient,gradient,gradient,0.1056583755,24.499262353380697,4.949672954184013,2.384745695019986,2.3409998369679865,0.0,0.0,3.141592653589793,0.0,0.14020686055455722,1.1315796376982479,0.0,3.1401329732790906,0.0,1.9544129572003466,3.141592653589793,-0.4239090452837926,6.819619735059841,0.8737414408059307,-6.417778113983213,0.01937320501913735,0.008892343849004536,1.865301850329137,0.3306079884956683,1.1886393767001493,68.10401964797936,0.00032836997481405783,0.20124918051313195,0.00032836997481405783,0.20124918051313195,False,,gradient,1918001533,0.5487915691030723,2.9214663532700187,0.9999999999999998,3.024724691252974,0.838036886249802,0.9999999999999997,0.17069589324661544,-1.2729681283241145e-05,1.3183920915149638e-05,-0.9982291300244897,-0.9982291298566626,2.58923876873817e-07,0.9999999997826736,3.5234169743843014e-07,0.9999999998868573,2.0414074182933777e-05,0.9999999998868573,0.9999995924171875,1.414196894295944,2.357214244555673e-05,2.083002659247768e-10,4.165432385005542e-10,2.0824317872371036e-10,0.0003178812878422033,0.00012492011573329105,0.0003178812878422033,0.00044280140357549436,9.648058605445613e-05,0.0,0.4357736234591989,0.0003178812878422033,0.0001399403791067788,0.05039357400347146,0.05039357400347146,7.367759739489079e-06,0.9491636245929531,0.9491636245929531,0.0001399403791067788,2.1732637911497932e-10,1918,sobol_screened,0.5519939928215113,True,False,2,ABNORMAL: ,3,1597,459,32.57186296966428,0.5519939928215113,0.03451839420293212,2.1732637911497932e-10,54,40,False,1e-05,1.2763112788860553e-10,True,0.4480060071784887,0.9654816057970679,0.9999999997826736,0.2123900894075632,0.4938957905396819,0.7875050790607929,0.5880565075203776,0.039616214111447334,0.12535341456532478,0.54127745795995,0.018099293112754822,0.987109375,0.36019298568362434,0.9995353693264356,0.00977783203125,0.0,0.0,0.1746857818998228,0.9299316223991536,0,0.0,True,4,295,0.07006837760084632,True,alpha_p~pi,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0001,gradient,gradient,gradient,0.1056583755,23.811030618132854,4.8796547642361805,2.34844132659922,2.1080538747433346,0.0,0.0,3.141592653589793,0.0,0.9455779608841117,0.8243357019936493,6.283037851640351,3.1401318323112166,6.283026229038089,1.8747723046807687,3.1414451876854197,-0.6779716660276663,5.343928229187795,0.43060512196764333,-3.1865849979653325,0.05930693160057245,0.04122535135505934,7.9461913494416425,0.5414599984823394,1.2682811701875027,72.6671582876572,0.0022487114505116423,1.080920327061947,0.0022487114505116423,1.080920327061947,False,,gradient,899001371,2.143252121970342,1.342177005395007,0.9999999999999999,78.02449927407743,0.8688081111257536,0.9999999999999999,0.22872818742607953,-8.040418088495205e-06,6.235085570960308e-06,-0.9970779174040075,-0.9970779173538749,5.708316596737149e-06,0.9999999995257695,5.656955078027926e-06,0.9999999996955976,2.606362185349533e-05,0.9999999996955977,0.9999924229977275,1.4141922813625893,3.0095678174928276e-05,3.0707147935515877e-10,6.147263649985887e-10,3.076553843730812e-10,0.0005572455989299392,0.00017360276450253598,0.0005572456341900809,0.0007308483634324752,0.00019182145247384328,-0.000606329143599687,0.5249281850285381,0.0005572455989299392,0.6093902815537396,0.9241506225207923,0.9241506225207923,0.056540374689832903,0.07511852911577538,0.07511852911577536,0.6093902815537396,4.742305437233085e-10,899,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30,1403,432,0.12720889800539043,0.9984533722835361,0.001039451169220884,4.742305437233085e-10,43,29,False,1e-05,4.852772628183288e-10,True,0.0015466277164638432,0.9989605488307791,0.9999999995257695,0.9507925903318916,0.8742293453204417,0.9175445314772533,0.5947427559927252,0.937883101358591,0.9377875832062759,0.7131964050964501,0.2708628527097767,0.9691751168856567,0.2623942034788337,0.9995350061450815,0.3748824267657949,0.9999765317220445,0.9999746819274429,0.6822183390075475,0.42722820982578574,1,2.569041646083292e-10,True,2,512,0.07277179017421428,True,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0002,gradient,gradient,gradient,0.1056583755,24.947872290662954,4.994784508931588,2.4081167015942277,1.974688208580304,0.0,0.0,3.141592653589793,0.0,2.008572565050795,0.39957750768325406,6.283043878619512,3.1406524544450165,0.0010273694955651813,1.3295930914905747,3.141454091184932,-0.9208592662954039,4.747061472144837,0.22785224152820202,-0.778483767381791,0.29536759678950525,0.37083769417798423,16.966729301019896,0.8660291821484494,1.8129397606047952,103.8737967941126,0.004655630088906015,1.9889444824704778,0.004655630088906015,1.9889444824704778,False,,gradient,2038006162,0.5568598209926112,2.978843609960685,1.0,9106.175605199858,0.8302500889764265,1.0,0.28791421113704596,1.0589592957355176e-05,-1.1359133965271884e-05,-0.9959265288968502,-0.9959265287765616,1.2259505927738437e-05,0.9999999992859734,1.2355592837238247e-05,0.9999999994523774,2.579919074676597e-05,0.9999999994523687,0.9999835897129771,1.4141924971811706,2.9790339426094424e-05,1.8251256062029597e-10,3.6264208323614776e-10,1.8013000953940717e-10,0.0008399967338116267,0.00017801874161021432,0.0008399985567320838,0.001018015475421841,0.00033099081902116336,0.0033188764291756665,0.6502667729761353,0.0008399967338116267,0.0002988454455954384,0.12085522930460801,0.12085522930460801,4.166199274270588e-05,0.8781267552199703,0.8781267552199703,0.0002988454455954384,7.140266156113739e-10,2038,sobol_screened,0.5729786508055117,True,False,2,ABNORMAL: ,7,6247,936,88552.01280649283,0.5729786508055117,0.10990930178426506,7.140266156113739e-10,242,228,False,1e-05,7.281319991392365e-10,True,0.4270213491944883,0.8900906982157349,0.9999999992859734,0.3852114472538233,0.32678602170199156,0.7285943254828453,0.5578796993941069,0.8949491446837783,0.6123223593458533,0.7581980796530843,0.7930342433974147,0.9986641190941431,0.12718947099225936,0.9997007253172361,0.8326170156943016,0.9999774909455699,0.00016351093360102566,0.17725398624048413,0.9481953704458977,2,4.967002364963946e-10,True,4,295,0.05180462955410219,False,alpha_p~pi,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0003,gradient,gradient,gradient,0.1056583755,24.4941595916186,4.949157462802997,2.3844785475326242,2.2619631161292295,0.0,0.0,3.141592653589793,0.0,1.9895555383247538,0.1948141984529876,6.282077094902492,3.1385438636455163,6.28185642610259,2.048144237763244,3.1404814262696363,-0.980488898305199,1.321258437448941,0.06642810214165872,-0.2061594589878035,0.6441649150216551,1.0164151322398771,19.448638038103365,0.8426862886959485,1.0964972056987246,62.824662134425,0.004677131878391805,0.5622266211089759,0.004677131878391805,0.5622266211089759,False,,gradient,171001652,0.6861557416329279,3.0166040090511155,1.0,632693.8435342525,0.9802552833971072,1.0,0.22948149429669515,-1.5439348935442077e-06,-1.3461254707025638e-06,-0.9672883253261362,-0.9672883253282145,3.867125504135658e-05,0.9999999990896092,3.855616002595764e-05,0.9999999999225544,5.7721420820264986e-05,0.9999999999225455,0.9999485149188231,1.4141664342262843,6.665095566388559e-05,1.704243413058748e-10,3.4971897908921926e-10,1.7929507506821414e-10,0.005870716886083206,0.0023053802672205895,0.005870735560399433,0.008176097153303795,0.001782686983747535,-0.004577203112505085,0.43607284755103165,0.005870716886083206,0.0025900942070331695,0.057049626473631904,0.057049626473631904,0.00013677158030774017,0.9347742763730642,0.9347742763730643,0.0025900942070331695,9.103907627761032e-10,171,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,1705,306,0.2467994087310348,0.881107406475599,0.000850664399068779,9.103907627761032e-10,63,49,False,1e-05,8.931544392964952e-10,True,0.11889259352440101,0.9991493356009312,0.9999999990896092,0.9021968116180392,0.5409648560128054,0.7590174400011097,0.397896890531797,0.584065493626629,0.5516525298751094,0.35388094803283776,0.10015421486807866,0.9869773385179123,0.0620112853365569,0.9990295400198389,0.8330685061321069,0.9998236225381053,0.9997885020078148,0.21841015602353178,0.9602148787826272,3,6.930643836611239e-10,True,4,295,0.03978512121737275,False,alpha_p~pi,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0004,gradient,gradient,gradient,0.1056583755,17.623795141340832,4.19807040690611,1.992774270890535,1.5438627028100231,0.0,0.0,3.141592653589793,0.0,0.5863648298080502,1.8615619775995047,6.283170430979158,3.140843342194339,5.762783774324184e-06,0.9631071718210247,3.1415777835185703,0.2874035996533128,11.28361087582299,0.8759367011511249,-7.961846693500139,0.013197477901198792,0.005247128502386744,2.477998280260172,0.7698517174932393,2.1792347931640634,124.86095621636574,0.0016416083772381462,1.662523699538478,0.0016416083772381462,1.662523699538478,False,,gradient,1628001157,0.22344116689196922,3.013276118516218,1.0,0.06599474305047255,0.20756498082094643,1.0,0.10793019451051583,1.6479027068694307e-05,-1.5655730973007653e-05,-0.9997548519769912,-0.999754851719,2.134730409207092e-06,0.999999999064443,2.240190767620207e-06,0.9999999991714854,1.6062995602495042e-05,0.9999999991714842,0.9999970830745633,1.4142004463947746,1.854794965412921e-05,2.0952772850080237e-10,2.4844429913045073e-10,2.090638527616938e-10,4.111984578246702e-05,2.0354340830044596e-05,4.111984652924921e-05,6.147418661251162e-05,1.0382753222993398e-05,0.0003792763031586633,0.337792292834672,4.111984578246702e-05,1.971920610865566e-05,0.0297161218080124,0.029716121808012405,6.203852346354285e-07,0.9702224040053751,0.9702224040053751,1.971920610865566e-05,9.355569652313989e-10,1628,sobol_screened,0.488255668925069,True,False,2,ABNORMAL: ,15,1197,441,0.1380292354192037,0.488255668925069,1.6751668417858134e-05,9.355569652313989e-10,37,23,False,1e-05,1.1580959524692958e-09,True,0.511744331074931,0.9999832483315821,0.999999999064443,0.6407603416591883,0.14489567000418901,0.7297794986516237,0.7011241540312767,0.32742893509566784,0.06938678119331598,0.8554216166958213,0.40570340026170015,0.794596056784794,0.5925535812137707,0.9997614867749968,0.26079183417353047,0.9999976323791675,9.171755236534634e-07,0.0711235324021561,0.9591555783252319,4,7.182305861164195e-10,True,4,295,0.040844421674768074,False,alpha_p~pi,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0005,gradient,gradient,gradient,0.1056583755,23.96795040117013,4.895707344314008,2.3567678584804943,2.0324022181913888,0.0,0.0,3.141592653589793,0.0,1.9110998512367405,0.3705854136699396,6.283184465691716,3.140321774307444,0.000666552915522235,1.5482340988085603,3.1415940070682455,-0.931654475598964,3.5769590342592794,0.18466536004638406,-0.6666355167378798,0.33433249828388817,0.43730640569686136,16.672836283956663,0.8393638430614921,1.594629433782398,91.36553644306758,0.004527676679307646,1.4596894354398648,0.004527676679307646,1.4596894354398648,False,,gradient,1605002335,2.1670130582343736,1.4001384746967966,1.0,18112.049825156177,0.8900222147329387,1.0,0.27814239060041906,-1.741821954981404e-05,1.4199155683680686e-05,-0.9928852539516893,-0.9928852537043652,2.820473910529415e-06,0.9999999989449804,2.874383350349894e-06,0.9999999993403068,3.976568279012733e-05,0.999999999340309,0.9999962030777197,1.4141810934615182,4.591745528747486e-05,7.82697795465026e-10,1.5650923750402834e-09,7.823952377507025e-10,0.0014273901792412993,0.0003516668849806966,0.00142739143564658,0.001779057064221996,0.000537862903535582,0.002161444870347609,0.6046606535027546,0.0014273901792412993,0.5846380387943797,0.8950700404345405,0.8950700404345404,0.08024110741166932,0.10315090250123748,0.10315090250123748,0.5846380387943797,1.0550196272163248e-09,1605,sobol_screened,0.4829682192129886,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,2386,468,0.5556784996271136,0.4829682192129886,0.0009512205320387768,1.0550196272163248e-09,85,71,False,1e-05,1.0886390677811164e-09,True,0.5170317807870114,0.9990487794679612,0.9999999989449804,0.7417439334094524,0.23936905805021524,0.9718280881643295,0.5324963424354792,0.9651600541546941,0.23004384711384773,0.8547791270539165,0.7138989772647619,0.9732867786514269,0.11796100084665145,0.9995954665602822,0.8083101923107391,0.9999998660730458,0.00010608519133767823,0.6897816799253716,0.4456779185222836,5,8.376932481013455e-10,True,2,512,0.05432208147771637,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0006,gradient,gradient,gradient,0.1056583755,18.21048948921592,4.267375011551706,2.0291569715894577,1.667611343468855,0.0,0.0,3.141592653589793,0.0,1.3691164578216803,0.6259681271774408,0.00015759494676103114,3.1400754279336716,0.000885312680941801,1.5527318862348263,3.1417517924603664,-0.8095064434227724,4.052087617079708,0.3119955928753081,-1.3101107299472254,0.18104545142563302,0.19087416230168122,9.81540014973197,0.7498863949344233,1.5903779926110393,91.12194680710057,0.0037668415799951838,1.3747552851462663,0.0037668415799951838,1.3747552851462663,False,,gradient,794001271,2.105247994336856,1.3817317294625957,1.0,1224.5678377329034,0.8071448180568346,1.0000000000000002,0.2728724984456974,-2.2371335232640455e-06,4.3721437320565215e-07,-0.9959012059852341,-0.995901205984256,1.7220675341875475e-05,0.9999999989403873,1.7224298959908366e-05,0.9999999992458735,3.495681250368431e-05,0.9999999992458902,0.9999770363635443,1.4141850200037278,4.0364650181638694e-05,3.1442071168896746e-10,6.287506065271614e-10,3.143294378716363e-10,0.0008229693866025384,0.0002018324050478086,0.0008229713326332131,0.001024801791650347,0.0003105704368080396,0.0035400549959386336,0.6061083017973555,0.0008229693866025384,0.5879806851087983,0.8957511209460876,0.8957511209460876,0.07765329247324132,0.1032240772622622,0.10322407726226218,0.5879806851087983,1.0596127308915015e-09,794,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32,1301,441,0.0017558080324833367,0.975867467507409,2.560430433229399e-07,1.0596127308915015e-09,38,24,False,1e-05,1.1494926122068705e-09,True,0.024132532492590904,0.9999997439569567,0.9999999989403873,0.6768384752452071,0.3755817990206757,0.030872701733793733,0.4730342291880152,0.9844083367744436,0.7215078497860773,0.24530663599534916,0.5528749426975629,0.8123475392088995,0.19925184331653178,0.9995170520740848,0.6657780140574654,2.5082014783322188e-05,0.00014090188935382564,0.6701212494660181,0.43981886954177113,6,8.422863517765222e-10,True,2,512,0.0601811304582289,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0007,gradient,gradient,gradient,0.1056583755,24.69928461622548,4.969837483884708,2.395194195962622,2.289419359410573,0.0,0.0,3.141592653589793,0.0,1.9703169776311817,0.18692533462133457,6.281958122549278,3.1381082338965562,6.2811824572612815,2.1442717999023007,3.1403531513457996,-0.9819267671286058,1.1593421317383439,0.05864840525589021,-0.19259265839846296,0.6602774480829228,1.048942102053933,19.48816863907991,0.8302854857574475,1.0008052723678198,57.341918221116906,0.004618114354893343,0.48799285102487466,0.004618114354893343,0.48799285102487466,False,,gradient,87001281,0.6930277768085981,3.015585449194877,1.0,826684.6088068221,0.9848842708427676,0.9999999999999999,0.2234152189944874,1.4519834986848057e-05,-1.3619928978303442e-05,-0.9641339847475876,-0.9641339845498285,2.8615420792278873e-05,0.9999999987177953,2.8563799696794276e-05,0.9999999998075727,6.602392269174971e-05,0.9999999998075968,0.9999618801830785,1.4141596547647974,7.623785902196446e-05,1.360712431619504e-09,2.724425407368371e-09,1.363712289457213e-09,0.006354795816741364,0.002610504213736682,0.006354841425221347,0.008965300030478046,0.0018721914099823237,-0.006980130698971981,0.41765281777914914,0.006354795816741364,0.0028515356291807176,0.05350284876793729,0.05350284876793729,0.00013757043848685539,0.9375318512015847,0.9375318512015847,0.0028515356291807176,1.282204675767673e-09,87,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39,1314,792,0.011056420485958913,0.9127150296472015,5.744548492447876e-08,1.282204675767673e-09,23,9,False,1e-05,1.2852990893819083e-09,True,0.08728497035279853,0.9999999425545151,0.9999999987177953,0.2872908401370776,0.7019796632742512,0.30473231671598283,0.1018195029427739,0.6919613075078946,0.8739089152244308,0.05366864750405351,0.5652999771485965,0.99227425973461,0.05950018198818399,0.9988908747640293,0.8205166607160188,0.9998046875,0.9996812365352306,0.22059759275815033,0.9598906611107166,7,1.0648782966526937e-09,True,4,295,0.040109338889283384,False,alpha_p~pi,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0008,gradient,gradient,gradient,0.1056583755,24.99749642430009,4.999749636161804,2.410688090659689,2.130062302948285,0.0,0.0,3.141592653589793,0.0,2.005652994638719,0.3126346049391011,3.141081870908329,3.140222913777891,3.140661006193776,1.6029486030532945,6.282672767030139,-0.9511043780200503,3.09290811826571,0.1504657578263987,-0.5093283283344773,0.40542033963844526,0.5630013752559614,18.34249724629527,0.8526982752691769,1.5400137902281081,88.23629057201589,0.004646312098858907,1.2964362070644404,0.004646312098858907,1.2964362070644404,False,,gradient,1916002720,2.5224803202753225,0.15977959158604338,0.9999999999999999,44715.0584263662,0.9174580084540667,0.9999999999999999,0.2714517928932156,-2.0185837594333123e-05,2.5703505757590506e-05,-0.9902380637898354,-0.9902380632709886,2.0146156504844603e-05,0.999999998241496,2.0153038176426076e-05,0.9999999989268566,5.235895077154229e-05,0.9999999989268655,0.9999731333291418,1.4141708111586682,6.045890855921513e-05,9.6485364142751e-10,1.929447156238609e-09,9.64594130059012e-10,0.0019269446645542015,0.0005142529175654136,0.0019269479794438316,0.002441197582119615,0.0007063491883840242,-0.00306365585654204,0.5786907160302227,0.0019269446645542015,0.0754893284825191,0.09416317542316822,0.09416317542316824,0.588724223926606,0.9033956269947123,0.9033956269947123,0.0754893284825191,1.758504009075068e-09,1916,sobol_screened,0.5513128794181461,True,False,2,ABNORMAL: ,3,2750,477,2.496493720936472,0.5513128794181461,0.2455853591650775,1.758504009075068e-09,103,89,False,1e-05,1.8253279998603489e-09,True,0.44868712058185384,0.7544146408349225,0.999999998241496,0.22964716516435146,0.06654741428792477,0.903472101315856,0.6693508615717292,0.5337518909946084,0.35688307415694,0.8910403568297625,0.1546892523765564,0.99993587252541,0.09951468551527964,0.9995639982763721,0.8303723918178995,0.49991870641139924,0.49985172371170516,0.8029304236476899,0.050859423612246026,8,1.5411776299600888e-09,True,0,266,0.050859423612246026,True,alpha_p~0,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
muon,gradient_local_minimum_0009,gradient,gradient,gradient,0.1056583755,18.838967839268594,4.340387982573516,2.067426420599756,1.4820825805266487,0.0,0.0,3.141592653589793,0.0,1.5971504140069088,0.6454052085364699,6.141492502244894e-05,3.140895631908527,0.002177880517893305,1.1372795329937206,3.141656708107559,-0.7984366235127167,5.781920144988746,0.3812773947554463,-1.3087178784327813,0.18124856347708934,0.19116759526127805,10.262526384613894,0.8449206709529707,2.0050101407195995,114.87861894416433,0.00431013773268818,2.2409112710107353,0.00431013773268818,2.2409112710107353,False,,gradient,661001498,1.0934459210322793,1.4185632493990814,1.0,684.5799879399707,0.6336365060158364,1.0000000000000002,0.29353606700246143,-1.2615352090405985e-05,1.420987000322338e-05,-0.9968142526249865,-0.996814252445724,8.398735428988097e-06,0.9999999978972252,8.079430269755778e-06,0.9999999982805474,3.9157631919277327e-05,0.999999998280563,0.9999890138628362,1.4141815892230913,4.5215338572340154e-05,6.96105728614782e-10,1.3975041872356205e-09,7.013984184013022e-10,0.00012213134537062596,0.0006737624810393607,0.0006737688487953915,0.0007958938264099867,0.00027582193559039816,-3.1347975725536723,0.693112388707774,0.00012213134537062596,3.968220557371699e-05,0.8591085629058199,0.8591085629058199,0.0002287466152584676,0.14009554326777018,0.14009554326777018,3.968220557371699e-05,2.1027748431379223e-09,661,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1605,9,0.0,1000.0,1000.0,2.1027748431379223e-09,70,56,False,1e-05,2.094907913807731e-09,True,nan,nan,0.9999999978972252,0.971580517226147,0.2574566191125699,0.8297413350150504,0.8711270140457514,0.03980088310079828,0.07268629759274076,0.34812593065781167,0.4032083016821104,0.8310488719479464,0.20543885847166943,0.9997781311079684,0.7695903776412713,9.77448889694088e-06,0.0003466204498862565,0.348054646671915,0.45154270646072986,9,1.885448464022943e-09,True,2,512,0.04845729353927012,False,alpha_p~pi/2,all alpha_e,CEGAMMA nearest fixed alpha_p quarter-pi center
