lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,phi_p_out_defined,phi_gamma_out_defined,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,coordinate_system,p_out_x,p_out_y,p_out_z,q_out_x,q_out_y,q_out_z,cartesian_energy_residual,cartesian_momentum_residual,optimization_run,start_source,screening_dGHZ,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_dGHZ,lbfgs_dGHZ,final_dGHZ,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_dGHZ,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,dGHZ_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration,polarization_alpha_e_region,polarization_clustering_scheme
electron,gradient_local_minimum_0000,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.6032456633667,4.96016589071038,2.39139193180095,0.00010230937539782858,0.0,0.0,3.141592653589793,0.0,2.011113879432708,0.920500871822716,0.028583770201803367,3.1415926535847745,3.9269908169872414,4.049051323169046e-05,3.170176338684259,-0.6054215862376133,19.2368535423959,0.8360231806477381,-3.0590356260693903,0.06291242460029765,0.04470000193176554,4.652942798269435,0.9699263588098344,3.1415521630683356,179.9976800640102,1.0979837661295733e-07,8.08890906796163,1.0979837661295733e-07,8.08890906796163,False,,True,True,cartesian_gradient,6000537,0.8104084500755023,2.3311346888669657,1.0,1112770.0713440515,0.9974958453011503,1.0,0.26492512367667337,-8.386035899426991e-05,8.38603589942144e-05,-0.9999999999999983,-0.9999999929674386,4.1814537008286954e-10,3.2461157860034008e-09,1.707011799368161e-08,0.9999999964837196,0.9999999964837201,0.99999999648372,1.1547005264082522,1.874987860404732e-08,0.9999999929674396,0.9999999929674392,0.9999999929674398,0.9999999929674396,9.653413980288238e-17,3.986795574216436e-16,4.903714075735777e-16,4.95213697224526e-16,2.427645589613148e-16,-2.2424755643677914,0.980443636037988,9.653413980288238e-17,0.17044968240948866,0.4999746170117734,0.4999746170117734,0.1628836567120015,0.5000253829882261,0.5000253829882261,0.17044968240948866,cartesian_final_momenta,8.139527658435064e-05,2.327217719644281e-06,6.194030434003572e-05,-7.137057172319091e-12,-7.137057172319091e-12,-2.011113879432708,8.881784197001252e-16,5.272734083242329e-21,6,angular_minimum:6,2.393293392547712e-08,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,594,153,1620.2258583460152,2.6676332320527954e-08,2.5899248404871438e-08,1.874987860404732e-08,19,5,False,1e-05,2.13570081323272e-08,True,0.5000081395276589,0.500000232721771,0.5000550221554336,0.5,0.5,0.07918230168559548,0.2579610215059149,0.7420354245235796,0.5000081395276584,0.500000232721772,0.500006194030434,0.49999999999852046,0.49999999999852046,0.08308855168559606,0.2579610215059154,0.7420232174923301,0,0.0,True,1,191,0.009886119568245593,True,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0001,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.938326956613977,4.993828887398323,2.4088212891220167,0.00014258531171637887,0.0,0.0,3.141592653589793,0.0,2.0279500633995573,1.0469892231266027,4.883880012205913,3.141592653589793,nan,6.088512351185093e-05,1.742287358613983,-0.5001804065494859,19.539189996917738,0.8370143205186381,-3.0894426222539964,0.0620239692223329,0.043836629126105336,4.684567623115304,0.970298664113392,3.141531768464458,179.99651153928318,1.0991645016389384e-07,8.224873797248318,1.0991645016389384e-07,8.224873797248318,False,,True,False,cartesian_gradient,39000593,2.4732875492575075,2.473293288182312,1.0,1027246.0574160232,0.946148665117814,0.9999999999999999,0.2430135081333761,1.586656106106199e-05,-1.5866561061228523e-05,-0.9999999999999996,-0.9999999997482518,1.830044338291259e-09,7.595578901253464e-09,1.784589127669748e-08,0.9999999998741257,0.9999999998741262,0.999999999874126,1.1547005226340352,1.9482841003363543e-08,0.9999999997482522,0.9999999997482513,0.9999999997482522,0.9999999997482516,1.0925626664063717e-16,1.432974291890016e-17,1.1084766758926294e-16,1.2358600955953733e-16,4.905466280949428e-17,0.2554146451524239,0.79385462779041,1.0925626664063717e-16,0.1420363182587599,0.5000039663469155,0.5000039663469155,0.1912970171044972,0.4999960336530844,0.4999960336530844,0.1420363182587599,cartesian_final_momenta,2.1069963732633923e-05,-0.00012165655155549349,7.131837918228356e-05,-2.6777687961276746e-16,0.0,-2.0279500633995573,8.881784197001252e-16,7.282004180282826e-22,39,angular_minimum:39,2.6442060626521577e-08,True,False,2,ABNORMAL: ,0,659,189,199999999.9951978,2.7174263979750523e-08,2.7174263979750523e-08,1.9482841003363543e-08,20,6,False,1e-05,2.008665428973804e-08,True,0.5000021069963733,0.5000000413760944,0.5002146513691683,0.49999999999999994,0.5,0.07874385543084211,0.7872718783039439,0.7872737050604453,0.5000021069963733,0.49998783434484445,0.5000071318379182,0.49999999999999994,0.5,0.07959834761834211,0.7872718783039439,0.7872737050604453,1,7.329623993162247e-10,True,3,270,0.052102635329533166,True,"alpha_e in [pi/2,pi],alpha_p~3pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0002,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.835198783227316,4.983492628992975,2.4034704459638196,0.00013440763888923363,0.0,0.0,3.141592653589793,0.0,2.0227486908944083,1.534842474216396,0.038621331938159774,3.141592653589793,nan,6.640523053988736e-05,3.1802139855279528,-0.035946106944361685,19.446420373120407,0.8367248781557406,-3.0804103387406494,0.062285892644166306,0.04409064979110996,4.674540128617966,0.9701846190708687,3.1415262483575814,179.9961952604567,1.0987860932232252e-07,8.18300512706849,1.0987860932232252e-07,8.18300512706849,False,,True,False,cartesian_gradient,52000670,2.422276127947897,0.7193127707198211,0.9999999999999999,1075315.1955091318,0.982636641835087,0.9999999999999999,0.004204372482724376,-1.7852641285509563e-05,1.7852641285176496e-05,-0.9999999999999994,-0.9999999996812826,0.0,8.844238324555071e-09,1.7405067103373788e-08,0.999999999840641,0.9999999998406416,0.9999999998406415,1.154700523224208,1.9525841684024095e-08,0.9999999996812822,0.999999999681282,0.9999999996812828,0.9999999996812825,1.5313666983428354e-17,1.6093950226537132e-16,1.6094093061340802e-16,1.7625316924879968e-16,7.281434598900819e-17,3.135329050173357,0.8262472249361164,1.5313666983428354e-17,0.3331024186459939,0.4999996851943755,0.49999968519437554,0.00023092274595846573,0.5000003148056245,0.5000003148056246,0.3331024186459939,cartesian_final_momenta,0.00013422061077461578,5.186357687758658e-06,4.831431361651539e-06,0.0,0.0,-2.0227486908944083,8.881784197001252e-16,0.0,52,angular_minimum:52,2.690143294563853e-08,True,False,2,ABNORMAL: ,0,725,189,199999999.99523383,2.8381872252968432e-08,2.8381872252968432e-08,1.9525841684024095e-08,23,9,False,1e-05,2.1002130889639945e-08,True,0.5000134220610775,0.5000005186357688,0.5006840768931362,0.5,0.5,0.07825961945483462,0.7710466456240583,0.22895215914712339,0.5000134220610775,0.5000005186357688,0.5000004831431362,0.5,0.5,0.08067661164233461,0.7710344385928083,0.22896436617837337,2,7.75963079976776e-10,True,2,192,0.033399738157593006,True,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0003,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.49116398335363,4.9488548153440135,2.385533682415356,0.3102992589907365,0.0,0.0,3.141592653589793,0.0,2.1355806375170743,1.559080131999367e-07,1.742183465026465,3.141592653589793,nan,2.580956827951785e-08,4.883776125014249,-0.9999999999999879,17.417080852263616,0.7585078328307007,-1.8249385005079128,0.1245147124718113,0.11415435070875965,6.425058457547797,0.972512150101837,3.141592627780225,179.99999852122068,1.1688006296139974e-07,7.796071292757915,1.1688006296139974e-07,7.796071292757915,False,,True,False,cartesian_gradient,472,0.7579927998177342,2.383595906448016,1.0,8302983.9821599405,0.9969992233362834,1.0000000000000004,6.259481821953524e-11,-7.90780071813213e-06,7.907800718021107e-06,-0.9999999999999996,-0.9999999999374662,2.3337437585380225e-13,1.1784834433720687e-15,1.9725479782481774e-08,0.9999999999687328,0.9999999999687332,0.9999999999687332,1.154700526990605,1.9725578905229248e-08,0.9999999999374665,0.9999999999374656,0.999999999937466,0.999999999937466,1.1306114354029545e-16,1.1305813410288945e-16,2.254422512104245e-16,2.261192776431849e-16,1.1238261238883203e-16,-1.5707829375465863,0.9940117760872316,1.1306114354029545e-16,0.16666538893211758,0.4999960460996409,0.4999960460996409,0.16666794440118776,0.500003953900359,0.500003953900359,0.16666538893211758,cartesian_final_momenta,-8.250859440117608e-09,4.766935957078999e-08,0.31029925899073274,-2.6777687961276746e-16,-2.6777687961276746e-16,-2.1355806375170743,0.0,3.980713933274903e-25,0,angular_minimum:0,2.2283461909263584e-08,True,False,2,ABNORMAL: ,0,609,171,1973.7739183335332,2.576732324820442e-08,2.576732324820442e-08,1.9725578905229248e-08,19,5,False,1e-05,2.4916318339829756e-08,True,0.49999999917491406,0.500000004766936,0.5371822696490732,0.49999999999999994,0.49999999999999994,0.05084081351958192,0.2412766018381158,0.7587221416896174,0.49999999917491406,0.500000004766936,0.5310299258990733,0.49999999999999994,0.49999999999999994,0.05728612601958192,0.2412766018381158,0.7587221416896174,3,9.75700301181929e-10,True,1,191,0.01391211189334517,False,"alpha_e in [0,pi/2),alpha_p~3pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0004,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.93537577680575,4.993533395983825,2.408668330518415,0.00025839196945009216,0.0,0.0,3.141592653589793,0.0,2.02788767342439,0.35752398302653476,0.23955704533240685,3.141592653589793,nan,4.459644457243306e-05,3.381149698919323,-0.9367661909364376,19.53570318453702,0.8369693349001979,-3.0883528949943573,0.06205548143617478,0.04386716800564951,4.685143131714511,0.9702966779608102,3.1415480571477103,179.99744481208737,1.0992004728649363e-07,8.223675254691376,1.0992004728649363e-07,8.223675254691376,False,,True,False,cartesian_gradient,24000569,0.7425270000444631,0.7425333494011398,1.0,1079205.4634155293,0.9926687432962683,1.0,0.11533045197522314,-2.9297266565420088e-05,2.929726656553111e-05,-0.9999999999999997,-0.9999999991416698,0.0,3.977826408344603e-09,2.175766225561718e-08,0.9999999995708346,0.999999999570835,0.999999999570835,1.1547005235208603,2.2134942978489828e-08,0.9999999991416697,0.9999999991416693,0.9999999991416695,0.9999999991416695,2.2881195133046737e-18,1.6172468055958042e-16,1.617308361915046e-16,1.640128000728851e-16,7.972443615506205e-17,3.1291658800018793,0.9721733440272171,2.2881195133046737e-18,0.2233412716043766,0.49998627896813747,0.4999862789681375,0.10999206271192724,0.5000137210318624,0.5000137210318624,0.2233412716043766,cartesian_final_momenta,8.784351008817026e-05,2.1455537702053107e-05,0.0002420528609903272,0.0,-2.6777687961276746e-16,-2.02788767342439,0.0,7.282004180282826e-22,24,angular_minimum:24,2.587119816189266e-08,True,False,2,ABNORMAL: ,0,638,189,199999999.99502602,2.664532547361413e-08,2.664532547361413e-08,2.2134942978489828e-08,19,5,False,1e-05,2.2583800119123145e-08,True,0.49999657731975883,0.5000021455537702,0.500414830286099,0.5,0.49999999999999994,0.07853706254413911,0.2363536848725446,0.2363557059355457,0.5000087843510088,0.5000021455537702,0.500024205286099,0.5,0.49999999999999994,0.07961128129413911,0.2363536848725446,0.2363557059355457,4,3.385064374442509e-09,True,0,297,0.017610511977018954,True,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0005,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.9116250523148,4.991154681265128,2.4074369867037824,1.7870578279426534,0.0,0.0,3.141592653589793,0.0,0.5929126699556532,3.141592653589793,nan,3.141592653589793,nan,0.0,3.141592653589793,1.0,22.918516015651182,0.9881782180924846,-17.274057365610727,0.0028706364622949503,0.0006416742283867727,1.1540229821110692,0.9650843272613379,3.141592653589793,180.0,3.215480037788154e-08,2.822229357175029,3.215480037788154e-08,2.822229357175029,False,,False,False,cartesian_gradient,102000341,2.3754495580285453,0.7661544996682791,1.0,250.3537597135077,0.9985185799118653,1.0000000000000002,5.209868093849934e-10,-2.282512359330635e-05,2.282512359319533e-05,-0.9999999999999998,-0.9999999994790135,2.0872192862952943e-13,0.0,2.2803029731041534e-08,0.9999999997395066,0.9999999997395068,0.9999999997395068,1.1547005252137958,2.2808980511683904e-08,0.9999999994790134,0.9999999994790132,0.9999999994790131,0.9999999994790131,1.0854049284996305e-26,3.1223641960769493e-24,3.1223641960769493e-24,3.1332182453619458e-24,1.5557550733959766e-24,3.141592653589793,0.9930716289546294,1.0854049284996305e-26,0.16667047480075997,0.5000114125617967,0.5000114125617969,0.16666286613358341,0.4999885874382034,0.4999885874382036,0.16667047480075997,cartesian_final_momenta,0.0,0.0,-1.7870578279426534,0.0,0.0,-0.5929126699556532,0.0,1.1102230246251565e-16,102,angular_minimum:102,3.6744986379898424e-08,True,False,2,ABNORMAL: ,0,593,189,193097.88581886113,3.675286443369005e-08,3.675286443369005e-08,2.2808980511683904e-08,17,3,False,1e-05,2.2805460648606813e-08,True,0.5,0.5,0.32129421720573464,0.5,0.5,0.48021198026344525,0.7561290784514021,0.24387455158860902,0.5,0.5,0.32129421720573464,0.5,0.5,0.3770869802634453,0.7561290784514021,0.24387455158860902,5,4.0591019076365856e-09,True,2,192,0.012621896401001144,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0006,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.999999999990052,4.999999999999005,2.41201557198249,2.286957843551818,0.0,0.0,3.141592653589793,0.0,0.12059830087504168,3.141592653589793,nan,3.141592653589793,nan,0.0,3.141592653589793,1.0,23.22825164311973,0.9980838495338541,-22.06686292197897,0.0016992028571044136,0.00031121466496691376,0.9244382745536859,0.9648712955932016,3.141592653589793,180.0,6.527863971594883e-09,0.5806943670982467,6.527863971594883e-09,0.5806943670982467,False,,False,False,cartesian_gradient,1000000,2.4389177418774413,0.7026618843453465,1.0,63.405092035270435,0.9728720644523885,1.0,6.977800562016677e-10,2.6415518728839515e-05,-2.641551872906156e-05,-0.9999999999999998,-0.9999999993022202,0.0,1.6653345369377348e-16,2.2822233650476562e-08,0.9999999996511099,0.9999999996511102,0.9999999996511102,1.1547005252028288,2.283289832245214e-08,0.9999999993022199,0.9999999993022197,0.9999999993022198,0.9999999993022198,3.2508744225185407e-24,1.2399864231616027e-22,1.2399864231616027e-22,1.2724951673867882e-22,6.037388394682087e-23,3.141592653589793,0.9489055124791621,3.2508744225185407e-24,0.166662268510357,0.4999867922406356,0.4999867922406357,0.16667107243038795,0.5000132077593644,0.5000132077593644,0.166662268510357,cartesian_final_momenta,0.0,0.0,-2.286957843551818,0.0,0.0,-0.12059830087504168,0.0,1.5265566588595902e-16,1,angular_minimum:1,2.280689526761525e-08,True,False,2,ABNORMAL: ,0,517,189,223606797.74564278,2.283289832245214e-08,2.283289832245214e-08,2.283289832245214e-08,14,0,False,1e-05,2.2809185833484068e-08,True,0.5,0.5,0.2713042156448182,0.5,0.5,0.47499952001909884,0.7763316288286362,0.22366422443165512,0.5,0.5,0.2713042156448182,0.5,0.5,0.47499952001909884,0.7763316288286362,0.22366422443165512,6,4.0830197184048205e-09,True,2,192,0.04086019585999282,False,"alpha_e in [pi/2,pi],alpha_p~pi/4","[pi/2,pi]",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0007,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.99999999999556,4.999999999999556,2.412015571982775,2.2862741067126535,0.0,0.0,3.141592653589793,0.0,0.12125646002932378,3.141592653589793,nan,3.141592653589793,nan,0.0,3.141592653589793,1.0,23.228004868025565,0.9980728599239379,-22.060290332259015,0.0017003037235105872,0.0003114930644359464,0.9246940513996043,0.9648716687975263,3.141592653589793,180.0,6.5634894741428695e-09,0.5838572744467642,6.5634894741428695e-09,0.5838572744467642,False,,False,False,cartesian_gradient,2000000,0.8769663281031554,0.8769773078245011,1.0,63.11596155581278,0.9668304328267843,1.0,4.987621428221103e-10,-2.233297551468283e-05,2.2332975514904874e-05,-0.9999999999999998,-0.999999999501238,0.0,0.0,2.288093440608825e-08,0.9999999997506188,0.9999999997506192,0.9999999997506192,1.154700525168938,2.2886369802771402e-08,0.9999999995012381,0.9999999995012376,0.9999999995012377,0.9999999995012377,1.2334912441342672e-22,3.520220403491663e-24,1.2334912441342672e-22,1.2686934481691837e-22,5.991445200496752e-23,0.0,0.9445063674196222,1.2334912441342672e-22,0.16667039194826874,0.5000111664877573,0.5000111664877573,0.16666294901204304,0.49998883351224266,0.4999888335122429,0.16667039194826874,cartesian_final_momenta,0.0,0.0,-2.2862741067126535,0.0,0.0,-0.12125646002932378,8.881784197001252e-16,0.0,2,angular_minimum:2,2.2912499293258053e-08,True,False,2,ABNORMAL: ,0,517,189,199999999.9963329,2.2886369802771402e-08,2.2886369802771402e-08,2.2886369802771402e-08,14,0,False,1e-05,2.2872271266406802e-08,True,0.5,0.5,0.27137258932873465,0.5,0.5,0.47486308115850556,0.27914705208553225,0.27915054703938413,0.5,0.5,0.27137258932873465,0.5,0.5,0.47486308115850556,0.27914705208553225,0.27915054703938413,7,4.136491198724083e-09,True,0,297,0.04303630702494094,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0008,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.99942093165067,4.999942092829743,2.4119855994001784,1.5156312423481497,0.0,0.0,3.141592653589793,0.0,0.8509508668840758,3.141582354307564,3.116389679994926,3.141592653589793,nan,6.5959817919668734e-06,6.257982333584719,0.9999999999469625,22.832647868632005,0.9805026014049184,-14.777267477436567,0.003972928104274626,0.0010043214816532573,1.3338736332084995,0.9654679192729005,3.1415860576080012,179.9996220780816,4.606168113596709e-08,4.027690241659401,4.606168113596709e-08,4.027690241659401,False,,True,False,cartesian_gradient,173000404,0.7470270700138597,0.7470234984266745,1.0,582.9083888491429,0.9941214928512363,1.0,0.0025353749473850575,9.13289045151311e-06,-9.13289045156862e-06,-0.9999999999999997,-0.9999999999165899,1.4771124328724713e-10,2.982752933533561e-11,2.293798454974321e-08,0.9999999999582949,0.9999999999582949,0.9999999999582949,1.154700525033498,2.293863118622524e-08,0.9999999999165902,0.9999999999165898,0.9999999999165893,0.9999999999165893,9.884208572475145e-19,5.815645562714787e-21,9.884208579582915e-19,9.942365028102293e-19,4.913026065531767e-19,-5.379069003345449e-05,0.9883012847838519,9.884208572475145e-19,0.16666565170039319,0.4999954335547742,0.4999954335547742,0.1666676892593038,0.5000045664452257,0.500004566445226,0.16666565170039319,cartesian_final_momenta,-1.5604956553061378e-05,3.9337460067123686e-07,-1.5156312422677642,0.0,0.0,-0.8509508668840758,8.881784197001252e-16,1.1102230246251565e-16,173,angular_minimum:173,2.3371197503165294e-07,True,False,2,ABNORMAL: ,0,639,189,6386.285491657613,2.4254650644032816e-07,2.4254650644032816e-07,2.293863118622524e-08,19,5,False,1e-05,2.2942328359054235e-08,True,0.4999984395043447,0.5000000393374601,0.49999937577322356,0.5,0.5,0.37359469446995663,0.2377861016323223,0.2377849647608119,0.4999984395043447,0.5000000393374601,0.3484368757732236,0.5,0.5,0.32359469446995665,0.2377861016323223,0.2377849647608119,8,4.18875258217792e-09,True,0,297,0.015598428993975504,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
electron,gradient_local_minimum_0009,cartesian_gradient,cartesian_gradient,cartesian_gradient,0.00051099895,24.983384867288674,4.998338210574458,2.4111554252283556,1.499575730542072,0.0,0.0,3.141592653589793,0.0,0.8649928119328845,3.1415857223244106,1.3300476154330108,3.141592653589793,nan,4.395716269347618e-06,4.471640269022804,0.9999999999759787,22.805369077913337,0.9799874384605477,-14.624029905899024,0.004058919486813159,0.0010343989941779853,1.345557981822675,0.9654632669932446,3.141588257898781,179.99974814545698,4.683788823456325e-08,4.090669632845044,4.683788823456325e-08,4.090669632845044,False,,True,False,cartesian_gradient,172000650,0.745750031525514,0.7457632748283064,0.9999999999999999,615.8274635173441,0.9937273870284867,0.9999999999999999,0.18448959859786482,-2.688451425914007e-05,2.688451425919558e-05,-0.9999999999999996,-0.9999999992772225,9.896294185434976e-11,1.3311522255609236e-11,2.297382475099047e-08,0.9999999996386112,0.9999999996386115,0.9999999996386115,1.154700525050486,2.2985408441634956e-08,0.9999999992772229,0.9999999992772224,0.9999999992772225,0.9999999992772225,4.237784470761683e-19,2.6595001730230186e-21,4.2377945373066775e-19,4.264379472491913e-19,2.1056048010607213e-19,-0.0030921956102468685,0.9875316278221834,4.237784470761683e-19,0.16667106252813385,0.5000134422571296,0.5000134422571296,0.16666226402188933,0.4999865577428705,0.49998655774287065,0.16667106252813385,cartesian_final_momenta,2.4782292917802096e-06,1.0094192833820514e-05,-1.4995757305060504,0.0,0.0,-0.8649928119328845,0.0,0.0,172,angular_minimum:172,2.1503374658556708e-07,True,False,2,ABNORMAL: ,0,706,189,6223.992535704423,2.1585857223095098e-07,2.1585857223095098e-07,2.2985408441634956e-08,22,8,False,1e-05,2.2981273214065485e-08,True,0.5000002478229292,0.5000010094192834,0.5000424269493949,0.5,0.5,0.36443374660801786,0.23735519359394466,0.23737161609939922,0.5000002478229292,0.5000010094192834,0.35004242694939497,0.5,0.5,0.32068374660801785,0.23737960765644467,0.2373838231306492,9,4.235529837587638e-09,True,0,297,0.01616634659101674,False,"alpha_e in [0,pi/2),alpha_p~pi/4","[0,pi/2)",GHZ alpha_e boundary regions
