panel_index,mode,x_name,y_name,x_label,y_label,retained_minima,polarization_clusters,representative_minima,example_polarization_cluster,objective_name,objective_absolute_cut,global_minimum,plot_path,example_source,example_local_minimum_id
0,clustered,,,,,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\00_summary_GHZ.pdf,prior angular GHZ P2 representative,0
1,clustered,sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\01_qOut_vs_sqrt_s_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
2,clustered,sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\02_theta_gamma_out_vs_sqrt_s_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
3,clustered,theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\03_theta_gamma_out_vs_theta_p_out_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
4,clustered,theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\04_qOut_vs_theta_p_out_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
5,clustered,theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\05_qOut_vs_theta_gamma_out_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
6,clustered,phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\06_phi_gamma_out_vs_phi_p_out_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
7,clustered,alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\07_alpha_p_vs_alpha_e_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
8,clustered,sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\08_alpha_e_vs_sqrt_s_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
9,clustered,sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,950,4,4,,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\clustered\09_alpha_p_vs_sqrt_s_clustered_GHZ.pdf,prior angular GHZ P2 representative,0
0,unclustered,,,,,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\00_summary_GHZ.pdf,prior angular GHZ P2 representative,0
1,unclustered,sqrt_s,qOut,$\sqrt{s}$ [GeV],$E_\gamma$ [GeV],950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\01_qOut_vs_sqrt_s_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
2,unclustered,sqrt_s,theta_gamma_out,$\sqrt{s}$ [GeV],$\theta_\gamma$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\02_theta_gamma_out_vs_sqrt_s_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
3,unclustered,theta_p_out,theta_gamma_out,$\theta_{p'}$,$\theta_\gamma$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\03_theta_gamma_out_vs_theta_p_out_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
4,unclustered,theta_p_out,qOut,$\theta_{p'}$,$E_\gamma$ [GeV],950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\04_qOut_vs_theta_p_out_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
5,unclustered,theta_gamma_out,qOut,$\theta_\gamma$,$E_\gamma$ [GeV],950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\05_qOut_vs_theta_gamma_out_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
6,unclustered,phi_p_out,phi_gamma_out,$\phi_{p'}$,$\phi_\gamma$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\06_phi_gamma_out_vs_phi_p_out_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
7,unclustered,alpha_e,alpha_p,$\alpha_e$,$\alpha_p$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\07_alpha_p_vs_alpha_e_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
8,unclustered,sqrt_s,alpha_e,$\sqrt{s}$ [GeV],$\alpha_e$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\08_alpha_e_vs_sqrt_s_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
9,unclustered,sqrt_s,alpha_p,$\sqrt{s}$ [GeV],$\alpha_p$,950,4,1,P2,dGHZ,0.01,1.874987860404732e-08,Output\CartesianGradientPhaseSpaceScan\electron\Plots\GHZ\polarization_correlations\without_contours_with_example\unclustered\09_alpha_p_vs_sqrt_s_unclustered_GHZ.pdf,prior angular GHZ P2 representative,0
