detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,2.1308523782686731e+01,2.3849017785967082e+01,3.1981695313924497e+01,8.4159738858971511e-01,1.0228288351527001e+03,2.2955979490487933e-02
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,2.6180948480759842e+01,9.1582130187098496e+00,2.7736526982451636e+01,3.3650062442202133e-01,7.6931492904826769e+02,1.7266210265104286e-02
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,-5.5302742725182643e+00,-1.9345320349010620e+00,5.8588691505559209e+00,-2.8050892372450722e+00,3.4326347723335857e+01,7.7040743009812950e-04
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,-3.6540851943729344e+00,-4.0896567659768639e+00,5.4843077112098504e+00,-2.3000054950867255e+00,3.0077631071235828e+01,6.7505085725381596e-04
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,1.0500219466562661e+00,3.6729891823158051e-01,1.1124093598104539e+00,3.3649768783533640e-01,1.2374545837939037e+00,2.7772957771318795e-05
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,6.3872246926684084e-01,7.1486623803677374e-01,9.5864494523842325e-01,8.4159219289759113e-01,9.1900013103117950e-01,2.0625687734505388e-05
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,-3.1576938525226598e+01,3.1183834975914699e+00,3.1730543050253498e+01,3.0431567337046168e+00,1.0068273622639906e+03,6.7274300163472101e-01
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,1.6037991100199651e+01,-1.3155046190740206e+01,2.0743008432013706e+01,-6.8696279308871266e-01,4.3027239881059171e+02,2.8749987926978088e-01
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,6.5192940154368921e+00,-6.4388041322535794e-01,6.5510133907851644e+00,-9.8446086723442253e-02,4.2915776446246539e+01,2.8675510167911481e-02
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,-2.5645619615211190e+00,2.1035282437008060e+00,3.3168975152283569e+00,2.4546380551434486e+00,1.1001809126528048e+01,7.3512007843625727e-03
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,-1.7572132171339576e+00,1.4413359152129130e+00,2.2727180887547225e+00,2.4546317368724173e+00,5.1652475109529190e+00,3.4513206980102138e-03
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,5.2433706596839769e-01,-5.1779962215272576e-02,5.2688758121193457e-01,-9.8434043513837000e-02,2.7761052323536295e-01,1.8549410125961083e-04
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,2.4767570932682045e-01,-2.0315093334819853e-01,3.2033351168865842e-01,-6.8695488669183502e-01,1.0261355871078787e-01,6.8564439230462375e-05
Ty_aligned_cluster_2,Ty,aligned,2,8.5222133621885843e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,1.9260407446323141e-01,-1.9024621685363719e-02,1.9354137989099179e-01,-9.8456427701457738e-02,3.7458265730109200e-02,2.5028904723685165e-05
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,1.2815383571382943e+00,1.2656481207319076e-01,1.2877729661985613e+00,9.8440844440112460e-02,1.6583592124718409e+00,8.3046401852968588e-01
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,3.5208763209120358e-01,2.8879342090027621e-01,4.5537604309721302e-01,6.8695615006279198e-01,2.0736734062687481e-01,1.0384427795478768e-01
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,-2.6838185859758379e-01,-2.6505515495627137e-02,2.6968753099834331e-01,-3.0431514196087952e+00,7.2731364375982377e-02,3.6422013203518032e-02
Ty_opposite_cluster_0,Ty,opposite,0,6.3321375186948040e-02,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,-1.1500852685115506e-01,-9.4333242867842157e-02,1.4874717462337275e-01,-2.4546385377986915e+00,2.2125721958436147e-02,1.1079997525436846e-02
