detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
Ty_aligned_cluster_0,Ty,aligned,0,9.2865076608806685e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,k,1.9409274622587749e+00,-1.1884753020151558e-16,-1.9409274622570665e+00,-2.5752126517462172e-06,1.9409274622587749e+00,-1.5707963267948968e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01
Ty_aligned_cluster_0,Ty,aligned,0,9.2865076608806685e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,p,2.1557002142576058e+00,1.1884753020151558e-16,1.9409274622570665e+00,2.5752126517462172e-06,1.9409274622587749e+00,1.5707963267948966e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01
Ty_aligned_cluster_0,Ty,aligned,0,9.2865076608806685e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,kp,1.2019868242228908e+00,1.4631774151209651e-01,-1.1930479638825213e+00,0.0000000000000000e+00,1.2019868242228908e+00,-1.4487637638525317e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01
Ty_aligned_cluster_0,Ty,aligned,0,9.2865076608806685e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,pp,2.1446408522942861e+00,0.0000000000000000e+00,1.9286369241849441e+00,0.0000000000000000e+00,1.9286369241849441e+00,1.5707963267948966e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01
Ty_aligned_cluster_0,Ty,aligned,0,9.2865076608806685e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,qout,7.5000000000000000e-01,-1.4631774151209651e-01,-7.3558896030242271e-01,0.0000000000000000e+00,7.4999999999999989e-01,-1.7671458676442591e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,k,2.2244176384674761e+00,-8.5124777690143283e-01,-2.0550939279353830e+00,-2.9513459707981364e-06,2.2244176384674761e+00,-1.9634954084936211e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,p,2.4140997970931570e+00,8.5124777690143283e-01,2.0550939279353830e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.1780972450961720e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,kp,5.4770788689172911e-01,3.4140806352822517e-01,-4.2828082320051464e-01,0.0000000000000000e+00,5.4770788689172911e-01,-8.9778988869925858e-01,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,pp,2.3408095486686586e+00,0.0000000000000000e+00,2.1446550639061677e+00,0.0000000000000000e+00,2.1446550639061677e+00,1.5707963267948966e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01
Ty_aligned_cluster_1,Ty,aligned,1,9.1746062455846422e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,qout,1.7500000000000000e+00,-3.4140806352822517e-01,-1.7163742407056530e+00,0.0000000000000000e+00,1.7499999999999998e+00,-1.7671458676442591e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01
