detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,incoming_state,out_index,hOut,sOut,lambda,amplitude_real,amplitude_imag,amplitude_abs,amplitude_phase,amplitude_abs2,fraction
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,-3.3565722979834959e+01,3.7567061713656088e+01,5.0377990084526651e+01,2.3000020280045765e+00,2.5379418849566655e+03,4.3312990695548409e-01
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,-1.4204598328885613e+01,-4.0606435776357841e+01,4.3019219427419344e+01,-1.9073032102217660e+00,1.8506532401444540e+03,3.1583594189522551e-01
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,-1.6612357170836646e+01,1.8592571133031633e+01,2.4932992441908951e+01,2.3000054950867246e+00,6.2165411210828881e+02,1.0609265300042703e-01
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,-8.1445816079608306e+00,-2.3283031407249254e+01,2.4666450111025078e+01,-1.9072997431396177e+00,6.0843376107968891e+02,1.0383644317746882e-01
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,7.3847771720114626e+00,-8.2652265598105750e+00,1.1083722477816726e+01,-8.4159765545757026e-01,1.2284890396525975e+02,2.0965623625761112e-02
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,2.6622300123043345e+00,7.6106141548020370e+00,8.0628107041953463e+00,1.2342953394448148e+00,6.5008916451687057e+01,1.1094543220589479e-02
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",4,1,-1,-1,3.4660832894254505e+00,-3.8792971329272148e+00,5.2021802751127009e+00,-8.4159386160748040e-01,2.7062679614771657e+01,4.6185674987243722e-03
Tx_near_azimuth_cluster_0,Tx,near_azimuth,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + A[hIn=-1,sIn=1]) / sqrt(2)",1,-1,-1,1,1.6815395234533053e+00,4.8071432540363519e+00,5.0927597070510577e+00,1.2342995415165057e+00,2.5936201433762776e+01,4.4263206263196906e-03
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",7,1,1,1,-3.3565722979834661e+01,-3.7567061713655747e+01,5.0377990084526196e+01,-2.3000020280045765e+00,2.5379418849566205e+03,4.3312990695548392e-01
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",2,-1,1,-1,-4.0606435776357479e+01,-1.4204598328885487e+01,4.3019219427418960e+01,-2.8050857701629242e+00,1.8506532401444208e+03,3.1583594189522535e-01
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",5,1,-1,1,1.6612357170836503e+01,1.8592571133031484e+01,2.4932992441908748e+01,8.4158715850306898e-01,6.2165411210827881e+02,1.0609265300042717e-01
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",0,-1,-1,-1,2.3283031407249055e+01,8.1445816079607916e+00,2.4666450111024876e+01,3.3650341634472225e-01,6.0843376107967913e+02,1.0383644317746896e-01
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",6,1,1,-1,7.3847771720114075e+00,8.2652265598105004e+00,1.1083722477816636e+01,8.4159765545756948e-01,1.2284890396525770e+02,2.0965623625761130e-02
Ty_near_azimuth_cluster_0,Ty,near_azimuth,0,9.1009565246567148e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,"(A[hIn=+1,sIn=1] + i A[hIn=-1,sIn=1]) / sqrt(2)",3,-1,1,1,7.6106141548019721e+00,2.6622300123043154e+00,8.0628107041952788e+00,3.3650098735008221e-01,6.5008916451685963e+01,1.1094543220589484e-02
