selected_spin_case,selected_region,cluster_id,example_rank,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C13,longitudinal_polarized_C13,Tx_C13,Ty_C13,double_transverse_C13
Ty,aligned,0,1,0.9286507660880668,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_low_Egamma,low_s,low_theta_in,low_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01,1.8241950819762085e+01,2.7970782709985875e-02,4.5306088305102639e-02,2.7970782709985875e-02,4.5306088305102639e-02,3.8873447063231093e-13,-2.5251964225836254e-14,9.2865076827246562e-01,9.2865076608806685e-01,9.2866547941002953e-01
Ty,aligned,0,2,0.9286507660880668,1.9634954084936229e-01,1.9634954084936229e-01,low_s_high_theta_in_low_Egamma,low_s,high_theta_in,low_Egamma,1.6782358320000000e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9286369241849441e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,7.5000000000000000e-01,4.5160394395353274e+00,3.4699359035914250e-02,5.6986689932810438e-03,-2.8747845698286195e-05,6.9341733381609512e+00,3.8289723088247252e-01,1.8241950819762085e+01,2.7970782709985875e-02,4.5306088305102639e-02,2.7970782709985875e-02,4.5306088305102639e-02,3.8873447063231093e-13,-2.5251964225836254e-14,9.2865076827246562e-01,9.2865076608806685e-01,9.2866547941002953e-01
Ty,aligned,1,1,0.9174606245584642,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01,4.9810428488012583e+01,7.4797732084567470e-02,3.3995809517304332e-01,7.4797732084567470e-02,3.3995809517304332e-01,1.2951062355981553e-17,-7.7978243905978171e-17,9.1746062875999523e-01,9.1746062455846422e-01,9.1746084514412529e-01
Ty,aligned,1,2,0.9174606245584642,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.2575932404275831e+00,7.4801137990495079e-02,-7.2727251425059469e-01,1.6434738834117280e+01,8.1471642152281776e-01,4.9810428488012583e+01,7.4797732084567470e-02,3.3995809517304332e-01,7.4797732084567470e-02,3.3995809517304332e-01,1.2951062355981553e-17,-7.7978243905978171e-17,9.1746062875999523e-01,9.1746062455846422e-01,9.1746084514412529e-01
Ty,aligned,2,1,0.8522213362188584,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.7500000000000000e+00,5.3014376029327757e+00,6.8590099240366733e+00,3.7485532102409086e-01,-2.2125370374214937e+00,1.2318586673680528e+01,8.8669086052128354e-01,1.1246948616263641e+02,7.4797732084567858e-02,2.3980341753918761e+00,7.4797732084567858e-02,2.3980341753918761e+00,3.5899199486950343e-17,-1.4100263216592563e-16,8.5222133244052145e-01,8.5222133621885843e-01,8.5227775608350731e-01
Ty,aligned,2,2,0.8522213362188584,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,5.4977871437821380e+00,2.3561944901923448e+00,1.7500000000000000e+00,5.3014376029327757e+00,6.8590099240366733e+00,3.7485532102409086e-01,-2.2125370374214937e+00,1.2318586673680528e+01,8.8669086052128354e-01,1.1246948616263641e+02,7.4797732084567858e-02,2.3980341753918761e+00,7.4797732084567858e-02,2.3980341753918761e+00,3.5899199486950343e-17,-1.4100263216592563e-16,8.5222133244052145e-01,8.5222133621885843e-01,8.5227775608350731e-01
Ty,opposite,0,1,0.06332137518694804,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,4.1233403578366037e+00,1.9621454155320874e+00,1.4641905838401612e-01,-1.2587405069850966e+01,1.2318586673680523e+01,6.4939368526907426e-01,1.1246948616263643e+02,7.7106640025516002e+00,2.3980341753918779e+00,7.7106640025516002e+00,2.3980341753918779e+00,4.0323598083862020e-17,3.6570983176828991e-19,6.3321375422139725e-02,6.3321375186948040e-02,6.9734615929867766e-02
Ty,opposite,0,2,0.06332137518694804,2.9452431127404308e+00,1.9634954084936229e-01,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,7.8539816339744828e-01,3.9269908169872414e+00,1.7500000000000000e+00,4.1233403578366037e+00,1.9621454155320874e+00,1.4641905838401612e-01,-1.2587405069850966e+01,1.2318586673680523e+01,6.4939368526907426e-01,1.1246948616263643e+02,7.7106640025516002e+00,2.3980341753918779e+00,7.7106640025516002e+00,2.3980341753918779e+00,4.0323598083862020e-17,3.6570983176828991e-19,6.3321375422139725e-02,6.3321375186948040e-02,6.9734615929867766e-02
Ty,opposite,1,1,0.06332137388395119,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.7500000000000000e+00,5.3014376029327757e+00,1.9621454155320870e+00,1.4641905838401603e-01,-1.2587405069850968e+01,1.2318586673680528e+01,6.4939368526907437e-01,1.1246948616263641e+02,7.7106640025515993e+00,2.3980341753918761e+00,7.7106640025515993e+00,2.3980341753918761e+00,3.4811867214788315e-17,-1.2323018365321730e-17,6.3321377272666651e-02,6.3321373883951190e-02,6.9734612117728509e-02
Ty,opposite,1,2,0.06332137388395119,2.9452431127404317e+00,1.9634954084936140e-01,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.6490022855391362e+00,1.5707949999999999e+00,2.3561944901923439e+00,5.4977871437821380e+00,1.7500000000000000e+00,5.3014376029327757e+00,1.9621454155320870e+00,1.4641905838401603e-01,-1.2587405069850968e+01,1.2318586673680528e+01,6.4939368526907437e-01,1.1246948616263641e+02,7.7106640025515993e+00,2.3980341753918761e+00,7.7106640025515993e+00,2.3980341753918761e+00,3.4811867214788315e-17,-1.2323018365321730e-17,6.3321377272666651e-02,6.3321373883951190e-02,6.9734612117728509e-02
