selected_spin_case,cluster_id,example_rank,selected_C13,kinematic_point,s_regime,theta_in_regime,qOut_regime,s,sqrt_s,pIn,pOut,theta_in,phi_in_electron,phi_in,qOut,phiOut,Q2,xB,t,W2,y,theta_e_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,unpolarized_C13,longitudinal_polarized_C13,Tx_C13,Ty_C13
Tx,0,1,0.9153811890143356,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7360184235248091e+00,1.0040062069928772e-01,-2.0349894930699217e+00,1.6434738834117283e+01,8.3790042923251129e-01,4.9810428488012526e+01,4.8944362994561663e-01,3.3995809517304187e-01,4.8944362994561663e-01,3.3995809517304187e-01,2.4663788293402839e-17,-2.3715302412340169e-18,9.1538118901433563e-01,9.1538118512980426e-01
Tx,0,2,0.9153811887624569,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7360184235248131e+00,1.0040062069928794e-01,-2.0349894930699222e+00,1.6434738834117280e+01,8.3790042923251107e-01,4.9810428488012583e+01,4.8944362994561619e-01,3.3995809517304321e-01,4.8944362994561619e-01,3.3995809517304321e-01,1.2954352297902833e-17,-9.3535354101305921e-18,9.1538118876245689e-01,9.1538119131168549e-01
Tx,1,1,0.9114998481325755,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,4.3196898986859651e+00,1.1780972450961720e+00,1.7500000000000000e+00,4.5160394395353274e+00,1.3858672617985344e+00,8.1806665718577559e-02,-1.6862725853975060e+00,1.6434738834117280e+01,8.2093245279685112e-01,4.9810428488012583e+01,4.9016075697254724e-01,3.3995809517304321e-01,4.9016075697254724e-01,3.3995809517304321e-01,1.3622866651686825e-17,-1.3142764934448377e-17,9.1149984813257545e-01,9.1149984864331557e-01
Tx,1,2,0.9110621059753705,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7768092630436807e+00,1.0251786281850570e-01,-2.4720528876505545e+00,1.6434738834117280e+01,8.3987711267498377e-01,4.9810428488012583e+01,6.8757990747649878e-01,3.3995809517304321e-01,6.8757990747649878e-01,3.3995809517304321e-01,1.3536752901755733e-17,-3.7854721371495471e-17,9.1106210597537052e-01,9.1106210047315961e-01
Ty,0,1,0.9153811913116855,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,4.1233403578366037e+00,9.8174770424681057e-01,1.7500000000000000e+00,4.5160394395353274e+00,1.7360184235248131e+00,1.0040062069928794e-01,-2.0349894930699222e+00,1.6434738834117280e+01,8.3790042923251107e-01,4.9810428488012583e+01,4.8944362994561619e-01,3.3995809517304321e-01,4.8944362994561619e-01,3.3995809517304321e-01,1.2954352297902833e-17,-9.3535354101305921e-18,9.1538118876245689e-01,9.1538119131168549e-01
Ty,0,2,0.9153811851298043,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.8999999999999999e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7360184235248091e+00,1.0040062069928772e-01,-2.0349894930699217e+00,1.6434738834117283e+01,8.3790042923251129e-01,4.9810428488012526e+01,4.8944362994561663e-01,3.3995809517304187e-01,4.8944362994561663e-01,3.3995809517304187e-01,2.4663788293402839e-17,-2.3715302412340169e-18,9.1538118901433563e-01,9.1538118512980426e-01
Ty,1,1,0.9114998526495637,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,5.1050880620834143e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.3858672617985315e+00,8.1806665718577365e-02,-1.6862725853975054e+00,1.6434738834117283e+01,8.2093245279685123e-01,4.9810428488012526e+01,4.9016075697254768e-01,3.3995809517304187e-01,4.9016075697254768e-01,3.3995809517304187e-01,6.5787479900432728e-17,1.0481354994493168e-17,9.1149985046747806e-01,9.1149985264956368e-01
Ty,1,2,0.9110621078543171,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.1000000000000001e+00,5.3014376029327757e+00,2.1598449493429825e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.7768092630436763e+00,1.0251786281850545e-01,-2.4720528876505536e+00,1.6434738834117283e+01,8.3987711267498377e-01,4.9810428488012526e+01,6.8757990747649922e-01,3.3995809517304187e-01,6.8757990747649922e-01,3.3995809517304187e-01,1.3327658715650571e-17,4.6538636247894194e-18,9.1106210389153941e-01,9.1106210785431707e-01
longitudinal_polarized,0,1,1.9603443748523725e-16,mid_s_low_theta_in_high_Egamma,mid_s,low_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.0787824263128680e+00,1.1000000000000001e+00,3.5342917352885173e+00,3.9269908169872414e-01,1.7500000000000000e+00,3.7306412761378791e+00,1.1659031107213691e+01,6.2147866927081452e-01,-3.5056573516307665e+00,7.9809597549357676e+00,9.0909802588435074e-01,1.4206250479540549e+02,4.9016075697254746e-01,4.5668476347636897e+00,4.9016075697254746e-01,4.5668476347636897e+00,2.3122310399747885e-16,1.9603443748523725e-16,5.6746336842248879e-01,5.6746337233982769e-01
longitudinal_polarized,0,2,1.44727563332453e-16,mid_s_high_theta_in_high_Egamma,mid_s,high_theta_in,high_Egamma,2.1515843999999998e+01,4.6385174355606331e+00,2.2244176384674761e+00,1.3522900305919534e+00,1.8999999999999999e+00,3.7306412761378791e+00,5.8904862254808599e-01,1.7500000000000000e+00,3.9269908169872414e+00,9.5917459484716581e+00,5.1296435480376767e-01,-3.0234895663802881e+00,9.9867578290501910e+00,9.0611842302393186e-01,1.2969726322004831e+02,2.7982040665874197e-01,3.5639485977049308e+00,2.7982040665874197e-01,3.5639485977049308e+00,2.4032960358768425e-16,1.4472756333245300e-16,7.3068445646422209e-01,7.3068446437474344e-01
