detail_id,selected_spin_case,selected_region,cluster_id,selected_C13,electron_photon_delta,electron_photon_region_offset,kinematic_point,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_in,phi_in,qOut,phiOut,Q2,xB,t,W2,y
Tx_aligned_cluster_0,Tx,aligned,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,k,2.2244176384674761e+00,8.5124777690143261e-01,-2.0550939279353830e+00,-2.9513459707981364e-06,2.2244176384674761e+00,-1.1780972450961720e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01
Tx_aligned_cluster_0,Tx,aligned,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,p,2.4140997970931570e+00,-8.5124777690143261e-01,2.0550939279353830e+00,2.9513459707981364e-06,2.2244176384674761e+00,1.9634954084936211e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01
Tx_aligned_cluster_0,Tx,aligned,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,kp,5.4770788689172845e-01,-3.4140806352822450e-01,-4.2828082320051442e-01,0.0000000000000000e+00,5.4770788689172845e-01,-2.2438027648905341e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01
Tx_aligned_cluster_0,Tx,aligned,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,pp,2.3408095486686586e+00,0.0000000000000000e+00,2.1446550639061677e+00,0.0000000000000000e+00,2.1446550639061677e+00,1.5707963267948966e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01
Tx_aligned_cluster_0,Tx,aligned,0,9.1009565372892698e-01,1.9634954084936229e-01,1.9634954084936229e-01,mid_s_low_theta_in_high_Egamma,qout,1.7500000000000000e+00,3.4140806352822450e-01,-1.7163742407056533e+00,0.0000000000000000e+00,1.7500000000000000e+00,-1.3744467859455345e+00,2.1515843999999991e+01,4.6385174355606331e+00,2.2244176384674761e+00,2.1446550639061677e+00,1.5707949999999999e+00,1.9634954084936211e+00,1.7500000000000000e+00,4.9087385212340520e+00,1.2575932404275798e+00,7.4801137990494856e-02,-7.2727251425059425e-01,1.6434738834117283e+01,8.1471642152281787e-01
Tx_aligned_cluster_1,Tx,aligned,1,7.7755848603767130e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,k,1.9409274622587749e+00,-7.4276078322819827e-01,-1.7931831564683762e+00,-2.5752126517462172e-06,1.9409274622587747e+00,-1.9634954084936214e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01
Tx_aligned_cluster_1,Tx,aligned,1,7.7755848603767130e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,p,2.1557002142576058e+00,7.4276078322819827e-01,1.7931831564683762e+00,2.5752126517462172e-06,1.9409274622587747e+00,1.1780972450961720e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01
Tx_aligned_cluster_1,Tx,aligned,1,7.7755848603767130e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,kp,7.2237035192701538e-01,2.4386290252016082e-01,-6.7996309467323490e-01,0.0000000000000000e+00,7.2237035192701538e-01,-1.2264440110997388e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01
Tx_aligned_cluster_1,Tx,aligned,1,7.7755848603767130e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,pp,2.1242573245900287e+00,0.0000000000000000e+00,1.9059446951772727e+00,0.0000000000000000e+00,1.9059446951772727e+00,1.5707963267948966e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01
Tx_aligned_cluster_1,Tx,aligned,1,7.7755848603767130e-01,1.9634954084936229e-01,1.9634954084936229e-01,low_s_low_theta_in_mid_Egamma,qout,1.2500000000000000e+00,-2.4386290252016082e-01,-1.2259816005040378e+00,0.0000000000000000e+00,1.2500000000000000e+00,-1.7671458676442591e+00,1.6782358319999997e+01,4.0966276765163805e+00,1.9409274622587749e+00,1.9059446951772727e+00,1.5707949999999999e+00,1.1780972450961720e+00,1.2500000000000000e+00,4.5160394395353274e+00,7.2780377212939906e-01,6.7944411066399604e-02,-5.6342009040974883e-01,1.0863793567201821e+01,6.7358866175391197e-01
