optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
10,latin_hypercube,nan,False,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,11363,9,0.0,1000.0,1000.0,0.001726943140749504,512,504,True,0.0001953125,0.0017258431614850522,False,nan,nan,0.9982730568592505,0.42975692641994573,0.4601926560518396,0.8784684323080821,0.7865213102552682,0.5790211196945523,0.8213862983656034,0.16886610579942576,0.7548530302284988,0.40131505772096726,0.4554571148658537,0.9543136988552507,0.7444854785109071,0.7307560416590162,0.9575314682756007,0.03523962178394911,0.6432358169032509
11,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,5085,153,0.05048023025160954,0.08266445173652714,0.0012963542001900308,5.933426783233386e-07,227,213,False,1e-05,5.933896204401989e-07,True,0.9173355482634729,0.99870364579981,0.9999994066573217,0.9330981323568164,0.8371739539762499,0.6996589794597993,0.1786514345556007,0.9766808023216794,0.3210064309591172,0.23648381027447807,0.6666341520950755,0.6804353125700735,0.9809248344978427,0.9958645353148529,2.415246327498477e-06,0.9958986790259869,0.9999721912298979,0.19782808283965464,0.7324863351579792
12,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,13111,1953,1.090801452657773,0.9892382766676008,0.4009556190711385,0.03048324508226452,512,504,True,0.0001953125,0.030481143861526783,False,0.010761723332399262,0.5990443809288615,0.9695167549177355,0.07888324373613313,0.12259443821682925,0.06310266825097466,0.6640413154398628,0.13144321075510648,0.8055213386352734,0.5255859849145478,0.45032142378411666,0.05686458588799905,0.11255463028429333,0.5329907583819844,0.6981565082666512,7.126951306510632e-05,0.4999930881859836,0.7959651041408442,0.5232349806143616
13,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,3677,9,0.0,1000.0,1000.0,5.844903402607571e-06,166,152,False,1e-05,5.844850364367105e-06,True,nan,nan,0.9999941550965974,0.8628549785876063,0.5789501776629665,0.497681087365789,0.8531375111955867,0.503334957913454,0.7263673740073321,0.1368471128371056,0.08976674000534385,0.20809154849086847,0.877146582981425,0.9763193163325397,0.0,0.5000184651672799,0.00035496296755693145,0.168017083588945,0.3204619793572401
14,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,9184,198,0.011450183050382605,0.7047764729710662,0.00023286421291557335,4.267926371459563e-05,415,401,False,1e-05,4.26793986444407e-05,True,0.2952235270289339,0.9997671357870844,0.9999573207362854,0.30117495212511036,0.9115666677945936,0.4046891923223278,0.3874445829607388,0.40473283412195094,0.5229472136404381,0.5903139503539935,0.6469354359531958,0.006282487904926156,0.9997554967808786,0.9156562879743624,0.0,0.09335666910176006,0.5802939884486316,0.005681916411053724,0.9944022389599365
15,latin_hypercube,nan,False,False,2,ABNORMAL: ,53,11345,963,1.4344493878969045,0.8544981808465237,0.0053420063780726945,0.0037998326092939516,512,502,True,4.8828125e-05,0.003799434646122646,False,0.1455018191534762,0.9946579936219273,0.996200167390706,0.14072980729936838,0.5274060759033506,0.9994999137435909,0.05612990505092014,0.8692649978100624,0.8864945285520849,0.2832988799164502,0.5293426755526947,0.19258707813951392,0.9421722660928878,1.0,0.0,0.9959895180681196,0.8251587840821692,0.4542180139432562,0.5432238391596631
16,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,2213,387,0.010801212053289072,0.5005002169548048,4.871725932664717e-06,1.6153179666078543e-06,84,70,False,1e-05,1.6157209177247722e-06,True,0.49949978304519516,0.9999951282740673,0.9999983846820334,0.32044890875812276,0.5724543982399586,0.23350660013443703,0.4427906529742887,0.06619592594394733,0.4286600731810818,0.1699278633775613,0.6249806289976686,0.5966281635663905,0.9988809413934502,0.9883549499170894,0.0,0.00039012266352164395,0.5001306785622824,0.33722300856045667,0.8225034651032721
17,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,3514,558,0.2991071051569882,0.9724570558452239,0.0005757429533475023,4.447020488629327e-06,138,124,False,1e-05,4.447038426613759e-06,True,0.02754294415477608,0.9994242570466525,0.9999955529795114,0.9753887687957093,0.05235332411241906,0.8275118885902759,0.5468876648828676,0.8899033453235843,0.9684550096220509,0.7384978317694271,0.06468431715410224,0.7077287046625631,0.9940063397290073,0.8491013412333764,0.0,0.0007301742236457731,0.9996428293566065,0.5189962576371734,0.019058720587483733
18,latin_hypercube,nan,False,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,11153,9,0.0,1000.0,1000.0,0.000921276862416609,512,506,True,0.00078125,0.0009211098640409254,False,nan,nan,0.9990787231375834,0.846805864948968,0.30818716233477966,0.46737477503956776,0.8480711690344626,0.39861735176314633,0.7239974554661495,0.39511786867360404,0.3335351693730886,0.1492730366278818,0.8327590242179267,0.6773168412424981,0.0,0.49959653597332637,0.9914800329663987,0.2407848679331666,0.2570347860047375
19,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,2248,801,20.193477690307386,0.6158806390523592,0.01969349614448357,1.356253636575211e-05,66,52,False,1e-05,1.3570645427507522e-05,True,0.38411936094764076,0.9803065038555164,0.9999864374636342,0.4552282414360435,0.583601995791521,0.7166269683669231,0.7687423204669905,0.9142275545464732,0.5015477157218451,0.966255439317621,0.6423336428743188,0.3662324554277319,0.6277306583141758,0.8080857147155888,0.7394059069260339,0.999294053171134,0.4993491623829569,0.9658090027924557,0.5403391403396485
20,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,11657,234,2.5398584989647772,0.971235278311211,0.031909923970843135,0.0006292747229518225,512,501,True,2.44140625e-05,0.0006291051875808584,False,0.028764721688788995,0.9680900760291569,0.9993707252770482,0.7692885983619524,0.513146100216513,0.7976753197286669,0.39310954347438226,0.197245409708964,0.8029530795727572,0.5108491041908918,0.3506303933465126,0.6811311179578832,0.581209775489914,0.9556072512261413,0.7869674696720553,0.23390662228248177,0.5298391174452277,0.9816338408279812,0.3938914846925292
21,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.5092137669679342,0.7644651283156253,0.11738851297099141,0.9378773339164603,0.23567191862282802,0.23044691537528758,0.013381358237716077,0.09407653597659112,0.5092137669679342,0.7644651283156253,0.11738851297099141,0.9378773339164603,0.23567191862282802,0.23044691537528758,0.013381358237716077,0.09407653597659112
22,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,11171,180,0.05067179079754161,0.7751741204314916,0.001300384096220908,0.001205261114347489,512,504,True,0.0001953125,0.0012052573250214138,False,0.22482587956850844,0.9986996159037791,0.9987947388856525,0.9269350860675336,0.5203557588620594,0.5979923243586968,0.24051666267948169,0.14754202181566684,0.9411766103856487,0.23820123656768455,0.9295283696140242,0.20341739878848117,0.8702746775357435,0.4841837927634374,0.0,0.25400075368452246,0.8091738247752146,0.26205993740002215,0.7627800967787177
23,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47,2335,621,0.03759642011180367,0.2355348784644914,3.528416245568433e-05,9.8708573170736e-07,79,65,False,1e-05,9.870721751070732e-07,True,0.7644651215355086,0.9999647158375443,0.9999990129142683,0.38056451467816044,0.6856070247976671,0.6541870409326842,0.4654598966602435,0.5312442565376713,0.2233398538146361,0.08473003955041741,0.4234410010331871,0.6618417201463852,0.9999967468604334,0.8518544443582408,3.168454367194304e-05,0.7926022712473842,6.858794639922986e-05,0.020223673963276248,0.4788521049837503
24,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,8066,162,0.04888396963506233,0.5565044786289912,0.0012639028766553428,5.610585289494985e-05,368,354,False,1e-05,5.610726140703459e-05,True,0.4434955213710087,0.9987360971233447,0.999943894147105,0.48275554278921656,0.8172322413124027,0.15082737555460257,0.6183107539806671,0.8758000737891516,0.27428135787627217,0.848256898353111,0.7788722586433565,0.12354779260086103,0.8234882554902765,0.9862211614498028,0.0,0.9999343289082829,0.5000015336324076,0.7971906658180442,0.7430513435032562
25,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,11237,306,0.04688439507790105,0.2170558647387303,0.0012055271582575022,0.0010429124785682475,512,504,True,0.0001953125,0.0010428259387059713,False,0.7829441352612697,0.9987944728417425,0.9989570875214318,0.08561121755666581,0.6508050876816995,0.33177168111708283,0.010415851272933825,0.19225754862285885,0.4159538073806195,0.7624277935582942,0.3351338304099271,0.12422821348749613,0.8193549268862261,0.4159313782400728,0.0,0.24133632419367196,0.5959484348929234,0.6647140025753078,0.1629766225034076
26,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,2762,720,2756.264185484507,0.9723023834744192,0.2008398371750837,0.03889755469321132,92,78,False,1e-05,0.038897700784795264,True,0.027697616525580775,0.7991601628249163,0.9611024453067887,0.823732397444138,0.04384413308769218,0.6917258154239017,0.5521842168452857,0.21368590914993307,0.6596829729416251,0.42660965012045876,0.9475691309388067,0.8304997708443922,2.3788748805206148e-05,0.9439447853880949,0.619170039460161,3.0001295385861915e-05,0.5003078725074591,0.2287841893595499,0.9927343295408437
27,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,11822,288,0.006024822691990129,0.8565153977741444,5.030407156914052e-05,1.4394366077752352e-05,512,503,True,9.765625e-05,1.4376786089620452e-05,False,0.14348460222585557,0.9999496959284309,0.9999856056339222,0.3245366941058467,0.3124570455484282,0.762767078077233,0.4035065960056401,0.0005254390741160535,0.5378923015800573,0.5983587344555713,0.03710923813850897,0.5881569142425469,0.9625351230662416,0.935894880436518,0.1641613498507633,0.9996959344488666,0.5000777166659125,0.9539700304632225,0.5542139339377791
28,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47,2238,1476,0.38387327089020995,0.9618703419788219,0.008267575892149104,0.007399675389824334,37,23,False,1e-05,0.007399781728311017,True,0.038129658021178084,0.9917324241078509,0.9926003246101757,0.3479013920697058,0.02703784827786694,0.28669832311117466,0.20295011730966303,0.35103118849455567,0.994909836316986,0.10372855331887085,0.516422469808869,0.2453843238100238,0.006496766986191895,0.8061205727221435,0.6908952495992211,0.4960751486356578,0.9959908874791343,0.14286073287375184,0.4136389325078984
29,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,5363,90,0.04899303601298691,0.6131032201236285,0.0012772391796762594,1.9975842657782295e-06,241,227,False,1e-05,1.9981256731416153e-06,True,0.3868967798763715,0.9987227608203237,0.9999980024157342,0.4871070577520863,0.6768496850775682,0.13157412327204235,0.5047241841055495,0.5488694029270882,0.27959813735389843,0.6033749503250994,0.26753886730283294,0.4178023933692179,0.9484594161665597,0.9927961307653552,9.353388784640646e-05,0.7631815288506274,0.9965163096694584,0.6954246749179628,0.22546769395506702
30,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.04441691476587753,0.28548305110140804,0.19984776288852799,0.858034752888374,0.539997307920244,0.7492465529940064,0.6285313413267001,0.6190991030796149,0.04441691476587753,0.28548305110140804,0.19984776288852799,0.858034752888374,0.539997307920244,0.7492465529940064,0.6285313413267001,0.6190991030796149
31,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,337,9,0.0,1000.0,1000.0,1000.0,14,0,False,1e-05,1000.0,True,nan,nan,nan,0.30405634373641455,0.8526268289887236,0.7194674874460566,0.9190813941851765,0.8642215838828804,0.37277987228514026,0.39753438016034737,0.8076206592095301,0.30405634373641455,0.8526268289887236,0.7194674874460566,0.9190813941851765,0.8642215838828804,0.37277987228514026,0.39753438016034737,0.8076206592095301
32,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,7325,207,0.0499168107888877,0.8828418156901774,0.0012649638080660663,2.0805793332634437e-07,324,310,False,1e-05,2.0884290496958613e-07,True,0.11715818430982264,0.9987350361919339,0.9999997919420667,0.25701581640017357,0.23536442799890475,0.1382267824552971,0.011050605174794089,0.8170952999253454,0.14218627883727428,0.40382068508149876,0.3030055020796127,0.5009824971215734,0.9632495977490365,0.9912120644742829,0.0,0.9989372088335919,0.9999927411446493,0.18481025141595792,0.28946051035990156
33,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,1691,333,1.3264570237166033,0.9845729197183285,0.0214796606811124,3.0455895785763687e-05,60,46,False,1e-05,3.0456928146960216e-05,True,0.01542708028167152,0.9785203393188876,0.9999695441042142,0.7559005347401636,0.6972185966392556,0.8244163410792431,0.5927223145934625,0.2866133970018992,0.5555462139963016,0.005113747350337272,0.961555050607291,0.651277003405775,0.4555905229413901,0.9774457787213202,0.7933624534795932,0.49984769654100975,0.5000204078768127,0.9670723672938301,0.7031930140955572
34,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,11338,297,0.049420130698489245,0.13776619920607602,0.0012706791424387243,0.0012335486608984203,512,506,True,0.00078125,0.0012334053596020356,False,0.862233800793924,0.9987293208575613,0.9987664513391016,0.28383881826238144,0.73089123773938,0.39019523490825053,0.1975177683421516,0.03283578799971945,0.2520497245480026,0.25999638099835704,0.7915663910139988,0.29622538554312766,0.9114741170692083,0.5106487319799841,0.0,0.7690246399049023,0.37721585321149514,0.24549525221312318,0.7434613503426699
35,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,11722,396,0.05070886613028995,0.97381074270602,0.0013007795136469325,0.001237927538684347,512,503,True,9.765625e-05,0.0012379148537972062,False,0.02618925729398004,0.9986992204863531,0.9987620724613157,0.9619154581696434,0.24333503210293603,0.009549658451377303,0.07039944494185463,0.25384214915198205,0.10165203887174339,0.9469710768285138,0.047996335394745286,0.47151920959265736,0.9789762329213263,0.5462791607156506,0.0,0.0010190792833199196,0.0003947497988649413,0.24010560512269477,0.25818983412437296
36,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,11465,468,0.008886032963696507,0.9696935537392523,0.00015733150037433585,2.0642244440316482e-05,512,504,True,0.0001953125,2.0625121387896073e-05,False,0.030306446260747796,0.9998426684996257,0.9999793577555597,0.4119448216291576,0.17929676176708925,0.6842664489822766,0.5513868504108606,0.18909919482288454,0.6558178223414212,0.11167984153230899,0.30850251500051035,0.4313965555642425,0.9548173613595976,0.864384890111074,0.0,7.674101514423259e-05,0.9998417029531483,0.03401723485023942,0.46073421710880413
37,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,11296,396,0.03346985303213045,0.9065445557782958,0.0008421696642926246,0.0007615119807619086,512,503,True,9.765625e-05,0.0007614675819864747,False,0.09345544422170411,0.9991578303357074,0.9992384880192381,0.21080065964611344,0.8000913435705436,0.46346603855898794,0.3405156346335766,0.5975281008441518,0.25975215774157284,0.2914396785582181,0.5273708309916373,0.14139773279603504,0.8337234457741671,0.38908751479594567,0.0,0.759426631157112,0.38018801462429713,0.06516239667155661,0.5637910984598525
38,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,3176,630,2.0755445028696573,0.22714776903503764,0.04798317822245324,0.000604126687713924,116,102,False,1e-05,0.0006041279193897964,True,0.7728522309649624,0.9520168217775468,0.9993958733122861,0.44241576160044577,0.6934999019446411,0.9165668802210516,0.7365235086598504,0.39597436701271227,0.23828082862208386,0.43364878061603424,0.91515442648811,0.4925598047479499,0.8960456774558722,0.9422947783643404,0.4907913121943581,0.22652162783843507,0.512047166480396,0.4630598670585725,0.9160887243808192
39,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,7861,297,0.049039075311369654,0.9064092517831182,0.0012663410217073068,3.330732188056018e-06,349,335,False,1e-05,3.3308004186993756e-06,True,0.09359074821688189,0.9987336589782927,0.9999966692678119,0.09858342445724214,0.16154999384203128,0.48238708622175075,0.46392793295442164,0.20517804167721967,0.15117274429024738,0.3716244722456402,0.14709362680718804,0.5712170843238548,0.9918516394675925,0.9925690678050101,3.440114109307953e-06,0.49842266022824167,0.49998869083798286,0.3133316462605831,0.7907730117552859
40,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21,1670,297,0.04909002944945168,0.9413670961020648,0.0012611648805029851,5.099356927829035e-07,61,47,False,1e-05,5.0989264033241e-07,True,0.05863290389793519,0.998738835119497,0.9999994900643072,0.8322643605982469,0.5192242962558079,0.5169819780914054,0.6570703284544479,0.7065268574712354,0.8360625872674109,0.5129885197892872,0.8122253226130024,0.40372585729659966,0.9454494826839963,0.9844265488288001,0.007216843709718119,0.49959971669045783,0.9999969209614695,0.6624659734917683,0.8255484698422044
41,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,1424,9,0.0,1000.0,1000.0,0.8077159513579824,62,48,False,1e-05,0.8077159528879758,True,nan,nan,0.19228404864201765,0.5029452817167667,0.7551895409922699,0.24359957498759732,0.8883036988993239,0.7963250095643711,0.17754940351163637,0.1127819815513006,0.3756597536286718,0.4789402290323232,0.7715799282769701,0.31111973641420376,0.8851388188249272,0.800485468942393,0.21115402321320872,0.14023192905195156,0.4055193000475855
42,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36,11581,459,0.0488256164490606,0.2878803153903622,0.0012554745263396727,4.4164964167259235e-05,512,504,True,0.0001953125,4.413093519972655e-05,False,0.7121196846096378,0.9987445254736603,0.9999558350358327,0.1357053414389473,0.9400549960579406,0.13737819206799662,0.15739518535369668,0.601856887854143,0.2863798655561516,0.5995711870706567,0.955483244258054,0.12376866484280422,0.8223052868516372,0.9838912268422253,0.0,0.5000743431902498,0.9999992648720487,0.6990309334866186,0.7649317239764885
43,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,12540,1440,2.3112796850503234,0.8170267470857976,0.025526427218853343,0.0002729846166811267,512,505,True,0.000390625,0.00027266551560234387,False,0.18297325291420244,0.9744735727811467,0.9997270153833189,0.1752594609188571,0.29696789914616395,0.7089346830406225,0.5963595635353283,0.1486331627065834,0.7414382123487466,0.1298545409617245,0.6908091518156242,0.9709167066644107,1.0,0.9533664514872671,0.7195032606758414,0.15244310254217472,0.0013341414490421557,0.018808235196667425,0.5741141043392478
44,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,11221,180,0.04916765774380128,0.9194629865001553,0.0012646832353935267,0.00121091386595229,512,504,True,0.0001953125,0.0012108987905705693,False,0.08053701349984471,0.9987353167646065,0.9987890861340477,0.42542118529755407,0.9145992833948356,0.25771650671823226,0.5546855645338475,0.8155935562500511,0.38511921770287316,0.5820180540854579,0.4205658339879519,0.2212598088830935,0.8780661835241017,0.5349544061654632,0.0,0.7509548448043454,0.2558763994434601,0.7541155961163358,0.253968541589195
45,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,11478,387,0.01303857521512351,0.9722364167626621,0.00032325512071218476,5.168412309486392e-05,512,503,True,9.765625e-05,5.1673991763867555e-05,False,0.027763583237337866,0.9996767448792878,0.9999483158769051,0.5927923310108404,0.9370498252088475,0.5217557563245077,0.6380862383020729,0.5367588316288918,0.9100650914018168,0.9871662142239782,0.8542105051088796,0.5834628239786999,0.9743894840577637,0.7625139913659935,0.0,0.4983564730420134,0.9998167657318422,0.5142045771135323,0.9879695414489585
