optimization_run,start_source,screening_one_minus_C_e_p,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_one_minus_C_e_p,lbfgs_one_minus_C_e_p,final_one_minus_C_e_p,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_one_minus_C_e_p,local_minimum_verified,initial_C_e_p,lbfgs_C_e_p,final_C_e_p,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7
0,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15,2289,198,0.05058222186580146,0.23572408171717396,0.0012943097560857986,4.815341426711583e-07,95,81,False,1e-05,4.815480080244683e-07,True,0.764275918282826,0.9987056902439142,0.9999995184658573,0.8822867138792567,0.7241563954231865,0.3950711175221526,0.08006788381523192,0.7216912246765648,0.709036548707292,0.11868755589089122,0.42963009404888364,0.42361165571911846,0.9492638405189083,0.9810984859359664,0.014251517756942262,0.4994007730422339,0.9999860361989363,0.14694752156672872,0.34264681741184855
1,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,1934,135,0.05090228225484084,0.9381230708825126,0.0013059013715629453,4.5435406881289e-08,82,68,False,1e-05,4.779925621978265e-08,True,0.06187692911748745,0.998694098628437,0.9999999545645931,0.9819948723401494,0.4108665771777773,0.3126645314394852,0.4217993329931204,0.7611763781981268,0.8340713364125377,0.6392496954436058,0.523225826834143,0.5837676832001428,0.9775846186858886,0.9889354765832328,0.0,0.0005445217439611888,4.18313690397909e-05,0.666879597609145,0.8151962303419442
2,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,3654,9,0.0,1000.0,1000.0,1.367216251990655e-06,164,150,False,1e-05,1.368718078431641e-06,True,nan,nan,0.999998632783748,0.27327077111888964,0.8332698101161703,0.26524864962181516,0.7381589584484399,0.9133490260353403,0.7799278154276712,0.26768382649802225,0.9466585791537104,0.43939322904206307,0.9525383658479392,0.9913064824128237,0.004927137225494606,0.73707397856847,0.5027650115658098,0.3123585145384059,0.7860904933076465
3,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22,1351,882,1.7630353782410162,0.9928214391828079,0.12986423506842437,0.12984985518160552,22,8,False,1e-05,0.129849988325915,True,0.0071785608171921,0.8701357649315756,0.8701501448183945,0.49031340543345125,0.11946802960642872,0.17247593400752184,0.3578551445643768,0.6551575594935322,0.24564442883775672,0.934447310254221,0.9755244194497723,0.09823062971014579,0.08201106586876596,0.6861628227257321,0.7306960285859716,0.21623578953775846,0.6684409248944855,0.3589578769927562,0.9303869277378656
4,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,6439,333,0.050533017697677866,0.5496828651399144,0.0012764092311647879,2.600125707630241e-06,279,265,False,1e-05,2.600520524365102e-06,True,0.4503171348600857,0.9987235907688352,0.9999973998742924,0.7457507351227447,0.699424323479345,0.3625201137793205,0.7327405563093901,0.29669402278787865,0.7143462670991733,0.10301658337892018,0.6113177980512424,0.5756097428170563,0.9931659649899507,0.9949578837000462,3.270993343387024e-06,0.012877797966563881,3.52293195442743e-05,0.1968994902809499,0.7305679018594491
5,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,3167,333,0.055525010346056954,0.8037419945762625,0.0007129656251906313,3.8484543402050875e-06,131,117,False,1e-05,3.849104911357593e-06,True,0.19625800542373747,0.9992870343748094,0.9999961515456598,0.3908743855549598,0.5858186714488914,0.5855704704668951,0.7163911556604419,0.12845499356104984,0.04225455601400358,0.6457265740967016,0.37710284448350134,0.2982439255548859,0.9148234327830717,0.9830771622756154,0.0,0.24688473943561984,0.005898874555619035,0.6731432151363009,0.18924316030178592
6,latin_hypercube,nan,True,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,793,9,0.0,1000.0,1000.0,0.9084403929346363,34,20,False,1e-05,0.908440393145881,True,nan,nan,0.09155960706536367,0.8994394830740573,0.987874476181594,0.23010135484845465,0.88680102661437,0.6381492683373841,0.806789662120048,0.8038011962281855,0.2552390425626712,0.8747424732802652,0.9872909396258038,0.22083094941680595,0.8815311157627745,0.7185685370795412,0.8262596629553556,0.7691284211890556,0.2796032460842123
7,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,2536,288,0.042152052608314124,0.8950724771579107,0.001078903008203902,4.1397062444659127e-07,103,89,False,1e-05,4.139141940306956e-07,True,0.1049275228420893,0.9989210969917961,0.9999995860293756,0.8036030592214982,0.6490150947662369,0.8240924903345681,0.1404616304463294,0.49494569770039204,0.11719740372534834,0.9519651620497106,0.9134473888191129,0.4529771864983663,0.954275386385624,0.9673327601059339,2.1550939635958412e-05,0.5001536273690227,0.9999722965481931,0.10519893796350321,0.3926301340666293
8,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,4711,288,0.0472507292909873,0.8337144373450726,0.0012124002413796964,6.329587410869308e-07,202,188,False,1e-05,6.355355507414728e-07,True,0.16628556265492742,0.9987875997586203,0.9999993670412589,0.6476476127327401,0.5801365579066893,0.7825489363294366,0.10327381720974112,0.049335220456439496,0.2279453758045169,0.07409269454546966,0.4724825447469888,0.631767045222625,0.9870832072796415,0.9933472424183915,2.806243767179679e-05,0.5911289239585599,0.5004211370609266,0.31256200658462996,0.7895221559489075
9,latin_hypercube,nan,False,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,10386,162,0.05662011465138799,0.7188296537352278,0.0015318292071714312,0.0014593218961507226,512,504,True,0.0001953125,0.0014593040086695597,False,0.2811703462647722,0.9984681707928286,0.9985406781038493,0.7374689173377832,0.34672695429382877,0.026481698885197986,0.18156765281086146,0.19247746996650814,0.797614516034284,0.20436365160708964,0.7594614322875041,1.0,0.9534266403319104,0.0,0.0,0.10474366531332352,0.8090774705464248,0.2558185814374062,0.751200176395087
