selected_observable,selected_observable_label,selected_spin_case,selected_region,cluster_id,size,max_concurrence,best_purity,best_kinematic_point,best_pair_delta_xy,s_min,s_max,theta_in_min,theta_in_max,phi_in_lepton_min,phi_in_lepton_max,qOut_min,qOut_max,phiOut_min,phiOut_max,Q2_min,Q2_max,xB_min,xB_max,t_min,t_max,W2_min,W2_max,y_min,y_max,theta_lepton_gamma_deg_min,theta_lepton_gamma_deg_max,pair_delta_xy_min,pair_delta_xy_max,abs_k_dot_qout_min,abs_k_dot_qout_max,abs_kp_dot_qout_min,abs_kp_dot_qout_max,best_lepton,best_s_regime,best_theta_in_regime,best_qOut_regime,best_lepton_mass,best_s,best_sqrt_s,best_pIn,best_pOut,best_theta_in,best_phi_in_lepton,best_phi_in,best_qOut,best_phiOut,best_Q2,best_xB,best_t,best_W2,best_y,best_theta_lepton_gamma_deg,best_k_dot_qout,best_kp_dot_qout,best_abs_k_dot_qout,best_abs_kp_dot_qout
C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Tx,enhanced_region_0,0,12,7.9345382962837913e-02,5.2244964196666832e-01,high_s_high_theta_in_mid_Egamma,2.6507271215560753e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,5.8904862254808599e-01,4.7123889803846897e+00,1.0000000000000000e+00,1.0000000000000000e+00,9.8174770424681035e-01,5.4977871437821380e+00,5.0514267503532095e-01,1.4735040436355391e+01,5.8410065917567491e-02,9.3248470810430995e-01,-7.2961754777688927e+00,-3.1626988609951882e-03,1.9467146387451510e+00,9.0229140448101735e+00,3.8769194860186834e-01,8.0474185552559319e-01,3.2828508397152824e+01,1.6255485168726733e+02,2.5583913126495830e+00,2.8631514048149134e+00,3.1599242506760700e-01,8.4237736235970218e-01,5.6698241315481102e-01,4.1050821161874200e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.8708892135738879e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,5.3014376029327757e+00,8.2959460452631195e-01,1.0208518986656315e-01,-1.0162413604693920e-02,8.1767426273586015e+00,4.1385685638036862e-01,6.1874523293975720e+01,5.8035202642150063e-01,9.9006812188221915e-01,5.8035202642150063e-01,9.9006812188221915e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Tx,enhanced_region_1,1,4,3.8740028759047675e-02,5.0992816694735177e-01,high_s_high_theta_in_mid_Egamma,2.5583913126495830e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,2.4543692606170264e+00,4.7123889803846897e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.9634954084936207e+00,3.9269908169872414e+00,1.0749320333790093e+00,1.5101975976118476e+01,1.4120211436557914e-01,9.4441044924989426e-01,-7.5593333909805853e+00,-2.0438956343080090e-02,1.7589368744117957e+00,7.4176310693672720e+00,3.8769194860186823e-01,8.1814366410240058e-01,7.8414975442244227e+01,1.6852247014426246e+02,2.5583913126495830e+00,2.9492142578696399e+00,3.8564963689377418e-01,8.4237736235970251e-01,1.3696239008775812e+00,4.1989709983540742e+00,heavy,high_s,high_theta_in,mid_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,1.7788808468314095e+00,1.5707949999999999e+00,4.7123889803846897e+00,1.5707963267948966e+00,1.0000000000000000e+00,3.9269908169872414e+00,1.0749320333790093e+00,1.4120211436557914e-01,-2.0438956343080090e-02,7.4176310693672720e+00,3.8769194860186823e-01,7.8414975442244227e+01,8.4237736235970251e-01,1.3696239008775812e+00,8.4237736235970251e-01,1.3696239008775812e+00
C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Tx,enhanced_region_2,2,31,1.6150146341568205e-02,5.0014314451509068e-01,high_s_high_theta_in_low_Egamma,3.0322095055184262e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,1.4726215563702159e+00,2.3561944901923439e+00,2.5000000000000000e-01,1.0000000000000000e+00,1.7671458676442586e+00,4.0251655874119221e+00,1.5258293853915520e+01,1.6593846073462682e+01,8.9108174621823744e-01,9.5290040731274306e-01,-1.7367983577853192e+01,-7.7437036785782816e+00,1.6482439729054632e+00,2.8084369356734205e+00,8.1852882246750303e-01,9.0358417515645251e-01,4.4229200402429143e+01,1.7430637006197682e+02,2.9492142578696399e+00,3.0568708740157717e+00,3.8564963689377418e-01,9.9022482208193308e-01,1.9533289105165197e-01,4.2543174491069058e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0316678428022992e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,3.7306412761378791e+00,1.6008030214708718e+01,9.0485470076830044e-01,-1.7123395443304631e+01,2.5630853243754106e+00,9.0096106839906975e-01,6.2517192734343901e+01,8.7569131100267839e-01,3.1800869670465859e-01,8.7569131100267839e-01,3.1800869670465859e-01
C_heavy_p,C_{l_heavyp},lepton_heavy_unpolarized_proton_Tx,enhanced_region_3,3,33,1.6150146341554945e-02,5.0014314451509079e-01,high_s_high_theta_in_low_Egamma,3.0322095055184262e+00,2.1515843999999998e+01,2.1515843999999998e+01,1.5707949999999999e+00,1.5707949999999999e+00,6.8722339297276669e-01,1.6689710972195773e+00,2.5000000000000000e-01,1.0000000000000000e+00,0.0000000000000000e+00,6.1850105367549055e+00,1.4934902067976269e+01,1.6593846073462682e+01,8.9108174621823744e-01,9.5290040731274273e-01,-1.7367983577853192e+01,-7.4850666630006213e+00,1.6482439729054665e+00,2.8084369356734205e+00,8.0535724905215267e-01,9.0358417515645251e-01,4.4229200402429115e+01,1.7430637006197676e+02,2.9026103024208290e+00,3.0568708740157717e+00,3.8564963689377407e-01,9.9022482208193296e-01,1.9533289105165183e-01,4.2543174491069058e+00,heavy,high_s,high_theta_in,low_Egamma,1.0000000000000000e+00,2.1515843999999998e+01,4.6385174355606331e+00,2.1069425131857251e+00,2.0316678428022992e+00,1.5707949999999999e+00,1.5707963267948966e+00,4.7123889803846897e+00,2.5000000000000000e-01,5.6941366846315002e+00,1.6008030214708718e+01,9.0485470076830044e-01,-1.7123395443304631e+01,2.5630853243754106e+00,9.0096106839906975e-01,6.2517192734343887e+01,8.7569131100267827e-01,3.1800869670465842e-01,8.7569131100267827e-01,3.1800869670465842e-01
