lepton,kinematic_point,s_regime,theta_p_gamma_regime,qOut_regime,lepton_mass,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,qOut,theta_p_out,phi_p_out,theta_gamma_out,phi_gamma_out,theta_lepton_out,phi_lepton_out,cos_p_gamma_out,Q2,xB,t,F1,F2,W2,y,theta_lepton_gamma_rad,theta_lepton_gamma_deg,k_dot_qout,kp_dot_qout,abs_k_dot_qout,abs_kp_dot_qout,aligned,reference_name,search_stage,sample_id,alpha_e,alpha_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_trace,lepton_electron_alpha_e_mix_proton_alpha_p_mix_spin_signal_M2,lepton_electron_alpha_e_mix_proton_alpha_p_mix_cross_section_ratio,lepton_electron_alpha_e_mix_proton_alpha_p_mix_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M2_magic,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_out_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_lambda_mean,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda,lepton_electron_alpha_e_mix_proton_alpha_p_mix_h_lambda_connected,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_e_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_p_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_C_gamma_rest,lepton_electron_alpha_e_mix_proton_alpha_p_mix_D_W,lepton_electron_alpha_e_mix_proton_alpha_p_mix_dGHZ,lepton_electron_alpha_e_mix_proton_alpha_p_mix_F3,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_e,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_p,lepton_electron_alpha_e_mix_proton_alpha_p_mix_M_gamma,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_plus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_minus_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_phase_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_abs,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_phase_rad,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_coherence_visibility,lepton_electron_alpha_e_mix_proton_alpha_p_mix_GHZ_purity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_population,lepton_electron_alpha_e_mix_proton_alpha_p_mix_Wbar_subspace_max_fidelity,lepton_electron_alpha_e_mix_proton_alpha_p_mix_W_purity,optimization_run,start_source,screening_D_W,success,lbfgs_success,lbfgs_status,lbfgs_message,lbfgs_iterations,function_evaluations,lbfgs_function_evaluations,lbfgs_gradient_norm,initial_D_W,lbfgs_D_W,final_D_W,local_search_polls,local_search_moves,local_search_poll_limit_reached,smallest_tested_step,best_neighbor_D_W,local_minimum_verified,initial_u0,initial_u1,initial_u2,initial_u3,initial_u4,initial_u5,initial_u6,initial_u7,final_u0,final_u1,final_u2,final_u3,final_u4,final_u5,final_u6,final_u7,local_minimum_id,D_W_above_global_minimum,within_polarization_cluster_cut,polarization_cluster_id,polarization_cluster_size,polarization_cluster_distance,polarization_cluster_representative,polarization_configuration
electron,gradient_local_minimum_0000,gradient,gradient,gradient,0.00051099895,5.809583151535337,2.410307688145921,1.022636823807298,0.34727089869426053,0.0,0.0,3.141592653589793,0.0,0.6117377467709335,2.2581930842587767,0.6261454139636328,2.724249632334721,3.092715179622103,0.21724160151636782,4.888656182300498,0.33548827812060306,3.2273066123165046,0.7490539042924625,-1.4669473759476082,0.1602378524883457,0.16144690620827185,1.9610478884930962,0.8739835104018138,2.7193838518503495,155.80921758705415,0.05369463174081457,0.9338742499250485,0.05369463174081457,0.9338742499250485,False,,gradient,1622001378,0.03628431494646565,1.5599769628831104,1.0,0.1471566535145391,0.007526877740555861,1.0,1.1403165727196893,0.31090117596823774,-0.27620238433812627,0.23767027868984217,0.3235419247857968,0.6666554591142055,0.6666572236390225,0.666659233080698,0.9428010082725234,0.9428019080269702,0.9428036560678689,1.6432839182868406e-05,1.1600191541005749,0.8888759709531406,1.2386202825120929e-05,1.1403560779055244e-05,1.2347013106372984e-05,0.2697487796582997,0.09795827516945153,0.33625022566530405,0.36770705482775123,0.15239669825142843,-0.972023338968857,0.8289027705645581,0.2697487796582997,0.029854688238368364,0.13252666797799767,0.13252666797799767,0.002478365461647385,0.49976627719425104,0.49976627719425126,0.029854688238368364,1622,sobol_screened,0.6045126428441728,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53,1437,909,29.358487676699788,0.6045126428441728,0.0005340320679347049,1.6432839182868406e-05,23,9,False,1e-05,1.718061268736232e-05,True,0.2401130860671401,0.5929160360246897,0.4117483450099826,0.5397966895252466,0.10235764645040035,0.3450434021651745,0.13873032480478287,0.7185620749369264,0.35492554959048317,0.7188051836314344,0.8671555904046986,0.577171991466939,0.09965413772663323,0.4922209084121967,0.011549656160866296,0.49655608950465835,0,0.0,True,0,350,0.014113388896994854,True,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0004,gradient,gradient,gradient,0.00051099895,7.61269514833603,2.759111296837449,1.2201122199542145,0.843757736560562,0.0,0.0,3.141592653589793,0.0,0.6567275545131039,2.4787179396804304,2.3257002526064556,1.7094199027204227,4.866308939338484,0.45330743884804836,0.80169941810814,-0.39377119109989267,3.8959360948029538,0.650465951607326,-3.7466061009653293,0.0466109938229238,0.029633918028383305,2.973362211261719,0.8895866559939796,1.967034396500251,112.70276907652733,0.6905603120509894,0.7652253089699596,0.6905603120509894,0.7652253089699596,False,,gradient,1135001548,3.0790539445801137,1.6316118448071575,1.0,0.0025215849679224005,0.022601658734089078,1.0,1.0209240414996394,0.314737902338157,-0.13279555868043105,0.3153632360161225,0.357159031595025,0.6666485087887458,0.6666624880088825,0.6666508683955042,0.9428066769466152,0.9427989216822344,0.9428086074943306,2.442857104261375e-05,1.1600129184715062,0.8888807689918181,2.5322906667402112e-05,2.619212244558966e-05,2.581711472543491e-05,0.3610368521069744,0.0769350006315575,0.42907198423667836,0.4379718527385319,0.21008605786741238,-0.8282638641443375,0.959358719304883,0.3610368521069744,0.09439636248996659,0.1605812229602182,0.16058122296021818,0.13287519160333527,0.40144692430124995,0.4014469243012499,0.09439636248996659,1135,sobol_screened,0.4904565902854616,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28,1585,711,4.77992058363163,0.4904565902854616,0.00031075287092406526,2.442857104261375e-05,40,26,False,1e-05,2.4450660730663804e-05,True,0.42942164465785027,0.6485720761120319,0.4728726027533412,0.6206155009567738,0.32173523120582104,0.7713459990918636,0.9615605659782887,0.49830444250255823,0.4418101169761941,0.7890004252613979,0.5441252546752443,0.5140304426348232,0.37014669135238704,0.774497122307998,0.9800933106530477,0.519358180616691,4,7.995731859745343e-06,True,0,350,0.024740566331057794,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0006,gradient,gradient,gradient,0.00051099895,4.576480885029401,2.1392711106891995,0.8639943953665541,0.7345845914516588,0.0,0.0,3.141592653589793,0.0,0.5679637450939652,2.4967831049625304,2.2052294899600784,1.0892729767673723,4.944530147428888,0.5491016611366024,0.7439675010343499,-0.8603138286656691,1.2164113781999784,0.3699949801289337,-2.2935530472588463,0.09342156184979573,0.07690949120024973,2.9510755454312836,0.8893605885866946,1.4014967839622807,80.29985072219681,0.7179834936119652,0.17941265908254378,0.7179834936119652,0.17941265908254378,False,,gradient,1920001895,3.069749843666217,1.6286162193741671,1.0,0.02583859997394035,0.029292495008724342,1.0000000000000002,1.225669690710792,0.3040045123610002,-0.17940007461804652,0.3752369993262258,0.42977543152801206,0.6666603668999781,0.6666416658830588,0.6666501957609264,0.9428080885258472,0.9428141293080703,0.94280092244627,3.059439453945377e-05,1.160006842464399,0.8888863844095156,3.99363032083655e-05,3.995411963969575e-05,3.9985166116252024e-05,0.2189992504996707,0.23299893619093984,0.4352685295865451,0.45199818669061054,0.20926943624123984,-1.6042515169266491,0.9259746715952347,0.2189992504996707,0.06968790861773452,0.10940513872516566,0.10940513872516568,0.20071304264429501,0.4385966745842238,0.4385966745842238,0.06968790861773452,1920,sobol_screened,0.6339370301352626,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,73,1958,1287,9.017590966148019,0.6339370301352626,0.000460635188723729,3.059439453945377e-05,29,15,False,1e-05,3.187375493597646e-05,True,0.8720690039917827,0.7735853502526879,0.4996882090345025,0.4938943423330784,0.3611126793548465,0.5524541568011045,0.8424519142135978,0.27539677545428276,0.28741221202390704,0.7947507459662346,0.3467263572579012,0.6395166785860138,0.35097317397916566,0.7869464142302055,0.9771317233501028,0.5184046434260666,6,1.4161555356585367e-05,True,0,350,0.026677147907657076,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0007,gradient,gradient,gradient,0.00051099895,4.3620767922987165,2.0885585441396457,0.8336449100258899,0.602738058476591,0.0,0.0,3.141592653589793,0.0,0.3712024405050615,2.47008358422411,0.8701621493431463,1.8210329115959594,3.427259723786368,0.3599246112551364,5.220905649068262,-0.30885332863615,1.9443785688674284,0.6680943903295596,-1.8254205466602815,0.12447508460644653,0.11410439421809096,1.8458005529531563,0.8357670246780997,1.883026418575728,107.88946649602397,0.23282074114184395,0.29229975224545535,0.23282074114184395,0.29229975224545535,False,,gradient,1638004073,0.05775054892941202,1.5562398650907525,1.0,0.0748128574701214,0.019086971461416937,1.0,1.0833232973958373,0.3066074235319612,-0.2265199359567125,0.14455376437989204,0.2140064583222045,0.6666448849901502,0.6666652561877111,0.6666374942484825,0.9428023024399141,0.9427822587533696,0.9427967536007619,3.643433635268429e-05,1.1600067213557224,0.8888600955497987,1.8214994646270632e-05,1.7435998679427023e-05,1.7606054413699113e-05,0.29752624734850763,0.04153172490271814,0.3100403025522673,0.3390579722512258,0.14051131642665438,-0.4252414180067761,0.8288335796601897,0.29752624734850763,0.06460351734504222,0.15657137473358268,0.15657137473358268,0.0299399132014658,0.5043706530151915,0.5043706530151912,0.06460351734504222,1638,sobol_screened,0.6061309889557442,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66,4112,1089,5.006143974819953,0.6061309889557442,0.0009900375252014943,3.643433635268429e-05,136,122,False,1e-05,3.647199458929455e-05,True,0.1970733841881156,0.77572301030159,0.64374780934304,0.40696167666465044,0.2596064554527402,0.31029693875461817,0.02917651552706957,0.4633937617763877,0.27478006231018737,0.7862520245588261,0.5796527788270468,0.41620995562195917,0.13849060735942978,0.5454653263003644,0.018382570656772575,0.4953665343317152,7,2.0001497169815883e-05,True,0,350,0.02060157304878583,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0009,gradient,gradient,gradient,0.00051099895,9.069525441884567,3.011565281026557,1.3597050637180756,1.0519911799803863,0.0,0.0,3.141592653589793,0.0,0.6006387822802325,2.66581620661931,3.776443099881688,1.5716115858589685,1.2715880458173225,0.3646236255296699,5.3441731252265345,-0.36754853582263197,5.2678437482656095,0.709430020180938,-5.439785176370568,0.025685031651172252,0.01309458686318388,3.037459561902941,0.906684783726253,1.786120382919116,102.33715964355584,0.8160258362551174,0.7300551222025086,0.8160258362551174,0.7300551222025086,False,,gradient,1503002750,0.037630978372675886,1.6161135947083352,1.0,0.0002597516161332542,0.008349347445350602,1.0,0.88563556632731,0.32280079573464115,-0.11927680254231109,0.23657718673929323,0.27507983351263493,0.6666431158199608,0.6666470430738691,0.6666353719103476,0.9427848788990776,0.9427763827471273,0.9427792686055733,4.380741430293793e-05,1.1599964740941942,0.888834461636549,1.200397146955412e-05,1.1544913564642822e-05,1.1750191279080724e-05,0.012184569317634508,0.3956630968292078,0.40076227433020206,0.4078476661468423,0.19683844125678088,-2.913478550396537,0.9652547144203137,0.012184569317634508,0.0209546720313491,0.1968067028655182,0.19680670286551816,0.1505482122911424,0.39534563098763953,0.39534563098763975,0.0209546720313491,1503,sobol_screened,0.5863699055553224,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38,2793,756,6.900036767620286,0.5863699055553224,0.0012713500041643228,4.380741430293793e-05,92,78,False,1e-05,4.402864480175082e-05,True,0.48796161636710167,0.6031886078417301,0.3733128560706973,0.41290898714214563,0.1436109822243452,0.11560550890862942,0.17868275940418243,0.6351071326062083,0.5046946590351266,0.8485556533158972,0.500259505019895,0.4124148261362883,0.6010395866514509,0.20237952306839038,0.011978312442791149,0.514424934391687,9,2.737457512006952e-05,True,0,350,0.015449584135378891,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0010,gradient,gradient,gradient,0.00051099895,4.753076779017992,2.1801552190195066,0.8882928071992786,0.6137110187621384,0.0,0.0,3.141592653589793,0.0,0.5953139578794113,2.230459417198677,2.002352681158488,1.5637752516103662,4.665994226852907,0.6406029917093207,0.5895904862177781,-0.7059339854503934,1.4849484708021878,0.4452102962369335,-1.8046849690008409,0.12619698842636473,0.11628004900673769,2.7302821618823416,0.8611377234059227,1.9276905887020457,110.44853493971627,0.5325260003851703,0.3726577512857037,0.5325260003851703,0.3726577512857037,False,,gradient,665001518,3.0274860846013043,1.6596183775851026,0.9999999999999999,0.10410212721922409,0.07127645151591988,0.9999999999999998,1.2228394909813092,0.290265361439631,-0.16029007910884444,0.4204345898426032,0.466961247590319,0.6666382038288214,0.6666391166861607,0.6666389993563855,0.9427732562124916,0.9427730990149571,0.9427742104684737,4.831784993427198e-05,1.1599923831906616,0.8888219135924432,7.205929282549928e-06,7.065959265972754e-06,7.944565466377895e-06,0.13979902594621627,0.34719885921643245,0.475301574821992,0.48699788516264875,0.23180263224066758,-2.0346109611859275,0.9519656626978968,0.13979902594621627,0.061563274334696244,0.11256010788307466,0.11256010788307468,0.12854300524584764,0.4004420069542767,0.4004420069542767,0.061563274334696244,665,latin_hypercube,nan,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53,1559,1053,2.7289715987471923,0.8709744114474068,0.0001595131150232121,4.831784993427198e-05,22,8,False,1e-05,4.929985583467577e-05,True,0.44945195746074024,0.19099651981705734,0.9710527082932043,0.5034533589278117,0.47801491754408504,0.5735240138138943,0.6024813622079987,0.9496435830660674,0.2975961607466702,0.709977283226075,0.49776512235712433,0.6529938550921552,0.3186843270196832,0.7426160456418865,0.9636787510124513,0.5282729368776413,10,3.1885010751403576e-05,True,0,350,0.04331806772913264,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0012,gradient,gradient,gradient,0.00051099895,5.92421679113262,2.4339714031049375,1.0362431605581326,0.505040246511344,0.0,0.0,3.141592653589793,0.0,0.7152235632289758,1.9952873992435454,4.307397486198173,2.069684335187866,1.7506424928305548,0.5697660854008634,5.697194967854624,-0.4701395836648977,2.494504537814175,0.5723920420647681,-1.6494575740552542,0.14031818938930965,0.13453414060503657,2.7433744355859497,0.8639399543691432,2.3908732054075834,136.98694402076927,0.3865450000534133,0.809068481932944,0.3865450000534133,0.809068481932944,False,,gradient,1396001845,0.1126470720501853,1.6554412094389324,1.0,0.1455638422434522,0.06913954658063115,1.0,1.1561781579799804,0.2846377441135227,-0.17535737315707592,0.42438415230648696,0.47429747941559025,0.6666210965585945,0.6666580438263884,0.6666384805890432,0.9427784535793736,0.9427649378707024,0.9427910804050712,5.427193654152544e-05,1.1599922935847717,0.8888306535119453,1.4578758105454614e-05,1.517789929827984e-05,1.521009086652425e-05,0.290481612079862,0.1932908438848791,0.4730270399711059,0.4837724559647411,0.23114081198873535,-1.3589743831973649,0.9555765696820971,0.290481612079862,0.04141721735166147,0.12676258869486215,0.12676258869486218,0.05623193968432834,0.3894649553403968,0.38946495534039693,0.04141721735166147,1396,sobol_screened,0.5680465554621394,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49,1936,1332,4.223213442937869,0.5680465554621394,0.00037392946175402597,5.427193654152544e-05,27,13,False,1e-05,5.473519971884699e-05,True,0.4464548612013459,0.6549400622025132,0.4870158927515149,0.4556269543245435,0.7654131362214684,0.5484553640708327,0.20484099071472883,0.7078545307740569,0.3608200173818734,0.6351197049571646,0.6588009851700242,0.6740421991789762,0.6855436017900433,0.27862340632070076,0.03585667668323175,0.5269433029604633,12,3.783909735865703e-05,True,0,350,0.042212765607311575,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0015,gradient,gradient,gradient,0.00051099895,4.53147271429561,2.128725608033034,0.857702917079671,0.6865985126898208,0.0,0.0,3.141592653589793,0.0,0.37127716639846003,2.545194666865776,0.4718542178264335,1.542029296327635,3.0572474475627254,0.3575134150497753,4.839060001182732,-0.5006049722867799,1.9768309233452457,0.638669937451441,-2.1697465401601264,0.10038919804816426,0.08490016255458815,1.9982439735928874,0.8476302933411336,1.6171356854783736,92.65504967790613,0.3276050334014683,0.2311472249940173,0.3276050334014683,0.2311472249940173,False,,gradient,1287003417,3.0904008568541457,1.5550412710405266,1.0000000000000002,0.032058435233405354,0.015067253166490303,1.0000000000000004,1.0958312501788001,0.30776843850313496,-0.21468573539267136,0.14045455759140715,0.20652805114210682,0.6666364330506508,0.6666696235794586,0.6666131228714718,0.9428067380706017,0.9427665758412199,0.9427902749855304,6.156096875878279e-05,1.1599914359783607,0.8888489537403644,3.2024477256309414e-05,3.1627068427964034e-05,3.206001925909474e-05,0.19667003305521652,0.13470147812481015,0.30133895712575265,0.33137151118002667,0.13565320153573934,1.3403541772021403,0.818737863449233,0.19667003305521652,0.07089809554352924,0.15775254863943175,0.15775254863943178,0.00958787425871145,0.5108759401805415,0.5108759401805417,0.07089809554352924,1287,sobol_screened,0.5448189191827061,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,45,3481,1008,5.787655966516542,0.5448189191827061,0.0005501255124970473,6.156096875878279e-05,112,98,False,1e-05,6.169915938669963e-05,True,0.32639302778989077,0.6406502081081271,0.3664721632376313,0.4242656249552965,0.08299714885652065,0.45466143637895584,0.9606219595298171,0.5256115915253758,0.2847854002211767,0.8101606247256362,0.4908431698061203,0.40314516848988097,0.07509793118583681,0.48657604353468786,0.9837051450075324,0.49498500999600725,15,4.512812957591438e-05,True,0,350,0.018954439411622583,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0020,gradient,gradient,gradient,0.00051099895,9.423346891418506,3.0697470402980285,1.3915645921897823,1.0598362492085454,0.0,0.0,3.141592653589793,0.0,0.599579194358639,2.6766207544668985,2.5245297454887052,1.6424108596832452,5.012636658034583,0.3518934434006344,0.9526311237830323,-0.2911447005728406,5.6917202201057275,0.7335713943291564,-5.6271099452146505,0.02426502609658189,0.012111930781785006,2.9470416767824794,0.9081659165612087,1.8503002557772317,106.0143954880121,0.7746524814704873,0.8069576189159389,0.7746524814704873,0.8069576189159389,False,,gradient,1432003333,3.1060333116950374,1.614628576503084,1.0,0.00020768022646069727,0.007438315078558069,0.9999999999999998,0.8717715611645052,0.3230114323906977,-0.12010760518760544,0.22745574034814608,0.2662518699408109,0.6666322673284661,0.6666113724307059,0.6666254679923523,0.942754970400811,0.9427649244349243,0.9427501283595054,7.70590537469013e-05,1.159968295978712,0.8887901470089384,1.7632517993249053e-05,1.7608325274198755e-05,1.7568091891906334e-05,0.39635758817418126,0.008817410688177707,0.39825393434120737,0.40517499886235897,0.1956664349100279,-0.13933718141295476,0.9658366654379742,0.39635758817418126,0.12418449779930688,0.2013448713400644,0.2013448713400644,0.14607953794162482,0.39348012979757657,0.39348012979757657,0.12418449779930688,1432,sobol_screened,0.5751276410557343,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54,3396,864,17.951200678677246,0.5751276410557343,0.001970566083825313,7.70590537469013e-05,113,99,False,1e-05,7.720674238522874e-05,True,0.5870447494089603,0.5377791076898575,0.6831646161153913,0.654072841629386,0.3613575594499707,0.6129848612472415,0.9422060195356607,0.40136086381971836,0.519187333015779,0.8519948477115304,0.5227956138127956,0.4009638964536188,0.40179138797705194,0.7977859020498426,0.9886811099287098,0.5139522384157926,20,6.062621456403289e-05,True,0,350,0.014639866480450663,False,"alpha_e~0,alpha_p~pi/2"
electron,gradient_local_minimum_0022,gradient,gradient,gradient,0.00051099895,7.639101486770149,2.763892452099059,1.222778612919173,0.6678902529915394,0.0,0.0,3.141592653589793,0.0,0.7366007574995792,2.3073520777738694,2.2408786069233044,2.041740813136267,4.743817245095042,0.4648674380410806,0.7523658222461341,-0.2252418382700706,4.056373282597538,0.678962646038537,-2.8866521770311033,0.0683269510915869,0.05005906126214271,2.797839567095121,0.8838794930041948,2.3040436435030873,132.01197658667175,0.4920269375339113,1.076887490316837,0.4920269375339113,1.076887490316837,False,,gradient,1676002232,3.067653825189611,1.6353266461891534,1.0,0.009570563581559412,0.03098483767089361,1.0,1.0778030597918,0.303537067288819,-0.16277475278372852,0.3490229356434288,0.3984311067320643,0.6666359954145321,0.666611411955465,0.6666212151415449,0.9427487960427396,0.9427560603136277,0.9427385036609722,7.784375346397397e-05,1.1599696239023634,0.8887733891201508,9.675084522431376e-07,1.5943989583599993e-06,1.2672588803330775e-06,0.348934860798191,0.10442090707606463,0.442581554258756,0.4533557678742557,0.21590367032162813,-0.9688387399863309,0.9524690568468158,0.348934860798191,0.08295392334302339,0.14789773816466387,0.14789773816466387,0.10746623241279271,0.3987464939610805,0.3987464939610806,0.08295392334302339,1676,sobol_screened,0.6106994448269427,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40,2274,711,6.048635860047608,0.6106994448269427,0.00038686821638966683,7.784375346397397e-05,70,56,False,1e-05,7.920222000787443e-05,True,0.5557691780850291,0.5185315841808915,0.6338405115529895,0.7440313501283526,0.4561331020668149,0.7904839301481843,0.9157453598454595,0.6880561849102378,0.44300106969617087,0.7344529772621333,0.6499062858462054,0.5815633060374966,0.3566469071607242,0.7550019636814531,0.9764645399473751,0.5205406386217896,22,6.141091428110557e-05,True,0,350,0.028387988928428184,False,"alpha_e~0,alpha_p~pi/2"
