detail_id,selected_observable,selected_region,theta_e,theta_p,momentum,E,px,py,pz,p_abs,phi_xy,s,sqrt_s,pIn,pOut,theta_p_in,phi_p_in,theta_lepton_in,phi_lepton_in,theta_out,phi_p_out,qOut,phi_gamma_out
dw_mixing_angles_polarization_01_local_minimum_1,D_W,polarization_cluster_01_local_minimum_1,3.5699584141802500e-02,1.6096178365898748e+00,k,1.4964463924584928e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4964463052118209e+00,1.4964463052118209e+00,0.0000000000000000e+00,1.0644368449401606e+01,3.2625708343883670e+00,1.4964463052118209e+00,6.4127698845136194e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4699891014568407e+00,3.7336254706524392e+00,8.8103200049948549e-01,1.3110995203294735e+00
dw_mixing_angles_polarization_01_local_minimum_1,D_W,polarization_cluster_01_local_minimum_1,3.5699584141802500e-02,1.6096178365898748e+00,p,1.7661244419298743e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4964463052118209e+00,1.4964463052118209e+00,0.0000000000000000e+00,1.0644368449401606e+01,3.2625708343883670e+00,1.4964463052118209e+00,6.4127698845136194e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4699891014568407e+00,3.7336254706524392e+00,8.8103200049948549e-01,1.3110995203294735e+00
dw_mixing_angles_polarization_01_local_minimum_1,D_W,polarization_cluster_01_local_minimum_1,3.5699584141802500e-02,1.6096178365898748e+00,kp,1.2452817432986723e+00,1.9034306223694869e-01,-3.0715433241070988e-01,1.1917013442186954e+00,1.2452816384549534e+00,5.2671668548572894e+00,1.0644368449401606e+01,3.2625708343883670e+00,1.4964463052118209e+00,6.4127698845136194e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4699891014568407e+00,3.7336254706524392e+00,8.8103200049948549e-01,1.3110995203294735e+00
dw_mixing_angles_polarization_01_local_minimum_1,D_W,polarization_cluster_01_local_minimum_1,3.5699584141802500e-02,1.6096178365898748e+00,pp,1.1362570905905265e+00,-3.3111789074367520e-01,-2.2267804012316697e-01,-5.0200757842249055e-01,6.4127698845136194e-01,3.7336254706524392e+00,1.0644368449401606e+01,3.2625708343883670e+00,1.4964463052118209e+00,6.4127698845136194e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4699891014568407e+00,3.7336254706524392e+00,8.8103200049948549e-01,1.3110995203294735e+00
dw_mixing_angles_polarization_01_local_minimum_1,D_W,polarization_cluster_01_local_minimum_1,3.5699584141802500e-02,1.6096178365898748e+00,qout,8.8103200049948549e-01,1.4077482850672651e-01,5.2983237253387683e-01,-6.8969376579620489e-01,8.8103200049948549e-01,1.3110995203294735e+00,1.0644368449401606e+01,3.2625708343883670e+00,1.4964463052118209e+00,6.4127698845136194e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4699891014568407e+00,3.7336254706524392e+00,8.8103200049948549e-01,1.3110995203294735e+00
dw_mixing_angles_polarization_01_local_minimum_2,D_W,polarization_cluster_01_local_minimum_2,3.5562111125378611e-02,1.5321682015405635e+00,k,1.4829835439979651e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4829834559592490e+00,1.4829834559592490e+00,0.0000000000000000e+00,1.0482801092916088e+01,3.2377154125889578e+00,1.4829834559592490e+00,6.4326510838983575e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4728313699749349e+00,5.8972577415323646e-01,8.6518591984876692e-01,4.4504345906275189e+00
dw_mixing_angles_polarization_01_local_minimum_2,D_W,polarization_cluster_01_local_minimum_2,3.5562111125378611e-02,1.5321682015405635e+00,p,1.7547318685909927e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4829834559592490e+00,1.4829834559592490e+00,0.0000000000000000e+00,1.0482801092916088e+01,3.2377154125889578e+00,1.4829834559592490e+00,6.4326510838983575e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4728313699749349e+00,5.8972577415323646e-01,8.6518591984876692e-01,4.4504345906275189e+00
dw_mixing_angles_polarization_01_local_minimum_2,D_W,polarization_cluster_01_local_minimum_2,3.5562111125378611e-02,1.5321682015405635e+00,kp,1.2351491695102181e+00,-1.9254995478929571e-01,2.9632335839960033e-01,1.1835160294644416e+00,1.2351490638064115e+00,2.1470286508036294e+00,1.0482801092916088e+01,3.2377154125889578e+00,1.4829834559592490e+00,6.4326510838983575e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4728313699749349e+00,5.8972577415323646e-01,8.6518591984876692e-01,4.4504345906275189e+00
dw_mixing_angles_polarization_01_local_minimum_2,D_W,polarization_cluster_01_local_minimum_2,3.5562111125378611e-02,1.5321682015405635e+00,pp,1.1373803232304429e+00,3.3146801978278467e-01,2.2180466146969594e-01,-5.0469955783949350e-01,6.4326510838983575e-01,5.8972577415323646e-01,1.0482801092916088e+01,3.2377154125889578e+00,1.4829834559592490e+00,6.4326510838983575e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4728313699749349e+00,5.8972577415323646e-01,8.6518591984876692e-01,4.4504345906275189e+00
dw_mixing_angles_polarization_01_local_minimum_2,D_W,polarization_cluster_01_local_minimum_2,3.5562111125378611e-02,1.5321682015405635e+00,qout,8.6518591984876692e-01,-1.3891806499348897e-01,-5.1812801986929624e-01,-6.7881647162494807e-01,8.6518591984876692e-01,4.4504345906275189e+00,1.0482801092916088e+01,3.2377154125889578e+00,1.4829834559592490e+00,6.4326510838983575e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.1415926535897931e+00,0.0000000000000000e+00,2.4728313699749349e+00,5.8972577415323646e-01,8.6518591984876692e-01,4.4504345906275189e+00
